type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,130879,0,34,0,0,0.304632,128,[34 32 2 0 0 0 0 0 0 0 0 0 -13 -2 -12 -3 -14 -3 -14 -3 -13 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -5 -13 -5 -13 -5 -12 -5 -12 -5 -10 -5 -13 -5 -11 -5 -10 -5 -10 -5 -10 -4 -10 -4 -11 -5 -10 -4 -10 -4 -12 -4 -11 -4 0 0 -12 -4 -12 -3 -11 -3 -11 -2 -10 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -3 -11 -2 -10 -3 -11 -2 -12 -2 -11 -2 -11 -2 -11 -1 -10 -1 -11 -1 -11 -2 -10 -1 -12 0 -11 -1 -12 -1 -12 -1 -11 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,145671,0,131,0,0,0.319191,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -23 -5 -22 -6 -24 -7 -25 -7 -23 -8 -21 -8 -22 -9 -20 -9 -21 -9 -21 -10 -22 -9 -23 -10 -21 -9 -21 -9 -19 -10 -22 -10 -19 -10 -18 -10 -18 -9 -18 -10 -18 -9 -19 -10 -16 -9 -19 -8 -21 -8 -20 -8 0 0 -19 -7 -20 -7 -20 -6 -20 -6 -18 -6 -20 -6 -20 -6 -18 -6 -20 -5 -19 -6 -21 -5 -18 -5 -19 -4 -20 -5 -19 -5 -20 -5 -21 -4 -20 -4 -20 -4 -19 -4 -19 -4 -20 -4 -20 -3 -21 -2 -19 -3 -19 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1018688,0,110,0,0,1.192512,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -10 -12 -10 -15 -10 -15 -13 -13 -11 -11 -11 -12 -12 -10 -12 -11 -12 -11 -13 -12 -15 -13 -14 -12 -14 -11 -14 -9 -13 -12 -14 -10 -13 -9 -13 -10 -13 -9 -13 -9 -13 -10 -14 -7 -13 -9 -14 -10 -16 -10 -13 0 0 -10 -14 -11 -13 -12 -14 -11 -12 -9 -13 -11 -13 -11 -14 -10 -13 -12 -13 -12 -9 -13 -11 -10 -11 -11 -11 -12 -10 -12 -11 -13 -10 -14 -13 -13 -9 -13 -10 -12 -8 -12 -11 -12 -11 -13 -11 -14 -10 -12 -11 -12 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 25 55 28 60 34 54 31 46 -5 43 -4 41 -4 45 -9 45 -5 43 -7 34 -4 40 2 34 0 41 -2 42 -4 43 -2 41 1 46 -2 42 -2 35 2 39 7 39 -2 41 6 32 0 35 -1 35 4 37 0 37 7 37 0 43 5 40 27 38 5 40 2 41 4 36 5 37 0 40 6 39 5 36 5 38 4 38 4 39 1 43 2 42 2 41 0 40 5 41 0 36 1 42 -6 38 -2 36 -5 37 -3 38 -3 35 -8 38 -12 36 -12 34 -16 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -50 -10 -48 -8 -53 -8 -51 -13 -51 -11 -43 -13 -50 -16 -43 -12 -54 -13 -50 -20 -54 -23 -52 -22 -57 -22 -53 -22 -45 -19 -49 -20 -49 -16 -48 -24 -43 -16 -43 -20 -40 -21 -47 -17 -42 -22 -44 -21 -50 -30 -46 -19 -59 2 -47 -21 -46 -21 -45 -16 -41 -14 -45 -20 -47 -12 -45 -17 -47 -14 -50 -12 -44 -11 -48 -11 -47 -15 -49 -10 -47 -11 -46 -1 -44 -7 -50 -8 -42 -9 -42 -4 -43 -7 -45 -2 -45 -1 -50 -9 -49 -8 -47 -7 -45 -9 -53 19 -61 31 -58 30 -55 38 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1019129,0,110,0,0,1.204588,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 11 -12 11 -14 13 -17 12 -15 11 -14 9 -15 11 -14 8 -14 10 -16 8 -18 9 -18 10 -18 9 -18 8 -15 6 -18 10 -16 8 -16 7 -15 7 -15 7 -16 6 -16 8 -15 5 -17 7 -18 8 -16 8 0 0 -16 9 -15 10 -16 10 -14 10 -15 7 -15 9 -16 10 -14 9 -15 10 -11 11 -13 12 -13 9 -14 10 -12 11 -12 11 -12 12 -15 13 -11 12 -11 13 -9 13 -12 12 -12 13 -13 12 -12 13 -13 11 -11 12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 31 -10 34 -11 32 -16 28 -14 24 3 23 2 25 2 26 6 23 3 20 2 23 2 20 0 25 0 23 1 24 3 23 1 26 0 23 1 20 1 23 -2 23 -5 23 1 19 -3 20 -1 21 1 22 -3 21 0 21 -5 24 -1 23 -4 21 -15 24 -4 23 -2 21 -4 21 -5 23 -2 23 -5 21 -4 22 -4 23 -4 22 -4 24 -2 24 -2 24 -2 24 -2 23 -5 22 -2 24 -3 22 1 22 -2 22 1 22 -1 22 -1 21 3 21 5 20 5 20 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -9 25 -9 25 -11 28 -12 27 -13 26 -11 22 -14 25 -10 21 -13 28 -16 24 -16 26 -16 25 -17 28 -17 26 -15 21 -16 25 -14 26 -18 24 -13 21 -15 20 -15 19 -14 24 -15 21 -15 22 -20 25 -13 23 -3 31 -16 24 -15 23 -13 23 -11 22 -15 24 -12 25 -13 23 -11 24 -10 25 -9 23 -9 25 -11 24 -9 26 -9 25 -3 25 -6 23 -7 27 -7 23 -4 24 -6 24 -3 25 -3 24 -8 27 -7 25 -6 24 -7 25 7 28 12 35 13 35 17 31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,1044124,0,110,0,0,1.217557,256,[110 96 6 0 0 0 0 0 0 0 0 0 4 10 4 10 4 10 4 11 4 11 2 9 3 11 2 10 3 10 2 12 3 12 2 11 2 10 2 10 1 9 3 11 1 9 2 10 2 10 1 9 1 9 2 10 0 9 1 10 2 10 2 10 0 0 4 9 3 10 3 10 3 9 2 9 4 9 4 10 2 8 4 9 3 10 4 10 3 9 4 9 4 8 4 10 4 9 4 10 4 9 4 8 5 9 4 9 5 8 5 10 5 9 5 9 4 8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 21 7 19 8 12 13 12 12 14 12 14 12 14 13 11 12 13 14 10 14 14 14 10 16 12 17 11 16 11 14 11 14 10 12 14 14 10 12 10 14 10 14 8 13 11 13 10 14 10 13 8 13 9 14 9 14 -1 -1 12 11 10 12 10 12 13 12 9 10 13 11 12 11 11 10 13 10 12 12 13 12 12 12 13 11 13 10 13 11 13 10 13 10 11 10 15 8 13 11 14 9 15 9 13 11 15 11 14 10 14 9 16 4 18 5 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,1045272,0,110,0,0,1.224414,256,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -5 -10 -4 -10 -5 -10 -5 -10 -6 -8 -5 -10 -5 -8 -5 -9 -5 -9 -6 -9 -6 -9 -6 -8 -6 -8 -6 -8 -6 -9 -6 -8 -6 -8 -6 -8 -6 -8 -6 -7 -5 -9 -5 -7 -6 -8 -5 -10 -5 -9 -5 0 0 -8 -4 -10 -4 -9 -4 -9 -5 -8 -5 -9 -4 -9 -4 -9 -4 -9 -3 -9 -4 -9 -4 -8 -4 -9 -4 -9 -4 -9 -3 -9 -3 -11 -3 -9 -2 -9 -3 -9 -3 -9 -3 -9 -4 -9 -3 -9 -3 -9 -4 -9 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -16 12 -16 9 -17 0 -16 2 -17 2 -17 1 -16 0 -16 -1 -16 1 -16 -1 -18 -1 -17 -2 -17 -2 -17 -2 -16 -2 -16 -1 -15 -2 -17 0 -14 -2 -15 -2 -15 -2 -16 -2 -15 -2 -16 -1 -16 -1 -14 -1 -15 -2 -15 -1 -1 -1 -14 0 -15 1 -14 0 -16 1 -13 0 -15 0 -15 1 -15 0 -15 2 -17 3 -15 3 -15 1 -14 1 -15 0 -14 3 -13 1 -16 4 -13 3 -15 3 -14 2 -15 5 -16 2 -14 3 -16 2 -15 2 -15 2 -11 9 -13 9 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,1045812,0,110,0,0,1.231608,256,[110 96 6 0 0 0 0 0 0 0 0 0 -5 10 -6 9 -6 10 -6 10 -7 10 -6 8 -7 9 -7 8 -7 9 -7 9 -8 9 -7 10 -7 9 -7 9 -7 7 -7 10 -6 8 -7 7 -6 8 -7 8 -6 8 -7 8 -7 6 -6 7 -6 9 -6 8 0 0 -6 9 -6 9 -5 9 -6 9 -5 8 -5 9 -6 9 -5 8 -5 9 -6 9 -5 10 -5 9 -4 9 -4 9 -5 9 -4 9 -5 10 -5 9 -4 9 -4 9 -5 9 -4 9 -4 10 -4 10 -4 9 -4 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 8 21 6 18 -1 19 -1 18 -1 19 -2 20 -3 19 -4 17 -3 19 -5 18 -4 20 -4 19 -5 18 -5 19 -5 17 -5 18 -5 17 -3 19 -5 16 -5 15 -4 16 -5 18 -5 17 -4 17 -5 17 -4 15 -4 17 -4 16 -1 -1 -3 16 -2 16 -2 15 -2 19 -2 15 -1 17 -2 16 -2 16 -2 16 -1 18 0 17 -2 16 -1 16 -1 18 0 16 0 16 1 18 0 16 0 18 -1 16 2 19 1 19 1 17 0 18 0 17 1 18 9 13 7 15 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1067650,0,110,0,0,1.241013,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 9 -12 9 -14 11 -17 10 -15 9 -13 7 -15 8 -14 7 -14 8 -15 6 -17 7 -17 7 -17 7 -17 6 -14 3 -17 8 -15 6 -15 5 -15 5 -14 5 -15 4 -16 6 -14 3 -16 5 -17 5 -15 6 0 0 -16 6 -15 7 -16 7 -14 7 -15 5 -15 7 -16 7 -14 6 -15 7 -12 8 -13 9 -13 6 -14 7 -12 8 -12 9 -12 10 -15 10 -11 10 -12 10 -10 10 -12 9 -12 9 -13 9 -13 11 -13 8 -12 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 29 -10 30 -9 30 -15 25 -13 20 4 19 4 21 3 21 6 19 4 16 4 19 4 16 1 21 2 19 4 20 4 19 3 22 2 20 2 17 2 19 0 20 -3 19 3 16 -2 17 1 17 3 18 -1 18 2 18 -3 21 2 19 -2 19 -14 21 -2 19 0 18 -1 19 -2 20 1 21 -2 19 -1 19 -1 19 0 19 -1 21 1 21 1 21 1 21 1 20 -2 18 1 21 0 19 3 18 1 18 4 19 2 19 3 17 6 17 7 17 7 17 9 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -8 21 -7 21 -10 23 -11 23 -10 21 -10 19 -13 21 -9 18 -11 24 -14 20 -14 22 -14 21 -14 24 -14 22 -13 18 -14 20 -11 21 -15 20 -11 17 -14 18 -14 16 -12 20 -14 17 -13 19 -17 20 -12 19 -1 28 -14 19 -14 19 -11 20 -10 18 -13 20 -10 21 -12 19 -10 21 -9 21 -10 18 -8 21 -11 20 -8 22 -8 21 -3 21 -7 20 -7 22 -7 20 -5 20 -7 20 -5 21 -5 20 -8 22 -7 22 -6 20 -8 21 7 26 12 30 12 31 16 28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1068222,0,110,0,0,1.251483,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 13 8 12 11 14 8 16 8 15 6 13 7 15 6 13 7 14 5 15 6 17 7 16 6 16 5 16 3 13 7 17 5 14 4 15 4 14 4 13 4 14 5 15 2 14 4 15 4 16 4 14 0 0 5 15 7 14 6 15 7 14 4 14 6 14 6 16 5 14 7 14 8 12 8 13 5 13 7 13 8 12 8 12 10 12 10 15 9 10 9 12 9 10 8 12 9 12 9 13 10 12 7 13 8 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -5 -31 -4 -32 -10 -33 -7 -28 8 -21 7 -21 7 -23 9 -23 7 -19 6 -18 7 -20 4 -18 5 -22 6 -20 7 -22 5 -21 5 -24 4 -21 4 -19 3 -21 0 -22 6 -21 0 -19 3 -19 5 -19 2 -21 5 -19 0 -20 4 -22 1 -22 -9 -22 2 -23 3 -21 0 -20 1 -21 3 -21 0 -23 0 -20 1 -22 2 -22 1 -20 3 -22 2 -23 3 -23 4 -23 1 -22 3 -20 3 -23 5 -20 4 -21 7 -20 5 -21 6 -21 8 -18 9 -18 9 -17 11 -17 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 22 11 21 9 23 12 22 13 21 13 18 12 20 15 18 11 24 14 19 16 21 17 21 16 23 16 21 17 18 15 19 17 21 14 19 17 17 13 17 15 15 15 19 14 15 16 18 15 19 19 18 14 27 5 19 16 18 16 19 13 17 12 20 15 20 12 19 14 20 12 20 12 17 11 21 11 20 12 21 11 21 10 21 5 20 8 22 10 19 9 20 7 20 9 21 7 21 6 21 10 22 8 20 8 21 10 27 -3 32 -8 34 -8 31 -12 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1092440,0,110,0,0,1.266888,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 -17 5 -17 5 -19 8 -19 7 -17 8 -14 8 -16 8 -15 8 -16 9 -15 11 -17 10 -17 10 -17 11 -15 10 -13 10 -17 10 -15 10 -13 10 -14 10 -13 10 -13 11 -14 11 -11 11 -14 12 -15 10 -15 0 0 11 -14 9 -15 10 -16 8 -15 11 -13 9 -15 11 -15 9 -14 9 -16 5 -15 7 -16 8 -13 8 -14 7 -15 7 -15 6 -17 9 -18 5 -16 6 -16 4 -15 7 -16 7 -16 7 -16 6 -17 8 -15 6 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -30 16 -28 17 -29 23 -25 19 -25 1 -25 2 -25 2 -27 0 -23 1 -22 0 -23 1 -20 3 -25 3 -23 1 -25 1 -23 3 -25 3 -24 4 -21 2 -22 4 -23 7 -23 2 -19 5 -21 3 -21 1 -21 4 -21 2 -21 7 -23 3 -23 7 -19 17 -24 6 -23 4 -21 6 -21 6 -24 4 -22 6 -22 5 -22 5 -23 4 -22 6 -24 5 -24 4 -24 4 -24 3 -23 6 -23 3 -24 3 -24 1 -23 2 -23 -1 -23 0 -23 0 -22 -3 -22 -4 -21 -4 -22 -6 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -4 -27 -5 -27 -3 -30 -2 -31 -1 -28 -1 -25 1 -28 -1 -25 0 -32 3 -28 1 -31 1 -30 1 -32 2 -30 3 -27 4 -29 1 -30 5 -29 2 -25 4 -25 5 -25 3 -28 5 -25 3 -26 6 -30 1 -27 -11 -30 4 -29 4 -27 2 -26 2 -24 4 -28 2 -27 3 -26 1 -29 1 -29 -1 -24 -2 -27 0 -26 -2 -28 -1 -28 -5 -25 -3 -26 -2 -28 -2 -25 -3 -24 -2 -25 -5 -26 -4 -25 -1 -27 -3 -27 -3 -26 -2 -27 -15 -25 -22 -29 -23 -31 -24 -26 -1 -1 ]
