type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-84,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,131289,0,34,0,0,0.299476,128,[34 32 2 0 0 0 0 0 0 0 0 0 -6 15 0 16 -1 23 -5 17 -11 17 -10 17 -10 16 -8 17 -8 19 -12 16 -5 20 -9 24 -6 18 -12 16 -16 12 -13 15 -6 16 -13 14 -10 15 -11 15 -15 13 -12 18 -11 15 -7 17 -9 19 -6 15 0 0 -7 19 -13 22 -6 24 -9 14 -5 18 -5 20 -9 22 5 16 -5 19 -9 22 -3 28 -10 21 -3 17 -5 22 -5 18 -6 27 -10 27 -5 26 -7 22 -8 28 -5 20 -4 30 -8 23 -2 21 -8 18 -6 22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-81,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,144718,0,131,0,0,0.312677,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -3 -19 -3 -18 -3 -20 -3 -24 -5 -22 -2 -21 -6 -19 3 -19 2 -18 1 -20 -3 -23 -3 -22 1 -23 6 -23 2 -20 1 -23 3 -18 4 -17 4 -22 -5 -18 2 -20 2 -21 2 -18 -3 -20 -4 -21 -1 -25 0 0 -1 -15 -1 -19 2 -19 -1 -19 1 -19 -4 -21 -2 -17 3 -18 -2 -19 0 -24 -2 -18 -2 -17 -3 -16 -5 -21 -2 -17 -3 -20 -7 -20 -2 -24 -2 -21 -5 -22 -2 -16 2 -18 -11 -20 -4 -18 -2 -14 -6 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-84,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,148294,0,135,0,0,0.317040,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 5 -12 5 -16 14 -15 7 -19 5 -18 7 -13 11 -22 8 -12 5 -10 4 -18 4 -19 12 -10 10 -18 6 -14 3 -18 0 -24 8 -14 -3 -15 4 -14 4 -13 5 -14 6 -15 4 -7 8 -16 5 -14 -1 0 0 -10 6 -11 18 -19 11 -7 12 -15 5 -11 5 -13 12 -17 11 -10 6 -9 7 -9 13 -8 8 -6 9 -8 10 -8 10 -8 12 -7 13 -3 13 -6 14 -3 11 -7 8 -10 15 -5 11 -2 17 -11 11 -2 13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 -1 24 13 29 23 12 -4 21 1 22 -3 23 -5 17 6 24 -6 30 2 14 -4 18 -5 21 6 23 -9 20 -10 19 -9 29 0 28 4 14 -5 20 -14 21 -15 24 5 10 -11 20 -1 18 -14 21 -5 11 -3 25 -9 19 -10 7 -8 -11 1 18 -17 10 -4 24 -20 13 -6 15 -14 5 -11 2 -14 15 -22 9 -20 19 -19 14 -18 -1 -3 6 -7 2 -12 6 -18 10 -12 11 -23 3 -18 12 -14 23 -10 7 -26 -2 -11 14 -24 6 -9 19 1 13 -6 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -17 26 -16 3 -23 11 -24 9 -28 5 -35 1 -29 -1 -21 22 -12 24 -31 12 -29 23 -28 3 -21 12 -34 15 -17 22 -36 18 -34 18 -29 7 -23 5 -15 17 -23 13 -25 19 -29 0 -23 8 -26 13 -23 9 -33 25 -36 22 -31 24 -31 31 -18 10 -26 10 -32 20 -14 21 -33 14 -17 23 -7 8 -12 18 -8 29 -10 32 -23 40 -10 23 0 22 -15 33 1 23 -5 32 -10 12 -19 18 -2 31 -13 24 -2 7 -9 21 -6 28 -15 -7 10 20 9 31 1 26 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-84,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,3015649,0,37,0,0,3.183898,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 19 14 17 16 14 9 16 24 18 15 20 18 20 -2 15 19 20 13 19 15 18 12 22 6 22 11 24 10 21 12 20 8 17 4 20 10 13 8 18 -1 18 13 12 5 16 11 27 12 22 7 16 0 0 16 21 9 19 11 15 10 17 1 16 13 21 8 18 14 18 14 11 8 16 10 17 11 12 10 13 16 14 13 19 12 23 15 15 9 17 14 13 12 13 15 12 13 12 14 15 13 24 15 15 12 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-83,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,3142214,0,37,0,0,3.310375,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 -2 18 0 20 2 16 2 15 7 16 5 24 1 20 3 21 4 17 3 23 5 18 5 19 3 19 6 17 3 19 1 17 8 16 5 18 5 15 2 14 2 13 -3 11 1 13 4 17 -2 14 0 0 0 15 -4 14 0 18 5 15 3 12 2 21 -1 17 -2 18 1 15 -6 14 -7 13 -4 16 -5 11 -4 14 -4 12 -4 12 -2 16 -3 15 -2 13 -11 17 -7 15 -6 12 -4 12 -6 15 -9 11 -7 13 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-83,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,3144093,0,110,0,0,3.314882,128,[110 96 6 0 0 0 0 0 0 0 0 0 -20 -3 -20 2 -22 0 -27 2 -24 1 -19 -4 -23 2 -19 0 -25 0 -21 -5 -29 -4 -28 -5 -22 -4 -23 1 -16 -8 -27 -1 -19 -6 -21 -5 -19 -4 -22 -6 -20 -4 -23 -7 -17 -8 -18 -5 -22 -1 -17 1 0 0 -16 6 -20 -3 -19 0 -18 2 -16 -1 -18 2 -21 3 -16 1 -17 4 -20 4 -20 0 -15 1 -19 2 -17 2 -17 4 -11 7 -17 9 -15 3 -18 4 -16 10 -13 3 -17 6 -15 4 -19 1 -12 6 -14 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-86,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,3197511,0,110,0,0,3.365627,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 0 -11 -7 -17 -12 -16 -16 -19 -6 -8 -13 -13 -9 -11 -9 -15 -11 -11 -10 -13 -5 -11 -14 -12 -19 -9 -9 -4 -17 -10 -14 -16 -10 -5 -12 -13 -11 -11 -13 -9 -13 -9 -10 -5 -13 -3 -13 -4 -14 -6 -12 0 0 -8 -17 -7 -6 -4 -11 -10 -11 -8 -16 -6 -15 -15 -9 -3 -11 -11 -14 -11 -1 -9 -16 -4 -8 -5 -14 -6 -10 -9 -12 -9 -9 -12 -17 -12 -10 -10 -8 -9 -8 -9 -9 -6 -10 -6 -11 -10 -12 -1 -13 -8 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -34 17 -5 18 -13 30 -1 12 -17 19 -11 14 -17 20 -9 16 -22 16 -23 8 -17 17 -12 15 -9 12 -18 15 -8 16 -17 9 -12 18 -13 13 -16 17 -16 10 -1 21 -15 18 -15 15 -9 14 -12 7 -15 12 -18 13 -13 8 -15 12 -23 9 1 15 -11 22 -21 5 -14 15 -12 18 -17 19 -19 12 -16 14 -24 18 -15 13 -11 14 -17 3 -21 9 -21 4 -14 17 -10 11 -19 3 -17 12 -18 9 -15 6 -16 11 -18 12 -27 2 -20 3 -19 -1 -13 7 -19 -7 -1 -1 -1 -1 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -20 -5 -22 -2 -26 -16 -28 -19 -25 -7 -22 -18 -28 -14 -26 -9 -20 -14 -19 -13 -23 -17 -23 -15 -27 -31 -20 -14 -19 -19 -19 -20 -27 -20 -11 -18 -14 -17 -11 -24 -13 -17 -13 -24 -19 -11 -13 -26 -13 -24 -18 -21 -13 5 -19 -21 -10 -13 -13 -21 -14 -16 -16 -29 -17 -22 -18 -19 -16 -19 -11 -19 -19 -11 -19 -17 -8 -18 -14 -17 -23 -12 -16 -15 -13 -14 -16 -14 -23 -17 -20 -11 -8 -17 -22 -9 -18 -19 -17 -18 -18 -15 -17 -18 -17 -4 -19 -5 -26 -11 -22 -7 -26 -27 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-87,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,3200986,0,110,0,0,3.377653,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 14 4 12 7 11 14 17 2 10 4 13 7 16 7 12 3 14 6 13 8 12 4 18 -1 18 3 14 3 10 9 12 5 14 1 9 5 12 6 8 6 11 12 4 2 4 8 20 2 11 9 7 0 0 8 6 7 7 6 7 13 9 11 10 12 7 9 14 11 12 11 7 8 5 9 -1 16 3 12 8 6 4 13 3 17 4 14 8 14 6 14 1 9 -4 12 -1 16 2 11 0 18 -2 14 -3 12 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -31 -14 -14 -29 -14 -27 0 -28 -16 -23 -17 -20 -13 -29 -7 -25 -9 -23 -10 -22 -9 -27 -19 -14 -20 -18 -15 -22 -26 -11 -23 -24 -20 -17 -22 -15 -21 -17 -18 -8 -31 -19 -22 -12 -26 -8 -11 -14 -20 -16 -20 -5 -13 -12 -25 -17 -22 -15 -26 -3 -20 9 -27 -8 -27 -10 -27 -1 -19 3 -18 0 -23 7 -27 6 -29 -2 -15 0 -28 -1 -20 4 -22 8 -28 -6 -29 -7 -29 8 -30 -6 -25 11 -23 0 -10 2 -19 -9 -23 3 -18 11 -12 0 -13 -3 -21 -3 -26 12 -1 -1 -1 -1 0 0 0 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 9 17 5 16 7 15 18 26 13 19 12 22 22 14 27 11 24 25 16 30 25 20 23 25 14 24 9 29 12 10 16 22 21 26 12 17 16 19 15 16 7 21 13 26 19 7 26 32 18 23 15 15 26 14 30 19 20 12 15 15 18 11 29 21 24 7 22 12 22 14 27 0 14 9 15 -10 23 0 31 2 15 13 31 -14 26 5 26 1 26 -3 17 -17 14 -5 25 -11 26 -12 26 -3 35 -3 23 -9 11 -2 26 -10 25 -12 41 -24 29 -24 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-82,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,3203340,0,110,0,0,3.387856,128,[110 96 6 0 0 0 0 0 0 0 0 0 11 9 20 7 24 7 14 9 16 15 17 0 12 9 13 12 16 22 7 15 12 10 9 11 13 8 7 11 8 15 13 12 2 14 2 16 10 15 9 18 8 11 7 21 4 13 6 13 4 16 10 10 0 0 -2 10 6 19 1 14 1 15 7 11 8 12 7 15 7 9 3 9 -1 7 0 17 1 14 2 12 3 16 0 17 6 11 2 16 -4 14 2 19 -4 19 4 20 -3 15 1 11 -3 17 -8 13 2 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-85,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,3203865,0,110,0,0,3.391295,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 14 -4 16 1 18 -9 8 -3 11 -5 11 -5 6 -10 12 -2 12 -5 7 -6 14 -12 15 -10 8 -8 17 -12 2 -14 17 -4 11 -9 11 -4 15 -12 7 -7 5 -10 12 -13 7 -8 12 -9 12 -8 8 0 0 -12 9 -15 10 -5 9 -9 4 -8 7 -11 8 -6 10 -4 7 -8 10 -4 10 -6 13 -5 6 -10 13 -5 15 -1 13 -4 11 -10 19 -8 13 -12 9 -7 9 -11 14 -9 11 -6 12 -11 8 -6 10 -2 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 17 -12 31 -17 20 -36 29 -16 23 -7 18 -9 22 -2 11 -1 26 -4 18 2 21 -3 21 -5 18 -5 13 -1 19 -13 14 9 14 1 20 4 18 8 12 -1 13 -15 23 -10 14 4 14 2 3 4 18 -5 21 -7 22 1 18 -5 13 -6 28 -13 20 -9 9 2 12 0 16 -6 15 2 26 0 20 -5 19 7 14 2 16 -8 20 1 18 3 27 2 26 -7 18 -10 8 4 11 8 18 -1 15 2 19 0 12 12 18 4 10 12 22 13 23 6 1 8 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 8 15 5 23 10 21 10 10 17 23 2 9 9 22 1 16 14 18 10 14 5 23 4 18 8 16 9 27 -1 12 0 18 -3 13 -1 17 2 27 -3 18 2 15 -2 16 -10 19 9 19 2 8 2 18 30 15 -1 20 -6 8 13 23 9 12 3 13 0 13 -1 18 6 21 3 16 -1 21 1 16 1 17 6 18 -2 24 6 8 2 21 1 23 -4 16 5 15 4 14 1 16 4 18 5 25 3 11 -3 24 8 22 12 23 19 12 36 27 20 19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-86,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,3204366,0,110,0,0,3.401035,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 18 -13 16 -7 15 -3 14 -9 8 -5 9 -14 12 -13 5 -5 9 -13 17 -12 6 -13 9 -11 10 -8 12 -7 12 -7 10 -11 10 -11 12 -13 2 -8 12 -13 7 -13 0 -11 5 -13 11 -18 11 -10 15 0 0 -8 4 -9 5 -13 5 -10 8 -21 2 0 6 -7 2 -19 16 -10 10 -3 5 -10 6 -3 11 -2 6 -13 8 -8 10 -6 5 -10 8 -7 6 -7 12 1 14 -14 7 -11 7 -1 7 -6 10 -13 7 -12 17 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 15 22 10 24 9 7 11 22 15 21 7 19 12 25 13 16 16 7 9 20 11 15 10 14 8 11 21 18 8 16 10 24 12 22 13 13 6 7 9 15 5 6 7 8 4 12 12 14 4 17 11 16 9 17 11 23 12 10 10 7 2 22 7 15 14 13 6 14 8 16 5 30 15 15 8 19 13 17 9 12 4 9 10 19 8 14 17 24 16 18 6 14 17 12 3 8 19 13 13 14 14 18 17 13 18 -2 14 -1 20 11 10 15 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -9 27 -12 19 -6 26 -7 28 -9 18 -11 17 -16 25 -9 16 -20 26 -10 23 -16 20 -16 18 -13 26 -22 33 -15 16 -19 20 -16 26 -23 24 -18 11 -18 24 -16 8 -22 10 -16 15 -17 17 -28 19 -18 23 -18 22 -8 19 -19 16 -12 11 -10 14 -19 11 -3 18 -16 11 -13 19 -24 12 -13 16 -15 10 -13 24 -10 13 -17 23 -7 25 -10 12 -1 15 -3 2 -10 16 -8 19 -6 24 -14 14 -11 22 -9 20 -16 22 -19 24 -16 21 -8 15 -14 31 13 29 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-87,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,3255955,0,110,0,0,3.424031,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 8 6 11 9 6 7 21 -9 12 -1 13 0 18 5 12 3 20 6 12 4 10 14 17 9 13 5 14 3 17 5 8 6 12 3 9 1 7 5 12 6 10 -2 10 7 13 8 13 9 13 7 12 0 0 9 5 11 6 6 14 12 10 6 10 11 4 8 4 14 2 5 7 9 2 14 -1 7 4 11 -2 11 -2 16 -1 10 -1 12 -4 7 -5 11 -4 9 -5 12 -6 7 -2 9 -7 12 -4 7 -11 12 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -21 -23 -20 -14 -20 -7 -14 -2 -23 -8 -22 -9 -21 -8 -18 -9 -23 -13 -18 -11 -32 -8 -28 -2 -21 -17 -22 -6 -26 -8 -23 1 -27 -8 -28 -5 -19 -9 -24 11 -28 10 -23 3 -14 -3 -16 0 -18 -5 -18 7 -14 0 -25 0 -9 9 -14 15 -19 2 -22 -1 -12 14 -14 20 -17 12 -27 13 -19 14 -15 14 -20 14 -12 19 -13 11 -12 4 -9 12 -16 11 -16 15 -18 13 -24 23 -14 17 -15 13 -16 16 -15 6 -15 7 -19 11 -10 19 -14 15 -12 11 -9 14 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13 5 11 14 20 6 28 16 6 11 11 13 7 17 15 1 22 19 11 13 22 14 28 17 26 2 20 20 8 17 23 8 19 12 10 14 17 8 11 11 11 19 5 16 19 10 22 11 16 17 15 3 16 1 14 9 24 8 18 8 18 3 13 7 25 -1 14 5 30 1 17 -2 22 -6 15 -9 19 5 13 -9 20 -5 19 -10 20 -6 21 -13 18 -4 15 -10 15 -4 17 -6 14 -15 12 -11 19 -17 9 -13 24 -19 4 -19 6 -21 13 -21 15 -16 -1 -1 ]
