type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,133010,0,34,0,0,0.302862,128,[34 32 2 0 0 0 0 0 0 0 0 0 17 -26 17 -25 17 -26 17 -26 17 -26 16 -24 16 -23 15 -23 16 -24 16 -24 16 -25 15 -25 14 -23 13 -23 12 -22 13 -25 12 -22 11 -21 11 -21 11 -19 9 -19 9 -20 9 -18 7 -19 7 -20 6 -18 0 0 6 -18 5 -18 5 -18 5 -18 4 -15 5 -17 5 -16 4 -14 5 -16 5 -14 5 -14 5 -13 5 -13 6 -13 6 -13 6 -13 7 -14 7 -13 8 -12 9 -12 9 -12 10 -12 11 -12 12 -13 12 -12 13 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-84,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,133634,0,34,0,0,0.307582,128,[34 32 2 0 0 0 0 0 0 0 0 0 28 43 19 44 40 62 42 66 40 62 40 56 38 64 31 38 49 62 47 61 61 78 61 83 50 77 65 62 55 44 73 70 59 52 49 31 55 43 59 58 50 46 61 72 38 43 54 55 70 70 63 71 0 0 69 67 66 60 63 73 66 58 40 38 57 46 57 57 49 35 56 48 47 66 56 66 33 50 37 41 54 48 54 47 59 57 67 58 49 49 55 51 39 53 47 52 58 58 36 47 37 44 31 39 25 37 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,158175,0,131,0,0,0.327918,128,[-125 48 8 0 0 0 0 0 0 0 0 0 28 7 28 7 28 8 30 8 28 8 26 8 27 8 26 8 26 7 25 7 27 7 27 7 26 5 25 6 24 6 26 5 23 5 22 5 22 4 21 4 20 3 21 4 18 3 18 2 20 2 18 2 0 0 17 0 17 1 18 0 16 0 14 0 15 1 14 0 14 0 14 1 13 1 14 2 12 1 14 2 12 3 13 3 13 4 12 4 12 5 13 7 13 6 13 6 12 8 13 8 14 9 13 10 13 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3014533,0,37,0,0,3.184427,128,[37 80 2 0 0 0 0 0 0 0 0 0 -27 -11 -26 -12 -28 -13 -28 -14 -27 -14 -25 -14 -24 -15 -24 -15 -24 -15 -25 -16 -26 -15 -26 -15 -24 -14 -24 -13 -22 -14 -25 -15 -22 -14 -22 -13 -21 -13 -20 -12 -20 -11 -21 -12 -19 -11 -20 -9 -21 -9 -19 -9 0 0 -19 -8 -20 -7 -19 -7 -19 -7 -17 -6 -18 -6 -17 -5 -16 -5 -17 -5 -15 -5 -16 -4 -14 -4 -15 -3 -14 -4 -14 -4 -14 -4 -14 -3 -13 -3 -12 -3 -11 -4 -11 -4 -11 -4 -10 -4 -10 -4 -9 -5 -8 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-66,11,1,0,1,1,1,0,0,0,0,-91,0,6,1,3036067,0,110,0,0,3.205722,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -16 -3 -16 -4 -17 -2 -18 -2 -16 -1 -15 -1 -17 -2 -15 -1 -15 -1 -16 0 -17 -2 -18 -1 -17 -1 -16 0 -15 -1 -16 -1 -15 0 -13 -1 -14 -1 -13 0 -12 -1 -13 -1 -11 -2 -13 -2 -13 -3 -12 0 0 -3 -12 -3 -10 -3 -10 -4 -9 -3 -10 -2 -9 -3 -9 -3 -8 -3 -8 -4 -6 -4 -7 -3 -6 -3 -6 -3 -5 -3 -5 -3 -5 -3 -5 -3 -4 -2 -4 -2 -3 -1 -3 -1 -3 0 -3 0 -3 1 -2 1 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -2 -11 -2 -14 -4 -15 -3 -14 -1 -16 -1 -16 -2 -18 0 -19 -1 -19 -1 -18 -2 -21 -3 -20 -2 -23 -4 -23 -3 -25 -5 -26 -6 -27 -5 -26 -3 -25 -6 -27 -9 -28 -5 -29 -10 -27 -7 -28 -5 -28 -8 -29 -9 -29 -15 -30 -11 -32 -15 -32 -14 -28 -14 -33 -12 -33 -15 -32 -16 -32 -14 -36 -15 -35 -17 -34 -16 -35 -15 -35 -18 -33 -18 -35 -16 -35 -16 -36 -16 -36 -17 -35 -14 -34 -16 -39 -13 -36 -13 -35 -10 -35 -13 -35 -10 -35 -8 -34 -8 -34 -6 -33 -3 -33 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -8 -28 -8 -27 -7 -31 -5 -32 -6 -29 -5 -27 -6 -31 -6 -27 -4 -31 -5 -30 -5 -32 -6 -31 -5 -32 -5 -29 -3 -27 -4 -28 -6 -29 -3 -26 -5 -24 -3 -24 -2 -23 -4 -23 -5 -21 -6 -22 -5 -23 -8 -20 -8 -17 -6 -20 -6 -19 -7 -17 -8 -16 -7 -17 -7 -15 -8 -16 -8 -14 -8 -14 -8 -11 -9 -11 -7 -11 -7 -10 -6 -9 -7 -9 -5 -8 -5 -9 -5 -7 -5 -7 -3 -6 -3 -6 -1 -5 -1 -5 0 -5 1 -4 2 -4 3 -3 5 -4 6 -3 7 -4 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-65,11,1,0,1,1,1,0,0,0,0,-91,0,6,1,3036657,0,110,0,0,3.217252,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 2 -15 3 -17 3 -18 1 -16 1 -15 0 -16 0 -14 0 -15 0 -15 1 -17 -1 -18 1 -17 0 -16 0 -15 -1 -16 0 -15 -1 -13 -1 -13 0 -13 1 -13 0 -13 0 -11 0 -12 2 -13 1 -12 2 0 0 -12 2 -11 3 -11 3 -9 3 -9 2 -8 3 -9 4 -9 2 -6 2 -9 6 -6 2 -6 3 -6 3 -5 3 -5 2 -4 2 -4 2 -4 2 -3 1 -3 1 -3 0 -3 0 -3 -1 -2 0 -2 -1 -2 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -12 -1 -12 -1 -15 0 -14 0 -16 -2 -16 -1 -18 -1 -20 -3 -19 -2 -19 -1 -21 0 -20 1 -24 0 -23 1 -25 1 -25 4 -27 4 -26 4 -26 2 -26 5 -29 8 -29 3 -26 8 -29 5 -28 4 -29 7 -29 7 -31 13 -33 11 -32 14 -28 12 -34 13 -34 10 -33 15 -33 14 -36 13 -35 14 -34 17 -35 16 -35 13 -33 16 -35 17 -35 16 -36 17 -35 15 -35 16 -35 13 -40 15 -36 12 -34 13 -35 10 -34 12 -33 10 -35 8 -35 9 -33 7 -34 4 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -28 5 -28 5 -32 5 -32 3 -29 3 -28 3 -31 3 -28 4 -31 2 -30 3 -32 2 -31 4 -31 3 -30 2 -27 1 -28 2 -28 3 -26 0 -24 3 -25 2 -23 2 -24 2 -22 3 -23 6 -23 4 -20 6 -17 6 -21 4 -19 5 -19 7 -17 6 -19 5 -14 6 -15 9 -16 6 -10 4 -12 5 -10 6 -10 5 -11 6 -10 6 -9 4 -8 4 -8 4 -7 4 -6 3 -5 1 -5 2 -5 1 -4 -1 -3 -1 -4 -2 -3 -3 -3 -4 -3 -6 -3 -7 -2 -8 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-66,11,1,0,1,1,1,0,0,0,0,-91,0,6,1,3040008,0,110,0,0,3.227467,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 8 11 9 13 10 11 12 11 10 9 10 10 11 9 10 9 10 9 9 10 12 11 11 10 11 9 11 8 10 10 11 9 9 7 9 8 9 7 7 7 8 8 8 6 7 8 7 8 7 8 7 0 0 8 6 8 4 8 5 8 4 6 4 7 3 7 4 6 3 6 3 5 1 5 2 4 1 5 2 4 1 4 1 4 1 3 1 3 1 2 1 2 1 1 1 0 1 0 1 0 1 -1 2 -1 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 9 7 11 7 13 6 13 8 11 10 12 10 13 11 13 13 14 12 14 12 16 12 15 11 18 13 18 12 20 13 22 12 24 12 23 12 21 12 23 13 27 10 24 14 26 9 24 12 25 13 27 11 27 11 31 5 32 10 33 6 32 2 35 9 33 10 33 7 34 7 37 10 35 8 36 7 37 7 35 8 35 5 38 6 36 6 37 7 37 7 37 6 35 7 40 8 36 10 35 9 34 11 34 8 33 11 31 11 31 12 29 13 28 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 23 12 23 12 25 16 23 16 22 15 20 14 22 17 21 14 23 16 21 15 23 16 22 15 24 17 22 15 18 14 19 15 22 14 19 16 19 10 17 12 15 12 17 11 16 10 18 8 17 10 18 7 17 3 16 8 15 6 14 5 14 5 15 5 14 3 13 3 12 3 12 3 10 1 11 1 9 1 9 1 8 1 7 0 7 1 6 1 5 0 4 1 3 1 3 1 2 2 1 2 0 2 -1 3 -2 3 -1 5 -2 7 -4 6 -4 8 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-68,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3077988,0,110,0,0,3.247594,128,[110 96 6 0 0 0 0 0 0 0 0 0 9 -29 11 -28 12 -29 13 -29 13 -27 12 -26 13 -26 14 -23 14 -24 14 -23 14 -25 15 -24 12 -22 13 -22 12 -20 12 -21 12 -18 11 -18 11 -17 9 -16 8 -16 8 -15 7 -13 6 -13 6 -14 4 -13 0 0 4 -11 3 -11 2 -9 2 -10 0 -7 -1 -7 -1 -6 -2 -5 -2 -4 -2 -3 -3 -2 -3 0 -4 0 -6 2 -6 2 -6 4 -8 6 -8 7 -9 8 -9 9 -9 11 -11 13 -11 14 -11 17 -12 17 -12 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-69,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3084484,0,110,0,0,3.253972,128,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -28 -13 -26 -13 -29 -13 -29 -12 -29 -10 -25 -10 -27 -9 -25 -9 -26 -7 -26 -8 -26 -7 -26 -6 -24 -6 -24 -6 -21 -7 -23 -5 -19 -5 -20 -5 -18 -5 -17 -5 -15 -5 -15 -5 -13 -5 -12 -6 -12 -6 -10 0 0 -5 -9 -6 -7 -5 -6 -5 -5 -4 -3 -4 -2 -4 -1 -5 0 -4 2 -3 3 -3 5 -2 5 -2 7 -2 8 -1 10 0 12 0 14 2 14 2 16 2 18 3 20 4 22 5 23 5 25 5 27 6 27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-70,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3092958,0,110,0,0,3.262558,128,[110 96 6 0 0 0 0 0 0 0 0 0 -5 33 -6 31 -5 33 -7 32 -7 31 -8 27 -7 29 -8 27 -8 27 -10 27 -10 26 -9 26 -9 24 -8 23 -8 20 -7 23 -8 18 -6 18 -6 16 -4 15 -4 13 -3 14 -3 11 -2 10 -2 10 -1 8 0 0 -1 7 1 6 0 4 2 3 1 1 3 -1 2 -1 3 -4 3 -6 3 -6 2 -8 3 -9 3 -12 4 -15 3 -16 4 -17 3 -22 4 -21 3 -24 3 -26 2 -28 4 -31 3 -34 3 -35 4 -37 3 -38 0 0 0 0 0 0 0 0 0 0 ]
