type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B2:35:9F:41:7C:6A,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,0,13789,0,204,0,0,0.188657,128,[-52 -64 12 0 23 3 23 3 23 3 23 3 23 2 23 2 23 1 23 2 23 2 24 2 24 1 24 1 25 1 24 1 23 1 22 0 21 1 20 1 18 1 19 1 19 2 20 2 20 3 20 4 20 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 17 2 17 2 17 3 17 3 17 4 16 4 17 4 17 4 19 5 20 6 21 6 21 6 21 5 21 6 21 6 21 5 21 5 22 5 21 4 21 4 22 4 22 4 22 3 22 3 22 4 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,133171,0,34,0,0,0.307660,128,[34 32 2 0 0 0 0 0 0 0 0 0 20 10 20 12 21 12 21 13 20 13 17 13 18 14 16 13 17 14 16 14 18 14 18 15 17 14 16 14 14 13 17 14 14 14 14 13 14 13 14 13 13 12 15 13 12 11 14 10 16 11 15 10 0 0 15 9 16 9 16 8 15 8 14 7 16 7 16 7 14 6 16 6 15 6 16 6 14 5 16 4 16 5 15 5 16 5 17 3 15 4 15 3 15 3 15 3 15 3 15 2 15 1 14 1 14 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,143907,0,131,0,0,0.318343,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -23 -14 -21 -16 -23 -16 -24 -17 -21 -18 -19 -17 -19 -18 -17 -18 -17 -19 -17 -18 -20 -19 -20 -19 -19 -18 -18 -18 -15 -18 -18 -19 -15 -18 -13 -17 -14 -17 -14 -17 -13 -16 -15 -17 -12 -15 -15 -15 -17 -15 -16 -14 0 0 -16 -14 -16 -13 -17 -13 -16 -13 -15 -11 -16 -12 -17 -12 -15 -12 -17 -11 -16 -10 -18 -10 -16 -9 -17 -9 -17 -10 -16 -9 -17 -9 -18 -9 -17 -8 -16 -9 -16 -8 -16 -8 -16 -8 -17 -7 -18 -5 -16 -5 -16 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1023186,0,110,0,0,1.197899,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -22 -4 -22 -5 -25 -1 -26 -2 -24 1 -21 0 -23 1 -21 1 -22 2 -22 2 -25 2 -25 2 -24 3 -23 4 -19 2 -24 4 -21 4 -19 3 -19 3 -18 3 -19 3 -20 5 -17 3 -20 3 -22 2 -20 0 0 2 -20 -1 -19 0 -20 -1 -18 2 -18 -1 -19 0 -20 -1 -17 -1 -19 -4 -15 -4 -17 -2 -16 -2 -17 -4 -16 -4 -16 -6 -16 -5 -19 -6 -14 -5 -15 -6 -13 -5 -15 -6 -15 -6 -14 -7 -14 -5 -14 -6 -13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -10 23 -9 25 -5 27 -4 23 -12 18 -11 17 -11 18 -14 18 -11 17 -9 15 -9 17 -6 15 -8 18 -8 17 -9 18 -8 17 -8 20 -7 17 -8 14 -6 17 -5 17 -8 15 -3 14 -6 13 -6 13 -5 14 -5 13 -2 14 -5 13 -3 13 0 14 -3 14 -4 12 -3 11 -2 11 -3 10 -2 10 -1 9 -1 8 -2 9 -1 8 -1 8 0 7 0 6 0 7 0 6 0 5 1 5 0 5 1 5 0 4 1 3 2 2 1 3 2 2 1 2 2 2 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -19 -34 -20 -33 -19 -37 -17 -39 -16 -36 -13 -32 -13 -37 -13 -32 -14 -39 -11 -37 -11 -41 -11 -40 -12 -41 -10 -40 -9 -34 -8 -38 -11 -37 -6 -37 -9 -31 -7 -32 -6 -31 -10 -33 -6 -31 -8 -33 -6 -37 -10 -31 -18 -28 -9 -33 -9 -31 -11 -29 -10 -26 -10 -31 -13 -29 -12 -28 -14 -28 -15 -28 -14 -23 -16 -25 -13 -26 -16 -26 -16 -25 -18 -22 -17 -22 -18 -24 -16 -20 -17 -19 -15 -19 -19 -18 -19 -18 -17 -20 -17 -19 -17 -18 -15 -19 -23 -11 -27 -11 -29 -11 -29 -5 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1023713,0,110,0,0,1.209531,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 21 -6 21 -7 23 -10 24 -9 21 -10 18 -10 20 -10 18 -10 18 -10 18 -13 21 -12 21 -12 19 -13 18 -12 15 -12 20 -12 17 -12 15 -12 16 -11 14 -12 15 -12 15 -11 12 -12 15 -12 17 -10 16 0 0 -10 16 -7 17 -9 18 -7 16 -10 15 -8 16 -8 17 -6 15 -7 16 -4 14 -4 17 -5 14 -5 15 -4 15 -4 15 -2 17 -4 17 -2 15 -1 15 0 14 -2 15 -2 14 -1 14 0 14 -2 14 0 12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 -17 18 -19 16 -23 13 -19 17 -11 17 -12 16 -13 19 -12 15 -12 14 -11 15 -12 11 -12 15 -15 14 -12 15 -14 14 -14 14 -15 13 -14 12 -11 12 -13 11 -16 13 -11 8 -12 10 -11 11 -11 10 -12 10 -10 7 -13 10 -12 7 -12 4 -13 8 -12 8 -10 5 -10 5 -10 7 -9 6 -10 4 -9 4 -9 4 -9 3 -9 3 -8 3 -8 3 -7 2 -7 1 -7 1 -7 0 -7 0 -6 0 -6 0 -5 0 -6 0 -5 -1 -5 -2 -5 -2 -5 -1 -5 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 1 39 1 37 -1 41 -4 43 -4 39 -5 35 -7 39 -4 34 -6 41 -10 36 -10 41 -8 40 -10 42 -11 39 -10 33 -10 36 -9 38 -13 34 -9 31 -11 31 -11 30 -8 33 -10 30 -9 31 -12 35 -7 32 2 31 -8 32 -7 30 -4 31 -4 27 -7 31 -2 30 -3 30 -1 31 -1 30 1 25 2 30 -1 28 2 29 2 29 6 26 4 26 4 29 4 25 6 24 5 23 8 24 7 23 5 25 6 23 5 22 5 22 13 19 19 22 20 22 22 17 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1047968,0,110,0,0,1.222221,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -5 -21 -5 -25 -5 -25 -9 -23 -8 -19 -8 -22 -9 -19 -9 -20 -8 -20 -11 -22 -13 -22 -11 -21 -12 -20 -12 -17 -11 -22 -11 -18 -11 -17 -11 -17 -11 -16 -10 -16 -11 -18 -11 -14 -11 -17 -12 -18 -12 -17 -9 0 0 -18 -9 -18 -7 -19 -8 -17 -6 -17 -9 -18 -7 -19 -8 -17 -7 -18 -6 -16 -2 -18 -4 -16 -6 -17 -5 -17 -3 -17 -3 -18 -2 -20 -3 -16 0 -17 -1 -15 1 -16 -2 -16 -1 -16 -2 -17 0 -15 -2 -15 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 16 24 19 26 13 24 10 13 18 11 16 15 18 12 19 13 16 10 13 13 15 12 11 16 14 14 15 13 16 13 15 14 17 12 15 10 13 14 12 14 10 12 12 11 8 11 11 10 11 12 9 10 11 12 8 11 12 11 9 13 5 10 8 10 8 9 6 9 6 9 7 9 6 8 5 8 5 7 4 7 4 7 5 7 5 7 4 6 3 6 2 4 2 6 1 4 2 4 1 4 1 4 0 3 0 2 0 3 0 2 -1 2 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -38 4 -36 5 -41 5 -40 2 -40 2 -33 -1 -40 0 -33 0 -42 2 -39 -5 -42 -6 -40 -5 -42 -6 -41 -6 -34 -5 -38 -4 -37 -2 -37 -6 -30 -3 -33 -5 -30 -7 -34 -1 -32 -7 -33 -6 -37 -9 -33 -3 -34 7 -33 -4 -33 -1 -31 1 -29 2 -32 -2 -32 3 -31 1 -31 3 -32 5 -28 4 -30 5 -30 1 -31 5 -29 5 -26 10 -25 7 -30 9 -24 7 -23 10 -24 8 -24 11 -23 11 -27 8 -25 8 -24 8 -23 8 -20 19 -20 24 -20 22 -14 28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1048474,0,110,0,0,1.232976,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -11 18 -10 21 -13 23 -10 21 -9 19 -6 21 -7 19 -6 20 -7 21 -5 24 -5 23 -6 22 -5 22 -3 19 -3 23 -6 19 -3 19 -3 19 -3 18 -4 18 -3 19 -4 17 -2 19 -2 21 -3 18 -4 0 0 18 -4 17 -6 19 -7 16 -7 17 -4 17 -7 18 -6 16 -7 17 -8 13 -9 15 -9 15 -6 15 -7 14 -9 14 -9 13 -10 16 -11 11 -10 13 -11 10 -11 13 -10 13 -10 13 -10 12 -11 12 -8 10 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -29 4 -30 5 -28 9 -23 11 -22 -5 -20 -5 -23 -4 -23 -6 -21 -4 -17 -4 -20 -3 -17 -1 -21 -1 -20 -2 -20 -5 -20 -2 -22 -3 -20 -3 -17 -3 -19 0 -18 1 -18 -2 -15 1 -16 -1 -16 -3 -15 0 -15 -2 -16 1 -16 -2 -15 0 -13 7 -15 0 -14 0 -12 1 -12 1 -12 -1 -12 2 -10 1 -10 1 -9 1 -9 1 -9 0 -10 0 -9 0 -8 0 -7 1 -6 0 -6 2 -4 1 -5 1 -5 1 -4 1 -5 1 -4 1 -3 1 -3 1 -2 2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 21 -29 20 -28 24 -31 25 -29 24 -28 22 -23 26 -26 21 -23 26 -29 28 -23 32 -25 29 -23 31 -26 30 -24 25 -20 28 -23 25 -24 28 -21 22 -19 23 -19 23 -17 23 -21 25 -18 25 -18 30 -20 23 -20 16 -31 23 -20 23 -21 19 -21 18 -20 20 -20 19 -24 19 -21 17 -23 15 -25 14 -22 15 -23 18 -22 17 -25 16 -24 9 -25 11 -21 13 -26 11 -21 9 -22 11 -22 8 -24 8 -23 12 -24 11 -23 10 -21 10 -22 -2 -26 -5 -30 -6 -31 -12 -30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1074904,0,110,0,0,1.249275,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 -11 -20 -10 -23 -11 -24 -15 -21 -13 -18 -13 -20 -14 -17 -13 -19 -13 -17 -16 -19 -18 -19 -16 -18 -16 -17 -17 -14 -15 -19 -16 -16 -15 -14 -15 -15 -14 -14 -13 -14 -14 -16 -14 -11 -14 -14 -15 -16 -16 -16 -13 0 0 -16 -13 -17 -11 -17 -11 -16 -9 -15 -12 -16 -10 -17 -10 -15 -9 -17 -9 -15 -5 -17 -6 -15 -7 -15 -7 -16 -5 -16 -5 -17 -4 -18 -6 -15 -2 -16 -2 -14 0 -15 -3 -15 -2 -16 -3 -16 -1 -14 -3 -14 -1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 19 20 21 23 17 20 13 11 18 10 17 13 18 10 20 11 17 9 14 12 16 12 12 15 15 12 16 12 17 12 15 14 17 13 14 10 13 13 12 14 10 12 13 12 9 11 11 10 12 12 9 10 11 12 8 11 12 12 9 14 5 11 8 11 8 10 6 11 5 9 7 10 6 9 5 9 5 8 4 7 3 8 5 7 5 8 4 7 3 6 1 5 2 7 1 6 1 5 1 5 1 5 0 5 0 4 1 3 0 3 -1 3 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -40 -6 -39 -6 -43 -7 -41 -11 -41 -10 -34 -10 -40 -12 -34 -10 -43 -11 -37 -18 -41 -18 -39 -17 -42 -17 -40 -18 -32 -14 -37 -15 -37 -12 -35 -17 -31 -11 -31 -14 -29 -15 -34 -11 -29 -16 -32 -14 -35 -19 -32 -11 -33 -3 -32 -12 -32 -10 -30 -7 -29 -5 -31 -10 -32 -5 -29 -6 -31 -4 -32 -2 -27 -3 -30 -2 -29 -4 -31 -1 -30 0 -28 5 -26 2 -30 4 -25 2 -25 5 -25 4 -25 7 -25 7 -28 4 -26 5 -24 4 -24 5 -21 14 -23 20 -23 19 -18 24 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1076321,0,110,0,0,1.260888,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 -5 20 -5 25 -7 26 -3 25 -4 20 -1 24 -2 21 0 22 -2 23 1 25 1 25 1 24 2 23 3 18 3 25 0 20 2 20 3 19 2 19 2 18 2 20 1 17 4 19 3 21 3 19 1 0 0 19 0 19 -2 19 -1 18 -3 17 0 18 -2 19 -2 16 -2 17 -4 15 -5 16 -5 15 -3 16 -3 15 -6 15 -6 14 -7 18 -7 12 -7 14 -7 11 -8 14 -7 14 -8 14 -7 13 -8 13 -6 11 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -29 -1 -29 -1 -29 3 -24 6 -21 -9 -19 -7 -22 -8 -21 -10 -20 -6 -16 -6 -20 -5 -17 -3 -21 -4 -21 -6 -21 -6 -19 -5 -22 -5 -19 -5 -17 -5 -19 -2 -18 0 -18 -4 -15 0 -16 -3 -15 -4 -16 -1 -15 -4 -16 -1 -16 -4 -15 -1 -14 4 -15 0 -14 0 -12 0 -12 0 -12 -2 -12 0 -10 1 -11 0 -10 2 -10 1 -10 0 -9 0 -9 0 -8 1 -7 2 -6 1 -7 1 -6 1 -5 2 -5 2 -5 2 -4 2 -5 2 -4 1 -4 2 -3 1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 30 -23 28 -21 34 -25 34 -21 34 -21 29 -16 35 -18 28 -16 36 -22 37 -14 40 -15 37 -14 40 -15 39 -14 31 -10 35 -15 32 -17 35 -12 27 -12 30 -11 28 -9 29 -14 30 -9 31 -11 36 -9 29 -13 25 -24 29 -12 28 -14 24 -15 23 -15 25 -14 25 -18 24 -15 23 -17 22 -20 20 -17 22 -18 24 -16 22 -19 21 -19 15 -23 16 -18 18 -22 15 -18 14 -20 15 -18 13 -21 12 -21 17 -20 15 -20 14 -19 13 -19 4 -26 2 -31 2 -29 -6 -31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1076945,0,110,0,0,1.271470,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -8 -21 -8 -25 -9 -25 -12 -23 -12 -19 -11 -21 -12 -19 -12 -20 -12 -19 -14 -21 -16 -21 -15 -20 -15 -19 -16 -15 -14 -21 -15 -17 -14 -15 -15 -15 -13 -16 -12 -15 -13 -17 -14 -13 -14 -16 -14 -17 -15 -16 -12 0 0 -16 -12 -18 -10 -18 -10 -17 -9 -15 -11 -17 -9 -18 -10 -16 -8 -17 -8 -16 -5 -17 -6 -14 -7 -16 -7 -16 -5 -16 -5 -17 -4 -19 -5 -15 -2 -15 -2 -15 -1 -15 -3 -16 -3 -16 -3 -16 -2 -15 -3 -14 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 17 22 18 23 15 22 9 11 18 10 15 13 17 10 18 12 16 9 13 12 15 11 12 14 13 12 15 11 16 11 14 14 15 12 14 10 12 14 11 14 10 12 12 12 7 10 10 9 11 12 9 10 11 12 9 10 11 11 9 14 3 10 8 10 7 9 6 9 5 8 7 9 5 8 4 8 4 7 4 7 4 7 5 8 4 6 3 7 3 6 1 5 1 6 1 4 1 4 0 4 0 4 0 4 -1 3 0 3 -1 3 -1 3 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -41 0 -38 1 -44 0 -42 -3 -42 -3 -35 -5 -41 -6 -34 -4 -45 -4 -40 -11 -43 -12 -41 -11 -43 -12 -41 -13 -33 -11 -38 -9 -37 -7 -37 -11 -30 -6 -33 -10 -29 -10 -35 -6 -31 -12 -33 -10 -36 -15 -33 -8 -34 2 -32 -8 -33 -7 -30 -3 -29 -3 -31 -6 -32 -1 -30 -2 -31 -1 -31 1 -28 -1 -30 1 -30 -2 -30 1 -29 1 -27 7 -25 4 -29 6 -24 5 -24 7 -24 5 -25 8 -23 9 -26 5 -25 6 -24 5 -23 5 -19 17 -20 22 -21 21 -15 26 -1 -1 ]
