type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B2:35:9F:41:7C:6A,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,0,24938,0,204,0,0,0.196552,128,[-52 -64 12 0 0 -28 -1 -28 -1 -27 -1 -28 -1 -28 -2 -28 -2 -28 -2 -27 -3 -27 -3 -28 -3 -27 -3 -27 -4 -28 -4 -27 -4 -27 -4 -24 -3 -24 -4 -22 -3 -21 -3 -21 -2 -21 -2 -22 -1 -22 0 -22 0 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -21 -1 -22 -1 -22 0 -22 1 -21 1 -22 1 -21 1 -22 2 -23 2 -25 3 -27 3 -28 3 -28 3 -27 3 -27 3 -28 2 -27 1 -28 2 -28 1 -28 0 -27 1 -28 1 -28 0 -28 0 -28 0 -28 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,131793,0,34,0,0,0.303031,128,[34 32 2 0 0 0 0 0 0 0 0 0 8 -23 10 -22 10 -24 10 -25 11 -23 12 -21 12 -22 13 -20 13 -21 14 -21 14 -22 15 -22 14 -21 14 -20 14 -18 14 -22 14 -18 14 -17 13 -17 13 -18 13 -17 14 -18 12 -15 12 -18 13 -20 11 -19 0 0 10 -19 10 -20 10 -20 9 -20 9 -18 8 -20 9 -21 8 -19 7 -21 8 -20 8 -22 8 -19 7 -20 7 -21 7 -20 7 -21 6 -22 5 -20 6 -20 5 -20 5 -20 5 -21 4 -21 3 -22 3 -20 3 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,145930,0,131,0,0,0.317132,128,[-125 48 8 0 0 0 0 0 0 0 0 0 18 5 18 6 19 6 20 7 18 8 17 8 17 9 15 9 16 10 16 10 18 10 18 10 17 10 16 10 14 10 17 11 14 11 13 11 14 10 14 10 13 10 14 11 12 9 14 8 16 9 15 9 0 0 15 8 16 8 16 8 16 8 14 7 16 7 16 7 15 7 17 6 15 6 17 6 15 6 16 5 16 6 15 6 16 5 17 5 16 5 16 5 16 5 15 4 16 4 16 3 17 2 16 2 15 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,146539,0,135,0,0,0.321007,384,[-121 112 8 0 0 0 0 0 0 0 0 0 13 -7 13 -7 16 -8 18 -6 15 -6 14 -4 16 -4 15 -4 15 -4 16 -3 18 -3 18 -3 17 -3 18 -2 15 -1 18 -3 15 -2 15 0 15 -1 14 -1 15 0 16 0 13 1 15 -1 17 -1 15 -2 0 0 15 -2 15 -3 16 -3 14 -4 15 -1 15 -3 16 -2 14 -3 15 -4 12 -6 14 -6 13 -3 14 -4 13 -6 13 -5 13 -6 15 -6 12 -7 12 -7 11 -7 13 -6 12 -7 12 -7 12 -8 12 -6 10 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -29 0 -30 1 -30 6 -27 3 -21 -8 -20 -7 -23 -6 -24 -9 -20 -8 -20 -7 -21 -5 -20 -6 -22 -5 -21 -6 -22 -5 -21 -4 -25 -5 -21 -4 -19 -6 -22 -2 -22 1 -21 -4 -19 1 -19 -2 -20 -3 -19 0 -19 -2 -18 3 -21 0 -21 2 -18 12 -20 3 -20 3 -20 4 -18 5 -21 3 -19 6 -19 6 -20 6 -21 5 -19 8 -22 6 -21 7 -21 7 -22 8 -22 9 -22 7 -25 8 -23 7 -22 7 -23 6 -23 7 -23 7 -24 3 -25 4 -25 3 -24 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 14 -20 14 -21 17 -22 19 -23 18 -20 18 -17 18 -19 19 -18 20 -21 20 -17 22 -18 22 -18 25 -20 23 -18 21 -14 23 -16 22 -19 22 -14 20 -15 20 -12 21 -13 20 -16 20 -11 20 -13 24 -14 20 -15 14 -24 20 -15 19 -14 20 -17 16 -15 20 -16 18 -15 18 -15 18 -18 20 -18 15 -16 17 -19 15 -16 15 -18 15 -20 12 -20 15 -19 16 -19 12 -18 10 -18 12 -19 11 -19 9 -20 13 -19 12 -21 11 -20 11 -18 2 -24 -1 -31 -2 -31 -5 -29 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,172028,0,239,0,0,0.343403,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 10 10 10 10 12 12 11 14 10 13 8 12 8 14 7 13 8 13 7 14 7 17 8 16 7 16 6 16 4 13 8 16 6 14 4 14 5 14 5 13 4 14 5 14 2 13 5 15 5 16 5 14 0 0 5 14 7 14 7 14 7 13 5 14 7 14 7 15 6 13 7 14 8 10 9 12 7 12 8 12 8 11 8 12 10 11 10 13 9 10 10 10 10 8 9 11 10 10 10 11 11 10 8 10 9 8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -14 -26 -16 -27 -19 -24 -18 -21 -2 -22 0 -21 -3 -21 0 -22 -3 -21 0 -20 -2 -19 -4 -18 -4 -20 -2 -21 -1 -21 -3 -20 -4 -23 -4 -20 -2 -18 -6 -20 -8 -18 -4 -19 -6 -14 -6 -16 -4 -16 -8 -17 -6 -17 -9 -16 -6 -19 -9 -16 -18 -10 -11 -16 -10 -15 -11 -16 -11 -15 -10 -17 -13 -16 -11 -15 -13 -15 -12 -15 -12 -15 -13 -17 -13 -16 -14 -17 -14 -16 -16 -16 -13 -15 -17 -17 -13 -17 -14 -16 -13 -16 -13 -16 -12 -17 -11 -19 -10 -20 -10 -19 -10 -20 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 23 5 23 7 23 7 23 9 24 8 20 11 21 10 20 10 23 11 21 14 21 15 22 14 23 16 23 15 18 13 21 15 21 12 20 15 16 11 17 12 16 12 21 12 17 13 18 14 20 18 18 12 28 4 19 12 19 11 21 12 18 10 19 12 22 10 19 10 22 8 22 7 18 8 21 9 19 9 22 8 21 7 22 4 19 6 23 5 17 5 19 3 20 3 17 2 19 2 22 5 21 4 20 2 21 3 24 -9 27 -15 27 -16 25 -19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,1022006,0,37,0,0,1.193450,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 2 18 3 19 3 20 4 19 4 17 5 18 5 17 6 18 6 17 7 19 6 19 7 18 6 17 6 16 7 20 7 16 7 15 8 15 7 15 7 15 6 16 7 14 6 15 6 17 5 16 5 0 0 16 5 17 5 16 4 17 4 15 3 17 3 17 3 16 3 17 2 16 3 17 2 15 2 16 2 17 2 16 2 16 2 17 1 16 1 16 1 15 1 15 0 16 0 16 -1 16 -1 15 -1 15 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1025362,0,82,0,0,1.197647,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 -11 -10 -11 -11 -13 -11 -16 -10 -13 -8 -13 -8 -14 -8 -14 -8 -14 -7 -15 -8 -16 -8 -16 -8 -16 -7 -16 -5 -14 -7 -16 -6 -15 -5 -14 -6 -15 -5 -13 -5 -15 -5 -14 -3 -14 -5 -15 -6 -16 -7 -14 0 0 -6 -15 -8 -13 -8 -14 -8 -13 -6 -14 -7 -14 -7 -14 -7 -13 -8 -13 -9 -10 -10 -12 -7 -11 -8 -12 -9 -11 -9 -11 -10 -10 -10 -13 -10 -9 -10 -10 -10 -8 -9 -10 -10 -10 -10 -9 -11 -9 -9 -10 -10 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 7 51 12 54 20 52 17 43 -4 42 -2 39 -1 43 -8 45 -2 42 -4 36 0 40 1 35 1 43 0 39 -1 43 5 41 4 44 2 41 1 34 5 42 13 40 4 37 11 31 8 35 5 34 10 35 8 34 18 33 11 38 15 35 28 27 19 37 18 34 19 33 21 30 19 35 23 31 23 27 24 32 27 32 27 31 27 37 23 34 27 35 26 34 30 34 29 35 32 38 26 37 31 37 25 37 28 37 26 36 23 41 22 43 20 44 17 41 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -47 -26 -45 -22 -50 -29 -50 -33 -47 -31 -38 -31 -42 -33 -39 -33 -48 -39 -40 -38 -44 -43 -42 -42 -44 -45 -41 -44 -32 -35 -40 -43 -44 -40 -35 -40 -34 -34 -33 -38 -31 -36 -36 -37 -32 -37 -34 -39 -37 -46 -37 -38 -46 -24 -37 -39 -37 -33 -39 -34 -37 -30 -37 -37 -39 -30 -35 -27 -43 -32 -45 -27 -41 -22 -44 -27 -36 -27 -42 -23 -42 -24 -42 -20 -44 -20 -46 -24 -38 -18 -43 -17 -39 -16 -40 -14 -41 -12 -43 -19 -44 -17 -42 -17 -41 -17 -48 0 -55 7 -55 11 -54 16 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1052915,0,110,0,0,1.224308,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 8 15 8 17 8 16 10 16 10 13 10 14 11 12 10 13 11 13 12 13 13 13 14 13 13 12 14 11 13 14 13 11 12 11 13 11 11 11 12 10 12 11 12 9 12 10 12 11 14 11 11 0 0 12 11 13 11 13 11 13 10 11 11 12 10 13 11 12 9 14 10 12 8 14 8 12 9 13 9 13 7 13 8 14 7 15 8 13 6 14 6 13 5 13 6 13 6 14 6 14 5 13 7 13 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -19 -24 -20 -26 -22 -23 -22 -19 -7 -25 -8 -23 -9 -24 -8 -25 -9 -24 -7 -21 -10 -23 -8 -21 -12 -23 -10 -24 -8 -25 -10 -23 -12 -23 -11 -22 -8 -20 -11 -19 -12 -17 -13 -19 -13 -15 -12 -19 -11 -18 -14 -16 -13 -19 -15 -17 -14 -19 -16 -16 -22 -9 -15 -15 -16 -15 -17 -13 -18 -13 -17 -13 -19 -13 -19 -13 -18 -12 -20 -12 -19 -14 -21 -14 -21 -15 -21 -13 -20 -14 -23 -11 -20 -13 -25 -13 -20 -13 -22 -12 -21 -14 -21 -13 -22 -14 -20 -18 -20 -18 -19 -19 -19 -19 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 29 1 27 2 30 1 29 4 31 3 26 5 30 6 27 6 32 6 29 11 29 12 29 11 30 10 29 12 25 12 28 10 26 9 28 9 24 8 27 11 23 10 27 9 25 11 25 10 26 13 26 9 30 0 26 8 26 8 25 5 26 6 25 5 26 5 26 5 26 4 27 3 26 4 28 4 26 6 27 3 26 2 25 -1 25 1 29 -1 23 0 23 -3 25 -3 23 -2 24 -4 26 -2 26 -2 24 -2 25 -3 25 -15 26 -18 25 -17 21 -23 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1053465,0,110,0,0,1.235917,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 8 14 8 17 8 16 10 16 10 13 10 14 11 12 11 13 11 13 12 13 13 13 13 13 13 12 14 10 13 13 14 10 12 10 13 10 12 10 12 10 13 10 13 8 13 10 12 11 14 10 12 0 0 10 12 12 11 12 12 12 10 10 12 12 11 12 12 10 10 12 11 12 9 13 10 11 10 13 10 12 8 12 10 13 8 14 10 12 7 12 7 12 6 12 9 13 8 13 8 14 6 12 8 12 7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -16 -27 -17 -31 -18 -25 -18 -23 -3 -26 -3 -23 -5 -26 -3 -25 -4 -24 -2 -22 -6 -23 -5 -21 -6 -23 -5 -25 -3 -25 -6 -23 -7 -24 -6 -23 -3 -20 -7 -21 -9 -19 -8 -21 -8 -17 -8 -20 -7 -18 -9 -19 -8 -20 -10 -19 -10 -20 -11 -19 -20 -13 -11 -18 -12 -18 -12 -16 -14 -16 -13 -17 -14 -16 -13 -17 -15 -16 -15 -16 -15 -17 -16 -18 -16 -18 -16 -17 -15 -18 -19 -15 -16 -17 -19 -19 -16 -16 -17 -16 -16 -19 -15 -17 -16 -19 -15 -20 -14 -22 -12 -22 -12 -23 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 30 2 27 4 30 3 28 5 31 5 26 6 29 7 26 8 30 8 28 12 29 13 28 12 30 12 28 14 24 14 27 12 25 11 28 12 23 10 25 12 23 12 25 11 23 13 25 12 26 16 24 11 29 2 24 11 25 10 24 9 25 8 24 9 26 8 25 9 25 6 27 7 26 8 26 7 25 8 26 5 25 6 25 2 25 4 28 3 22 3 22 1 25 1 22 2 24 0 26 2 26 2 24 2 25 2 26 -11 29 -15 26 -15 26 -19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1053898,0,110,0,0,1.246485,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 0 17 0 18 0 19 2 18 2 16 3 17 4 15 4 16 4 17 5 17 6 18 6 17 6 17 6 15 7 18 6 15 6 15 6 15 6 15 6 14 6 15 6 14 7 15 6 16 7 15 4 0 0 16 5 16 4 17 4 16 3 15 5 16 4 17 5 15 3 16 3 13 1 15 2 15 2 15 2 15 1 16 2 15 0 17 1 14 -1 15 -1 14 -1 15 0 15 0 16 -1 16 -2 15 0 14 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -27 -20 -28 -20 -27 -15 -26 -12 -16 -22 -16 -20 -18 -21 -17 -21 -18 -19 -15 -19 -18 -18 -17 -17 -19 -18 -17 -19 -17 -20 -18 -18 -20 -17 -18 -18 -16 -17 -18 -15 -19 -13 -19 -15 -17 -11 -18 -13 -17 -14 -19 -11 -18 -13 -20 -10 -20 -13 -21 -10 -23 -2 -20 -8 -22 -9 -21 -6 -21 -7 -21 -7 -23 -5 -23 -6 -22 -5 -23 -4 -24 -5 -25 -6 -26 -7 -25 -5 -25 -6 -25 -3 -25 -5 -29 -4 -25 -6 -24 -5 -25 -6 -25 -5 -26 -6 -26 -9 -26 -9 -25 -11 -25 -11 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 29 -10 27 -9 29 -10 29 -7 31 -7 29 -5 31 -6 28 -5 32 -6 31 -1 32 0 32 -1 33 -2 32 0 29 2 31 0 29 -2 31 -1 27 -1 29 0 27 0 28 -1 28 1 28 0 31 2 28 -2 28 -9 28 -2 27 -3 28 -3 27 -4 27 -4 28 -6 28 -4 27 -5 27 -7 27 -6 27 -8 27 -5 27 -8 26 -7 25 -11 25 -9 28 -12 22 -9 23 -11 22 -11 22 -11 22 -13 24 -11 24 -13 23 -11 23 -13 19 -23 17 -26 19 -26 15 -28 -1 -1 ]
