type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B2:35:9F:41:7C:6A,-50,11,0,0,0,0,0,0,0,0,0,-94,0,6,0,101149,0,204,0,0,0.269884,128,[-52 -64 12 0 15 -20 14 -19 14 -20 14 -20 14 -20 14 -20 13 -20 13 -20 13 -21 13 -21 12 -21 12 -21 12 -22 12 -22 11 -21 10 -20 10 -19 9 -18 9 -17 9 -17 9 -17 10 -17 11 -18 12 -17 12 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -18 11 -18 12 -17 12 -17 13 -16 14 -16 13 -15 14 -16 15 -16 17 -17 17 -18 19 -18 18 -18 17 -18 18 -18 18 -18 17 -18 17 -18 17 -18 16 -18 16 -19 16 -18 16 -19 16 -19 15 -18 16 -19 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,135178,0,34,0,0,0.303527,128,[34 32 2 0 0 0 0 0 0 0 0 0 -16 19 -17 18 -19 19 -20 20 -20 18 -20 16 -21 16 -21 14 -22 15 -22 14 -23 17 -24 16 -23 15 -22 14 -21 12 -24 15 -22 11 -22 10 -21 11 -21 11 -20 10 -22 11 -19 9 -20 13 -20 14 -20 13 0 0 -19 13 -19 14 -19 15 -18 14 -17 13 -18 14 -18 15 -17 13 -17 15 -17 15 -16 17 -14 14 -14 16 -15 16 -15 15 -15 16 -15 18 -14 17 -14 16 -14 17 -14 17 -14 17 -13 18 -12 20 -12 18 -12 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,149223,0,131,0,0,0.317542,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -13 -17 -12 -17 -13 -19 -13 -19 -12 -20 -10 -18 -10 -19 -8 -19 -10 -21 -9 -21 -10 -22 -9 -23 -9 -21 -8 -20 -6 -19 -9 -22 -6 -19 -6 -20 -6 -19 -7 -19 -6 -18 -7 -19 -6 -18 -8 -18 -9 -19 -8 -18 0 0 -9 -17 -11 -18 -10 -17 -11 -17 -9 -15 -11 -16 -11 -16 -10 -16 -12 -16 -11 -16 -12 -16 -11 -14 -12 -14 -12 -15 -12 -15 -13 -14 -15 -15 -13 -14 -13 -13 -14 -13 -14 -13 -15 -14 -15 -14 -16 -13 -15 -13 -14 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,149828,0,135,0,0,0.322234,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 -3 -17 -2 -21 -2 -21 -5 -20 -5 -16 -5 -20 -6 -17 -6 -18 -6 -18 -8 -20 -10 -20 -9 -19 -9 -19 -10 -15 -9 -20 -9 -17 -9 -16 -10 -16 -9 -15 -8 -15 -9 -17 -8 -14 -10 -16 -10 -18 -11 -17 -8 0 0 -17 -7 -18 -6 -19 -6 -17 -5 -16 -8 -17 -6 -18 -7 -17 -5 -17 -4 -16 -2 -18 -2 -15 -5 -16 -4 -16 -2 -17 -2 -17 0 -20 -2 -16 1 -17 1 -15 3 -17 1 -18 1 -18 0 -18 1 -17 -1 -17 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 32 12 34 13 35 7 31 6 17 18 16 16 20 17 19 20 17 17 15 16 17 16 16 15 19 16 17 17 17 18 17 16 20 19 16 17 13 16 18 14 20 11 17 14 16 10 16 13 15 15 18 11 15 15 16 11 16 16 17 15 23 4 16 13 16 13 15 12 16 10 15 14 16 12 14 11 15 12 15 13 14 13 13 15 13 14 13 14 12 14 14 12 11 14 13 14 9 12 11 13 9 14 10 13 10 13 7 15 6 15 5 15 4 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -27 9 -25 8 -29 12 -30 8 -31 9 -27 5 -30 6 -28 4 -32 9 -32 2 -33 1 -34 2 -38 3 -35 2 -29 0 -31 4 -31 5 -30 3 -27 3 -28 1 -28 1 -29 6 -28 -1 -28 0 -34 -2 -30 1 -30 15 -28 3 -28 4 -28 5 -25 6 -28 3 -25 7 -26 4 -27 7 -29 13 -24 9 -25 8 -24 7 -23 10 -25 11 -21 13 -22 11 -26 14 -20 12 -19 15 -21 15 -20 15 -19 18 -24 14 -24 16 -23 15 -22 14 -15 27 -14 33 -14 33 -5 36 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,175574,0,239,0,0,0.344051,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -17 -7 -16 -6 -19 -7 -19 -10 -18 -9 -14 -9 -17 -11 -15 -10 -16 -10 -15 -12 -17 -14 -17 -13 -17 -13 -16 -14 -12 -13 -17 -14 -14 -13 -13 -14 -12 -13 -12 -12 -12 -13 -14 -13 -11 -14 -13 -14 -14 -15 -14 -12 0 0 -13 -13 -15 -11 -15 -12 -15 -10 -12 -12 -14 -11 -14 -12 -13 -10 -15 -10 -15 -6 -16 -7 -13 -9 -14 -9 -15 -7 -15 -7 -16 -5 -18 -8 -15 -4 -16 -5 -15 -3 -16 -6 -16 -6 -17 -6 -17 -4 -16 -6 -15 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 26 21 28 26 25 21 21 7 26 5 24 8 24 5 26 8 24 4 23 7 24 7 21 9 24 5 24 4 23 7 23 7 26 7 23 4 20 9 22 10 19 6 22 8 16 6 20 3 20 9 20 5 20 9 19 4 23 8 20 17 16 8 19 7 19 8 20 8 18 5 20 9 20 6 20 7 20 6 19 5 18 4 20 4 19 4 20 4 19 6 19 3 16 5 20 1 17 2 17 0 17 1 17 1 17 -3 17 -3 16 -3 15 -4 15 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -30 1 -31 -1 -31 0 -32 -3 -33 -2 -30 -5 -32 -5 -30 -6 -34 -5 -31 -11 -33 -11 -33 -11 -35 -13 -35 -11 -28 -12 -33 -12 -32 -9 -31 -13 -25 -9 -28 -11 -25 -11 -31 -8 -26 -12 -29 -12 -31 -17 -28 -10 -32 0 -28 -10 -27 -7 -31 -7 -27 -6 -28 -9 -30 -4 -28 -8 -30 -5 -30 -2 -25 -3 -29 -2 -27 -4 -29 -2 -28 -1 -28 4 -25 0 -31 2 -25 2 -26 4 -26 4 -24 4 -26 5 -30 2 -28 4 -27 4 -27 4 -25 16 -28 23 -28 21 -24 27 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,1018383,0,37,0,0,1.186955,128,[37 80 2 0 0 0 0 0 0 0 0 0 -22 -3 -21 -4 -23 -5 -24 -5 -22 -6 -21 -7 -22 -8 -20 -9 -21 -9 -20 -9 -23 -9 -23 -10 -22 -9 -21 -9 -19 -10 -22 -10 -19 -11 -18 -10 -19 -10 -18 -10 -17 -10 -19 -10 -16 -9 -19 -8 -21 -8 -20 -8 0 0 -20 -8 -20 -7 -20 -7 -20 -7 -19 -6 -19 -6 -21 -6 -19 -6 -21 -5 -19 -5 -21 -4 -20 -4 -20 -3 -21 -4 -20 -4 -22 -4 -22 -3 -22 -3 -21 -3 -21 -3 -22 -3 -23 -3 -23 -2 -23 -1 -22 -2 -23 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1018646,0,82,0,0,1.191870,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 8 -11 9 -11 10 -15 10 -14 9 -12 6 -14 7 -13 6 -13 6 -14 6 -16 6 -17 6 -15 5 -16 5 -14 3 -16 6 -15 4 -14 3 -15 3 -13 3 -14 3 -15 3 -13 2 -15 3 -16 4 -14 5 0 0 -15 4 -14 6 -15 6 -13 6 -14 3 -14 5 -15 5 -13 4 -13 7 -11 7 -13 8 -13 5 -13 7 -12 7 -13 7 -13 9 -15 9 -11 9 -12 9 -10 9 -13 8 -13 9 -13 9 -13 10 -13 8 -12 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 32 0 33 -1 35 -7 30 -3 22 10 21 10 23 9 23 15 21 11 20 11 22 9 20 9 23 12 20 10 22 13 22 10 23 12 21 12 17 11 22 12 24 8 18 13 18 8 17 11 17 12 19 11 17 11 20 9 19 13 21 10 25 0 21 13 18 13 19 11 18 10 17 14 19 12 17 11 17 14 17 13 16 13 17 16 14 14 15 15 15 16 14 15 14 16 14 17 11 17 12 17 10 17 9 15 8 16 6 18 5 17 5 17 3 17 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -8 21 -8 20 -10 21 -12 23 -13 22 -13 17 -13 20 -14 18 -16 22 -16 18 -18 20 -17 19 -19 20 -20 20 -16 15 -19 19 -17 20 -19 15 -15 15 -17 15 -16 14 -17 16 -17 14 -17 16 -21 18 -16 18 -8 25 -17 18 -16 17 -16 19 -15 16 -17 17 -14 19 -14 15 -15 19 -11 20 -9 19 -12 20 -13 17 -10 21 -12 21 -10 19 -10 21 -12 22 -9 19 -9 22 -9 21 -8 20 -8 21 -12 21 -12 23 -11 21 -12 22 0 27 5 34 5 36 8 34 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,1,1,1,1,0,0,0,0,-92,0,6,1,1044029,0,110,0,0,1.212354,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -5 -12 -6 -14 -6 -14 -8 -13 -7 -11 -7 -12 -8 -11 -7 -12 -9 -12 -9 -12 -10 -12 -10 -12 -10 -11 -10 -10 -10 -12 -10 -10 -10 -10 -9 -10 -9 -10 -9 -10 -9 -11 -9 -9 -9 -10 -9 -11 -10 -11 -9 0 0 -11 -8 -11 -8 -12 -8 -12 -7 -11 -9 -12 -8 -12 -9 -11 -7 -12 -7 -12 -6 -12 -6 -12 -7 -12 -7 -13 -5 -12 -6 -13 -5 -14 -6 -13 -4 -13 -4 -13 -3 -14 -5 -14 -4 -15 -5 -15 -3 -14 -5 -14 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 24 52 24 58 29 52 29 47 4 51 3 47 6 49 2 53 4 50 0 45 6 48 4 43 5 50 2 49 -2 51 3 48 5 52 1 49 -3 44 3 46 7 43 3 47 7 41 1 44 -1 44 3 44 0 44 4 44 -2 47 3 46 17 46 1 44 1 46 2 43 2 45 -1 42 -1 45 -3 44 -2 43 -4 44 -5 44 -6 45 -10 42 -7 44 -9 41 -7 40 -11 38 -9 44 -14 35 -9 36 -15 37 -14 34 -14 35 -18 33 -20 34 -22 28 -23 29 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -46 -3 -43 -2 -48 -4 -48 -8 -49 -8 -42 -10 -50 -10 -44 -10 -51 -13 -48 -16 -49 -19 -48 -18 -52 -16 -49 -19 -41 -20 -44 -18 -45 -17 -46 -16 -39 -15 -44 -18 -41 -17 -45 -15 -42 -17 -45 -16 -46 -21 -45 -15 -48 -1 -43 -14 -46 -13 -44 -12 -44 -12 -45 -12 -45 -10 -45 -10 -45 -8 -46 -7 -45 -6 -48 -5 -47 -9 -47 -4 -47 -4 -46 1 -46 0 -52 2 -43 1 -43 5 -45 5 -44 4 -49 6 -53 2 -52 3 -50 2 -51 3 -51 20 -55 27 -52 26 -51 34 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,1,1,1,1,0,0,0,0,-92,0,6,1,1049044,0,110,0,0,1.223819,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -2 13 -2 14 -2 15 0 14 0 13 0 14 1 13 1 14 2 13 3 14 3 15 3 14 3 15 4 13 4 15 3 13 4 12 4 12 3 12 4 12 4 13 4 11 4 12 3 13 4 12 2 0 0 13 2 13 2 13 1 13 1 12 2 13 1 13 2 12 1 13 0 12 -1 12 -1 12 0 13 0 12 -2 13 -1 13 -3 13 -2 12 -3 12 -3 11 -4 12 -2 13 -3 14 -3 13 -5 13 -3 13 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -47 -33 -49 -35 -53 -30 -46 -27 -30 -41 -28 -40 -30 -40 -30 -44 -28 -40 -23 -38 -29 -38 -28 -35 -30 -40 -26 -41 -26 -42 -30 -39 -33 -40 -29 -40 -23 -38 -26 -38 -30 -35 -26 -37 -28 -31 -26 -36 -23 -36 -25 -36 -24 -37 -29 -35 -25 -41 -29 -36 -39 -28 -27 -36 -26 -38 -26 -37 -26 -36 -23 -38 -23 -39 -23 -38 -22 -38 -21 -40 -22 -38 -19 -41 -16 -41 -18 -42 -15 -41 -18 -39 -14 -39 -15 -43 -11 -35 -11 -37 -9 -36 -9 -37 -7 -37 -3 -37 -3 -37 0 -34 2 -35 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 40 -22 39 -21 42 -21 45 -19 45 -18 42 -16 45 -15 43 -14 50 -16 48 -11 51 -8 49 -11 53 -14 52 -10 46 -5 48 -6 46 -8 47 -6 42 -7 45 -4 43 -4 46 -7 44 -5 46 -7 49 -3 45 -10 40 -25 44 -9 42 -7 43 -11 41 -12 43 -11 44 -14 43 -13 40 -15 43 -16 39 -18 40 -18 42 -16 41 -19 41 -19 37 -23 38 -23 41 -25 34 -23 34 -25 34 -27 33 -25 35 -28 39 -28 40 -30 37 -28 40 -29 29 -40 31 -51 31 -50 25 -52 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,1,1,1,1,0,0,0,0,-92,0,6,1,1049587,0,110,0,0,1.234724,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -15 1 -15 1 -16 3 -17 3 -16 4 -15 4 -16 5 -15 5 -15 6 -15 7 -16 6 -17 7 -15 7 -15 7 -14 7 -16 7 -14 7 -14 7 -14 6 -13 7 -13 7 -14 7 -12 7 -13 7 -14 6 -14 0 0 6 -15 5 -14 5 -15 4 -14 5 -13 4 -14 5 -15 3 -14 3 -15 1 -14 1 -15 3 -14 2 -15 1 -14 2 -14 1 -15 0 -16 -1 -14 0 -15 -1 -14 0 -15 -1 -15 -1 -16 -1 -16 0 -16 -1 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -18 24 -18 27 -16 30 -16 25 -22 12 -22 12 -21 14 -24 13 -23 12 -21 11 -21 13 -20 12 -23 13 -22 13 -24 12 -20 12 -21 15 -21 13 -20 9 -20 11 -19 14 -21 12 -18 12 -20 11 -20 10 -20 11 -20 11 -19 14 -21 11 -19 14 -15 22 -20 12 -20 11 -20 11 -19 11 -20 10 -21 10 -20 9 -20 10 -21 8 -20 8 -21 9 -21 7 -20 8 -21 6 -20 6 -20 6 -22 6 -20 4 -18 4 -20 4 -19 2 -19 2 -20 1 -19 0 -19 -1 -19 -2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -9 -23 -9 -24 -9 -25 -8 -26 -7 -26 -5 -24 -5 -26 -5 -25 -5 -28 -3 -27 -1 -28 -4 -28 -4 -29 -1 -28 0 -26 0 -26 -2 -27 0 -26 0 -23 0 -25 0 -24 -1 -25 -1 -24 -2 -24 0 -26 -3 -25 -13 -24 -2 -25 -2 -24 -4 -24 -4 -22 -4 -24 -5 -24 -4 -24 -5 -23 -6 -25 -8 -22 -9 -24 -7 -23 -9 -22 -9 -24 -10 -22 -10 -21 -12 -24 -10 -20 -11 -19 -13 -20 -12 -20 -13 -21 -13 -22 -13 -22 -13 -21 -13 -23 -24 -17 -29 -17 -29 -17 -29 -13 -1 -1 ]
