type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,136780,0,34,0,0,0.313424,128,[34 32 2 0 0 0 0 0 0 0 0 0 -16 14 -16 13 -17 14 -18 14 -19 13 -17 11 -19 11 -18 10 -19 11 -20 10 -20 11 -21 11 -20 10 -20 10 -19 8 -21 11 -19 8 -19 8 -18 8 -18 8 -18 7 -19 8 -17 6 -17 8 -19 10 -18 9 0 0 -17 10 -17 10 -16 10 -16 10 -14 9 -15 11 -15 11 -14 10 -14 12 -14 10 -15 11 -13 10 -13 11 -13 11 -13 11 -13 12 -13 14 -12 12 -11 12 -11 13 -11 12 -11 13 -10 13 -10 14 -10 13 -10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-49,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,150394,0,131,0,0,0.326811,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 17 1 17 1 19 1 20 0 19 -1 18 -1 19 -3 19 -3 20 -3 20 -2 22 -3 22 -3 22 -3 21 -5 19 -4 23 -5 20 -6 19 -5 20 -5 20 -6 19 -6 21 -6 18 -4 20 -4 22 -4 21 0 0 -4 21 -3 22 -3 22 -3 21 -3 19 -3 21 -3 22 -3 20 -2 21 -3 20 0 22 -1 19 0 21 -1 22 -2 21 -1 21 1 22 0 21 0 21 0 21 0 20 0 21 1 21 3 21 2 20 2 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,1014668,0,37,0,0,1.191376,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 -20 12 -19 13 -21 13 -21 14 -20 13 -17 14 -18 15 -16 15 -18 17 -16 17 -18 18 -18 17 -16 16 -16 15 -14 17 -18 16 -14 16 -14 14 -14 14 -14 14 -13 15 -15 14 -12 14 -14 15 -15 14 -15 0 0 12 -15 12 -16 11 -15 11 -16 10 -13 10 -16 10 -16 9 -15 9 -16 10 -15 9 -16 8 -14 8 -15 8 -15 8 -16 7 -16 6 -17 6 -15 6 -16 5 -16 5 -16 4 -17 5 -17 4 -17 4 -16 4 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1030056,0,110,0,0,1.206592,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 2 14 2 16 2 17 5 16 4 14 5 15 6 14 6 14 6 14 7 16 8 17 8 16 8 15 9 12 8 17 9 14 8 12 9 13 9 12 8 13 9 14 9 11 10 13 10 14 11 14 8 0 0 14 9 14 8 15 9 14 7 12 9 13 8 14 9 12 7 14 7 12 4 14 5 12 6 13 6 13 5 13 5 14 3 15 5 13 3 13 3 13 2 13 4 13 3 14 3 14 2 13 4 12 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -19 -18 -21 -19 -25 -15 -20 -13 -9 -18 -9 -17 -10 -17 -10 -20 -9 -16 -9 -14 -10 -15 -11 -12 -13 -15 -12 -14 -12 -15 -13 -13 -15 -14 -14 -13 -12 -12 -14 -11 -17 -9 -14 -13 -15 -8 -14 -10 -15 -11 -17 -9 -16 -9 -18 -6 -18 -10 -20 -7 -22 2 -21 -7 -20 -8 -20 -6 -19 -6 -21 -8 -22 -5 -21 -4 -22 -5 -22 -6 -22 -4 -24 -6 -23 -6 -24 -6 -25 -7 -25 -3 -24 -6 -26 -6 -25 -8 -23 -6 -23 -9 -25 -7 -24 -7 -23 -10 -23 -11 -22 -11 -22 -13 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 23 -8 22 -8 25 -8 26 -6 24 -5 23 -4 25 -3 22 -4 28 -5 27 -1 29 -1 28 -2 30 -2 29 0 25 0 28 1 29 -2 28 3 24 0 24 2 24 4 26 1 23 3 25 2 29 5 25 1 27 -11 26 2 25 3 25 1 22 1 25 2 24 -1 24 1 24 -2 25 -2 21 -2 24 -3 22 -1 24 -4 24 -4 20 -7 21 -4 23 -5 21 -5 20 -6 20 -5 20 -8 19 -7 22 -5 21 -6 19 -6 21 -6 18 -16 20 -23 19 -24 16 -24 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1030617,0,110,0,0,1.217460,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -7 12 -7 14 -8 16 -6 15 -6 14 -4 16 -4 14 -3 15 -4 15 -3 17 -3 18 -4 17 -3 17 -2 15 -1 18 -3 16 -2 15 0 15 -1 14 -1 15 0 16 -1 14 1 15 -1 17 0 16 -2 0 0 16 -1 15 -3 16 -2 14 -3 14 0 15 -2 15 -2 14 -2 14 -3 11 -5 13 -5 12 -3 13 -4 12 -5 12 -4 12 -7 15 -6 11 -6 12 -6 10 -7 13 -5 12 -6 12 -6 11 -8 11 -6 10 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -23 -10 -24 -9 -26 -5 -22 -4 -18 -12 -17 -10 -19 -10 -19 -12 -17 -9 -15 -8 -17 -8 -16 -5 -19 -6 -18 -6 -19 -7 -20 -4 -21 -4 -19 -4 -17 -4 -19 -2 -20 1 -19 -2 -17 1 -18 -1 -19 -1 -19 2 -19 0 -19 5 -21 2 -21 6 -19 10 -21 6 -22 5 -20 7 -20 8 -22 6 -21 9 -20 9 -21 9 -21 9 -21 11 -24 10 -24 10 -24 10 -25 10 -23 12 -23 10 -25 12 -25 10 -23 10 -24 8 -25 11 -25 10 -25 7 -26 6 -26 5 -27 4 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 20 -18 19 -18 22 -18 24 -17 22 -17 21 -14 24 -15 20 -14 26 -17 25 -13 28 -14 27 -15 29 -15 29 -14 25 -11 28 -12 28 -14 28 -10 23 -11 25 -9 24 -8 26 -11 25 -8 25 -10 30 -9 25 -11 22 -17 26 -10 25 -10 24 -11 22 -11 25 -9 23 -12 23 -11 22 -13 23 -14 19 -12 20 -14 21 -12 21 -15 20 -16 17 -17 17 -15 20 -17 16 -15 16 -16 16 -15 15 -18 15 -17 18 -16 16 -16 16 -16 16 -16 10 -19 10 -26 10 -27 7 -26 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1056313,0,110,0,0,1.232552,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 11 -11 11 -12 13 -14 12 -14 11 -12 9 -14 11 -14 9 -14 10 -15 9 -17 10 -17 11 -16 10 -17 9 -15 6 -17 11 -15 8 -15 7 -15 7 -15 7 -15 6 -16 8 -15 5 -16 7 -18 8 -15 8 0 0 -15 8 -14 9 -15 9 -13 9 -15 6 -14 8 -15 9 -12 8 -13 9 -10 10 -11 11 -11 8 -11 9 -9 9 -10 10 -9 11 -11 12 -8 11 -8 11 -6 11 -9 10 -8 11 -8 11 -8 12 -9 10 -7 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 -16 20 -16 17 -19 12 -18 17 -6 15 -6 16 -7 17 -6 14 -7 12 -5 14 -9 11 -8 13 -11 13 -10 14 -10 12 -11 13 -12 12 -11 10 -10 10 -13 7 -14 10 -13 5 -12 7 -13 8 -12 6 -15 7 -14 4 -15 7 -17 5 -18 -4 -19 3 -18 3 -17 1 -16 0 -18 3 -18 -1 -19 -1 -18 -2 -19 -1 -20 -2 -20 0 -22 -1 -22 -2 -23 -2 -23 -5 -22 -3 -21 -6 -24 -2 -23 -5 -22 -2 -23 -5 -23 -5 -24 -1 -24 0 -25 1 -24 2 -25 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -5 24 -6 23 -7 25 -8 25 -9 25 -9 20 -11 24 -9 21 -10 28 -14 24 -14 27 -15 26 -15 27 -16 26 -13 22 -14 24 -12 24 -15 25 -11 20 -14 22 -14 19 -12 24 -16 20 -15 21 -19 24 -13 22 -3 30 -14 22 -14 22 -11 21 -10 20 -13 21 -9 22 -11 21 -9 22 -8 23 -7 20 -7 22 -9 21 -7 23 -6 22 -1 21 -4 19 -4 23 -4 20 -1 19 -2 19 0 20 0 19 -3 21 -2 20 -2 19 -2 20 12 22 16 22 15 22 20 19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1070205,0,110,0,0,1.246426,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -6 12 -6 14 -7 16 -5 15 -5 14 -3 15 -4 14 -3 15 -3 15 -3 18 -3 18 -3 17 -2 17 -1 15 0 18 -2 16 -1 15 1 16 -1 14 0 15 0 16 0 14 2 16 1 18 1 16 0 0 0 16 0 16 -1 17 -1 15 -2 15 1 15 -1 16 0 14 -1 15 -2 12 -4 15 -4 13 -2 14 -3 13 -4 13 -4 14 -6 16 -4 12 -5 13 -5 11 -6 13 -5 13 -5 13 -5 12 -7 12 -4 11 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -23 -13 -23 -10 -26 -6 -22 -7 -16 -13 -16 -11 -17 -11 -18 -13 -15 -10 -14 -9 -16 -9 -15 -6 -18 -7 -16 -7 -17 -7 -17 -4 -19 -5 -18 -4 -16 -4 -17 -2 -19 1 -17 -3 -15 2 -16 0 -16 -1 -17 2 -16 1 -16 5 -19 4 -17 6 -14 11 -19 7 -19 6 -18 8 -17 8 -19 8 -18 10 -17 11 -19 11 -19 11 -17 12 -20 13 -20 13 -19 14 -21 14 -19 16 -20 15 -22 16 -22 14 -20 15 -22 13 -22 15 -22 15 -23 12 -23 12 -24 11 -25 10 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 18 -16 18 -17 20 -17 23 -17 22 -15 20 -13 23 -14 21 -13 26 -16 25 -12 27 -14 27 -15 29 -15 28 -13 26 -11 27 -11 28 -14 28 -8 24 -11 26 -8 25 -7 27 -10 25 -7 26 -10 30 -8 26 -11 22 -18 27 -9 26 -8 26 -11 22 -10 27 -8 25 -11 24 -10 24 -11 25 -13 19 -11 22 -14 22 -12 22 -14 22 -14 18 -16 20 -14 21 -15 18 -14 17 -15 18 -14 17 -17 18 -16 19 -15 17 -16 16 -15 18 -15 12 -20 11 -27 12 -29 9 -26 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1070792,0,110,0,0,1.257381,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -11 8 -11 9 -13 12 -13 11 -12 10 -10 12 -11 11 -10 12 -11 12 -9 15 -11 15 -11 14 -10 15 -9 13 -7 15 -11 14 -9 14 -7 13 -8 13 -7 14 -7 15 -8 14 -5 15 -7 17 -8 14 -8 0 0 15 -8 14 -9 15 -9 13 -10 14 -6 14 -9 15 -8 13 -8 13 -9 11 -10 11 -10 12 -7 12 -9 10 -10 11 -10 10 -12 12 -12 9 -11 10 -11 7 -11 10 -10 9 -11 10 -11 9 -12 10 -10 8 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -23 12 -22 14 -21 17 -18 14 -18 1 -17 1 -17 3 -19 0 -16 2 -13 2 -15 3 -13 4 -15 5 -15 4 -15 5 -14 6 -15 7 -14 6 -12 6 -12 8 -11 10 -13 7 -9 9 -11 8 -11 8 -9 11 -10 9 -7 11 -11 12 -8 13 1 19 -8 15 -9 13 -6 14 -6 14 -8 15 -6 16 -5 16 -5 16 -6 16 -5 17 -6 18 -6 19 -6 19 -5 18 -3 20 -5 18 -4 21 -6 19 -5 19 -7 19 -5 20 -5 21 -7 19 -9 20 -9 19 -11 20 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 2 -21 2 -21 3 -23 4 -24 5 -22 5 -20 7 -23 5 -21 7 -27 9 -23 9 -25 9 -24 9 -27 10 -26 9 -21 11 -24 8 -25 12 -24 8 -21 11 -21 11 -19 10 -23 11 -20 11 -21 15 -24 10 -22 -2 -30 12 -22 12 -22 8 -22 9 -20 11 -22 9 -23 9 -21 8 -22 7 -23 6 -19 4 -22 8 -20 5 -22 6 -23 1 -21 4 -20 4 -23 3 -20 2 -19 3 -20 1 -21 2 -21 4 -21 2 -21 2 -20 2 -21 -10 -22 -15 -25 -15 -26 -19 -22 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1071131,0,110,0,0,1.267843,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 10 -13 10 -14 12 -17 10 -16 10 -15 7 -17 8 -16 7 -16 8 -17 7 -19 8 -20 8 -19 8 -19 7 -17 4 -21 8 -18 6 -18 4 -17 5 -17 4 -18 3 -19 5 -18 2 -19 4 -21 4 -19 5 0 0 -19 5 -18 7 -19 7 -17 7 -18 3 -18 5 -19 5 -17 5 -18 6 -15 8 -16 9 -15 6 -15 7 -14 8 -15 8 -14 10 -18 10 -13 10 -14 9 -12 9 -15 8 -14 9 -14 9 -13 10 -14 8 -12 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 30 -3 29 -5 30 -9 26 -6 21 4 20 4 21 2 21 5 19 4 17 2 19 2 16 -1 20 -1 18 -1 19 -1 19 -3 20 -5 18 -5 16 -3 17 -6 16 -10 17 -5 13 -8 15 -7 15 -6 15 -10 15 -8 13 -13 17 -11 14 -14 8 -20 14 -15 15 -13 13 -15 13 -15 14 -16 13 -18 12 -17 12 -18 13 -18 11 -18 13 -20 13 -20 14 -21 13 -21 11 -23 12 -21 13 -24 14 -21 13 -22 15 -20 14 -23 14 -23 16 -21 17 -21 17 -19 19 -19 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -12 23 -12 23 -14 25 -16 26 -16 23 -15 21 -18 23 -15 21 -19 26 -20 22 -22 25 -21 25 -22 27 -23 25 -21 21 -23 22 -21 25 -25 21 -19 21 -22 19 -22 17 -22 22 -23 17 -22 20 -28 21 -21 22 -12 32 -24 21 -23 19 -21 21 -19 19 -23 20 -20 21 -20 19 -19 22 -19 22 -16 20 -15 23 -17 21 -16 24 -17 23 -12 23 -13 22 -15 25 -13 22 -12 21 -13 21 -10 23 -10 23 -14 23 -11 22 -11 21 -12 22 -1 28 4 33 5 34 7 31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1106274,0,110,0,0,1.282531,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -4 -16 -4 -18 -4 -19 -7 -17 -6 -15 -7 -17 -8 -15 -8 -16 -8 -16 -9 -18 -10 -18 -10 -18 -10 -17 -11 -14 -11 -18 -10 -16 -10 -14 -11 -15 -10 -14 -10 -14 -11 -15 -11 -12 -12 -14 -11 -16 -13 -15 -10 0 0 -15 -11 -16 -9 -17 -10 -16 -8 -13 -11 -15 -9 -15 -11 -14 -9 -15 -9 -14 -6 -16 -6 -13 -8 -14 -8 -15 -6 -15 -6 -16 -4 -18 -6 -15 -3 -15 -4 -14 -2 -15 -5 -15 -4 -15 -4 -15 -3 -14 -5 -14 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 16 22 15 26 12 21 10 10 16 10 15 11 15 10 17 10 13 9 11 11 13 11 9 14 11 12 11 14 12 14 9 16 9 15 9 13 9 15 7 17 4 15 8 15 3 15 5 15 7 17 4 16 5 18 1 19 4 19 0 20 -9 21 0 20 1 19 -2 19 -2 21 -1 22 -3 21 -3 21 -3 22 -3 22 -4 24 -3 25 -3 25 -3 26 -3 24 -7 24 -4 26 -6 26 -3 24 -4 26 -1 26 -3 27 -4 26 0 27 1 25 2 27 4 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -25 6 -25 6 -28 5 -29 4 -27 4 -24 2 -28 1 -25 2 -31 3 -29 -1 -31 0 -31 -1 -33 0 -32 -1 -28 -2 -30 -3 -30 0 -30 -4 -26 -1 -28 -4 -25 -6 -28 -2 -26 -6 -27 -4 -31 -7 -27 -2 -28 12 -29 -4 -28 -4 -27 -1 -24 -1 -28 -3 -27 0 -26 -2 -27 0 -27 1 -23 1 -25 3 -24 0 -25 3 -26 3 -23 7 -23 4 -25 5 -23 5 -21 6 -22 5 -22 7 -21 7 -23 5 -22 7 -21 6 -22 5 -18 18 -17 25 -18 26 -14 26 -1 -1 ]
