type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-69,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,133257,0,34,0,0,0.303537,128,[34 32 2 0 0 0 0 0 0 0 0 0 14 -26 14 -24 16 -25 15 -23 16 -22 15 -19 14 -18 13 -16 14 -17 13 -14 12 -16 13 -14 11 -13 10 -11 9 -9 8 -10 7 -6 6 -7 5 -5 3 -5 2 -3 2 -2 0 -2 -1 -1 -3 0 -3 1 0 0 -4 4 -7 5 -7 6 -8 8 -8 8 -11 10 -11 11 -11 11 -12 13 -15 13 -16 15 -15 15 -17 17 -17 18 -18 19 -18 20 -20 24 -17 22 -20 23 -19 24 -20 25 -20 26 -22 29 -21 29 -21 28 -20 28 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-68,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,144369,0,131,0,0,0.314422,128,[-125 48 8 0 0 0 0 0 0 0 0 0 1 26 -1 23 0 25 0 25 -2 22 -3 20 -2 19 -4 18 -4 17 -3 16 -2 16 -3 14 -4 13 -3 11 -3 9 -1 10 -2 7 -3 5 -1 4 -1 3 0 2 1 0 0 -1 2 -2 3 -3 3 -5 0 0 4 -9 4 -10 5 -12 5 -13 5 -13 5 -15 6 -17 7 -17 7 -20 7 -19 8 -23 8 -22 9 -25 10 -26 10 -26 10 -28 10 -31 10 -30 9 -31 10 -32 10 -32 10 -35 10 -36 11 -37 11 -36 9 -36 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-65,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,2018885,0,82,0,0,2.189194,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -1 -14 -1 -16 0 -17 -2 -15 -1 -13 -3 -15 -2 -13 -2 -14 -2 -14 -3 -15 -3 -16 -2 -15 -3 -14 -3 -12 -3 -15 -2 -12 -3 -12 -3 -12 -2 -11 -2 -11 -3 -12 -2 -10 -3 -11 -3 -12 -2 -11 -1 0 0 -10 -2 -10 0 -10 -1 -9 0 -8 -1 -9 -1 -9 -1 -7 -1 -8 -1 -7 1 -7 0 -6 0 -6 0 -5 0 -5 0 -5 0 -6 0 -4 0 -4 0 -3 0 -4 -1 -3 -1 -3 -1 -2 -1 -2 -2 -2 -1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -4 6 -5 7 -4 8 -5 8 -8 3 -8 4 -8 4 -11 4 -9 4 -9 4 -10 6 -10 5 -12 6 -12 6 -14 7 -12 8 -14 9 -13 10 -12 8 -14 10 -13 13 -15 9 -12 12 -15 10 -16 10 -15 13 -16 13 -14 16 -19 16 -16 18 -6 26 -18 19 -17 19 -16 20 -16 20 -20 19 -17 22 -15 21 -19 23 -18 23 -17 24 -20 26 -18 23 -19 26 -20 24 -18 26 -20 27 -21 29 -20 26 -21 28 -22 25 -21 24 -21 26 -25 23 -26 24 -26 22 -26 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -19 11 -18 11 -20 10 -21 10 -20 10 -19 8 -20 8 -20 8 -22 10 -20 7 -23 7 -21 8 -22 9 -21 9 -17 6 -20 7 -19 10 -18 6 -15 7 -17 6 -16 5 -16 7 -15 5 -16 6 -18 6 -14 7 -10 14 -15 6 -13 6 -12 8 -11 6 -13 6 -11 7 -9 4 -11 6 -9 6 -8 5 -8 6 -7 4 -7 6 -7 5 -6 4 -6 5 -6 4 -4 3 -5 3 -5 2 -5 2 -4 2 -4 1 -4 1 -3 0 -4 -1 -4 1 -5 1 -6 0 -5 1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-64,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,2037062,0,110,0,0,2.207079,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 3 -14 3 -16 4 -17 3 -15 3 -14 2 -15 3 -14 2 -14 2 -15 2 -16 2 -16 2 -16 3 -15 2 -13 1 -15 3 -13 2 -13 1 -13 2 -12 2 -12 2 -13 2 -11 0 -12 2 -13 2 -11 3 0 0 -11 2 -10 3 -10 3 -9 3 -9 2 -9 3 -9 3 -8 2 -8 3 -6 3 -7 3 -6 2 -6 2 -5 2 -5 2 -5 3 -5 3 -4 2 -4 2 -3 2 -3 1 -3 1 -3 1 -3 1 -3 0 -3 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -2 5 -1 7 0 8 -2 8 -5 5 -6 5 -6 6 -8 6 -7 7 -6 6 -8 8 -6 7 -7 10 -9 10 -10 11 -10 12 -11 14 -10 13 -9 11 -8 15 -7 16 -11 15 -6 14 -9 16 -10 16 -8 19 -10 18 -7 20 -12 22 -9 23 1 26 -9 25 -9 25 -7 23 -6 26 -10 25 -6 28 -6 27 -5 28 -6 29 -6 30 -10 32 -9 33 -9 33 -9 32 -4 34 -7 30 -6 36 -9 32 -6 33 -10 32 -6 33 -6 35 -11 33 -15 32 -15 31 -16 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -18 16 -16 15 -18 17 -19 15 -18 16 -15 12 -19 15 -15 14 -18 18 -19 14 -20 15 -20 15 -20 17 -19 15 -16 13 -17 14 -16 15 -18 14 -13 12 -15 11 -14 10 -14 13 -15 11 -14 12 -17 12 -13 12 -8 18 -12 11 -12 12 -10 11 -9 11 -10 10 -8 11 -8 10 -8 10 -7 11 -6 8 -6 9 -7 8 -6 8 -6 8 -3 7 -4 6 -4 7 -4 5 -3 6 -3 4 -2 4 -3 4 -4 3 -4 2 -4 2 -4 1 -4 2 -4 2 -4 2 -5 2 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-64,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,2037749,0,110,0,0,2.217518,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 14 1 13 1 16 0 16 0 15 0 13 0 15 0 13 1 13 -1 14 -1 16 0 16 -1 15 -2 14 -2 12 0 16 -1 13 -1 12 0 12 0 11 -1 11 0 12 -2 10 -1 11 -1 12 1 11 0 0 1 11 2 10 1 10 2 9 0 8 2 8 2 8 1 7 1 7 2 6 2 7 1 5 1 5 2 5 2 5 2 4 1 5 1 3 1 3 1 3 0 3 0 2 0 2 0 2 -1 2 0 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 5 0 8 1 8 0 7 0 5 4 4 5 6 5 5 7 6 6 4 5 7 7 6 5 9 6 8 8 9 10 10 9 12 10 11 9 10 8 14 8 15 6 14 10 13 6 14 9 14 9 17 8 17 10 18 7 20 13 21 9 27 -1 23 9 23 10 22 7 23 7 23 10 26 6 25 6 25 6 27 7 28 7 29 11 31 10 31 10 30 9 32 4 28 7 34 6 29 10 31 6 29 10 31 7 32 6 30 12 29 15 29 14 29 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 13 19 12 17 14 19 12 19 12 19 11 17 12 20 11 15 15 19 10 20 12 22 11 21 12 22 11 20 10 17 11 18 12 17 11 19 9 14 10 14 8 15 12 14 9 15 10 15 9 17 10 13 17 9 9 13 10 12 9 10 9 9 8 10 10 8 8 9 9 8 9 7 8 6 8 6 8 7 7 6 7 5 7 3 5 4 6 4 4 3 5 3 4 3 4 2 4 1 2 3 1 3 1 3 1 3 3 3 1 4 1 3 1 4 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,2038202,0,110,0,0,2.226518,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 0 15 0 17 -1 18 1 16 0 14 2 16 1 14 1 15 2 15 2 17 3 17 2 16 2 15 2 13 2 17 2 13 2 13 3 13 2 12 1 13 2 13 1 11 2 12 1 14 2 12 0 0 0 12 1 11 -1 11 0 10 -1 10 0 9 -1 11 0 8 -1 9 -2 7 -3 8 -2 7 0 7 -1 6 -2 6 -1 5 -1 6 -1 4 -2 4 -1 3 -1 3 -1 3 -1 3 0 2 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 3 -6 5 -7 4 -8 5 -8 7 -4 7 -4 9 -5 9 -4 9 -5 9 -4 11 -6 8 -5 12 -7 13 -6 14 -7 14 -8 16 -9 15 -9 13 -7 15 -11 14 -14 17 -10 13 -12 15 -12 16 -11 15 -15 19 -13 17 -17 22 -16 20 -18 11 -28 20 -21 21 -19 18 -20 19 -22 22 -20 19 -25 18 -24 19 -24 20 -25 20 -26 25 -26 25 -27 25 -28 24 -27 21 -31 22 -26 23 -31 25 -26 22 -28 25 -25 22 -28 23 -29 28 -25 30 -23 29 -21 32 -21 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 25 -11 23 -10 26 -13 26 -11 25 -11 22 -8 25 -9 21 -9 27 -12 25 -8 28 -8 27 -8 28 -10 26 -8 21 -7 25 -8 23 -10 24 -7 18 -8 20 -7 19 -6 19 -9 19 -6 19 -7 23 -6 18 -8 16 -14 18 -7 16 -8 14 -8 13 -8 14 -8 13 -9 14 -8 12 -9 12 -9 10 -8 11 -8 10 -6 9 -7 9 -7 6 -7 7 -6 7 -7 5 -5 4 -5 5 -3 4 -4 4 -4 5 -2 4 -2 3 -1 4 -1 4 -2 4 -2 4 -2 4 0 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,2068261,0,110,0,0,2.238770,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -7 -13 -7 -15 -8 -15 -10 -14 -9 -12 -8 -14 -9 -12 -8 -13 -9 -13 -9 -14 -11 -14 -10 -13 -10 -13 -9 -10 -9 -14 -9 -12 -8 -11 -9 -11 -7 -11 -7 -11 -7 -11 -8 -9 -8 -10 -7 -11 -8 -11 -6 0 0 -10 -6 -11 -5 -11 -5 -10 -5 -8 -5 -9 -4 -9 -5 -8 -4 -9 -3 -8 -1 -9 -2 -7 -4 -7 -3 -6 -2 -6 -3 -6 -2 -6 -2 -5 -2 -5 -2 -4 -1 -5 -3 -4 -2 -4 -2 -4 -2 -3 -3 -3 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -5 7 -6 8 -4 8 -6 8 -8 3 -9 3 -10 4 -11 4 -10 4 -9 3 -11 5 -10 5 -11 7 -14 5 -15 5 -14 7 -16 9 -15 8 -14 6 -14 11 -13 11 -17 11 -12 11 -15 11 -16 10 -15 15 -18 13 -15 16 -20 15 -18 18 -12 25 -17 20 -18 21 -14 19 -16 21 -19 19 -16 25 -16 23 -16 24 -16 25 -18 26 -21 27 -21 27 -21 28 -20 27 -16 31 -18 25 -18 34 -20 26 -16 29 -21 28 -18 30 -17 31 -23 28 -26 26 -25 25 -27 25 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -26 -4 -24 -2 -29 -4 -25 -5 -27 -3 -22 -3 -27 -5 -22 -3 -28 -2 -26 -7 -27 -7 -27 -6 -28 -6 -27 -6 -22 -4 -26 -3 -23 -2 -26 -4 -19 -2 -21 -3 -18 -4 -22 -1 -21 -4 -20 -3 -23 -5 -21 -2 -20 5 -19 -3 -19 0 -16 1 -16 0 -16 0 -17 2 -15 -1 -15 1 -16 2 -11 0 -14 2 -12 0 -13 1 -11 1 -10 2 -8 1 -11 1 -8 0 -8 1 -8 1 -7 0 -7 0 -7 -1 -6 -1 -6 -2 -6 -3 -6 -1 -7 -1 -7 -1 -8 0 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,2087174,0,110,0,0,2.257208,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -15 -4 -15 -5 -17 -3 -18 -3 -17 -2 -14 -2 -16 -2 -15 -2 -15 -1 -16 -2 -17 -3 -17 -2 -16 -1 -16 -1 -14 -3 -17 -2 -15 -1 -14 -2 -13 -1 -13 -1 -13 -2 -13 0 -12 -2 -13 -2 -14 -3 -12 0 0 -2 -12 -4 -11 -4 -12 -4 -10 -2 -11 -3 -10 -2 -11 -2 -9 -3 -9 -3 -7 -4 -8 -2 -7 -2 -7 -3 -7 -2 -7 -3 -6 -2 -7 -3 -5 -2 -6 -2 -5 -2 -5 -1 -5 -1 -5 -1 -5 0 -5 0 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -9 2 -10 2 -11 4 -10 4 -10 -3 -10 -3 -12 -3 -12 -5 -11 -3 -10 -4 -12 -4 -11 -3 -14 -3 -14 -4 -16 -5 -15 -4 -19 -3 -17 -4 -16 -4 -18 -3 -20 1 -20 -4 -18 1 -20 -3 -20 -4 -21 0 -22 -3 -23 3 -26 -1 -25 2 -24 15 -28 2 -28 1 -26 4 -27 4 -29 3 -31 7 -29 6 -29 6 -30 6 -30 7 -33 6 -34 6 -35 7 -36 7 -33 11 -33 8 -36 11 -36 6 -34 8 -36 5 -35 8 -36 8 -35 4 -36 2 -36 1 -37 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -16 -20 -16 -19 -17 -22 -16 -22 -16 -21 -13 -19 -15 -21 -13 -18 -18 -22 -13 -22 -15 -23 -15 -22 -16 -23 -15 -22 -13 -20 -14 -20 -16 -19 -13 -21 -13 -16 -12 -18 -10 -17 -14 -17 -10 -17 -12 -17 -12 -20 -13 -15 -20 -10 -12 -15 -11 -14 -12 -12 -11 -11 -10 -14 -12 -12 -10 -12 -11 -11 -12 -10 -9 -8 -10 -9 -8 -9 -9 -9 -9 -8 -9 -6 -8 -6 -8 -7 -6 -6 -7 -6 -5 -6 -6 -6 -5 -6 -4 -7 -4 -6 -4 -6 -3 -7 -5 -6 -6 -6 -7 -8 -6 -5 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,2091174,0,110,0,0,2.269049,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 13 -7 12 -8 15 -10 14 -9 14 -8 11 -10 13 -8 12 -8 12 -9 12 -9 14 -10 14 -9 13 -10 13 -8 10 -8 14 -7 12 -8 11 -7 10 -7 10 -7 10 -7 11 -8 9 -7 10 -8 11 -6 10 0 0 -5 10 -5 10 -4 11 -3 9 -5 9 -4 8 -4 9 -3 8 -3 8 -2 7 -2 8 -3 6 -2 6 -2 6 -2 6 -1 6 -3 6 -2 5 -2 4 -1 4 -3 4 -2 4 -2 4 -3 4 -3 3 -2 3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 9 3 9 3 11 1 11 2 7 6 7 5 8 7 8 9 8 8 7 7 9 9 9 6 11 8 11 9 12 11 13 9 15 11 15 11 13 10 16 9 19 7 16 12 17 7 17 9 17 11 20 9 19 10 22 6 24 11 25 8 28 -2 28 8 27 9 27 5 27 5 29 8 31 5 30 3 32 5 32 5 32 4 35 6 36 5 37 5 38 4 37 0 35 3 40 2 38 4 37 2 37 6 39 2 39 3 36 7 37 9 37 8 37 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -3 24 -1 24 -4 27 -4 26 -4 25 -3 22 -5 25 -3 22 -2 28 -5 24 -4 27 -4 26 -3 27 -4 26 -3 22 -3 25 0 25 -4 23 -1 20 -3 20 -4 20 -1 20 -3 19 -1 20 -3 22 0 19 9 18 0 19 0 16 1 17 1 15 0 17 2 15 0 14 2 14 2 14 1 12 3 13 1 11 3 11 2 11 3 9 2 9 1 9 1 8 1 7 1 7 0 7 0 7 -1 7 -1 7 -2 6 -2 6 1 6 1 8 0 9 1 7 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,2100461,0,110,0,0,2.279472,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -14 7 -13 8 -16 10 -15 9 -14 8 -11 9 -14 8 -12 8 -13 10 -13 10 -14 9 -14 9 -13 10 -12 8 -10 8 -14 8 -11 8 -11 7 -11 7 -10 7 -11 7 -11 8 -9 7 -10 8 -11 6 -11 0 0 5 -11 4 -11 5 -10 4 -10 5 -9 4 -10 4 -9 3 -9 3 -9 1 -8 2 -8 3 -7 3 -7 2 -6 2 -7 1 -6 2 -7 1 -5 1 -6 1 -5 2 -5 2 -5 2 -4 2 -5 3 -4 2 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -11 -2 -13 -3 -13 -1 -13 0 -9 -7 -8 -7 -10 -8 -9 -9 -10 -8 -9 -7 -11 -8 -9 -6 -13 -8 -13 -10 -14 -11 -15 -10 -16 -11 -15 -11 -13 -10 -17 -8 -18 -6 -18 -10 -17 -5 -18 -9 -18 -10 -21 -6 -21 -11 -23 -7 -25 -12 -26 -8 -29 4 -27 -7 -28 -7 -25 -4 -28 -3 -28 -7 -31 -2 -29 -2 -30 -2 -31 -2 -32 -3 -35 -5 -36 -5 -36 -4 -34 -4 -35 3 -32 -2 -39 2 -35 -3 -35 1 -35 -4 -36 0 -36 1 -36 -6 -37 -9 -36 -9 -36 -10 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 2 -25 1 -24 1 -28 3 -26 1 -26 1 -22 2 -26 1 -21 -1 -28 5 -26 4 -28 3 -26 3 -28 3 -27 3 -21 1 -25 -1 -23 1 -24 0 -19 1 -20 2 -19 -2 -21 2 -20 2 -20 3 -23 0 -20 -9 -19 0 -19 -1 -18 -2 -16 -2 -16 -1 -16 -4 -16 -2 -14 -3 -14 -4 -14 -2 -13 -2 -13 -1 -13 -3 -12 -2 -12 -4 -10 -3 -10 -2 -11 -2 -8 -3 -8 -1 -8 -2 -8 -2 -8 0 -9 0 -8 0 -7 1 -8 -3 -8 -3 -9 -2 -10 -3 -10 -1 -1 ]
