type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,131618,0,34,0,0,0.302036,128,[34 32 2 0 0 0 0 0 0 0 0 0 23 13 22 14 23 15 24 16 22 16 19 16 19 17 18 16 19 17 17 17 19 18 19 18 18 18 17 17 15 17 19 17 14 16 14 16 15 15 15 15 14 15 15 15 13 14 15 14 17 14 16 13 0 0 16 13 17 13 17 12 16 11 15 10 16 10 17 10 15 9 17 9 16 10 17 9 16 8 16 8 17 8 16 8 17 7 19 7 17 6 17 6 17 5 17 4 18 5 18 5 19 4 18 4 17 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,142401,0,131,0,0,0.312613,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -16 -22 -15 -22 -16 -24 -16 -25 -14 -24 -12 -23 -12 -24 -10 -24 -11 -25 -10 -24 -12 -26 -12 -26 -11 -25 -11 -24 -8 -23 -11 -25 -8 -24 -7 -22 -8 -22 -8 -21 -7 -22 -7 -23 -6 -20 -9 -20 -10 -22 -10 -21 0 0 -9 -21 -10 -20 -10 -20 -10 -19 -9 -17 -10 -18 -10 -18 -9 -17 -11 -17 -10 -16 -11 -17 -10 -15 -11 -15 -11 -16 -11 -15 -11 -15 -12 -14 -12 -14 -11 -13 -11 -13 -12 -13 -12 -12 -13 -12 -13 -11 -12 -11 -12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,143016,0,135,0,0,0.317376,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -17 11 -16 11 -19 12 -21 11 -20 10 -17 8 -20 8 -18 8 -19 8 -20 7 -22 7 -22 8 -21 6 -21 6 -19 4 -22 7 -19 5 -19 4 -18 4 -17 4 -18 4 -19 4 -17 2 -19 3 -20 4 -17 5 0 0 -18 5 -17 6 -18 7 -16 7 -16 3 -16 6 -18 5 -15 5 -16 6 -11 9 -13 9 -13 6 -13 7 -11 8 -12 8 -11 9 -14 10 -10 9 -11 8 -8 9 -11 8 -9 8 -10 9 -9 10 -10 8 -8 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 23 -4 23 -7 25 -12 20 -7 19 -1 18 0 20 -3 22 -1 18 1 17 -2 19 -3 18 -2 19 -4 18 -4 19 -4 18 -5 20 -6 18 -6 17 -4 19 -6 19 -10 18 -5 16 -9 15 -6 18 -6 16 -8 17 -7 14 -11 17 -8 17 -11 13 -17 18 -12 17 -11 18 -12 16 -12 18 -10 17 -12 16 -11 17 -11 17 -12 15 -13 18 -11 17 -12 17 -11 18 -11 18 -13 18 -12 19 -12 17 -10 17 -10 18 -10 19 -10 18 -10 19 -6 19 -7 19 -6 18 -5 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -19 29 -17 28 -21 30 -24 33 -24 30 -23 24 -23 26 -24 26 -25 29 -27 24 -27 26 -27 26 -29 27 -28 25 -26 21 -27 23 -27 25 -27 21 -23 22 -25 18 -25 19 -25 21 -25 17 -23 17 -29 20 -22 20 -14 28 -24 20 -23 18 -23 21 -19 19 -23 18 -20 19 -21 18 -21 20 -19 21 -13 17 -15 20 -13 18 -13 20 -14 21 -11 20 -12 21 -12 22 -9 19 -8 19 -8 20 -8 20 -7 20 -9 21 -7 21 -7 20 -8 19 1 21 5 26 5 28 7 25 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-48,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,167473,0,239,0,0,0.337845,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -8 11 -8 11 -9 12 -12 12 -10 11 -10 9 -11 10 -10 9 -10 9 -11 9 -13 10 -13 10 -13 9 -13 8 -11 6 -12 10 -12 8 -12 7 -11 7 -11 7 -11 7 -12 8 -11 5 -12 7 -13 7 -11 8 0 0 -12 8 -10 9 -11 9 -10 9 -11 7 -10 8 -11 9 -9 8 -10 9 -8 9 -8 10 -9 8 -9 9 -8 9 -8 10 -7 11 -9 12 -6 11 -6 11 -4 10 -7 11 -7 11 -7 11 -6 12 -8 11 -6 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 26 -6 30 -6 28 -11 24 -11 24 0 23 2 23 -2 25 2 23 -1 22 2 23 -1 21 -2 24 -1 23 0 24 2 24 -2 26 -1 24 -2 21 1 25 -4 24 -6 24 -2 19 -5 21 -4 22 -1 24 -4 23 -2 22 -5 27 -1 25 -5 23 -12 25 -7 25 -5 26 -6 25 -7 26 -3 27 -8 25 -7 26 -6 27 -6 26 -5 29 -3 28 -3 28 -2 28 -3 30 -6 27 -3 31 -4 26 -1 27 -2 27 0 27 0 27 1 27 5 26 6 26 7 25 8 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -7 24 -8 24 -9 24 -11 24 -10 24 -11 21 -11 22 -11 20 -12 23 -14 22 -15 22 -15 23 -17 22 -16 23 -15 18 -15 22 -13 22 -16 19 -12 17 -14 18 -13 17 -14 21 -14 17 -15 18 -19 19 -13 19 -7 23 -14 19 -13 19 -13 21 -10 19 -14 19 -11 21 -11 19 -10 21 -8 22 -8 18 -8 21 -9 19 -8 21 -7 20 -4 22 -6 20 -6 24 -5 19 -4 21 -3 20 -3 19 -3 21 -6 23 -4 22 -4 22 -4 22 4 24 7 28 7 27 11 26 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1017755,0,37,0,0,1.188227,128,[37 80 2 0 0 0 0 0 0 0 0 0 -27 12 -26 10 -29 11 -29 11 -29 9 -25 7 -27 8 -26 6 -27 6 -27 5 -28 6 -29 6 -27 5 -26 5 -24 3 -27 6 -24 3 -24 3 -22 3 -23 4 -21 4 -23 4 -21 3 -21 4 -23 6 -22 6 0 0 -20 6 -21 7 -20 8 -19 7 -17 6 -18 7 -18 8 -17 7 -17 8 -17 7 -17 9 -15 8 -15 9 -15 8 -15 9 -14 9 -14 11 -13 9 -12 10 -12 10 -12 10 -12 10 -12 11 -11 11 -11 11 -10 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1018065,0,82,0,0,1.192776,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -21 -5 -19 -7 -23 -4 -24 -4 -23 -2 -20 -2 -22 -2 -20 -3 -21 -1 -21 0 -23 -1 -23 -1 -22 0 -21 1 -18 -1 -23 0 -19 1 -19 0 -18 -1 -17 0 -17 0 -19 2 -16 0 -17 0 -20 -1 -17 0 0 -1 -17 -3 -16 -3 -17 -4 -16 -2 -15 -3 -16 -3 -16 -4 -14 -4 -16 -6 -12 -6 -13 -4 -13 -5 -13 -6 -12 -5 -12 -7 -11 -8 -13 -8 -10 -7 -10 -8 -8 -7 -11 -8 -10 -8 -10 -9 -9 -7 -9 -8 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 5 21 6 21 10 20 9 18 -1 17 1 15 1 18 -1 18 3 16 1 15 3 15 3 15 4 17 3 16 3 17 5 16 6 18 5 17 3 14 7 16 10 15 7 16 9 12 6 15 7 15 9 15 7 16 10 14 9 18 11 17 16 13 12 16 12 15 12 15 14 14 10 17 14 16 13 13 12 16 14 17 13 17 12 20 12 18 13 18 12 17 14 17 13 18 15 19 10 17 12 18 9 19 10 18 11 18 8 20 7 20 5 19 4 20 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -25 -25 -23 -22 -26 -27 -23 -28 -23 -28 -18 -24 -19 -27 -17 -27 -23 -30 -17 -31 -18 -33 -18 -31 -18 -33 -18 -32 -13 -25 -17 -30 -18 -28 -15 -27 -14 -22 -13 -26 -12 -24 -16 -24 -13 -26 -13 -25 -14 -30 -16 -25 -24 -19 -14 -25 -16 -21 -16 -21 -16 -20 -13 -22 -16 -19 -14 -17 -17 -19 -19 -16 -17 -14 -17 -16 -14 -15 -18 -13 -17 -14 -18 -11 -17 -10 -20 -12 -16 -9 -19 -9 -17 -9 -18 -7 -18 -6 -19 -10 -19 -9 -18 -8 -17 -8 -20 1 -24 7 -22 4 -23 10 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1042705,0,110,0,0,1.212947,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 -7 16 -6 18 -7 18 -6 18 -5 16 -5 17 -3 16 -3 17 -3 17 -2 18 -2 18 -2 17 -2 17 -1 16 0 18 -2 15 -1 15 -1 15 -1 15 -1 14 0 16 -1 14 0 15 -1 16 -1 15 -2 0 0 15 -2 15 -3 14 -3 14 -4 14 -2 14 -3 15 -2 13 -3 14 -4 13 -4 14 -5 12 -4 13 -5 12 -6 13 -6 12 -7 14 -7 11 -7 12 -7 11 -8 12 -7 13 -7 13 -8 12 -10 12 -8 11 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -32 -8 -32 -7 -31 -3 -29 -3 -23 -13 -23 -12 -24 -13 -24 -14 -23 -13 -23 -12 -24 -11 -22 -10 -25 -11 -24 -13 -24 -13 -25 -11 -27 -9 -25 -9 -23 -11 -25 -8 -25 -6 -26 -8 -24 -6 -26 -9 -25 -10 -26 -7 -25 -9 -27 -6 -28 -10 -29 -6 -30 3 -28 -7 -29 -7 -28 -5 -30 -5 -28 -7 -29 -7 -29 -8 -30 -8 -30 -8 -31 -8 -32 -9 -30 -11 -31 -10 -30 -11 -30 -9 -30 -10 -33 -10 -28 -11 -28 -10 -29 -14 -27 -13 -27 -15 -26 -17 -26 -16 -24 -18 -25 -20 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 21 -21 22 -21 24 -21 24 -20 25 -20 23 -17 25 -18 24 -15 27 -18 27 -14 28 -14 27 -15 27 -17 27 -15 26 -11 26 -13 24 -14 25 -13 21 -12 24 -11 23 -11 24 -12 23 -11 23 -12 26 -11 23 -13 17 -21 22 -13 21 -13 20 -14 20 -14 20 -14 21 -14 21 -14 20 -15 21 -16 19 -15 19 -18 19 -16 18 -18 17 -17 14 -19 15 -19 17 -21 13 -18 13 -19 14 -21 14 -19 14 -21 15 -21 15 -22 14 -21 15 -22 7 -27 3 -34 6 -31 1 -31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1043350,0,110,0,0,1.224490,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -6 -15 -6 -18 -6 -17 -8 -17 -8 -14 -8 -15 -8 -13 -8 -14 -9 -14 -10 -15 -10 -15 -10 -14 -10 -14 -10 -12 -10 -15 -10 -12 -9 -12 -10 -12 -8 -12 -9 -12 -9 -13 -9 -11 -10 -12 -9 -13 -10 -12 -8 0 0 -13 -8 -13 -7 -13 -7 -13 -6 -12 -8 -13 -6 -13 -8 -12 -6 -13 -5 -13 -4 -13 -4 -12 -5 -13 -5 -13 -4 -13 -4 -13 -3 -15 -3 -12 -2 -13 -2 -13 -1 -13 -3 -14 -2 -15 -2 -15 -1 -14 -2 -13 -1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 15 23 18 23 19 20 17 19 8 23 8 21 10 22 8 23 10 22 7 20 10 21 9 19 12 22 10 23 9 22 11 21 13 22 12 21 9 20 12 20 14 17 13 20 13 16 13 20 11 20 15 20 12 21 16 19 14 23 16 20 21 16 15 19 17 20 17 20 18 19 16 20 17 21 16 21 16 20 17 22 18 22 17 24 16 24 16 23 15 23 18 22 16 23 19 25 13 23 14 22 14 25 12 24 12 25 10 27 9 26 7 26 6 28 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -30 -1 -28 -2 -31 -2 -29 -3 -31 -4 -27 -5 -30 -5 -26 -6 -30 -6 -29 -9 -29 -10 -29 -9 -30 -8 -29 -9 -25 -9 -27 -8 -26 -7 -27 -8 -24 -7 -25 -9 -24 -9 -26 -7 -24 -9 -25 -8 -26 -10 -24 -7 -27 -1 -24 -7 -25 -6 -24 -4 -24 -4 -24 -4 -25 -3 -24 -5 -24 -2 -25 -2 -25 -1 -25 0 -24 -2 -25 0 -24 0 -23 3 -23 3 -26 4 -21 3 -22 4 -23 5 -22 4 -23 6 -25 5 -24 5 -24 5 -25 5 -23 12 -23 17 -24 15 -22 19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1043762,0,110,0,0,1.235283,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -8 14 -7 16 -7 17 -6 16 -6 15 -5 16 -4 15 -3 16 -3 16 -3 16 -2 17 -3 16 -2 16 -2 15 -1 17 -2 14 -2 14 -1 14 -2 13 -1 14 0 14 -1 13 0 14 -1 15 -1 13 -2 0 0 14 -2 14 -3 14 -3 13 -4 12 -2 13 -3 14 -3 12 -4 13 -4 11 -6 12 -6 12 -4 12 -5 11 -6 11 -6 11 -7 13 -7 10 -7 11 -7 10 -7 12 -7 12 -7 12 -7 11 -9 12 -7 11 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -28 -14 -27 -12 -28 -9 -27 -8 -21 -16 -21 -14 -22 -15 -22 -16 -21 -14 -20 -14 -22 -14 -20 -13 -23 -14 -22 -15 -22 -15 -24 -13 -25 -13 -23 -13 -21 -13 -23 -12 -24 -9 -23 -12 -22 -9 -23 -12 -22 -13 -23 -11 -22 -12 -25 -8 -25 -13 -26 -10 -26 -4 -27 -10 -26 -10 -26 -9 -27 -9 -26 -11 -27 -11 -27 -11 -27 -11 -28 -11 -28 -11 -28 -13 -27 -14 -29 -14 -28 -15 -27 -12 -27 -13 -30 -15 -26 -14 -26 -14 -25 -17 -24 -16 -24 -18 -22 -20 -23 -20 -21 -21 -21 -21 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 22 -19 22 -19 23 -19 25 -18 25 -18 24 -16 26 -16 24 -14 27 -14 26 -12 27 -12 27 -13 27 -14 28 -12 25 -9 25 -11 24 -12 25 -11 22 -11 25 -10 24 -9 24 -11 23 -9 24 -11 26 -9 22 -11 20 -17 23 -11 22 -11 21 -13 21 -13 20 -12 21 -13 21 -12 19 -14 20 -15 18 -13 20 -16 19 -13 18 -16 18 -16 16 -17 16 -17 18 -19 15 -17 15 -17 15 -18 15 -17 15 -19 17 -18 16 -20 15 -19 16 -20 12 -23 10 -28 11 -28 8 -28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,1078463,0,110,0,0,1.248885,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -18 -7 -18 -8 -19 -7 -20 -5 -19 -4 -17 -4 -18 -3 -17 -2 -18 -2 -17 -2 -19 -2 -19 -2 -18 -1 -17 0 -15 -2 -18 -1 -15 -1 -15 -2 -15 -1 -15 -1 -14 -1 -15 0 -14 -1 -14 -2 -15 -3 -14 0 0 -2 -13 -4 -13 -4 -13 -4 -13 -3 -13 -3 -12 -3 -13 -4 -12 -4 -12 -5 -10 -6 -11 -5 -11 -5 -10 -6 -9 -6 -11 -7 -9 -8 -11 -7 -8 -8 -8 -8 -8 -8 -9 -8 -9 -9 -9 -10 -8 -8 -9 -9 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 4 24 4 25 7 24 7 22 -4 21 -3 19 -1 20 -4 20 -1 20 -2 19 -1 21 -1 19 0 21 -1 21 -2 23 1 21 2 24 0 22 -1 21 2 22 4 20 2 23 3 19 1 22 1 22 2 22 1 23 5 22 2 25 5 25 13 23 3 25 3 25 5 25 5 26 4 24 4 27 3 26 3 26 3 26 2 27 2 30 1 29 2 29 0 27 2 27 0 28 1 29 -2 26 -1 27 -3 28 -4 26 -4 26 -7 27 -7 25 -10 24 -11 26 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -22 -22 -21 -22 -23 -23 -20 -25 -20 -25 -18 -23 -18 -25 -16 -24 -18 -26 -14 -26 -14 -29 -15 -26 -16 -26 -14 -26 -11 -24 -13 -24 -13 -22 -13 -23 -12 -21 -12 -23 -11 -21 -13 -21 -10 -21 -12 -20 -12 -23 -13 -20 -19 -16 -12 -19 -13 -18 -14 -17 -13 -17 -13 -17 -14 -16 -14 -16 -15 -16 -15 -15 -14 -13 -16 -14 -14 -14 -16 -12 -15 -12 -16 -10 -16 -10 -19 -10 -16 -8 -16 -7 -17 -7 -17 -8 -18 -7 -19 -8 -19 -6 -18 -8 -20 -8 -21 1 -26 5 -24 4 -24 9 -1 -1 ]
