type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,152371,0,34,0,0,0.322446,128,[34 32 2 0 0 0 0 0 0 0 0 0 7 -24 8 -23 10 -26 11 -25 11 -22 13 -21 14 -21 14 -18 14 -20 17 -19 16 -21 16 -20 16 -20 17 -17 15 -16 16 -19 15 -15 15 -14 16 -14 16 -14 15 -15 16 -15 15 -13 14 -14 15 -16 14 -16 0 0 13 -16 14 -16 12 -16 12 -16 11 -14 12 -16 11 -17 10 -15 10 -17 11 -17 9 -17 8 -16 8 -18 6 -18 7 -18 6 -18 5 -21 4 -19 5 -19 4 -21 4 -20 2 -22 3 -22 0 -25 1 -24 0 -24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,171053,0,131,0,0,0.340895,128,[-125 48 8 0 0 0 0 0 0 0 0 0 4 25 2 25 1 26 -1 26 -2 26 -4 23 -4 24 -6 22 -5 25 -8 23 -7 25 -8 25 -8 23 -7 22 -8 20 -7 24 -8 20 -10 20 -7 20 -8 20 -7 19 -6 21 -8 17 -5 20 -6 20 -6 21 0 0 -5 19 -5 20 -4 20 -4 20 -3 17 -2 19 -2 19 -2 18 1 19 -1 18 0 19 0 17 2 17 2 19 3 20 5 19 7 20 7 19 7 17 8 18 8 19 10 19 12 19 12 20 11 19 13 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-65,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,172336,0,135,0,0,0.344957,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -8 2 -8 2 -9 3 -10 0 -10 1 -8 0 -10 0 -9 -1 -8 -1 -9 -2 -10 -2 -10 -2 -9 -2 -9 -2 -7 -3 -9 -2 -8 -3 -8 -2 -7 -2 -7 -2 -7 -3 -8 -2 -7 -3 -8 -3 -8 -3 -8 -2 0 0 -8 -2 -8 -2 -8 -2 -8 -1 -7 -2 -8 -1 -8 -1 -7 -1 -7 0 -7 1 -7 1 -6 0 -7 0 -6 1 -7 2 -6 2 -8 3 -6 3 -7 3 -6 4 -7 3 -6 3 -7 3 -7 5 -7 3 -6 4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 20 -4 22 -4 22 -8 19 -8 16 4 15 3 19 1 18 4 18 3 16 4 18 2 17 2 20 1 20 3 21 3 21 2 24 3 20 2 18 4 22 0 21 -4 21 -1 19 -4 21 0 23 1 22 -2 24 2 22 -3 27 2 27 -2 24 -14 26 -2 26 -3 26 -3 25 -5 27 0 29 -5 27 -5 29 -4 31 -4 30 -4 34 -2 33 -1 32 -1 33 -1 34 -6 33 -2 38 -3 32 0 34 -3 36 2 35 0 36 0 37 8 37 9 37 12 32 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -10 9 -10 7 -11 10 -12 8 -12 8 -11 5 -12 6 -12 5 -12 7 -14 4 -14 5 -15 4 -15 4 -15 4 -13 2 -13 5 -13 3 -14 3 -10 3 -12 3 -12 2 -13 4 -12 1 -12 2 -14 1 -12 3 -12 7 -12 2 -11 3 -12 3 -10 4 -11 4 -12 5 -10 3 -10 4 -11 8 -9 6 -10 7 -8 6 -8 6 -8 7 -6 8 -7 8 -9 9 -6 8 -6 8 -6 9 -5 9 -4 9 -7 11 -6 12 -6 12 -6 11 -2 16 3 19 3 18 7 18 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-66,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,194931,0,239,0,0,0.364952,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -10 -2 -10 -1 -12 -3 -11 -4 -10 -4 -9 -4 -10 -5 -8 -6 -8 -5 -8 -6 -9 -7 -10 -6 -10 -6 -8 -6 -7 -7 -9 -7 -7 -6 -6 -6 -6 -7 -7 -6 -7 -6 -7 -7 -6 -8 -7 -6 -7 -8 -7 -6 0 0 -7 -6 -8 -6 -7 -5 -7 -5 -6 -6 -7 -5 -8 -5 -6 -5 -7 -4 -8 -2 -8 -2 -7 -3 -8 -3 -7 -2 -7 -2 -8 0 -9 -1 -8 0 -8 0 -8 1 -9 0 -9 1 -10 1 -10 1 -10 1 -9 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 10 23 8 29 6 23 8 15 14 16 15 15 13 18 17 17 14 15 16 18 14 18 14 19 15 19 15 18 16 20 12 23 16 22 13 18 14 22 14 26 11 21 15 22 9 21 14 22 16 25 14 23 14 28 9 28 16 27 11 34 -4 31 12 29 12 33 12 30 12 33 16 35 14 34 13 35 15 34 16 33 13 37 16 36 15 39 15 38 17 41 15 38 16 43 19 39 21 37 20 37 22 36 22 36 25 33 29 35 28 35 28 34 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -17 3 -17 3 -17 1 -19 1 -17 -1 -18 -1 -18 -2 -17 -3 -18 -2 -17 -5 -17 -5 -19 -3 -20 -4 -17 -4 -15 -6 -16 -6 -17 -5 -14 -7 -12 -5 -14 -6 -14 -5 -16 -6 -13 -6 -16 -5 -15 -8 -14 -4 -17 0 -15 -5 -13 -4 -16 -3 -13 -3 -14 -5 -16 -3 -14 -3 -14 -2 -13 -1 -13 0 -12 1 -12 0 -13 2 -13 2 -12 4 -12 3 -14 4 -12 5 -12 6 -12 7 -12 6 -13 7 -14 7 -13 8 -13 10 -14 10 -9 14 -7 22 -8 22 -6 21 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-64,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,1016328,0,37,0,0,1.186447,128,[37 80 2 0 0 0 0 0 0 0 0 0 16 -15 16 -13 18 -15 19 -14 19 -13 18 -9 19 -11 18 -8 19 -9 20 -8 21 -9 21 -8 19 -7 20 -7 18 -6 20 -8 18 -6 17 -5 17 -5 17 -6 16 -5 17 -6 16 -4 17 -6 18 -7 16 -6 0 0 15 -7 15 -8 14 -8 14 -8 13 -7 13 -8 13 -9 12 -9 11 -10 12 -9 12 -11 10 -9 10 -10 10 -11 9 -11 9 -11 8 -14 7 -12 7 -13 6 -14 6 -14 5 -15 5 -15 4 -17 4 -16 3 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-68,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1016590,0,82,0,0,1.191033,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 -11 -4 -11 -5 -13 -3 -14 -2 -14 -1 -12 -2 -12 0 -12 -1 -12 1 -13 1 -13 0 -13 1 -13 1 -13 2 -10 1 -13 1 -11 2 -11 1 -11 1 -10 2 -11 2 -11 2 -9 1 -10 2 -12 1 -11 0 0 1 -10 -1 -10 0 -11 -1 -10 0 -9 0 -10 0 -10 -1 -10 0 -9 -2 -7 -3 -8 -3 -8 -2 -8 -3 -8 -4 -8 -5 -7 -5 -9 -5 -6 -6 -7 -6 -5 -5 -7 -7 -7 -7 -7 -7 -7 -6 -7 -7 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 9 21 10 22 14 20 16 21 2 20 3 19 5 21 1 24 4 21 3 20 6 22 5 20 8 24 5 23 6 24 7 24 9 26 8 24 7 21 13 24 16 23 11 23 14 18 12 22 11 25 16 24 12 24 20 22 17 29 21 26 32 17 20 27 22 25 23 24 24 24 20 28 26 25 24 24 25 28 27 27 26 27 28 31 26 29 29 31 26 31 31 30 29 29 33 33 27 32 32 32 27 36 27 35 29 35 23 39 23 40 19 41 18 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -16 -14 -12 -14 -13 -17 -12 -17 -11 -18 -9 -17 -10 -19 -8 -18 -10 -19 -7 -20 -7 -22 -8 -20 -7 -21 -7 -21 -5 -16 -7 -21 -8 -18 -6 -18 -7 -16 -5 -17 -4 -17 -7 -17 -4 -16 -6 -18 -4 -19 -7 -18 -13 -15 -5 -17 -7 -15 -8 -15 -8 -14 -6 -15 -8 -14 -8 -13 -9 -15 -8 -13 -6 -10 -10 -12 -8 -12 -11 -9 -10 -10 -12 -8 -12 -7 -13 -9 -10 -7 -14 -6 -13 -6 -13 -5 -15 -4 -16 -7 -15 -6 -14 -5 -15 -4 -18 4 -22 10 -20 8 -20 12 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-69,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1047611,0,110,0,0,1.217617,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 12 -4 10 -5 12 -8 11 -6 11 -7 8 -8 9 -8 9 -7 8 -9 8 -9 9 -9 9 -10 8 -10 8 -9 6 -10 9 -10 7 -9 6 -8 6 -8 6 -8 6 -8 7 -9 5 -10 6 -10 7 -9 7 0 0 -8 7 -7 8 -8 7 -6 7 -7 6 -6 7 -7 7 -6 7 -6 8 -4 7 -4 8 -4 7 -5 8 -3 8 -3 8 -2 8 -3 9 -1 8 0 9 1 7 -1 8 0 9 0 9 1 9 1 9 2 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 12 -23 8 -24 8 -27 7 -24 14 -17 14 -18 14 -20 17 -20 13 -19 13 -17 15 -20 11 -19 14 -24 14 -21 15 -24 13 -24 14 -27 13 -27 12 -23 11 -26 7 -30 14 -26 7 -27 10 -26 13 -26 10 -29 12 -27 4 -32 12 -32 5 -35 -6 -37 8 -37 9 -37 5 -35 6 -35 9 -37 6 -41 5 -37 6 -39 7 -41 5 -40 9 -43 8 -44 8 -45 9 -45 4 -45 8 -42 8 -48 11 -44 10 -44 15 -43 12 -46 14 -47 18 -43 20 -43 22 -42 25 -42 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 0 20 0 19 -2 21 -4 21 -5 20 -3 17 -6 20 -6 17 -6 21 -9 19 -9 20 -10 19 -9 21 -10 19 -10 17 -9 18 -9 19 -10 16 -7 14 -10 16 -10 14 -8 17 -11 13 -10 16 -12 17 -7 16 -2 19 -8 16 -8 15 -6 16 -6 13 -8 14 -5 14 -6 14 -5 16 -4 15 -4 13 -2 14 -3 15 -1 15 0 14 3 14 2 13 2 14 2 13 4 13 3 13 6 13 6 12 5 15 7 13 8 13 9 14 15 9 20 9 20 10 21 6 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-69,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1048575,0,110,0,0,1.228236,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -5 10 -5 11 -5 13 -3 12 -3 10 -2 12 -1 11 -1 11 -1 12 0 13 0 13 -1 13 2 12 2 10 1 12 0 11 1 10 2 10 1 9 2 9 2 11 1 8 3 10 2 12 3 10 1 0 0 10 2 9 0 10 1 10 0 9 0 10 0 9 1 8 -1 10 1 8 -1 8 -3 8 -1 8 -2 8 -3 7 -3 7 -5 9 -5 6 -5 7 -5 6 -6 8 -5 7 -7 7 -6 6 -8 8 -6 6 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -28 2 -27 3 -27 6 -25 7 -24 -5 -23 -4 -25 -3 -26 -5 -23 -4 -21 -4 -26 -3 -22 -2 -27 1 -28 -2 -28 -3 -28 0 -31 -1 -29 0 -25 -2 -28 3 -29 6 -30 1 -25 5 -28 3 -28 1 -30 5 -30 2 -30 8 -36 3 -34 9 -31 20 -36 10 -36 10 -34 11 -34 11 -38 8 -38 12 -36 11 -38 10 -38 11 -39 12 -44 10 -43 11 -45 11 -44 10 -42 15 -41 10 -45 13 -44 8 -45 10 -47 3 -47 9 -47 6 -47 0 -48 -2 -48 -4 -49 -7 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 16 -14 15 -15 17 -14 17 -13 17 -12 15 -10 18 -10 17 -8 20 -11 20 -6 21 -8 20 -7 22 -6 22 -6 18 -5 19 -6 19 -9 20 -5 16 -5 16 -3 17 -3 18 -6 16 -3 18 -5 20 -2 17 -5 15 -10 16 -3 16 -5 15 -6 14 -5 17 -5 15 -6 15 -5 13 -7 16 -7 15 -7 13 -9 14 -9 13 -10 11 -10 9 -12 9 -11 9 -12 8 -11 7 -12 8 -12 6 -14 6 -14 8 -14 6 -15 7 -15 7 -15 1 -19 -3 -25 -1 -23 -7 -21 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-65,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,1052954,0,110,0,0,1.238390,128,[110 96 6 0 0 0 0 0 0 0 0 0 21 -8 20 -8 23 -8 22 -6 23 -4 19 -2 22 -3 20 -2 22 -2 21 -1 22 0 22 1 22 1 21 1 19 2 21 0 18 1 19 3 17 2 18 1 17 1 19 2 17 2 18 1 19 0 18 0 0 0 17 -1 18 -1 17 -1 17 -2 14 -2 16 -4 16 -3 15 -2 15 -5 15 -4 15 -4 14 -5 14 -5 13 -5 13 -6 13 -8 13 -9 12 -8 13 -9 11 -10 11 -11 12 -12 11 -13 11 -13 11 -13 11 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-69,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1053428,0,110,0,0,1.242026,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 -11 -1 -10 -2 -12 0 -13 0 -12 1 -11 0 -13 1 -10 2 -11 2 -11 3 -12 3 -12 3 -11 3 -11 4 -9 3 -11 3 -10 4 -9 3 -9 2 -10 3 -9 2 -10 4 -8 4 -10 4 -11 3 -9 0 0 3 -9 1 -9 2 -10 0 -9 2 -8 1 -9 2 -9 1 -8 0 -8 -1 -7 -1 -8 0 -7 -1 -8 -2 -7 -2 -8 -4 -8 -3 -9 -3 -6 -5 -7 -4 -6 -4 -8 -5 -7 -5 -8 -6 -7 -4 -7 -5 -6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 9 20 8 20 13 18 12 15 -2 17 -1 16 0 19 -3 19 -1 17 0 15 2 18 2 15 4 19 2 20 2 21 2 20 4 23 3 22 2 19 6 20 9 19 5 22 8 17 7 19 5 20 10 20 6 22 11 20 9 26 12 23 27 17 13 24 12 25 12 21 14 22 12 26 17 24 16 22 16 23 16 25 15 25 15 29 17 31 17 30 15 28 20 26 16 26 20 31 13 30 16 29 12 32 16 30 16 30 10 34 9 36 7 34 5 37 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -10 -14 -10 -13 -11 -15 -9 -16 -9 -15 -6 -14 -8 -16 -6 -13 -7 -18 -5 -16 -6 -19 -4 -18 -5 -19 -5 -18 -3 -14 -5 -16 -5 -16 -3 -17 -3 -13 -4 -15 -3 -14 -6 -15 -3 -15 -3 -16 -2 -17 -4 -15 -9 -14 -3 -14 -5 -14 -5 -13 -4 -13 -4 -13 -5 -13 -5 -11 -5 -12 -7 -11 -8 -10 -7 -10 -6 -10 -8 -10 -8 -10 -9 -6 -9 -7 -9 -8 -9 -7 -9 -5 -9 -7 -11 -5 -12 -5 -12 -7 -13 -5 -12 -4 -13 -5 -16 3 -20 7 -16 7 -18 12 -1 -1 ]
