type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-48,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,135560,0,34,0,0,0.304988,128,[34 32 2 0 0 0 0 0 0 0 0 0 -24 -2 -23 -4 -25 -3 -25 -4 -25 -5 -22 -6 -23 -6 -22 -7 -22 -7 -22 -9 -24 -8 -23 -9 -22 -9 -21 -8 -19 -9 -23 -8 -19 -9 -19 -9 -18 -8 -19 -8 -18 -8 -19 -8 -17 -8 -18 -7 -20 -6 -19 -6 0 0 -18 -5 -19 -4 -18 -4 -18 -4 -16 -4 -18 -3 -18 -2 -17 -2 -17 -1 -17 -2 -18 -1 -16 -1 -16 0 -17 -1 -17 0 -17 0 -18 2 -16 1 -16 2 -16 2 -16 2 -16 3 -16 3 -16 4 -15 3 -15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-48,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,148950,0,131,0,0,0.318145,128,[-125 48 8 0 0 0 0 0 0 0 0 0 16 21 14 22 15 23 15 24 13 23 10 23 11 24 9 23 9 24 8 24 10 25 9 26 9 25 8 24 6 23 9 25 6 22 5 21 5 21 5 21 6 20 6 21 5 19 7 19 8 21 8 20 0 0 8 19 9 19 9 18 9 18 8 16 9 17 10 17 9 16 11 16 9 15 11 15 10 14 11 14 11 14 11 14 11 14 13 14 12 12 12 12 12 12 12 12 13 11 13 11 14 11 13 10 13 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,149945,0,135,0,0,0.322126,384,[-121 112 8 0 0 0 0 0 0 0 0 0 13 7 13 7 14 7 15 11 13 9 11 9 12 10 11 10 11 10 10 11 12 12 12 12 12 12 11 12 8 11 11 12 9 11 7 11 9 11 7 10 7 11 8 11 5 10 8 11 9 12 9 10 0 0 9 10 9 9 10 10 9 7 8 9 9 8 9 9 8 7 9 7 8 4 10 5 9 6 10 6 10 5 10 5 11 4 11 5 10 3 10 3 10 2 10 4 10 3 10 3 11 2 10 2 10 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -22 -35 -23 -32 -32 -31 -25 -27 -13 -29 -15 -29 -19 -29 -18 -33 -15 -27 -16 -26 -19 -26 -18 -24 -21 -25 -19 -23 -22 -25 -24 -21 -28 -25 -25 -21 -22 -21 -25 -21 -30 -16 -22 -20 -28 -15 -24 -16 -27 -19 -27 -16 -25 -16 -29 -10 -30 -16 -32 -13 -35 -2 -34 -12 -32 -13 -35 -11 -30 -7 -33 -12 -35 -8 -34 -9 -35 -8 -36 -10 -32 -6 -36 -8 -36 -9 -37 -10 -39 -8 -35 -5 -36 -8 -36 -9 -35 -7 -33 -5 -35 -8 -33 -7 -35 -6 -32 -13 -35 -12 -34 -11 -31 -9 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 50 6 53 6 55 10 61 16 52 16 51 18 50 16 50 19 54 20 47 21 52 23 51 23 57 29 52 25 45 27 45 27 51 24 41 26 44 23 38 23 40 25 43 23 35 24 40 22 43 28 42 21 46 3 41 22 38 20 44 18 35 14 43 22 38 15 38 14 41 15 40 10 31 6 39 6 36 7 39 5 41 4 38 0 40 0 41 3 36 -2 36 -3 36 -4 37 -5 36 -7 37 -2 39 -7 36 -6 34 -4 31 -13 40 -27 39 -30 34 -28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1133150,0,37,0,0,1.302624,128,[37 80 2 0 0 0 0 0 0 0 0 0 16 20 14 21 14 22 15 24 12 23 10 23 10 23 8 22 9 23 8 23 10 24 9 25 9 23 8 23 5 22 7 24 5 23 4 21 4 21 4 21 4 20 4 22 4 19 6 20 7 21 7 20 0 0 6 20 8 20 7 20 7 19 7 18 7 19 8 19 7 18 9 18 9 18 11 18 9 16 11 16 11 17 10 17 11 17 13 17 12 16 12 17 12 16 12 16 14 16 15 15 16 16 16 15 16 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1134409,0,37,0,0,1.306996,128,[37 80 2 0 0 0 0 0 0 0 0 0 23 -14 23 -11 25 -12 25 -12 25 -10 23 -7 25 -8 23 -5 25 -6 26 -5 26 -7 26 -6 24 -6 25 -5 22 -3 26 -5 23 -3 22 -2 22 -2 22 -2 21 -2 23 -1 19 -1 21 -4 23 -4 21 -4 0 0 20 -5 22 -5 20 -6 21 -6 18 -5 20 -6 20 -7 18 -6 19 -7 18 -7 19 -9 18 -7 18 -9 18 -9 18 -9 19 -10 19 -11 18 -11 19 -10 18 -11 18 -11 18 -12 18 -13 18 -15 18 -14 17 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1204742,0,110,0,0,1.374121,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -3 11 -3 12 -3 14 -2 12 -2 10 0 11 0 11 1 11 0 12 1 13 1 12 1 13 1 12 2 11 2 12 2 11 2 9 3 11 2 10 2 11 3 11 2 9 3 11 3 12 3 11 2 0 0 11 3 11 2 12 2 10 1 11 3 11 2 12 2 11 1 11 1 10 0 11 -1 10 1 11 0 11 -1 11 0 11 -2 13 -1 11 -3 11 -2 11 -3 11 -1 12 -2 13 -2 13 -3 12 -1 12 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -20 -23 -20 -24 -26 -22 -20 -21 -12 -25 -12 -24 -14 -25 -11 -29 -12 -25 -10 -23 -12 -25 -13 -22 -15 -27 -13 -26 -14 -28 -15 -26 -17 -29 -15 -28 -13 -27 -15 -26 -20 -26 -13 -28 -17 -24 -14 -27 -14 -28 -16 -28 -14 -29 -20 -26 -17 -33 -21 -30 -28 -25 -20 -33 -17 -35 -19 -32 -19 -32 -16 -37 -19 -36 -18 -34 -18 -37 -15 -38 -18 -36 -16 -41 -15 -43 -14 -44 -12 -45 -14 -42 -10 -43 -11 -47 -6 -45 -6 -44 -2 -45 -4 -47 -2 -47 4 -45 7 -45 9 -43 14 -43 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 18 -8 18 -9 20 -9 21 -8 21 -8 18 -4 19 -5 18 -4 23 -6 21 -2 22 -3 21 -4 24 -4 24 -3 20 -2 21 -1 23 -2 20 1 20 -3 20 0 19 0 20 -1 19 1 21 -1 23 1 19 -3 20 -7 21 0 20 -1 20 -3 17 -2 21 -1 20 -3 19 -2 21 -4 20 -3 17 -4 18 -6 20 -5 20 -7 20 -6 18 -9 18 -7 20 -8 17 -7 17 -8 18 -8 18 -10 19 -11 21 -8 20 -10 19 -9 21 -10 17 -14 21 -21 21 -24 18 -24 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1205500,0,110,0,0,1.385438,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -7 7 -6 9 -7 11 -6 9 -6 8 -5 9 -5 9 -5 9 -5 10 -3 10 -4 11 -4 11 -3 11 -3 9 -2 11 -4 9 -3 9 -2 10 -2 9 -3 9 -2 10 -2 8 -1 10 -2 11 -2 10 -3 0 0 10 -3 9 -4 9 -3 9 -5 9 -3 9 -3 10 -3 9 -4 9 -5 7 -6 8 -6 8 -4 8 -5 8 -5 8 -6 8 -7 10 -7 7 -7 7 -8 6 -8 8 -7 8 -7 9 -8 8 -8 9 -7 8 -8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -27 3 -28 4 -27 8 -24 8 -21 -7 -21 -7 -22 -6 -23 -9 -21 -7 -18 -6 -21 -6 -19 -5 -24 -5 -23 -7 -24 -8 -24 -6 -27 -6 -24 -6 -22 -6 -24 -4 -25 -1 -25 -7 -22 -2 -23 -6 -24 -7 -25 -3 -25 -7 -27 -1 -28 -8 -29 -3 -30 12 -31 -5 -30 -6 -28 -4 -28 -4 -31 -8 -32 -5 -30 -6 -32 -6 -31 -8 -31 -7 -34 -11 -34 -13 -34 -13 -35 -13 -34 -9 -32 -13 -35 -13 -32 -17 -32 -15 -30 -20 -32 -18 -31 -20 -27 -24 -25 -27 -24 -26 -22 -30 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 7 -15 7 -15 9 -16 11 -16 10 -15 9 -13 11 -14 9 -12 11 -16 13 -12 13 -14 13 -13 15 -14 14 -14 12 -12 12 -12 12 -14 13 -11 11 -10 12 -10 12 -9 11 -12 12 -9 13 -11 15 -11 12 -12 6 -17 12 -11 11 -11 10 -12 9 -11 11 -12 10 -13 11 -12 11 -13 9 -13 8 -11 9 -14 10 -13 9 -15 8 -14 5 -15 7 -15 7 -16 6 -15 5 -15 6 -15 4 -16 4 -17 7 -17 6 -17 6 -17 6 -18 -1 -20 -5 -26 -5 -27 -8 -25 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1206056,0,110,0,0,1.396070,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 -12 3 -11 5 -11 6 -13 6 -11 6 -10 6 -11 6 -9 6 -10 7 -9 8 -11 8 -11 8 -10 9 -10 8 -8 8 -11 8 -9 8 -8 8 -8 7 -8 9 -7 8 -8 8 -7 8 -8 9 -9 8 -9 0 0 8 -9 7 -10 7 -10 6 -10 8 -8 7 -9 7 -9 7 -9 7 -10 4 -10 5 -11 5 -9 6 -10 4 -10 4 -11 4 -12 5 -13 3 -11 4 -12 2 -11 4 -12 4 -12 5 -12 3 -13 5 -13 3 -13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -22 18 -23 20 -22 24 -19 22 -23 5 -22 5 -25 7 -26 5 -23 6 -21 4 -24 6 -21 6 -25 8 -25 6 -27 6 -26 7 -29 9 -26 8 -24 6 -25 9 -25 13 -27 7 -22 11 -25 8 -26 5 -26 11 -28 7 -26 13 -32 9 -30 12 -24 27 -33 13 -32 10 -29 11 -30 13 -34 10 -33 14 -32 11 -33 11 -35 10 -34 11 -38 8 -40 8 -40 7 -40 6 -39 10 -38 5 -42 6 -39 1 -40 3 -40 -4 -41 -1 -42 -2 -40 -10 -40 -12 -38 -13 -38 -17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -2 -19 -2 -18 -1 -20 0 -20 1 -20 0 -19 3 -20 0 -17 1 -21 4 -19 4 -22 4 -21 4 -22 5 -21 5 -17 4 -20 3 -20 6 -19 4 -16 5 -17 6 -16 4 -18 5 -17 5 -18 7 -19 3 -19 -5 -21 5 -19 4 -17 2 -17 2 -17 5 -18 2 -19 3 -18 2 -19 0 -19 1 -18 0 -18 1 -18 -1 -19 -1 -19 -4 -18 -2 -18 -2 -19 -3 -17 -4 -18 -3 -19 -5 -19 -4 -19 -2 -20 -5 -20 -4 -20 -4 -21 -16 -18 -20 -21 -22 -22 -24 -17 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1206714,0,110,0,0,1.406524,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -11 -2 -11 -2 -11 -1 -13 -1 -11 0 -11 0 -11 0 -11 0 -11 1 -11 1 -13 1 -13 1 -12 2 -11 2 -10 2 -12 2 -11 3 -10 1 -10 1 -9 2 -10 2 -10 3 -9 3 -11 2 -11 2 -11 0 0 2 -11 1 -11 1 -11 0 -11 2 -10 1 -10 1 -11 1 -10 1 -11 -1 -10 -1 -11 0 -10 -1 -11 -2 -10 -1 -11 -3 -11 -2 -13 -3 -11 -3 -11 -4 -10 -2 -12 -3 -11 -3 -12 -4 -12 -2 -12 -4 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -21 14 -22 15 -20 20 -19 16 -23 10 -21 10 -22 13 -25 10 -22 11 -20 10 -22 12 -20 11 -24 14 -22 12 -26 13 -23 14 -25 16 -24 15 -22 12 -24 16 -22 19 -25 14 -20 16 -24 14 -25 13 -23 17 -25 14 -23 19 -28 17 -26 20 -22 23 -28 20 -29 19 -27 20 -27 21 -31 17 -31 21 -29 19 -31 20 -32 19 -31 19 -35 19 -36 18 -37 18 -38 17 -37 19 -37 15 -40 17 -40 12 -39 13 -40 7 -42 10 -42 7 -41 2 -42 0 -41 -2 -42 -6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -6 -19 -5 -19 -5 -21 -3 -22 -3 -19 -3 -18 -2 -21 -3 -19 -3 -23 0 -21 -1 -23 -1 -23 0 -22 0 -22 1 -19 0 -21 0 -23 2 -21 0 -18 1 -19 2 -18 0 -19 3 -18 1 -19 3 -20 0 -20 -2 -18 1 -20 0 -19 -1 -19 -1 -18 1 -19 -2 -19 0 -18 -2 -20 -3 -20 -3 -18 -5 -19 -3 -18 -5 -20 -5 -19 -6 -18 -5 -19 -7 -20 -7 -18 -8 -18 -7 -18 -9 -19 -9 -18 -8 -20 -9 -19 -9 -20 -8 -20 -12 -18 -17 -21 -18 -20 -19 -17 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1207049,0,110,0,0,1.417470,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -2 -12 -1 -13 -2 -14 -4 -12 -3 -12 -4 -13 -5 -11 -5 -11 -5 -11 -5 -13 -7 -13 -6 -12 -6 -11 -6 -9 -7 -12 -7 -11 -7 -9 -7 -10 -6 -9 -6 -9 -7 -10 -6 -8 -8 -10 -7 -11 -8 -11 -6 0 0 -11 -7 -11 -5 -11 -6 -11 -6 -10 -7 -10 -6 -11 -7 -10 -6 -11 -7 -10 -4 -12 -4 -10 -4 -11 -5 -11 -3 -11 -4 -12 -3 -14 -4 -12 -3 -13 -3 -11 -2 -12 -4 -12 -3 -13 -3 -14 -2 -13 -4 -13 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 14 25 13 26 19 24 16 22 3 25 4 24 6 25 2 28 4 25 3 23 4 26 5 22 6 27 4 27 4 29 5 28 7 30 6 28 4 26 8 28 11 28 5 30 9 25 5 27 4 28 8 28 4 30 10 29 5 34 10 33 20 30 9 36 6 35 9 33 9 34 5 36 8 37 7 35 6 37 5 37 4 38 2 42 1 43 1 43 -1 43 3 42 -2 40 -1 45 -7 42 -6 42 -11 41 -9 43 -10 43 -17 39 -19 39 -22 37 -25 35 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -21 2 -21 3 -21 2 -23 0 -21 -1 -21 -1 -22 -3 -20 -2 -24 -2 -21 -4 -24 -5 -24 -4 -24 -5 -23 -5 -20 -5 -21 -7 -23 -4 -21 -7 -18 -4 -19 -7 -18 -7 -21 -5 -19 -8 -20 -6 -20 -9 -21 -5 -21 -1 -20 -7 -19 -5 -19 -4 -19 -4 -21 -6 -20 -4 -20 -4 -21 -3 -21 -3 -19 -4 -21 -1 -19 -2 -21 -1 -21 -1 -19 1 -20 0 -22 1 -20 1 -20 2 -20 1 -21 3 -20 3 -22 1 -22 3 -22 1 -23 1 -22 10 -24 16 -26 15 -24 19 -1 -1 ]
