type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,131662,0,34,0,0,0.309667,128,[34 32 2 0 0 0 0 0 0 0 0 0 11 16 10 16 11 18 11 18 10 19 8 17 8 19 7 18 8 19 7 19 8 20 7 21 7 20 7 19 5 18 8 21 5 18 5 19 5 18 6 18 5 18 6 19 4 17 6 18 7 19 7 18 0 0 8 17 8 18 8 17 8 17 7 15 9 16 9 16 9 15 10 15 8 16 10 16 9 14 9 15 10 15 10 15 10 14 12 15 10 14 11 13 11 13 11 13 11 13 12 13 12 12 11 12 11 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,143563,0,131,0,0,0.321341,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -19 -2 -19 -3 -20 -3 -22 -3 -20 -4 -19 -5 -20 -5 -19 -6 -19 -7 -19 -7 -21 -6 -21 -7 -20 -7 -20 -7 -19 -7 -21 -7 -19 -9 -18 -8 -18 -8 -18 -8 -18 -8 -19 -8 -16 -8 -18 -7 -20 -6 -20 -7 0 0 -19 -6 -20 -6 -20 -5 -19 -5 -18 -5 -19 -4 -19 -4 -18 -5 -19 -4 -18 -4 -19 -3 -18 -3 -18 -2 -19 -3 -18 -3 -19 -3 -19 -2 -18 -1 -18 -2 -18 -1 -17 -1 -18 -1 -18 0 -18 0 -17 0 -17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,144612,0,135,0,0,0.325801,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -9 -11 -9 -11 -10 -13 -9 -15 -9 -13 -7 -13 -7 -13 -7 -13 -7 -13 -6 -14 -7 -16 -8 -16 -7 -16 -6 -15 -4 -14 -7 -17 -5 -15 -4 -15 -4 -15 -4 -14 -4 -15 -4 -15 -2 -14 -4 -15 -4 -17 -5 -15 0 0 -5 -16 -6 -15 -6 -16 -6 -14 -4 -15 -5 -15 -5 -16 -5 -14 -6 -15 -7 -12 -9 -13 -6 -13 -6 -12 -8 -12 -7 -13 -9 -12 -9 -15 -8 -11 -9 -11 -9 -9 -8 -12 -8 -11 -9 -12 -9 -11 -8 -11 -8 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -5 22 -5 23 -1 24 -1 21 -7 17 -6 16 -5 18 -7 20 -6 17 -5 15 -3 17 -3 16 -1 17 -3 16 -3 18 0 18 -1 20 0 17 -2 15 1 17 4 17 1 17 4 14 2 16 2 18 4 16 2 17 6 15 4 19 6 18 11 16 7 18 6 18 8 19 8 17 7 19 8 19 9 18 8 20 9 20 10 19 9 22 9 21 7 21 9 22 10 22 9 22 9 25 7 22 8 22 6 22 7 24 6 22 3 25 2 23 1 25 -1 23 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -20 -12 -21 -11 -23 -14 -23 -16 -22 -16 -19 -16 -20 -15 -20 -17 -22 -18 -19 -19 -21 -21 -20 -21 -23 -24 -21 -22 -16 -21 -20 -22 -20 -21 -18 -22 -17 -19 -16 -20 -16 -21 -18 -21 -15 -21 -16 -21 -16 -25 -18 -20 -23 -15 -17 -21 -16 -20 -18 -21 -17 -17 -16 -22 -17 -20 -16 -19 -19 -20 -21 -20 -19 -15 -21 -17 -17 -16 -19 -16 -20 -17 -20 -14 -19 -16 -22 -18 -19 -12 -19 -13 -19 -11 -20 -13 -21 -11 -20 -15 -21 -13 -20 -13 -18 -12 -22 -8 -27 -5 -26 -4 -28 0 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,171368,0,239,0,0,0.349244,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 10 12 9 13 11 13 10 15 9 15 8 14 7 16 7 15 7 16 8 15 7 17 7 18 7 17 7 17 6 16 7 18 6 16 5 16 6 16 5 16 5 17 6 17 3 16 6 16 6 18 6 16 0 0 7 16 7 16 7 17 8 16 6 16 8 16 7 17 7 14 8 15 8 12 9 14 8 13 9 14 9 13 9 13 10 12 11 14 10 11 10 12 10 9 10 11 10 11 11 12 12 10 10 11 11 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 8 -29 8 -30 3 -29 2 -26 8 -26 6 -23 5 -26 7 -26 5 -25 5 -22 4 -25 3 -23 1 -24 2 -24 4 -24 1 -24 0 -26 0 -24 1 -22 -3 -25 -4 -25 -2 -24 -6 -23 -6 -25 -4 -25 -5 -23 -3 -23 -7 -24 -5 -27 -7 -25 -10 -25 -9 -26 -9 -26 -10 -24 -11 -24 -9 -25 -12 -26 -11 -25 -11 -26 -11 -25 -10 -25 -10 -28 -10 -28 -11 -28 -10 -27 -11 -27 -10 -27 -11 -29 -7 -26 -9 -27 -9 -28 -8 -27 -8 -28 -5 -28 -4 -27 -3 -28 -2 -28 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 22 18 22 18 24 20 22 22 24 22 19 22 21 24 19 24 21 24 20 25 18 28 20 27 21 29 18 29 14 26 19 28 20 28 17 29 18 26 18 27 16 27 18 26 13 25 17 27 16 31 17 27 22 24 18 28 18 25 18 25 18 23 17 25 21 25 19 25 20 23 20 22 18 21 20 23 20 23 22 23 22 19 22 19 21 18 24 19 19 16 23 15 23 16 24 15 23 15 23 18 23 15 23 16 23 14 26 12 30 10 29 9 32 5 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-49,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1017713,0,37,0,0,1.195753,128,[37 80 2 0 0 0 0 0 0 0 0 0 -6 -17 -5 -18 -6 -19 -6 -19 -5 -19 -4 -18 -4 -19 -3 -19 -3 -20 -2 -20 -3 -21 -3 -22 -2 -21 -2 -20 -1 -19 -3 -22 -1 -20 0 -19 -1 -19 -1 -20 -1 -18 -1 -20 0 -18 -2 -20 -2 -21 -3 -20 0 0 -3 -20 -3 -21 -3 -20 -4 -21 -3 -19 -4 -20 -5 -20 -4 -20 -5 -20 -4 -20 -5 -21 -4 -19 -5 -19 -5 -20 -5 -20 -6 -20 -7 -21 -6 -19 -6 -20 -7 -20 -7 -19 -7 -20 -7 -20 -8 -21 -7 -19 -7 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1017988,0,82,0,0,1.200558,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 -9 -13 -10 -15 -11 -15 -12 -14 -12 -11 -11 -13 -13 -12 -12 -12 -13 -11 -14 -12 -15 -13 -15 -12 -15 -11 -16 -10 -15 -12 -16 -10 -15 -10 -15 -10 -14 -11 -15 -10 -15 -10 -16 -9 -15 -10 -15 -11 -17 -11 -15 0 0 -11 -15 -12 -14 -12 -15 -12 -14 -11 -15 -12 -15 -12 -15 -13 -14 -13 -13 -13 -11 -14 -13 -12 -13 -13 -13 -13 -12 -13 -13 -14 -12 -15 -13 -15 -10 -14 -11 -14 -10 -15 -12 -15 -11 -16 -12 -16 -10 -14 -12 -15 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -17 31 -16 33 -13 33 -12 30 -16 29 -14 27 -13 29 -16 30 -12 29 -12 25 -12 27 -10 26 -11 28 -12 28 -13 27 -10 28 -9 29 -9 27 -10 24 -6 28 -6 27 -7 26 -4 25 -6 27 -7 27 -4 27 -6 26 -3 28 -7 29 -3 28 -3 28 -3 27 -2 29 -1 29 -1 27 -3 28 -2 28 -2 27 -2 29 -1 28 -2 28 -3 28 -4 28 -2 28 -3 28 -3 28 -3 26 -3 29 -5 25 -3 25 -5 25 -5 25 -5 25 -7 25 -7 24 -9 23 -11 22 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 -26 -17 -25 -18 -28 -19 -26 -19 -28 -20 -23 -20 -25 -22 -23 -21 -25 -24 -24 -26 -22 -27 -23 -26 -24 -27 -23 -26 -20 -26 -23 -27 -22 -25 -21 -27 -21 -24 -21 -26 -21 -27 -23 -27 -20 -28 -21 -28 -21 -31 -22 -28 -21 -26 -21 -26 -23 -26 -24 -25 -23 -23 -22 -28 -23 -25 -23 -24 -26 -26 -26 -23 -26 -21 -25 -23 -23 -24 -27 -22 -25 -21 -28 -21 -26 -20 -30 -21 -26 -18 -28 -16 -28 -17 -29 -18 -30 -17 -30 -20 -30 -18 -29 -19 -28 -19 -30 -16 -34 -17 -33 -16 -35 -11 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1044666,0,110,0,0,1.222480,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -14 -5 -13 -5 -14 -4 -16 -4 -16 -3 -15 -3 -15 -2 -16 -2 -16 -1 -17 0 -18 -1 -18 0 -18 1 -18 1 -17 0 -19 1 -17 1 -17 0 -17 0 -17 2 -17 1 -17 3 -16 2 -17 2 -19 1 -17 0 0 2 -18 -1 -18 0 -18 0 -18 2 -17 0 -18 1 -18 0 -17 0 -18 -1 -17 -1 -17 0 -16 -1 -18 -2 -17 -1 -17 -2 -17 -3 -19 -3 -16 -2 -17 -3 -16 -2 -17 -3 -18 -3 -18 -4 -17 -1 -17 -3 -16 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -20 25 -20 27 -15 28 -14 25 -23 15 -21 14 -20 16 -22 16 -19 17 -19 14 -19 17 -18 15 -19 18 -20 16 -20 16 -18 18 -18 19 -17 18 -18 16 -15 18 -13 19 -15 19 -12 18 -15 18 -15 17 -13 20 -15 19 -12 21 -15 21 -13 22 -5 26 -13 22 -13 22 -11 22 -13 23 -12 21 -13 23 -13 23 -12 22 -13 23 -13 22 -14 23 -15 22 -13 24 -15 22 -13 22 -14 21 -15 23 -15 20 -14 20 -16 20 -15 18 -16 19 -17 18 -17 17 -18 15 -20 15 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -15 -20 -14 -20 -16 -21 -14 -23 -15 -24 -13 -23 -13 -25 -12 -25 -14 -26 -10 -27 -10 -29 -11 -28 -12 -29 -10 -29 -7 -28 -10 -28 -9 -28 -9 -29 -9 -26 -8 -29 -6 -28 -9 -29 -6 -28 -9 -29 -6 -32 -9 -30 -17 -26 -8 -29 -10 -29 -10 -28 -10 -28 -9 -28 -10 -29 -9 -30 -11 -28 -12 -29 -11 -27 -13 -28 -10 -28 -14 -28 -12 -28 -14 -26 -13 -26 -17 -29 -14 -24 -14 -25 -16 -25 -15 -24 -16 -25 -15 -27 -15 -26 -15 -26 -16 -27 -24 -20 -30 -18 -27 -20 -30 -15 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1045321,0,110,0,0,1.234336,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 10 -6 9 -6 11 -8 10 -7 10 -7 9 -8 10 -8 9 -9 10 -10 9 -11 10 -11 10 -10 9 -11 9 -11 8 -11 10 -11 8 -11 9 -11 8 -11 8 -11 8 -11 9 -11 7 -12 8 -13 9 -11 9 0 0 -12 9 -11 10 -11 10 -11 11 -12 8 -11 10 -12 10 -11 9 -11 11 -10 10 -11 10 -10 9 -10 10 -9 10 -10 11 -9 11 -11 12 -8 11 -9 11 -7 11 -9 11 -9 11 -10 11 -8 12 -10 11 -8 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 53 -8 55 -9 54 -14 48 -16 45 7 44 4 45 3 47 6 43 4 39 5 43 1 41 0 44 -3 43 2 44 4 44 -1 46 -2 43 -1 38 0 42 -5 41 -9 42 -5 37 -8 40 -6 38 -5 39 -8 41 -5 41 -13 45 -7 44 -12 38 -24 44 -12 42 -12 41 -12 42 -15 41 -13 42 -12 43 -12 41 -13 43 -14 44 -13 46 -12 45 -7 45 -12 45 -12 43 -13 44 -11 47 -12 42 -9 41 -9 44 -7 42 -7 43 -5 42 -1 42 1 43 2 41 5 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -5 38 -5 38 -6 41 -9 42 -10 42 -11 39 -11 43 -12 40 -13 46 -19 42 -21 46 -20 45 -19 46 -23 44 -25 40 -22 43 -20 43 -23 45 -21 40 -25 43 -25 41 -23 43 -25 40 -25 43 -31 44 -24 43 -12 52 -25 43 -23 44 -23 44 -21 44 -23 43 -22 46 -22 44 -21 45 -22 48 -21 45 -19 47 -23 44 -18 47 -18 46 -13 47 -15 47 -16 52 -12 44 -11 45 -10 46 -10 45 -10 47 -14 47 -14 48 -14 47 -13 50 3 52 12 59 9 56 16 56 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1046782,0,110,0,0,1.244923,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -7 -13 -7 -14 -8 -14 -9 -13 -9 -12 -10 -13 -10 -12 -10 -12 -11 -12 -11 -12 -13 -13 -12 -13 -12 -12 -14 -11 -13 -13 -13 -11 -13 -11 -13 -11 -13 -11 -13 -11 -14 -11 -14 -10 -14 -11 -14 -12 -16 -11 -14 0 0 -11 -14 -12 -13 -13 -14 -13 -13 -11 -14 -12 -14 -12 -14 -12 -13 -12 -13 -12 -11 -13 -12 -12 -13 -13 -13 -13 -11 -13 -12 -14 -11 -15 -12 -14 -9 -14 -10 -14 -8 -14 -11 -14 -11 -15 -11 -15 -9 -14 -11 -14 -9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -4 32 -3 32 2 32 1 29 -8 27 -7 25 -6 27 -8 27 -5 26 -6 23 -4 26 -4 23 -3 26 -5 26 -6 25 -3 25 -2 27 -2 25 -3 23 0 25 2 23 0 25 2 23 0 24 0 24 3 25 0 24 4 25 1 27 3 26 8 25 4 25 5 26 6 26 6 26 4 25 6 26 5 26 5 25 5 26 3 27 4 28 2 28 4 28 3 27 5 26 4 26 4 29 1 25 3 25 1 26 1 25 0 26 -2 26 -3 25 -5 24 -5 25 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -25 -8 -25 -7 -27 -7 -27 -9 -27 -10 -24 -11 -27 -11 -25 -11 -28 -13 -27 -16 -26 -17 -27 -17 -29 -17 -27 -18 -24 -18 -26 -18 -25 -17 -27 -19 -24 -16 -25 -19 -24 -18 -26 -18 -24 -20 -26 -20 -25 -23 -25 -19 -29 -15 -24 -20 -26 -18 -26 -18 -26 -17 -26 -18 -28 -17 -26 -18 -27 -16 -28 -16 -27 -15 -28 -16 -26 -18 -29 -17 -27 -15 -29 -13 -28 -14 -32 -14 -27 -12 -27 -11 -29 -10 -28 -11 -29 -10 -30 -12 -30 -12 -29 -13 -29 -12 -31 -5 -36 -3 -33 -3 -34 2 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1047102,0,110,0,0,1.256208,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 5 -10 6 -11 6 -13 6 -13 6 -11 4 -12 5 -12 5 -13 5 -14 4 -14 3 -15 3 -15 3 -15 3 -14 2 -15 3 -13 2 -14 3 -13 2 -14 1 -14 1 -15 2 -14 1 -15 2 -16 1 -14 2 0 0 -15 3 -15 3 -15 3 -15 4 -14 2 -15 3 -16 2 -14 3 -15 4 -13 4 -14 5 -14 3 -14 4 -13 4 -15 4 -13 5 -16 6 -12 6 -13 6 -13 6 -14 5 -14 5 -14 5 -14 7 -14 5 -13 6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 54 6 58 7 54 1 52 -6 38 21 35 19 37 17 37 19 36 17 33 17 38 15 34 14 38 12 37 16 39 17 37 13 40 12 38 13 34 14 38 9 36 4 39 4 35 3 37 7 34 9 37 4 38 8 40 4 41 8 41 2 42 -19 41 2 40 2 38 0 40 -1 38 0 42 1 40 1 39 0 43 -1 41 1 45 2 45 6 43 4 41 5 43 -1 39 3 45 3 38 4 39 3 41 7 38 6 38 6 38 11 37 12 36 15 37 16 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -19 29 -21 28 -22 35 -26 31 -28 33 -28 28 -27 32 -28 29 -30 35 -35 30 -38 29 -37 31 -37 33 -40 29 -37 25 -35 30 -34 28 -36 33 -33 26 -39 28 -36 25 -36 31 -40 24 -40 27 -46 26 -39 29 -29 47 -38 28 -38 29 -36 30 -37 30 -35 29 -37 32 -38 29 -34 32 -35 35 -35 33 -35 34 -38 30 -35 35 -36 31 -28 36 -29 34 -32 41 -25 34 -24 36 -26 38 -26 35 -26 38 -30 39 -31 38 -30 37 -29 39 -7 56 -7 60 -7 54 3 59 -1 -1 ]
