type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,B2:35:9F:41:7C:6A,-58,11,0,0,0,0,0,0,0,0,0,-95,0,6,0,109202,0,204,0,0,0.278058,128,[-52 -64 12 0 5 19 7 19 7 20 7 20 8 20 8 20 8 21 9 22 8 23 10 24 10 24 10 24 10 24 10 25 10 25 9 24 9 23 8 22 8 21 7 22 7 22 6 25 5 26 4 26 3 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 9 -7 9 -7 9 -7 8 -6 9 -6 9 -5 8 -5 9 -5 9 -5 10 -4 11 -4 11 -3 12 -3 12 -2 13 -1 13 0 13 1 14 1 14 1 14 2 14 2 15 3 16 4 16 4 17 5 17 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,139256,0,34,0,0,0.307788,128,[34 32 2 0 0 0 0 0 0 0 0 0 18 7 16 7 19 8 19 8 19 9 16 9 17 10 15 10 17 11 17 13 18 13 18 14 17 13 16 13 14 12 19 13 14 12 15 13 14 12 15 12 14 12 16 13 13 13 15 12 17 12 16 12 0 0 17 11 18 11 17 10 18 10 15 9 18 9 18 10 17 9 19 8 18 10 19 9 17 9 18 8 19 8 19 8 19 8 22 7 19 7 20 7 20 6 20 6 21 6 21 6 21 6 20 6 20 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,150447,0,131,0,0,0.318886,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -9 -8 -9 -9 -9 -9 -9 -9 -8 -10 -7 -9 -7 -10 -7 -10 -6 -11 -7 -10 -8 -11 -8 -11 -7 -11 -6 -11 -5 -10 -7 -12 -5 -12 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -10 -7 -11 -7 -11 -7 -11 0 0 -6 -10 -6 -11 -7 -11 -6 -10 -6 -10 -6 -10 -7 -11 -6 -11 -7 -10 -7 -9 -8 -10 -7 -9 -7 -10 -7 -11 -7 -10 -8 -10 -8 -10 -8 -10 -7 -10 -8 -9 -8 -10 -8 -10 -9 -9 -9 -9 -9 -9 -8 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,150918,0,135,0,0,0.323269,256,[-121 112 8 0 0 0 0 0 0 0 0 0 6 -9 7 -8 7 -9 8 -10 9 -8 8 -7 9 -8 8 -7 9 -7 9 -7 10 -8 11 -8 10 -7 9 -8 9 -7 10 -9 10 -6 9 -6 9 -6 9 -7 9 -7 10 -6 9 -6 8 -7 9 -8 8 -7 0 0 8 -7 9 -8 8 -8 8 -8 7 -8 9 -9 8 -9 7 -8 8 -9 7 -8 7 -9 7 -9 7 -9 8 -9 6 -9 7 -9 6 -11 6 -10 6 -10 6 -10 6 -10 6 -11 6 -11 5 -11 6 -11 5 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 -8 -20 -4 -18 3 -21 2 -18 4 -19 5 -21 5 -18 6 -18 6 -18 7 -18 8 -17 6 -17 7 -19 8 -18 8 -17 7 -19 10 -18 9 -19 10 -16 8 -16 9 -18 9 -18 9 -17 9 -17 9 -16 9 -17 8 -19 7 -18 -1 -1 7 -16 7 -19 7 -19 7 -18 7 -18 7 -18 6 -18 6 -19 6 -18 4 -19 3 -21 3 -19 3 -18 5 -20 3 -21 3 -19 4 -22 2 -20 4 -20 2 -19 3 -22 4 -19 0 -21 -1 -21 1 -19 1 -20 -9 -20 -10 -19 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-45,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1014771,0,37,0,0,1.183459,128,[37 80 2 0 0 0 0 0 0 0 0 0 -21 -5 -20 -6 -22 -6 -22 -7 -21 -8 -19 -8 -20 -9 -19 -10 -20 -10 -20 -11 -21 -11 -21 -12 -20 -12 -20 -12 -18 -12 -22 -12 -18 -12 -18 -12 -18 -12 -18 -12 -17 -12 -19 -12 -17 -12 -19 -11 -20 -12 -19 -11 0 0 -19 -11 -21 -11 -20 -10 -21 -10 -18 -9 -20 -9 -21 -9 -20 -9 -21 -8 -20 -10 -22 -9 -20 -8 -21 -8 -21 -9 -21 -8 -22 -7 -24 -7 -22 -7 -21 -7 -22 -6 -22 -6 -23 -6 -23 -6 -24 -6 -22 -6 -22 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1139644,0,37,0,0,1.308238,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 -15 13 -15 14 -15 15 -16 15 -14 15 -12 16 -13 15 -11 17 -12 17 -11 18 -13 18 -13 18 -12 17 -12 17 -10 19 -12 17 -10 17 -9 17 -9 17 -9 17 -9 18 -10 16 -8 16 -10 18 -12 17 -11 0 0 17 -11 17 -12 17 -12 16 -12 15 -11 16 -12 16 -13 15 -12 16 -13 16 -12 16 -14 14 -13 15 -14 16 -14 15 -13 16 -15 15 -16 15 -14 15 -14 15 -15 15 -15 15 -16 14 -16 14 -17 14 -16 14 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-45,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1140151,0,110,0,0,1.312990,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -14 3 -13 3 -15 6 -16 6 -15 6 -13 7 -14 7 -13 7 -13 8 -13 9 -14 9 -15 9 -14 10 -13 10 -11 10 -15 10 -13 10 -11 10 -12 9 -11 10 -11 10 -12 10 -9 11 -11 12 -13 10 -12 0 0 11 -12 10 -13 11 -14 9 -13 11 -11 10 -13 11 -13 10 -12 10 -13 6 -13 7 -14 9 -12 9 -13 8 -14 8 -14 7 -15 9 -16 6 -14 7 -15 5 -14 8 -14 7 -15 8 -15 6 -16 8 -14 6 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -31 13 -31 14 -31 20 -27 17 -27 0 -27 1 -28 2 -29 0 -26 1 -23 0 -26 2 -22 3 -27 4 -26 2 -27 2 -26 4 -29 5 -26 4 -24 3 -25 6 -25 9 -26 3 -21 8 -24 4 -25 3 -24 7 -24 4 -23 10 -27 6 -25 9 -20 21 -26 10 -26 7 -24 10 -24 9 -27 7 -26 10 -25 9 -25 9 -25 8 -24 9 -27 8 -27 9 -27 8 -27 8 -25 10 -25 7 -27 8 -26 6 -25 6 -26 3 -26 5 -26 5 -25 1 -26 0 -24 0 -25 -2 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -3 -23 -4 -23 -2 -26 0 -27 0 -25 1 -23 3 -26 2 -23 2 -29 5 -26 5 -28 5 -27 5 -29 6 -29 6 -25 7 -27 5 -28 9 -26 6 -24 8 -24 9 -23 7 -26 9 -23 8 -25 11 -28 7 -26 -3 -29 9 -26 8 -25 6 -26 6 -23 8 -27 6 -26 7 -25 6 -27 4 -27 3 -23 2 -26 6 -26 3 -27 3 -27 -1 -25 1 -25 1 -28 0 -25 0 -25 1 -25 -2 -27 -1 -26 2 -27 0 -27 0 -26 1 -28 -11 -26 -18 -32 -19 -33 -20 -30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-45,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1201615,0,110,0,0,1.370152,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -10 8 -9 9 -10 11 -10 10 -9 9 -8 11 -8 10 -7 11 -8 11 -7 13 -8 13 -9 12 -8 13 -7 12 -5 14 -8 12 -6 12 -5 12 -5 11 -4 12 -4 13 -5 12 -3 13 -5 14 -6 13 -6 0 0 14 -6 12 -7 13 -7 12 -7 13 -5 13 -6 14 -6 12 -6 13 -7 10 -8 11 -9 11 -7 11 -8 11 -9 11 -8 11 -10 13 -10 10 -10 11 -10 9 -10 11 -9 11 -9 11 -10 10 -11 11 -9 10 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -61 4 -60 6 -65 16 -54 12 -45 -15 -45 -14 -47 -14 -49 -19 -43 -15 -39 -13 -43 -14 -39 -8 -48 -10 -44 -11 -47 -12 -46 -8 -52 -7 -47 -8 -42 -9 -44 -6 -48 1 -45 -10 -40 1 -42 -7 -42 -8 -44 -3 -43 -5 -44 4 -49 -4 -48 3 -46 25 -51 1 -48 -3 -46 3 -45 2 -50 -2 -48 2 -45 3 -47 2 -47 0 -46 4 -50 1 -51 0 -50 0 -50 -1 -49 4 -48 -1 -51 -1 -49 -5 -46 -3 -46 -8 -47 -5 -46 -6 -43 -10 -44 -12 -43 -13 -43 -17 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 13 -39 12 -39 17 -41 20 -43 20 -37 18 -35 24 -37 20 -35 26 -43 26 -36 29 -41 27 -40 30 -43 30 -40 28 -34 32 -35 30 -40 34 -34 26 -33 30 -31 31 -28 30 -34 30 -30 29 -34 37 -36 28 -36 16 -50 32 -36 32 -33 28 -36 25 -32 32 -35 28 -37 28 -34 27 -38 26 -40 21 -34 21 -41 26 -36 24 -41 23 -42 15 -42 20 -40 21 -43 18 -40 16 -40 19 -39 14 -44 15 -42 21 -43 17 -44 16 -42 19 -44 -3 -51 -11 -64 -11 -65 -17 -60 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-45,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1202780,0,110,0,0,1.381718,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 0 11 0 13 -1 14 1 13 1 11 2 13 2 11 3 12 2 12 4 14 4 14 4 14 4 13 5 11 5 15 5 12 4 12 5 12 5 11 5 11 5 13 5 10 6 13 5 14 6 13 5 0 0 13 5 13 3 14 4 13 3 12 5 13 4 14 5 12 3 14 4 13 1 14 1 12 3 13 2 13 1 13 1 14 0 16 1 13 -1 14 0 13 -2 14 1 14 0 15 0 15 -2 14 1 13 -1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -31 -7 -31 -7 -33 -2 -29 -2 -15 -15 -15 -14 -17 -15 -16 -17 -15 -13 -13 -12 -15 -13 -14 -10 -17 -12 -17 -13 -17 -14 -17 -12 -20 -12 -18 -12 -15 -11 -17 -10 -19 -7 -18 -12 -16 -6 -17 -10 -16 -10 -19 -8 -17 -10 -19 -6 -20 -11 -20 -7 -26 5 -21 -8 -20 -9 -19 -6 -19 -8 -20 -9 -21 -7 -20 -6 -20 -7 -20 -8 -20 -6 -21 -8 -21 -8 -21 -8 -21 -9 -21 -6 -19 -8 -22 -8 -19 -9 -18 -9 -17 -11 -18 -9 -19 -9 -17 -11 -17 -13 -15 -12 -15 -14 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 13 -11 12 -11 14 -11 15 -10 15 -10 14 -8 16 -8 14 -8 18 -10 18 -7 20 -8 19 -8 20 -9 20 -9 16 -7 19 -6 18 -9 20 -6 15 -7 17 -6 17 -4 17 -7 17 -4 18 -6 21 -5 18 -6 16 -20 19 -6 18 -6 17 -8 16 -7 18 -7 18 -9 17 -7 17 -10 18 -10 16 -9 17 -10 17 -9 17 -11 17 -11 13 -13 14 -12 16 -13 15 -11 13 -12 15 -11 13 -13 13 -13 16 -13 15 -14 14 -13 16 -13 7 -25 4 -32 5 -32 0 -32 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-45,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1203275,0,110,0,0,1.392278,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 13 1 13 1 14 -1 16 -1 14 -2 13 -2 14 -3 14 -3 14 -3 14 -4 16 -4 16 -4 15 -5 15 -5 13 -5 17 -5 14 -6 13 -6 13 -6 12 -6 13 -6 14 -7 12 -6 14 -7 15 -6 15 0 0 -6 15 -5 15 -5 16 -4 15 -7 14 -5 14 -6 15 -5 14 -5 15 -2 14 -2 16 -4 13 -3 14 -2 14 -3 15 -1 16 -3 17 0 15 -2 15 0 14 -2 16 -2 15 -1 16 0 16 -2 16 0 15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 25 -21 25 -21 24 -28 21 -23 25 -11 24 -11 25 -13 28 -11 24 -10 21 -10 24 -11 20 -12 25 -14 22 -12 25 -13 23 -15 24 -17 22 -15 22 -13 22 -15 21 -20 23 -13 17 -16 19 -14 21 -13 20 -16 20 -14 17 -19 22 -17 20 -20 13 -27 21 -21 21 -18 19 -20 19 -19 22 -18 20 -20 19 -19 20 -20 21 -19 19 -19 22 -20 22 -20 22 -20 23 -20 20 -21 21 -18 22 -20 22 -17 21 -16 23 -14 23 -17 23 -16 22 -13 23 -12 23 -11 25 -9 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1 -1 8 21 8 22 8 23 7 26 5 23 4 22 4 25 4 22 4 28 1 25 2 28 2 28 2 30 1 29 0 25 -1 27 1 29 -3 27 0 24 -3 25 -4 24 -1 26 -3 24 -1 26 -4 29 0 26 8 27 -2 28 -2 26 0 26 0 24 -2 27 1 26 0 26 1 27 2 28 3 24 5 26 2 25 5 27 5 27 8 24 6 25 6 27 7 24 7 24 6 24 9 25 8 24 6 26 8 25 8 25 7 26 16 23 24 25 26 26 25 22 -1 -1 ]
