type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,132477,0,34,0,0,0.304670,128,[34 32 2 0 0 0 0 0 0 0 0 0 16 -10 16 -9 17 -10 18 -10 18 -8 17 -7 18 -6 18 -5 19 -6 18 -6 19 -7 20 -6 19 -7 18 -6 17 -4 20 -6 18 -4 17 -3 17 -4 17 -4 17 -4 19 -4 16 -4 17 -5 18 -6 18 -6 0 0 18 -6 18 -7 18 -7 18 -7 16 -6 18 -7 18 -8 16 -7 17 -8 17 -7 18 -9 16 -8 17 -10 17 -9 18 -9 17 -10 18 -11 17 -10 17 -9 17 -10 17 -10 17 -11 16 -12 17 -13 16 -12 17 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,144864,0,131,0,0,0.316845,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -1 -20 0 -19 0 -21 0 -22 1 -20 2 -19 2 -20 3 -19 3 -20 4 -20 3 -21 4 -21 5 -20 4 -19 5 -18 4 -22 5 -19 5 -18 4 -18 4 -18 4 -18 5 -19 4 -17 3 -18 3 -20 3 -19 0 0 2 -19 2 -20 2 -20 2 -19 1 -18 1 -20 0 -20 1 -19 0 -20 1 -19 0 -20 0 -18 -1 -20 -1 -20 0 -20 -1 -20 -2 -22 -1 -20 -2 -20 -2 -20 -2 -20 -3 -21 -3 -21 -3 -21 -3 -20 -3 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,145474,0,135,0,0,0.321087,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -8 10 -8 10 -9 12 -12 11 -10 11 -10 8 -11 9 -11 8 -11 9 -12 8 -14 8 -13 9 -13 8 -13 7 -12 6 -13 9 -12 7 -13 7 -12 7 -11 6 -12 6 -13 7 -12 5 -13 7 -14 7 -12 8 0 0 -12 8 -11 9 -12 8 -10 9 -12 7 -11 9 -14 8 -10 8 -11 9 -8 10 -10 11 -11 8 -10 9 -9 10 -10 10 -8 11 -11 12 -8 11 -8 11 -6 11 -9 11 -8 12 -9 12 -9 13 -9 10 -8 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 25 -12 29 -14 24 -16 20 -18 23 -3 19 -2 23 -6 23 -2 21 -4 19 -1 21 -5 19 -3 19 -8 21 -4 23 -4 20 -6 23 -6 19 -5 19 -3 19 -9 17 -11 18 -10 14 -11 17 -9 18 -7 15 -11 19 -8 16 -12 21 -10 19 -13 14 -21 17 -13 17 -13 17 -13 15 -14 18 -12 16 -15 15 -15 16 -15 17 -17 17 -15 20 -15 19 -16 19 -15 18 -15 18 -19 17 -14 19 -20 18 -15 17 -18 20 -15 20 -16 18 -17 23 -12 24 -12 24 -11 22 -9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -5 20 -6 19 -5 24 -6 22 -7 24 -7 19 -9 21 -9 19 -8 24 -12 21 -14 21 -13 22 -14 24 -13 21 -12 17 -11 22 -10 20 -12 21 -9 17 -11 18 -11 18 -9 21 -14 18 -13 18 -16 20 -13 20 -4 24 -12 19 -11 20 -10 20 -8 19 -12 18 -7 20 -9 19 -8 21 -7 22 -6 18 -7 21 -8 20 -7 21 -5 21 -3 22 -3 21 -4 24 -4 19 0 20 -2 22 0 21 2 21 -4 24 -3 25 -2 23 -4 21 8 25 12 28 13 25 21 24 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,171682,0,239,0,0,0.343825,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 13 1 12 1 14 1 15 3 14 3 12 4 14 4 12 4 13 4 13 6 14 6 14 6 14 6 14 7 10 6 15 7 12 6 11 7 12 6 11 6 12 8 12 7 10 7 11 8 13 9 12 6 0 0 12 6 13 6 13 6 13 4 12 7 13 6 14 7 12 5 14 4 12 2 14 3 12 5 13 4 13 2 14 2 14 2 16 3 13 1 14 2 13 -1 14 2 14 2 15 2 15 1 14 3 14 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -17 -25 -19 -26 -22 -26 -19 -20 -9 -26 -9 -25 -11 -23 -9 -26 -11 -23 -7 -23 -10 -22 -10 -21 -12 -22 -10 -23 -9 -23 -12 -21 -12 -24 -12 -22 -9 -21 -14 -20 -16 -19 -13 -19 -13 -15 -13 -17 -11 -19 -16 -19 -12 -18 -17 -17 -14 -22 -17 -18 -24 -12 -19 -17 -18 -16 -20 -17 -20 -15 -18 -19 -22 -16 -21 -16 -22 -18 -21 -17 -21 -16 -21 -19 -21 -19 -22 -19 -22 -18 -24 -16 -21 -17 -26 -18 -20 -19 -22 -17 -21 -19 -21 -18 -21 -20 -17 -23 -17 -23 -17 -23 -16 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 24 -5 24 -4 24 -4 24 -3 26 -3 24 0 24 0 24 1 27 0 26 4 27 4 26 3 28 5 28 3 23 5 26 4 26 2 25 5 21 3 23 3 22 5 26 3 22 6 24 6 27 9 23 4 27 -3 25 4 23 2 26 3 22 1 24 4 26 1 26 2 26 0 27 -2 22 -1 24 -2 23 0 26 -2 25 -3 26 -7 23 -3 27 -6 22 -4 23 -6 23 -6 22 -6 25 -7 27 -4 25 -5 25 -6 25 -6 25 -13 26 -21 27 -20 23 -25 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1013539,0,82,0,0,1.185764,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 -10 -9 -10 -11 -11 -10 -13 -9 -13 -7 -11 -9 -13 -7 -12 -8 -12 -7 -13 -8 -14 -8 -15 -8 -14 -7 -14 -5 -13 -7 -15 -7 -13 -5 -13 -5 -14 -5 -13 -5 -13 -6 -14 -3 -13 -6 -14 -6 -16 -6 -14 0 0 -6 -14 -8 -13 -8 -14 -8 -13 -6 -13 -8 -13 -6 -15 -7 -13 -8 -14 -9 -10 -10 -11 -8 -12 -8 -12 -9 -11 -9 -11 -10 -11 -11 -13 -11 -10 -10 -11 -10 -9 -10 -12 -10 -11 -11 -12 -12 -11 -10 -12 -11 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 7 29 7 30 12 29 12 26 -4 22 -3 20 -2 23 -6 24 -3 22 -4 19 -2 20 -1 19 -1 22 -2 21 -3 23 1 22 0 25 -1 22 -1 18 1 22 5 21 0 20 5 18 2 20 1 19 4 20 2 20 6 20 4 23 6 21 17 17 7 23 7 21 7 20 8 20 5 22 9 20 8 18 8 22 10 22 9 22 9 24 7 22 10 24 8 23 10 22 8 23 10 26 7 23 10 24 6 24 7 23 6 24 3 25 3 26 0 25 0 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -23 -8 -21 -7 -22 -9 -22 -12 -23 -11 -19 -10 -21 -12 -18 -12 -22 -13 -19 -15 -22 -16 -21 -16 -22 -16 -21 -16 -17 -14 -21 -16 -22 -14 -19 -16 -16 -13 -18 -15 -16 -15 -19 -14 -16 -15 -18 -15 -21 -19 -20 -15 -26 -6 -19 -15 -19 -14 -21 -13 -19 -12 -19 -15 -21 -13 -18 -13 -21 -13 -22 -11 -20 -9 -22 -11 -19 -11 -22 -8 -22 -11 -21 -7 -22 -7 -24 -8 -21 -7 -22 -5 -22 -7 -21 -6 -23 -5 -24 -10 -25 -9 -23 -8 -23 -9 -26 5 -31 8 -33 9 -28 14 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1029984,0,110,0,0,1.201789,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 12 -6 11 -6 14 -9 14 -8 13 -9 11 -9 12 -9 11 -8 11 -10 11 -11 12 -11 12 -12 12 -11 11 -11 9 -12 13 -11 9 -12 9 -11 9 -11 9 -12 9 -11 9 -12 7 -12 10 -13 10 -11 10 0 0 -11 11 -10 11 -11 11 -10 11 -11 9 -11 11 -11 12 -10 10 -10 11 -8 11 -9 12 -9 10 -9 11 -8 11 -9 12 -7 13 -10 15 -7 12 -7 13 -5 13 -8 13 -7 13 -8 14 -7 15 -8 12 -6 13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 28 -11 32 -10 30 -14 26 -17 25 -1 24 -1 26 -2 27 1 23 -1 21 0 25 -2 20 -3 25 -5 24 -3 26 -1 25 -2 27 -3 24 -2 21 -1 23 -7 22 -8 25 -5 18 -9 22 -6 22 -4 22 -9 23 -5 22 -10 26 -6 24 -10 19 -16 23 -10 24 -10 21 -11 22 -12 24 -9 22 -14 22 -13 21 -14 23 -13 24 -12 27 -12 27 -11 27 -12 25 -11 25 -15 24 -11 27 -15 26 -10 24 -12 27 -8 26 -13 26 -11 27 -6 28 -3 28 -2 29 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -2 24 -2 22 -3 25 -5 25 -5 24 -6 20 -6 26 -6 21 -5 26 -9 24 -12 26 -12 25 -12 27 -12 25 -11 20 -10 26 -10 23 -12 24 -8 20 -11 21 -11 19 -9 23 -14 21 -12 21 -16 24 -11 23 -5 27 -12 22 -11 22 -9 22 -8 22 -11 22 -8 23 -8 23 -7 23 -6 24 -7 22 -7 25 -8 23 -7 24 -7 24 -2 24 -4 22 -4 27 -4 23 -2 23 -3 23 -1 24 0 24 -5 27 -5 25 -5 24 -4 25 7 28 10 30 11 30 17 30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1030515,0,110,0,0,1.212662,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -11 -5 -11 -6 -12 -5 -13 -4 -12 -2 -11 -3 -13 -3 -12 -3 -12 -2 -13 -1 -15 -2 -14 -2 -14 0 -14 0 -12 -1 -15 -1 -13 1 -12 0 -12 0 -12 0 -12 -1 -13 2 -11 0 -13 0 -15 -1 -14 0 0 0 -13 -2 -13 -1 -13 -2 -13 0 -12 -2 -13 -1 -14 -2 -13 -2 -13 -4 -11 -4 -13 -1 -12 -2 -13 -4 -12 -4 -13 -4 -13 -4 -15 -5 -12 -5 -13 -5 -11 -4 -13 -5 -13 -4 -14 -5 -14 -3 -13 -5 -12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -28 44 -30 52 -19 52 -14 49 -35 31 -31 28 -34 34 -37 30 -31 30 -29 24 -30 31 -24 27 -27 35 -32 31 -34 33 -29 34 -32 36 -29 32 -26 27 -23 38 -19 36 -26 34 -15 32 -22 33 -23 30 -18 36 -25 32 -19 37 -28 40 -19 39 -8 46 -19 40 -21 42 -16 38 -16 41 -21 39 -14 45 -14 41 -16 42 -16 42 -17 44 -23 44 -22 46 -22 46 -22 45 -15 49 -18 43 -20 50 -24 42 -19 44 -26 42 -22 45 -21 46 -31 41 -33 39 -34 35 -36 33 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -28 -33 -26 -29 -29 -34 -26 -35 -27 -33 -21 -31 -23 -36 -21 -32 -28 -41 -21 -40 -19 -44 -19 -43 -22 -44 -19 -45 -13 -39 -18 -42 -20 -39 -18 -43 -15 -34 -16 -40 -12 -37 -19 -40 -12 -40 -14 -43 -13 -48 -16 -41 -28 -38 -15 -44 -19 -41 -17 -37 -21 -38 -15 -39 -23 -38 -19 -38 -22 -39 -25 -41 -23 -38 -26 -39 -21 -38 -24 -38 -23 -37 -32 -32 -24 -32 -29 -38 -25 -32 -29 -32 -24 -33 -32 -32 -30 -29 -30 -39 -28 -36 -27 -35 -28 -36 -45 -26 -52 -23 -50 -24 -58 -15 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1055251,0,110,0,0,1.227223,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 12 -2 13 -3 14 -5 16 -4 14 -5 12 -5 14 -5 12 -5 13 -7 13 -8 14 -8 15 -8 14 -8 14 -7 12 -8 15 -8 12 -8 11 -8 12 -8 11 -8 11 -8 13 -9 10 -8 12 -10 13 -7 12 0 0 -8 13 -7 13 -7 14 -6 13 -8 13 -7 13 -8 13 -7 12 -6 14 -3 12 -3 14 -6 13 -5 14 -4 13 -3 13 -2 15 -4 16 -2 14 -2 14 -1 13 -3 15 -3 14 -3 14 -1 15 -4 14 -2 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 22 -22 21 -23 19 -26 14 -23 22 -12 21 -11 21 -13 23 -11 20 -12 18 -10 20 -12 16 -13 20 -16 20 -12 20 -14 19 -14 20 -16 18 -15 17 -13 17 -16 14 -19 18 -15 13 -16 16 -15 16 -14 14 -17 16 -15 12 -20 16 -19 14 -20 6 -26 14 -21 15 -20 12 -20 11 -20 15 -20 13 -22 12 -21 12 -22 13 -22 12 -22 15 -23 15 -24 15 -24 16 -24 11 -25 13 -22 13 -25 15 -22 15 -23 18 -20 15 -23 16 -23 19 -20 19 -20 19 -19 22 -17 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 5 21 6 21 4 23 3 25 3 23 2 20 1 24 2 20 2 25 -1 24 -1 27 -1 26 -1 27 -1 26 -2 22 -2 24 0 24 -2 25 -1 20 -5 23 -4 21 -2 24 -4 22 -2 23 -5 25 -2 24 10 25 -2 24 -2 24 0 23 0 21 -3 25 1 24 -1 23 1 23 3 25 1 21 4 23 2 24 4 25 4 24 8 21 6 21 7 24 5 22 7 21 6 21 8 21 9 20 7 24 8 22 7 22 7 23 19 19 25 21 23 22 27 16 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1064277,0,110,0,0,1.238436,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 12 4 12 5 14 3 15 3 14 2 12 1 14 1 13 2 13 0 14 -1 17 0 16 0 15 -1 14 -2 13 0 17 -1 14 -3 14 -2 13 -1 12 -2 13 -1 15 -4 12 -2 14 -3 16 -2 14 0 0 -2 14 -1 15 0 16 1 14 -3 13 0 15 -2 15 0 14 0 15 2 13 2 14 0 13 0 14 2 14 2 14 3 14 2 17 4 13 3 14 5 12 3 14 3 14 3 15 4 15 2 14 3 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 4 -30 6 -34 1 -32 -2 -30 14 -20 13 -18 14 -21 16 -18 13 -19 11 -14 12 -19 9 -17 10 -21 12 -20 14 -20 12 -19 12 -23 11 -20 11 -17 8 -20 5 -20 9 -21 4 -17 7 -19 8 -18 5 -21 9 -20 4 -22 9 -23 5 -23 -5 -27 5 -23 5 -23 3 -20 2 -23 6 -23 2 -24 2 -22 2 -22 3 -23 2 -24 6 -25 6 -26 6 -25 6 -25 1 -25 6 -23 2 -27 7 -23 3 -24 7 -24 5 -24 5 -25 10 -23 12 -23 13 -21 14 -23 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 14 15 14 13 15 16 13 16 16 17 12 15 13 18 11 15 15 18 11 21 11 23 11 23 13 24 12 22 8 19 11 21 12 18 11 22 8 17 9 19 7 18 11 19 7 20 9 20 8 26 9 20 20 18 9 21 10 21 10 18 11 16 10 20 13 18 10 19 12 18 14 18 11 17 13 18 11 19 14 18 14 17 17 13 13 15 16 16 13 15 15 13 14 14 17 13 17 12 16 19 15 16 15 16 15 16 25 7 31 5 31 4 34 -3 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1068389,0,110,0,0,1.249460,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 6 -12 7 -14 8 -16 6 -14 5 -13 4 -14 5 -12 3 -14 3 -14 2 -16 3 -16 4 -15 3 -16 2 -14 1 -17 3 -15 2 -14 1 -15 0 -14 1 -14 0 -15 1 -14 -1 -15 1 -17 0 -15 3 0 0 -15 2 -15 3 -16 3 -14 4 -14 1 -15 2 -16 2 -14 2 -15 4 -13 5 -15 5 -13 3 -14 3 -13 5 -13 4 -14 7 -16 6 -13 7 -14 7 -12 7 -14 6 -14 6 -15 6 -14 8 -14 5 -13 6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 29 9 32 10 32 6 27 2 21 15 19 14 21 14 20 16 20 13 17 12 21 12 18 9 21 10 20 12 21 13 21 11 23 12 21 11 18 10 22 8 22 5 22 10 19 4 20 6 20 8 22 4 21 8 23 3 24 8 24 4 24 -3 25 4 24 5 23 3 24 1 24 5 25 2 25 2 25 2 25 2 26 1 28 4 28 5 29 4 27 4 28 0 24 3 28 3 26 5 26 2 25 6 27 4 27 4 26 9 24 11 24 12 24 13 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -16 17 -16 16 -20 18 -20 17 -20 17 -17 13 -21 15 -17 12 -22 16 -22 13 -25 13 -23 14 -26 14 -25 13 -21 10 -23 13 -22 13 -24 12 -19 10 -23 10 -20 9 -22 13 -23 9 -23 9 -28 8 -23 12 -20 19 -23 10 -24 11 -21 12 -19 13 -22 11 -21 14 -21 13 -21 13 -20 15 -19 14 -20 15 -21 14 -20 17 -20 16 -15 19 -17 15 -19 20 -17 16 -15 18 -16 16 -15 20 -15 19 -19 18 -18 18 -17 18 -18 18 -11 27 -9 32 -10 30 -2 34 -1 -1 ]
