type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,131009,0,34,0,0,0.306047,128,[34 32 2 0 0 0 0 0 0 0 0 0 1 -21 1 -21 1 -22 2 -23 2 -22 3 -20 3 -21 3 -20 3 -21 4 -21 4 -22 5 -24 4 -22 5 -22 5 -20 5 -23 5 -20 6 -19 4 -20 4 -20 4 -19 4 -21 4 -18 4 -20 3 -23 3 -21 0 0 2 -22 2 -22 2 -22 2 -21 1 -20 0 -21 0 -22 0 -20 -1 -22 0 -20 0 -22 0 -20 -1 -21 -1 -22 -1 -21 -2 -22 -2 -23 -2 -21 -3 -21 -3 -22 -3 -22 -3 -23 -4 -22 -3 -22 -3 -22 -3 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,143415,0,131,0,0,0.318242,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 20 2 20 1 21 1 22 0 20 -1 19 -1 21 -2 20 -1 21 -2 20 -2 22 -2 22 -2 21 -2 21 -3 19 -2 22 -4 20 -4 19 -3 19 -4 19 -4 19 -4 20 -4 17 -2 19 -2 21 -2 21 0 0 -2 20 -2 21 -1 21 -1 21 -1 19 -1 20 -1 21 -1 20 0 20 -1 20 1 21 1 19 1 20 0 21 0 20 1 21 1 22 1 21 1 21 1 21 1 21 1 21 2 21 3 22 2 20 2 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,143951,0,135,0,0,0.322231,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -9 -10 -8 -9 -11 -11 -10 -13 -9 -13 -6 -12 -8 -13 -7 -12 -7 -12 -7 -13 -7 -15 -7 -15 -8 -15 -7 -14 -5 -13 -8 -15 -6 -14 -4 -14 -5 -14 -5 -13 -4 -14 -5 -14 -3 -14 -5 -14 -5 -16 -5 -14 0 0 -5 -15 -6 -14 -6 -15 -6 -14 -5 -14 -6 -14 -5 -16 -6 -13 -7 -14 -9 -13 -7 -14 -6 -13 -6 -14 -7 -12 -7 -14 -8 -13 -8 -15 -8 -12 -9 -13 -8 -11 -7 -13 -7 -14 -8 -14 -9 -13 -6 -14 -7 -12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 60 0 61 11 64 7 57 -21 37 -20 38 -18 40 -24 43 -20 34 -17 36 -17 39 -17 31 -17 36 -18 36 -19 38 -16 35 -18 42 -16 37 -20 32 -13 36 -8 39 -13 34 -6 32 -14 30 -15 32 -9 33 -13 30 -6 33 -12 34 -8 35 16 36 -6 34 -8 35 -5 37 -2 33 -8 35 -3 34 -2 32 -4 35 -5 36 -2 33 -6 39 -3 34 -4 36 -3 39 -1 38 -4 39 -5 40 -5 36 -2 35 -8 39 -5 40 -6 38 -11 36 -12 39 -14 38 -13 33 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -39 -16 -34 -12 -45 -16 -44 -18 -41 -20 -37 -21 -39 -20 -36 -21 -42 -21 -38 -25 -39 -28 -40 -26 -46 -30 -41 -26 -34 -28 -39 -29 -39 -27 -38 -30 -36 -23 -32 -28 -33 -29 -37 -24 -32 -32 -32 -29 -37 -37 -37 -30 -47 -7 -36 -29 -34 -29 -37 -28 -33 -24 -37 -29 -33 -29 -35 -26 -36 -27 -41 -27 -38 -24 -42 -23 -37 -23 -37 -22 -40 -23 -42 -17 -42 -20 -41 -23 -38 -14 -39 -17 -41 -19 -40 -15 -40 -15 -42 -23 -43 -22 -41 -22 -38 -23 -54 2 -63 9 -63 9 -64 15 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,168349,0,239,0,0,0.343335,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -15 -1 -14 0 -18 0 -19 -2 -16 0 -14 -2 -16 -3 -15 -3 -15 -3 -16 -3 -18 -4 -18 -3 -19 -3 -17 -6 -14 -6 -19 -5 -16 -5 -15 -6 -15 -4 -15 -5 -14 -6 -16 -6 -14 -7 -17 -6 -17 -7 -16 -5 0 0 -17 -6 -16 -4 -18 -5 -16 -5 -16 -6 -17 -5 -18 -6 -16 -5 -17 -4 -15 -1 -17 -2 -15 -4 -17 -4 -17 -2 -16 -3 -18 -1 -19 -4 -16 -1 -17 -1 -16 1 -17 -2 -18 -2 -18 -2 -17 0 -17 -2 -16 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 28 22 28 29 25 21 22 8 26 7 26 10 23 8 28 9 24 6 24 9 23 8 21 11 24 9 23 6 24 10 22 10 25 10 21 7 21 10 22 14 20 8 20 11 15 10 17 9 20 12 19 9 18 14 17 11 22 13 17 21 13 15 18 13 18 15 17 13 16 14 18 17 17 16 17 15 16 16 17 16 15 16 17 16 17 17 17 17 17 18 18 15 16 18 18 16 18 16 17 15 18 16 17 16 19 14 21 15 20 13 20 12 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -24 9 -25 8 -24 8 -27 9 -25 8 -26 6 -27 5 -26 6 -28 7 -28 5 -27 1 -29 5 -32 4 -31 5 -26 1 -30 1 -30 3 -29 0 -24 3 -26 1 -26 0 -29 2 -26 0 -29 1 -32 -2 -27 1 -25 10 -29 2 -27 1 -31 4 -26 3 -29 2 -30 4 -29 4 -30 5 -28 6 -24 5 -27 6 -26 5 -29 7 -27 7 -27 10 -26 6 -30 9 -25 7 -27 9 -25 9 -24 10 -26 9 -28 8 -28 10 -27 9 -27 8 -24 16 -28 26 -26 25 -25 28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,1016312,0,82,0,0,1.191449,256,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -6 -2 -6 -1 -6 -2 -6 -2 -6 -2 -7 -2 -7 -3 -6 -2 -6 -2 -5 -2 -7 -2 -6 -3 -6 -3 -6 -2 -6 -2 -5 -2 -6 -2 -5 -3 -5 -2 -6 -2 -6 -2 0 0 -6 -2 -6 -2 -6 -1 -6 -2 -5 -2 -6 -1 -6 -2 -6 -2 -6 -1 -6 -2 -7 -2 -6 -1 -6 -1 -6 -1 -6 -2 -7 -1 -7 -1 -6 -1 -6 -1 -7 -1 -6 -1 -6 -1 -6 -1 -7 -1 -6 -1 -6 -1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 -4 4 -4 3 -5 0 -6 1 -5 1 -6 1 -6 0 -5 0 -6 0 -5 0 -5 0 -5 -1 -6 -1 -6 0 -6 -1 -5 0 -5 0 -6 0 -5 0 -5 -1 -5 -1 -5 0 -5 0 -5 -1 -5 0 -5 0 -5 -1 -5 -1 -1 -1 -5 0 -5 0 -5 0 -5 0 -4 0 -5 1 -5 0 -4 0 -5 0 -5 0 -5 0 -5 0 -5 1 -5 1 -5 0 -5 0 -5 1 -5 0 -5 1 -5 0 -5 1 -5 1 -5 1 -6 1 -6 1 -5 1 -4 3 -5 3 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1016588,0,37,0,0,1.198822,128,[37 80 2 0 0 0 0 0 0 0 0 0 -4 -5 -4 -5 -4 -5 -4 -6 -4 -5 -4 -5 -3 -6 -3 -6 -3 -6 -3 -6 -4 -6 -4 -6 -4 -6 -3 -6 -3 -6 -4 -6 -3 -6 -3 -5 -3 -6 -3 -6 -3 -6 -3 -5 -2 -5 -3 -6 -3 -6 -3 -6 0 0 -3 -5 -3 -6 -3 -6 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -4 -6 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -5 -4 -5 -4 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1041640,0,110,0,0,1.217258,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -16 2 -15 2 -18 4 -18 4 -16 4 -14 4 -16 5 -15 5 -16 6 -15 6 -16 7 -17 7 -16 7 -15 7 -13 6 -17 7 -15 7 -13 7 -14 6 -13 7 -13 7 -14 7 -12 9 -14 9 -15 7 -15 0 0 8 -14 6 -16 6 -16 5 -15 8 -14 6 -16 7 -16 6 -15 6 -15 3 -13 4 -16 5 -14 6 -14 4 -15 4 -16 3 -16 5 -18 3 -15 2 -16 1 -15 4 -16 4 -16 4 -16 3 -17 5 -15 3 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -30 12 -33 12 -29 15 -25 15 -28 1 -24 1 -28 2 -29 0 -26 1 -21 0 -25 3 -21 3 -26 5 -26 2 -25 2 -25 2 -26 2 -24 1 -21 1 -23 4 -21 7 -22 4 -17 6 -20 4 -20 2 -19 6 -21 3 -19 8 -22 5 -21 7 -15 13 -19 8 -20 7 -17 8 -17 8 -19 7 -18 9 -17 10 -18 9 -16 9 -17 10 -18 9 -20 9 -18 9 -18 9 -16 11 -17 9 -18 12 -18 9 -17 10 -17 9 -17 11 -17 11 -18 8 -19 7 -19 7 -19 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -3 -27 -4 -26 -3 -31 -1 -29 -2 -29 -1 -25 0 -30 1 -26 0 -32 5 -30 4 -31 3 -31 5 -33 6 -31 4 -27 4 -30 2 -30 5 -29 4 -26 5 -27 6 -25 3 -29 6 -26 7 -27 10 -30 5 -28 0 -30 6 -28 4 -28 3 -27 1 -26 6 -27 2 -29 3 -27 3 -29 0 -28 2 -25 2 -29 3 -28 1 -28 1 -28 -4 -27 -2 -26 -3 -29 -2 -24 -4 -27 -2 -26 -6 -27 -6 -28 0 -29 -2 -29 -2 -27 -2 -28 -11 -29 -16 -32 -15 -31 -21 -28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1042332,0,110,0,0,1.228356,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 15 -7 14 -8 17 -11 16 -10 15 -9 12 -11 14 -10 12 -11 14 -11 14 -13 15 -14 15 -13 15 -14 13 -12 10 -13 15 -12 12 -13 12 -12 11 -12 11 -12 11 -13 12 -13 9 -14 12 -15 13 -12 13 0 0 -13 13 -12 13 -12 14 -10 14 -12 12 -12 14 -14 13 -10 12 -11 14 -8 13 -9 16 -11 12 -9 14 -7 13 -9 14 -7 15 -10 17 -7 14 -8 16 -5 15 -8 16 -8 15 -8 17 -7 17 -9 15 -7 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 29 -16 36 -18 28 -20 24 -21 27 -4 25 -3 27 -5 27 0 26 -3 19 -3 25 -4 20 -5 24 -7 25 -4 25 -3 26 -4 27 -6 23 -5 20 -3 22 -7 21 -9 22 -7 17 -7 20 -7 19 -6 18 -8 21 -6 18 -11 23 -8 18 -10 18 -17 19 -10 19 -10 15 -11 16 -12 16 -10 15 -13 15 -12 14 -13 16 -13 16 -11 17 -11 17 -12 17 -13 15 -13 14 -15 14 -11 15 -16 15 -13 12 -15 15 -11 14 -14 14 -14 16 -12 16 -10 17 -10 17 -10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -3 28 -2 26 -2 30 -7 28 -3 28 -5 25 -8 30 -4 23 -4 32 -10 30 -11 30 -11 31 -10 33 -11 31 -10 23 -8 30 -6 27 -10 30 -6 23 -11 26 -10 22 -7 28 -11 25 -11 26 -15 30 -9 27 1 32 -11 27 -9 26 -7 25 -5 25 -10 27 -6 28 -8 26 -5 26 -5 27 -7 24 -7 28 -7 27 -4 29 -3 26 3 26 -1 25 0 30 -2 23 3 25 0 28 3 27 4 26 -3 30 -1 28 -1 29 -1 26 14 28 19 32 17 31 27 28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1042662,0,110,0,0,1.238998,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -8 -13 -8 -15 -9 -15 -12 -13 -10 -11 -10 -13 -11 -12 -10 -12 -11 -12 -11 -13 -14 -13 -14 -12 -13 -11 -13 -10 -12 -13 -14 -10 -12 -10 -13 -10 -12 -9 -12 -10 -13 -11 -13 -7 -12 -10 -14 -11 -15 -11 -12 0 0 -11 -14 -12 -12 -12 -13 -11 -11 -10 -13 -11 -12 -13 -13 -11 -12 -12 -11 -12 -8 -13 -10 -11 -11 -11 -11 -13 -9 -12 -10 -13 -10 -15 -12 -13 -8 -13 -9 -13 -7 -13 -10 -13 -10 -14 -9 -15 -9 -13 -10 -14 -9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 5 64 7 70 19 66 19 56 -14 49 -13 49 -9 52 -16 51 -11 46 -13 40 -10 47 -6 41 -8 50 -10 45 -14 46 -12 46 -9 49 -12 44 -10 39 -4 42 2 44 -9 43 2 36 -1 38 -5 38 0 38 -4 40 5 39 -4 44 3 41 14 38 2 41 2 39 5 37 7 36 3 39 9 40 7 34 9 39 8 37 8 38 6 39 8 40 6 41 9 38 12 37 8 34 12 40 7 37 11 34 5 38 11 36 11 37 4 37 3 38 2 38 0 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -51 -14 -51 -12 -58 -13 -56 -18 -52 -15 -46 -17 -52 -21 -47 -14 -57 -19 -50 -25 -56 -28 -55 -30 -57 -29 -52 -29 -47 -27 -49 -28 -53 -23 -51 -30 -46 -21 -46 -28 -43 -28 -51 -24 -43 -30 -47 -29 -49 -37 -49 -25 -61 -12 -48 -31 -47 -26 -47 -25 -44 -22 -47 -29 -51 -19 -48 -27 -51 -21 -51 -20 -43 -15 -51 -18 -47 -22 -52 -20 -52 -18 -50 -10 -47 -15 -54 -14 -48 -15 -47 -11 -48 -13 -53 -7 -50 -11 -56 -17 -53 -17 -52 -16 -53 -14 -58 8 -68 12 -68 14 -69 21 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1080686,0,110,0,0,1.255322,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -15 3 -15 4 -17 7 -17 6 -17 5 -14 7 -16 6 -14 6 -15 8 -15 9 -17 9 -17 9 -15 9 -15 9 -12 9 -17 9 -14 9 -12 9 -13 8 -12 9 -13 9 -14 10 -11 10 -13 11 -14 9 -14 0 0 9 -15 8 -15 8 -15 7 -15 10 -12 8 -15 10 -15 7 -13 8 -16 5 -14 5 -15 7 -14 7 -15 5 -15 6 -15 4 -16 7 -17 3 -16 4 -16 2 -15 5 -16 4 -16 5 -17 4 -17 6 -16 4 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -22 23 -25 26 -21 29 -16 25 -23 6 -22 6 -24 7 -25 5 -22 6 -19 4 -21 7 -17 7 -21 9 -21 8 -22 6 -21 7 -22 8 -20 7 -19 5 -19 9 -17 11 -19 7 -13 9 -16 7 -17 7 -16 10 -16 8 -15 12 -19 9 -16 11 -10 19 -16 11 -16 11 -14 11 -14 10 -15 11 -13 12 -12 12 -12 12 -13 12 -12 12 -15 13 -14 12 -15 12 -13 12 -12 14 -12 11 -14 15 -14 12 -12 12 -13 11 -11 14 -11 12 -14 12 -16 10 -15 10 -16 10 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -7 -24 -7 -23 -8 -26 -4 -25 -5 -26 -4 -22 -5 -24 -5 -21 -6 -27 -2 -25 -1 -29 -2 -28 -2 -29 -1 -28 0 -23 0 -27 -3 -26 -1 -27 -1 -22 -1 -23 1 -22 -2 -25 1 -23 0 -26 3 -29 -1 -25 -14 -28 0 -27 0 -26 -2 -23 -2 -23 0 -25 -3 -25 -1 -23 -5 -24 -5 -25 -4 -22 -5 -24 -2 -24 -4 -25 -4 -25 -10 -22 -6 -22 -8 -24 -6 -22 -7 -21 -7 -22 -10 -22 -10 -22 -7 -25 -7 -25 -7 -24 -6 -24 -22 -20 -26 -22 -29 -23 -32 -18 -1 -1 ]
