type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,133009,0,34,0,0,0.304069,128,[34 32 2 0 0 0 0 0 0 0 0 0 -7 -20 -6 -21 -7 -22 -7 -23 -6 -22 -4 -21 -5 -21 -3 -21 -4 -23 -2 -22 -3 -24 -2 -25 -2 -23 -3 -22 -1 -20 -3 -24 -1 -22 -1 -21 -2 -21 -2 -21 -2 -21 -2 -22 -1 -20 -2 -21 -3 -22 -3 -22 0 0 -4 -21 -5 -22 -5 -22 -5 -22 -5 -20 -6 -21 -7 -22 -6 -21 -7 -22 -7 -21 -7 -22 -7 -20 -8 -21 -8 -22 -8 -21 -9 -22 -10 -24 -9 -22 -9 -23 -10 -22 -10 -22 -10 -22 -10 -23 -11 -23 -10 -22 -10 -23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,145236,0,131,0,0,0.316065,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -4 -22 -3 -20 -3 -22 -2 -23 -2 -23 0 -21 -1 -21 0 -21 1 -22 2 -22 1 -23 1 -23 2 -23 1 -21 2 -20 1 -24 2 -21 3 -21 2 -21 2 -21 1 -21 1 -22 1 -19 1 -21 0 -23 0 -22 0 0 -2 -21 -2 -23 -2 -22 -2 -22 -2 -20 -3 -22 -4 -22 -3 -21 -4 -22 -3 -22 -5 -23 -4 -21 -5 -22 -5 -23 -4 -23 -5 -24 -7 -24 -6 -23 -6 -23 -6 -23 -7 -23 -7 -25 -8 -24 -8 -25 -7 -24 -7 -24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1131135,0,37,0,0,1.302583,128,[37 80 2 0 0 0 0 0 0 0 0 0 -8 -17 -7 -17 -8 -18 -8 -20 -7 -18 -5 -18 -4 -19 -4 -18 -5 -18 -4 -19 -4 -21 -4 -21 -4 -20 -4 -20 -3 -19 -5 -21 -2 -19 -2 -18 -2 -19 -2 -18 -3 -18 -3 -19 -2 -17 -4 -18 -4 -20 -4 -19 0 0 -5 -19 -5 -18 -5 -19 -5 -19 -6 -17 -6 -19 -7 -20 -6 -18 -7 -19 -6 -18 -8 -19 -7 -18 -7 -18 -8 -19 -7 -19 -8 -20 -10 -20 -9 -19 -8 -20 -8 -19 -8 -19 -9 -21 -10 -21 -10 -20 -10 -19 -10 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1136320,0,37,0,0,1.307913,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 -9 -19 -10 -20 -11 -21 -12 -19 -12 -17 -13 -18 -13 -16 -14 -16 -14 -17 -15 -19 -14 -19 -15 -18 -15 -18 -14 -15 -15 -19 -15 -15 -15 -15 -14 -15 -14 -15 -14 -15 -14 -16 -15 -14 -14 -17 -13 -18 -13 -17 -13 0 0 -18 -12 -18 -13 -19 -12 -19 -12 -17 -11 -18 -12 -20 -11 -19 -11 -20 -11 -19 -11 -21 -10 -19 -10 -20 -9 -21 -10 -20 -11 -21 -9 -23 -10 -22 -10 -22 -10 -22 -10 -22 -10 -23 -10 -23 -9 -24 -8 -23 -8 -23 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,0,1,1,0,0,0,0,-93,0,6,1,1521519,0,110,0,0,1.692627,256,[110 96 6 0 0 0 0 0 0 0 0 0 4 11 3 11 4 11 3 13 2 13 2 12 2 12 1 11 2 12 0 13 1 13 1 14 2 13 1 12 1 12 1 13 0 12 -1 12 0 12 0 12 1 12 0 13 0 11 0 11 1 13 1 13 0 0 2 12 2 13 2 13 2 12 2 12 3 12 3 13 3 12 4 12 3 12 3 13 3 12 4 13 4 13 3 13 4 14 5 14 4 13 4 13 5 13 4 13 5 13 6 13 6 14 5 14 5 13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 22 9 17 8 12 15 13 13 14 14 14 16 13 17 11 16 12 17 9 17 12 19 10 20 11 19 10 20 11 19 11 18 10 17 13 19 9 17 9 19 9 19 9 19 10 18 9 18 10 18 8 17 10 20 9 18 -1 -1 12 16 12 17 10 16 15 18 10 15 14 16 13 17 12 15 15 15 16 16 16 17 15 16 15 16 14 17 16 16 15 16 18 17 15 15 17 15 16 16 18 15 18 17 18 16 18 18 18 16 18 16 27 8 25 8 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,0,1,1,0,0,0,0,-93,0,6,1,1522167,0,110,0,0,1.699884,256,[110 96 6 0 0 0 0 0 0 0 0 0 -5 10 -6 10 -6 11 -7 12 -7 11 -8 10 -8 10 -8 9 -9 10 -9 9 -9 11 -10 11 -9 10 -9 10 -9 9 -10 10 -9 9 -10 8 -10 8 -9 8 -9 9 -10 9 -9 7 -9 9 -9 10 -10 9 0 0 -9 10 -9 10 -9 11 -9 10 -8 9 -8 10 -9 10 -8 9 -8 10 -9 10 -8 11 -7 10 -7 11 -8 11 -8 11 -9 12 -8 12 -8 12 -8 12 -8 12 -8 11 -8 12 -8 13 -8 14 -8 12 -7 12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 14 19 7 18 0 18 0 19 -1 18 -1 20 -1 19 -4 18 -2 20 -5 19 -3 20 -5 20 -4 21 -5 22 -4 20 -5 19 -5 18 -4 21 -5 17 -7 20 -6 19 -8 18 -5 18 -7 19 -6 19 -7 17 -7 20 -6 19 -1 -1 -3 19 -5 20 -4 20 -4 20 -5 17 -3 20 -3 21 -4 19 -1 20 -2 22 -1 23 -1 21 -1 21 -2 20 -2 23 -2 22 -3 23 -2 22 0 21 0 23 -1 23 -1 22 -1 24 0 26 0 22 1 23 12 26 14 26 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,0,1,1,0,0,0,0,-93,0,6,1,1522617,0,110,0,0,1.706703,256,[110 96 6 0 0 0 0 0 0 0 0 0 -11 6 -11 5 -12 5 -13 6 -12 4 -11 4 -12 4 -12 3 -13 3 -13 3 -13 4 -14 3 -13 3 -13 3 -13 2 -14 3 -13 2 -13 1 -13 1 -13 1 -12 2 -14 2 -12 1 -13 2 -14 3 -14 3 0 0 -13 3 -14 4 -14 4 -13 4 -13 3 -12 4 -14 4 -12 4 -12 5 -13 4 -13 5 -12 4 -13 5 -13 5 -13 4 -14 5 -14 6 -13 5 -13 5 -14 6 -13 5 -14 6 -14 6 -14 6 -14 6 -14 6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 -3 24 -5 20 -13 15 -13 15 -14 15 -17 16 -14 14 -16 14 -16 15 -16 12 -17 14 -18 14 -19 14 -19 14 -17 13 -18 13 -18 11 -19 14 -18 11 -18 10 -19 12 -18 11 -18 12 -19 11 -18 11 -18 10 -19 12 -18 12 -1 -1 -17 13 -17 13 -17 13 -18 15 -16 12 -16 15 -16 14 -16 14 -16 15 -17 17 -18 17 -16 16 -16 16 -17 16 -17 17 -17 16 -17 17 -16 16 -15 18 -17 18 -17 19 -18 18 -16 18 -19 20 -16 19 -16 19 -9 24 -10 25 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,0,1,1,0,0,0,0,-93,0,6,1,1522968,0,110,0,0,1.714019,256,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -3 -12 -4 -13 -4 -13 -4 -13 -5 -11 -5 -12 -5 -12 -6 -12 -6 -13 -7 -13 -6 -13 -7 -13 -6 -13 -7 -11 -6 -13 -7 -11 -8 -10 -8 -11 -7 -11 -7 -11 -7 -12 -8 -10 -7 -12 -6 -12 -6 -12 -7 0 0 -11 -6 -13 -7 -12 -6 -12 -6 -11 -6 -12 -6 -13 -6 -12 -6 -13 -6 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -13 -6 -14 -5 -15 -5 -14 -5 -14 -5 -14 -5 -14 -5 -15 -5 -15 -5 -16 -5 -15 -5 -15 -4 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 -18 15 -18 12 -20 3 -20 3 -21 2 -22 2 -21 1 -21 1 -22 1 -21 -1 -22 0 -22 -1 -23 -1 -24 -1 -22 -1 -23 -2 -22 -2 -24 -1 -20 -3 -20 -5 -22 -3 -21 -4 -22 -2 -22 -4 -21 -3 -21 -3 -23 -3 -21 -3 -1 -1 -21 -1 -22 -1 -21 -1 -23 0 -20 0 -22 1 -22 1 -22 0 -21 1 -23 2 -24 2 -22 2 -23 3 -23 1 -23 2 -23 1 -24 2 -24 3 -22 4 -24 3 -25 4 -25 2 -25 4 -27 4 -24 3 -25 4 -22 15 -24 15 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1523469,0,110,0,0,1.721470,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -6 -11 -6 -13 -7 -13 -9 -10 -8 -10 -8 -10 -9 -10 -9 -9 -10 -10 -9 -11 -11 -11 -10 -11 -10 -10 -11 -9 -11 -11 -12 -9 -11 -8 -11 -9 -12 -8 -11 -8 -11 -9 -11 -7 -11 -9 -12 -10 -13 -9 -11 0 0 -9 -12 -10 -11 -11 -12 -9 -10 -8 -11 -9 -12 -9 -13 -9 -11 -9 -11 -10 -8 -11 -9 -10 -10 -10 -11 -11 -10 -10 -10 -12 -10 -12 -12 -12 -9 -12 -9 -12 -8 -12 -11 -12 -11 -12 -11 -13 -10 -12 -11 -12 -10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -5 60 -2 63 4 66 8 59 -23 48 -19 44 -20 49 -27 50 -20 46 -19 40 -19 48 -11 40 -17 50 -20 47 -22 49 -18 48 -21 54 -20 49 -18 42 -16 50 -12 51 -20 47 -9 42 -16 42 -19 42 -15 46 -19 44 -12 49 -20 50 -15 50 2 55 -15 50 -19 49 -15 45 -14 48 -22 47 -13 49 -16 44 -16 45 -16 46 -17 46 -22 51 -22 49 -23 48 -22 47 -18 49 -23 42 -22 50 -24 40 -21 41 -24 38 -23 41 -22 43 -29 41 -32 35 -30 31 -36 33 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -42 -9 -39 -8 -47 -11 -45 -16 -44 -13 -37 -16 -44 -19 -40 -14 -46 -19 -42 -21 -46 -24 -47 -24 -49 -26 -44 -27 -37 -25 -44 -27 -46 -25 -41 -29 -37 -23 -37 -28 -34 -25 -42 -23 -36 -27 -38 -27 -42 -35 -41 -25 -47 -17 -40 -28 -41 -27 -43 -22 -39 -22 -41 -28 -41 -24 -40 -24 -44 -23 -45 -22 -43 -17 -45 -19 -44 -24 -47 -21 -46 -21 -48 -15 -45 -18 -51 -21 -45 -17 -47 -14 -45 -16 -51 -13 -49 -15 -50 -21 -50 -20 -50 -21 -48 -23 -57 -3 -70 -4 -69 4 -69 13 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1602039,0,110,0,0,1.772891,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 12 1 11 3 13 -1 14 1 13 -1 11 -1 12 -1 12 0 13 -2 13 -3 15 -3 15 -3 14 -4 14 -5 12 -3 15 -4 12 -5 12 -4 11 -4 11 -5 12 -5 13 -6 11 -5 13 -6 13 -4 14 0 0 -5 13 -3 13 -4 14 -3 13 -6 12 -4 13 -5 14 -5 12 -3 14 -1 14 -2 14 -4 12 -4 14 -2 13 -3 14 -1 14 -3 17 -1 13 -1 14 0 14 -3 14 -2 14 -3 15 -1 16 -3 14 -1 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 22 -24 24 -25 20 -29 17 -26 23 -9 21 -9 22 -11 24 -7 21 -8 18 -7 22 -9 18 -9 22 -11 21 -9 24 -9 23 -9 23 -10 22 -9 20 -8 20 -10 19 -13 22 -9 16 -10 19 -9 21 -6 19 -11 21 -8 20 -11 23 -8 20 -12 16 -21 22 -11 21 -9 18 -11 19 -10 22 -8 20 -12 20 -10 19 -10 20 -10 19 -10 21 -9 22 -9 21 -9 21 -7 19 -11 19 -8 21 -10 20 -6 20 -7 20 -4 19 -7 21 -7 20 -3 20 -1 20 0 20 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 7 17 9 15 11 19 10 18 9 20 7 16 7 21 7 17 9 22 5 21 5 23 6 24 6 24 5 23 4 21 4 23 6 22 3 22 5 18 3 21 3 20 4 22 0 21 2 22 1 25 3 22 13 21 3 22 3 22 4 20 3 19 1 22 5 21 3 21 5 21 7 22 4 20 7 22 4 23 7 23 7 21 10 19 7 20 9 22 7 20 9 19 8 21 11 19 10 18 7 25 9 23 7 22 8 22 19 18 26 20 26 20 30 15 -1 -1 ]
