type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,133390,0,34,0,0,0.305457,128,[34 32 2 0 0 0 0 0 0 0 0 0 -21 8 -20 7 -21 7 -23 7 -21 5 -20 3 -22 3 -21 3 -21 3 -22 2 -22 3 -23 2 -22 1 -22 2 -20 1 -23 2 -21 1 -20 0 -20 0 -20 1 -20 1 -22 0 -18 0 -19 2 -22 3 -21 2 0 0 -21 2 -22 3 -21 4 -22 5 -19 3 -21 4 -22 6 -20 4 -21 7 -22 4 -22 6 -20 5 -21 6 -22 7 -22 6 -23 7 -24 8 -22 8 -21 8 -22 8 -22 8 -24 8 -24 9 -23 11 -24 9 -23 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,144603,0,131,0,0,0.316442,128,[-125 48 8 0 0 0 0 0 0 0 0 0 13 12 13 13 14 14 13 14 11 15 10 14 9 15 8 15 10 15 8 16 10 17 10 17 10 16 9 15 7 14 9 17 7 16 6 15 7 16 6 15 6 15 7 17 6 13 9 14 10 15 9 15 0 0 10 14 10 15 11 15 11 15 10 14 11 14 11 15 10 14 13 15 11 15 14 15 12 14 13 13 13 15 12 15 13 15 15 16 14 15 14 15 14 15 14 15 16 15 16 15 18 14 16 14 16 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1018739,0,37,0,0,1.190870,128,[37 80 2 0 0 0 0 0 0 0 0 0 15 -12 16 -12 17 -11 17 -13 17 -11 17 -11 18 -8 17 -7 19 -9 19 -7 20 -9 21 -8 20 -9 19 -8 18 -6 20 -8 19 -6 17 -6 18 -7 17 -7 17 -6 20 -7 17 -6 17 -8 19 -9 19 -9 0 0 18 -10 19 -10 18 -11 19 -12 16 -9 18 -12 19 -12 17 -11 17 -13 18 -11 18 -13 17 -12 17 -14 18 -13 18 -13 18 -15 19 -17 18 -15 18 -15 18 -16 18 -16 19 -17 19 -17 18 -19 18 -18 17 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1140195,0,37,0,0,1.312181,128,[37 80 2 0 0 0 0 0 0 0 0 0 14 11 12 11 15 12 14 14 14 13 11 12 12 14 9 14 12 14 9 14 12 16 11 16 11 15 10 15 8 14 12 15 9 14 9 14 8 14 9 15 9 14 10 15 8 14 10 14 11 15 10 14 0 0 12 14 12 14 12 13 12 14 11 12 13 12 13 13 13 13 14 13 13 13 14 14 13 13 14 13 14 14 14 14 15 13 18 13 15 13 17 13 16 12 17 13 18 14 18 13 19 13 17 13 17 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1143443,0,110,0,0,1.316605,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 5 -7 5 -9 5 -10 4 -10 4 -8 4 -8 4 -9 4 -9 4 -10 2 -10 2 -10 3 -11 3 -10 2 -9 1 -11 5 -10 3 -10 2 -10 1 -9 2 -10 1 -11 2 -9 0 -11 1 -11 2 -10 2 0 0 -11 3 -10 3 -11 3 -10 4 -11 3 -11 4 -12 4 -10 4 -11 5 -9 5 -10 5 -11 4 -10 4 -9 5 -10 5 -10 6 -12 7 -8 6 -10 7 -7 8 -10 7 -11 6 -10 6 -10 8 -11 6 -10 7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 24 -3 29 0 31 -4 26 -6 20 7 19 6 23 6 21 9 21 7 16 5 22 6 17 2 24 5 21 7 24 8 23 7 27 7 24 6 20 6 26 3 24 0 25 6 20 0 22 4 22 6 25 1 26 6 25 0 27 7 28 3 30 -7 29 3 28 4 26 1 28 -1 28 5 31 0 29 1 28 1 30 2 31 2 33 5 33 7 32 5 31 5 34 1 29 5 36 3 30 8 32 5 31 10 32 6 33 8 31 14 30 17 29 18 29 20 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -8 15 -9 11 -11 14 -11 11 -11 12 -10 10 -11 11 -11 10 -13 14 -13 10 -14 11 -15 10 -16 13 -14 11 -14 8 -15 11 -12 13 -15 11 -11 9 -14 8 -13 7 -13 10 -13 8 -14 10 -16 8 -13 10 -8 14 -14 10 -14 11 -12 10 -12 11 -14 11 -13 12 -14 12 -11 13 -12 14 -11 11 -12 13 -14 13 -13 14 -11 15 -8 15 -10 14 -10 17 -8 13 -8 15 -10 17 -8 18 -7 17 -12 17 -11 17 -10 15 -10 17 -3 22 0 27 0 27 5 25 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1282832,0,110,0,0,1.454864,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 5 -10 4 -11 6 -12 4 -10 4 -9 2 -10 3 -10 3 -10 2 -10 2 -12 2 -13 2 -13 1 -13 1 -11 -1 -12 1 -11 1 -11 0 -11 1 -11 1 -11 0 -12 0 -10 -1 -12 1 -14 0 -11 0 0 0 -12 1 -12 2 -13 1 -11 2 -11 0 -13 1 -14 1 -13 1 -13 2 -11 4 -12 3 -12 1 -13 2 -12 3 -11 3 -12 4 -16 3 -12 5 -13 5 -10 6 -12 4 -13 5 -14 4 -13 5 -14 3 -12 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 27 6 30 11 31 5 27 0 20 16 17 15 21 15 19 18 19 16 15 13 20 14 17 10 23 12 21 16 21 18 22 16 24 17 22 17 19 15 24 13 25 12 23 16 22 11 22 14 21 16 26 12 23 17 26 14 27 20 27 15 32 4 27 15 28 17 25 14 26 14 27 20 29 14 28 13 29 14 28 17 30 16 30 21 32 22 29 23 28 21 31 16 27 20 34 21 25 25 28 20 25 25 28 23 30 24 25 31 21 33 20 32 17 36 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -13 13 -12 12 -15 15 -15 12 -13 12 -14 7 -16 11 -13 9 -16 13 -18 10 -18 9 -17 8 -20 10 -20 9 -17 6 -18 9 -17 8 -18 8 -15 7 -18 8 -17 6 -16 9 -17 6 -18 8 -22 8 -16 7 -13 13 -18 8 -20 10 -16 9 -16 8 -18 8 -16 10 -18 10 -17 10 -17 12 -15 12 -15 12 -17 10 -16 13 -17 11 -14 14 -13 11 -18 15 -15 12 -14 14 -14 14 -13 16 -15 16 -18 15 -17 14 -16 14 -17 14 -10 25 -9 28 -10 27 -4 30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1289624,0,110,0,0,1.466364,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 9 3 8 4 10 2 11 2 10 1 9 1 10 0 9 0 9 -1 10 -1 11 0 11 -1 10 -1 11 -2 9 -1 11 -2 9 -2 9 -2 9 -1 9 -2 8 -2 9 -4 8 -2 10 -2 11 -2 9 0 0 -2 10 -1 10 -2 11 -1 10 -2 9 -1 11 -1 12 -1 10 -1 11 1 9 1 11 0 10 -1 10 1 10 1 11 2 11 0 13 2 10 1 11 3 10 2 11 1 11 1 12 2 11 1 11 2 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 -25 11 -26 11 -31 9 -25 16 -15 14 -15 16 -18 19 -17 15 -15 13 -13 15 -17 12 -16 15 -19 17 -17 19 -19 16 -18 18 -20 17 -19 15 -16 17 -19 14 -23 20 -18 13 -20 15 -18 17 -17 16 -20 18 -18 15 -22 20 -22 17 -23 9 -30 19 -25 20 -21 16 -23 18 -22 22 -23 19 -24 17 -23 20 -24 22 -23 19 -23 23 -25 24 -25 26 -24 25 -23 22 -27 24 -22 27 -26 28 -21 26 -23 29 -19 29 -22 30 -21 31 -16 33 -14 32 -14 35 -10 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 11 11 11 9 10 10 11 13 10 12 8 10 9 11 7 10 9 13 7 14 9 15 9 16 10 15 8 16 6 13 6 15 8 16 6 15 5 12 5 13 5 12 7 14 4 13 6 15 4 17 7 14 13 13 6 15 6 15 6 15 6 13 7 15 8 14 6 14 7 14 8 14 7 14 10 15 9 14 10 14 9 15 12 12 9 12 10 14 10 12 11 12 10 15 13 13 11 13 10 15 12 14 12 13 12 14 20 9 25 10 26 7 27 6 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1292419,0,110,0,0,1.476468,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 3 8 2 7 1 10 5 8 3 7 4 9 5 7 5 8 4 8 5 8 7 8 7 8 6 8 6 6 6 8 8 6 7 6 7 6 7 5 6 6 7 7 6 4 7 7 7 6 8 7 7 0 0 7 8 7 7 8 7 7 6 5 8 7 7 7 8 6 7 8 7 7 5 9 6 7 6 8 7 8 6 8 6 9 5 10 7 9 5 9 6 9 4 9 7 10 6 9 6 10 6 9 7 10 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -4 -27 -3 -27 -8 -28 -6 -25 5 -24 4 -22 4 -25 6 -26 5 -23 4 -20 5 -24 2 -21 2 -27 5 -25 6 -25 3 -27 4 -29 4 -27 3 -24 3 -26 -1 -29 6 -25 0 -24 3 -25 6 -26 3 -27 5 -26 0 -28 5 -30 3 -29 -10 -31 3 -32 4 -31 4 -29 3 -29 5 -31 3 -32 3 -30 3 -31 5 -31 4 -31 8 -34 9 -35 8 -35 10 -36 4 -34 8 -34 9 -36 12 -32 10 -33 15 -32 13 -34 13 -34 18 -31 22 -30 23 -28 25 -28 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 16 1 16 -2 15 2 18 2 15 3 13 3 16 3 15 3 18 5 15 6 17 7 17 7 17 6 18 6 15 7 14 8 17 8 14 10 13 5 14 7 12 8 15 7 12 9 15 7 15 10 14 7 18 3 14 10 13 7 14 7 15 6 14 8 16 6 15 7 17 7 18 7 15 5 16 5 17 6 18 6 18 6 17 2 17 4 18 4 16 4 17 3 17 6 19 2 19 1 19 5 20 4 18 4 20 4 22 0 25 -4 30 -7 25 -9 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1295332,0,110,0,0,1.485814,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -1 8 -2 10 -1 11 0 11 0 8 1 10 2 8 2 9 1 9 2 11 3 10 2 10 2 11 4 8 3 10 3 9 3 8 4 8 3 8 4 8 3 9 3 8 5 9 5 10 5 9 3 0 0 10 3 10 3 11 3 9 2 9 5 10 2 10 3 10 3 11 2 10 0 11 1 10 2 10 2 10 1 9 1 11 0 13 2 10 0 11 1 10 -1 11 1 12 0 12 1 13 -1 12 2 11 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -23 -15 -26 -17 -28 -11 -23 -10 -11 -19 -12 -19 -13 -19 -12 -21 -11 -19 -10 -16 -12 -19 -13 -14 -16 -19 -13 -20 -14 -22 -14 -19 -16 -20 -16 -20 -14 -17 -15 -18 -20 -16 -14 -21 -16 -15 -14 -18 -13 -20 -16 -18 -14 -20 -19 -17 -18 -22 -18 -18 -31 -9 -20 -21 -17 -21 -19 -18 -18 -19 -18 -22 -22 -20 -20 -19 -20 -20 -19 -20 -19 -20 -19 -24 -21 -24 -21 -24 -20 -24 -22 -20 -18 -22 -22 -25 -17 -25 -18 -25 -15 -27 -17 -25 -18 -27 -13 -29 -11 -32 -10 -31 -9 -31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 13 -6 14 -8 16 -9 17 -7 16 -6 14 -4 16 -3 13 -4 18 -6 17 -2 18 -2 17 -3 19 -4 20 -3 16 -2 16 -2 19 -3 17 1 14 -3 15 -1 14 -1 16 -3 15 0 16 -1 20 0 16 -2 15 -11 17 -2 17 -2 16 -3 14 -4 16 -3 17 -4 16 -3 16 -5 17 -6 15 -4 17 -6 16 -4 17 -7 17 -7 13 -10 15 -7 17 -8 14 -7 15 -8 15 -7 14 -10 15 -11 18 -8 17 -9 16 -9 17 -9 10 -18 12 -25 13 -27 9 -26 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1297508,0,110,0,0,1.496324,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -2 9 -2 12 -2 13 -1 12 0 9 1 11 2 10 2 11 2 10 2 11 3 12 3 11 3 11 4 9 4 11 3 9 4 9 5 9 4 9 4 9 4 9 4 8 5 11 5 11 6 10 3 0 0 10 4 11 3 12 4 10 3 10 5 12 3 12 5 10 4 11 3 11 2 11 2 11 3 11 3 11 2 11 4 12 1 14 3 11 1 12 1 11 0 12 3 13 1 13 3 14 1 12 2 13 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -30 -12 -32 -11 -33 -9 -27 -6 -12 -18 -11 -18 -14 -18 -11 -20 -11 -17 -10 -15 -11 -18 -12 -14 -15 -18 -12 -19 -12 -21 -13 -20 -16 -20 -15 -19 -12 -18 -14 -19 -18 -16 -14 -20 -14 -15 -13 -18 -12 -19 -16 -17 -13 -20 -18 -18 -17 -24 -17 -20 -35 -9 -18 -22 -15 -21 -16 -18 -17 -19 -17 -22 -20 -22 -16 -20 -18 -20 -16 -23 -17 -21 -15 -26 -17 -28 -18 -27 -16 -27 -20 -22 -14 -24 -18 -26 -12 -28 -15 -26 -11 -28 -13 -27 -15 -29 -9 -31 -5 -33 -6 -32 -4 -34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 12 -11 11 -11 13 -10 13 -9 14 -9 12 -8 14 -7 12 -7 15 -8 15 -5 16 -6 17 -6 17 -8 17 -7 12 -5 15 -6 15 -6 16 -5 13 -5 16 -4 13 -3 13 -7 14 -3 15 -4 17 -2 15 -5 15 -15 17 -5 14 -4 14 -5 13 -5 15 -5 16 -8 14 -5 15 -7 15 -8 14 -6 15 -7 17 -6 15 -9 16 -8 12 -10 12 -8 14 -11 13 -7 12 -9 14 -8 12 -10 13 -11 17 -9 15 -10 15 -10 16 -9 11 -23 10 -30 9 -30 5 -32 -1 -1 ]
