type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,131033,0,34,0,0,0.310978,128,[34 32 2 0 0 0 0 0 0 0 0 0 -10 4 -9 4 -11 4 -11 5 -11 4 -10 3 -10 3 -10 3 -11 2 -11 2 -11 2 -11 2 -11 2 -11 2 -10 1 -11 2 -10 1 -10 1 -10 1 -10 2 -10 1 -10 2 -10 1 -10 1 -11 2 -10 2 0 0 -10 2 -10 3 -10 3 -10 3 -9 3 -10 2 -9 3 -10 3 -10 3 -10 3 -10 4 -9 2 -9 3 -10 3 -9 4 -9 3 -10 5 -9 4 -9 4 -9 4 -9 5 -9 4 -9 5 -8 4 -9 4 -8 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,143928,0,131,0,0,0.323642,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -20 -14 -19 -15 -20 -16 -20 -16 -19 -17 -17 -16 -18 -17 -15 -17 -17 -18 -16 -19 -18 -19 -18 -20 -17 -19 -16 -19 -14 -18 -17 -20 -13 -18 -14 -19 -14 -18 -14 -18 -13 -18 -14 -19 -12 -17 -14 -17 -17 -19 -16 -18 0 0 -16 -17 -17 -18 -17 -17 -16 -17 -15 -15 -17 -16 -18 -16 -16 -16 -18 -16 -17 -16 -18 -16 -17 -14 -17 -14 -18 -14 -18 -15 -18 -14 -20 -14 -19 -13 -18 -13 -19 -12 -18 -12 -19 -12 -20 -11 -20 -11 -19 -10 -19 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,0,1,1,0,0,0,0,-92,0,6,1,1025504,0,110,0,0,1.205612,256,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -8 -3 -8 -3 -9 -3 -9 -2 -9 -2 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -10 -1 -10 0 -9 -1 -10 0 -9 0 -9 0 -9 0 -10 0 -9 0 -10 1 -9 0 -10 0 -11 0 -10 0 0 0 -10 -1 -10 -1 -10 0 -10 0 -9 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -9 -1 -9 -1 -10 -2 -10 -1 -9 -2 -11 -2 -10 -2 -10 -2 -9 -2 -10 -2 -10 -3 -10 -3 -10 -2 -9 -2 -9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 -15 -8 -11 -9 -9 -12 -9 -12 -9 -12 -10 -13 -9 -13 -7 -14 -9 -14 -7 -14 -8 -15 -7 -16 -7 -16 -6 -17 -6 -16 -6 -16 -6 -15 -7 -17 -5 -15 -4 -16 -5 -16 -4 -16 -5 -16 -5 -17 -5 -17 -4 -17 -5 -18 -5 -16 -1 -1 -6 -16 -6 -16 -5 -16 -7 -16 -5 -13 -8 -16 -7 -16 -6 -15 -8 -16 -8 -17 -7 -17 -8 -15 -7 -16 -7 -16 -9 -15 -7 -15 -9 -15 -8 -14 -10 -14 -9 -14 -10 -14 -9 -15 -10 -14 -11 -15 -9 -13 -9 -14 -13 -9 -12 -9 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1026053,0,110,0,0,1.213812,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -13 -11 -12 -13 -15 -12 -17 -11 -16 -9 -15 -10 -17 -9 -16 -8 -17 -7 -18 -8 -20 -9 -21 -7 -20 -6 -21 -4 -18 -7 -22 -5 -19 -4 -19 -5 -19 -4 -19 -4 -19 -4 -21 -1 -19 -3 -21 -3 -23 -5 -21 0 0 -5 -22 -6 -21 -6 -22 -6 -21 -3 -21 -5 -21 -5 -22 -5 -20 -5 -21 -8 -18 -8 -21 -5 -20 -5 -20 -8 -19 -7 -19 -10 -18 -9 -22 -9 -18 -10 -19 -11 -15 -9 -19 -9 -18 -10 -19 -12 -18 -9 -18 -10 -17 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 30 7 33 12 32 14 24 -6 21 -4 21 -3 21 -5 19 -3 19 -2 15 -2 18 1 14 2 16 1 17 1 17 2 15 4 16 3 14 3 12 5 12 7 10 6 12 5 8 5 9 5 8 7 7 7 8 8 5 8 7 9 5 12 -2 9 4 9 3 8 2 8 1 8 1 10 -1 9 -2 9 -3 8 -3 9 -3 10 -4 11 -5 10 -6 10 -6 8 -9 8 -7 9 -9 9 -8 8 -8 9 -9 8 -10 8 -10 10 -11 10 -10 11 -10 11 -10 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -25 -8 -24 -9 -28 -10 -24 -13 -26 -11 -22 -11 -25 -14 -22 -12 -27 -15 -25 -18 -27 -20 -25 -20 -28 -21 -25 -21 -21 -19 -24 -20 -23 -19 -24 -22 -20 -17 -21 -21 -18 -20 -23 -20 -20 -23 -21 -22 -22 -29 -22 -21 -37 -11 -22 -23 -23 -23 -22 -20 -23 -20 -22 -23 -24 -19 -23 -21 -25 -19 -25 -18 -22 -18 -25 -19 -24 -22 -25 -19 -24 -18 -27 -11 -23 -14 -27 -14 -23 -15 -25 -12 -26 -12 -27 -11 -26 -9 -27 -14 -27 -14 -27 -12 -24 -14 -33 4 -38 5 -38 10 -35 20 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1056982,0,110,0,0,1.236574,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 16 -12 15 -13 18 -16 17 -15 16 -15 13 -17 14 -16 12 -18 14 -18 13 -21 14 -21 14 -21 13 -22 12 -20 8 -23 13 -21 10 -21 9 -21 9 -20 8 -21 8 -22 9 -21 6 -23 8 -26 9 -22 10 0 0 -23 10 -22 11 -23 12 -21 12 -23 7 -23 10 -24 10 -21 10 -22 12 -18 13 -21 14 -20 10 -20 11 -19 13 -20 13 -19 15 -22 15 -17 15 -18 15 -14 15 -18 14 -18 15 -18 15 -17 16 -18 13 -15 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 37 -6 41 -8 36 -14 30 -14 28 4 26 2 28 1 27 4 24 0 19 1 23 -2 18 -3 22 -5 21 -3 22 -3 20 -5 21 -7 18 -6 15 -4 15 -9 13 -11 15 -9 9 -10 11 -9 11 -9 9 -12 10 -11 7 -12 9 -13 6 -14 -1 -16 4 -13 4 -14 2 -13 0 -13 1 -14 -2 -14 -2 -14 -4 -13 -4 -13 -6 -14 -6 -15 -6 -15 -8 -14 -8 -14 -12 -12 -9 -13 -13 -13 -11 -13 -13 -12 -11 -13 -14 -12 -14 -12 -13 -14 -14 -15 -13 -15 -15 -16 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -9 32 -9 30 -10 35 -14 32 -13 34 -12 28 -17 32 -14 28 -18 36 -21 32 -23 34 -24 34 -25 36 -25 33 -22 27 -25 32 -22 32 -27 32 -21 27 -26 27 -25 24 -24 31 -29 26 -28 28 -35 29 -27 30 -17 40 -28 29 -29 30 -24 29 -23 29 -28 28 -24 32 -25 29 -24 31 -23 33 -21 30 -21 34 -25 31 -22 34 -21 32 -14 35 -17 30 -18 36 -16 31 -13 32 -16 31 -12 33 -11 33 -18 35 -15 33 -14 32 -15 31 2 41 6 45 6 43 16 43 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1057451,0,110,0,0,1.247850,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 4 15 3 18 4 18 7 17 6 14 6 17 8 15 7 15 8 15 9 17 11 18 11 16 12 15 13 13 11 18 13 15 12 14 13 14 11 13 12 13 12 15 14 11 14 14 14 16 15 15 13 0 0 16 14 16 12 17 13 16 12 14 14 17 12 17 14 16 12 17 12 18 6 18 10 15 11 16 10 17 8 17 9 19 7 21 11 17 6 18 6 17 4 18 8 18 7 18 7 19 6 17 8 17 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -26 -23 -27 -25 -27 -18 -28 -13 -11 -22 -10 -20 -13 -21 -11 -21 -12 -18 -8 -15 -12 -16 -12 -13 -14 -14 -14 -14 -14 -15 -14 -13 -15 -12 -13 -10 -11 -9 -14 -7 -14 -5 -14 -7 -11 -3 -12 -4 -11 -4 -13 -1 -12 -3 -12 0 -14 -1 -12 1 -11 8 -12 3 -12 3 -10 4 -10 5 -10 5 -9 7 -7 7 -7 8 -6 8 -8 9 -8 10 -7 11 -6 11 -5 11 -2 13 -3 12 -3 13 -4 12 -1 13 -3 14 0 13 1 14 -2 15 -2 16 -2 16 -2 16 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 26 -6 24 -5 28 -7 28 -3 29 -5 24 -2 30 -1 25 -1 32 -3 32 3 33 4 33 4 35 4 32 5 27 5 33 4 30 2 33 6 27 3 29 7 26 7 31 4 30 10 31 8 35 12 31 7 37 -7 32 8 32 6 29 5 30 4 31 8 32 2 31 5 31 3 31 0 28 2 32 1 32 4 32 1 31 0 30 -6 29 -2 33 -5 27 -3 28 -6 29 -4 28 -8 27 -7 32 -4 29 -5 28 -5 28 -4 28 -24 28 -28 26 -27 21 -34 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1060102,0,110,0,0,1.257938,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -17 3 -16 3 -19 5 -20 5 -18 6 -16 8 -18 7 -16 7 -17 8 -17 11 -18 10 -19 11 -18 12 -17 11 -15 12 -19 11 -16 12 -15 12 -15 11 -15 12 -14 13 -16 13 -13 13 -15 15 -17 13 -17 0 0 14 -17 12 -18 13 -19 11 -17 14 -16 12 -18 14 -18 11 -16 12 -19 8 -17 9 -19 11 -17 10 -17 8 -19 9 -19 7 -20 10 -22 6 -19 6 -20 4 -18 7 -19 7 -19 7 -20 6 -20 8 -18 5 -17 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -22 24 -25 25 -21 26 -17 25 -23 10 -21 10 -20 12 -23 9 -18 11 -14 7 -17 10 -13 11 -15 13 -15 13 -15 12 -13 13 -13 14 -11 12 -9 10 -7 12 -5 14 -8 12 -3 10 -5 11 -4 11 -2 11 -2 11 1 11 -1 13 1 11 8 9 3 10 3 11 4 9 5 8 5 8 8 8 6 7 8 7 8 6 9 6 10 7 11 6 11 5 12 5 12 2 11 3 13 1 12 3 13 1 14 2 15 0 15 -1 15 1 16 2 16 1 16 2 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -8 -25 -8 -25 -8 -29 -6 -29 -6 -28 -4 -24 -3 -30 -4 -25 -5 -32 -1 -32 1 -34 1 -33 1 -36 2 -34 2 -29 3 -33 0 -33 4 -34 2 -28 4 -30 5 -28 2 -32 6 -31 5 -31 9 -36 3 -32 -10 -38 6 -34 5 -33 4 -31 3 -30 5 -33 1 -33 3 -32 1 -33 0 -34 -1 -30 0 -33 1 -33 -1 -34 -1 -33 -8 -31 -4 -29 -5 -35 -3 -28 -7 -30 -5 -30 -10 -31 -8 -28 -5 -32 -5 -32 -7 -29 -5 -29 -21 -29 -31 -28 -30 -27 -30 -23 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1092040,0,110,0,0,1.271719,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -19 8 -18 9 -20 12 -21 11 -19 12 -16 13 -18 12 -16 13 -17 16 -16 17 -18 17 -19 17 -17 18 -16 17 -13 19 -18 18 -15 18 -13 17 -13 17 -13 18 -12 19 -14 18 -10 20 -13 22 -14 19 -14 0 0 20 -14 18 -15 20 -16 18 -16 20 -12 19 -15 21 -15 18 -14 19 -16 14 -17 16 -18 17 -15 18 -16 15 -17 15 -17 15 -20 17 -21 13 -18 13 -19 9 -18 14 -18 14 -18 15 -19 12 -20 13 -18 11 -18 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -35 21 -34 23 -27 24 -18 25 -26 4 -24 4 -25 7 -26 2 -21 6 -18 3 -20 7 -15 7 -16 10 -18 9 -18 9 -16 9 -17 11 -15 9 -12 7 -10 11 -8 12 -11 11 -6 10 -7 10 -6 9 -5 12 -6 11 -3 11 -5 13 -2 12 7 13 0 12 0 12 1 9 3 10 2 11 5 9 5 9 6 8 6 8 8 8 8 9 9 9 10 8 10 8 12 4 10 6 14 5 11 6 12 3 13 6 14 3 15 2 15 5 14 6 15 6 16 7 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -32 0 -31 0 -36 3 -34 2 -34 4 -28 7 -35 4 -29 4 -37 11 -35 12 -38 12 -38 13 -39 14 -37 13 -31 13 -36 11 -35 14 -36 11 -30 14 -32 14 -28 12 -34 17 -31 17 -33 24 -36 16 -34 1 -44 17 -34 16 -35 13 -32 12 -33 17 -33 11 -35 12 -34 9 -34 9 -36 9 -34 9 -36 13 -35 10 -36 8 -34 0 -35 6 -32 3 -38 6 -32 1 -32 3 -32 -1 -31 -1 -32 5 -36 5 -32 3 -33 4 -33 -14 -34 -24 -38 -23 -37 -30 -34 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1093126,0,110,0,0,1.282923,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -18 -8 -18 -10 -21 -7 -23 -6 -21 -4 -19 -5 -22 -4 -21 -5 -21 -3 -22 -2 -25 -3 -25 -1 -25 0 -25 1 -22 -2 -27 0 -23 1 -22 1 -23 1 -22 2 -23 1 -24 5 -21 2 -24 2 -26 1 -24 0 0 1 -25 -2 -25 0 -26 -2 -24 2 -24 -1 -25 0 -26 -1 -23 -2 -24 -4 -20 -5 -24 -2 -22 -3 -23 -5 -22 -5 -23 -7 -23 -7 -27 -8 -21 -8 -22 -9 -19 -7 -22 -7 -22 -8 -22 -9 -22 -6 -22 -8 -19 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 5 37 5 39 10 35 13 29 -8 23 -7 21 -6 24 -8 21 -4 20 -4 16 -2 19 0 16 1 18 0 18 0 19 1 17 3 18 2 16 2 13 5 13 7 11 6 12 7 8 6 9 6 9 9 8 7 8 9 6 10 8 11 6 14 -1 11 6 12 1 9 0 11 1 13 3 10 -1 11 -2 8 -6 11 -5 11 -5 17 -7 11 -6 11 -7 9 -3 10 -8 9 -9 9 -8 4 -8 9 -11 9 -12 4 -8 9 -15 10 -13 11 -17 10 -13 12 -14 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -25 -18 -23 -18 -27 -20 -24 -22 -25 -22 -20 -19 -23 -24 -20 -20 -27 -24 -22 -28 -23 -31 -22 -30 -24 -32 -22 -32 -17 -26 -21 -30 -22 -28 -21 -31 -18 -25 -18 -29 -15 -27 -21 -28 -16 -31 -17 -31 -18 -37 -19 -30 -37 -22 -18 -32 -20 -31 -18 -26 -20 -27 -18 -30 -23 -26 -20 -27 -23 -26 -25 -25 -23 -24 -25 -26 -22 -28 -25 -26 -24 -25 -28 -18 -23 -21 -29 -22 -23 -20 -25 -17 -24 -19 -27 -16 -26 -15 -28 -21 -27 -20 -25 -18 -25 -19 -39 -1 -45 5 -42 4 -43 15 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,1093642,0,110,0,0,1.293940,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 0 -20 0 -22 0 -24 -3 -22 -2 -20 -4 -22 -4 -21 -5 -22 -5 -22 -7 -24 -8 -24 -8 -24 -9 -23 -10 -20 -10 -25 -9 -21 -10 -20 -11 -20 -10 -20 -10 -20 -11 -22 -11 -18 -12 -21 -12 -23 -14 -22 -11 0 0 -23 -12 -23 -10 -24 -11 -23 -9 -21 -12 -23 -10 -23 -11 -21 -9 -23 -10 -22 -5 -24 -6 -21 -9 -22 -8 -23 -5 -23 -6 -24 -4 -27 -7 -22 -3 -23 -3 -21 -1 -23 -4 -23 -4 -23 -4 -23 -2 -22 -5 -21 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 30 23 30 25 33 18 31 15 15 23 14 21 16 22 14 23 15 18 12 15 15 16 14 12 18 13 17 13 17 13 16 11 19 11 16 9 14 7 17 5 16 2 16 4 13 1 13 2 13 2 14 -1 13 0 13 -3 14 -3 13 -6 11 -11 12 -6 11 -6 8 -7 10 -9 9 -9 6 -8 7 -14 7 -12 7 -13 2 -15 6 -16 6 -17 7 -15 0 -13 -2 -18 1 -16 0 -16 2 -20 -1 -19 -4 -16 -2 -23 -5 -21 -3 -16 1 -19 -5 -20 -5 -21 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -32 13 -30 12 -36 13 -36 10 -36 11 -31 7 -37 7 -32 6 -40 8 -40 3 -42 2 -42 3 -45 2 -43 -1 -36 -1 -41 1 -41 1 -42 -3 -35 0 -38 -3 -35 -4 -40 0 -38 -5 -40 -5 -45 -9 -40 -3 -41 11 -40 -4 -41 -3 -39 -1 -38 0 -41 -4 -40 1 -39 0 -41 2 -40 3 -37 4 -40 4 -40 0 -41 4 -39 5 -36 11 -35 7 -41 9 -34 8 -33 10 -33 9 -34 13 -33 12 -38 9 -36 11 -34 10 -33 9 -29 26 -32 32 -28 31 -23 38 -1 -1 ]
