type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,130966,0,34,0,0,0.308694,128,[34 32 2 0 0 0 0 0 0 0 0 0 -9 -24 -7 -22 -8 -25 -9 -25 -5 -25 -4 -23 -4 -25 -2 -23 -2 -26 -1 -26 -2 -27 -1 -27 -1 -26 -1 -25 0 -22 -2 -25 0 -22 1 -22 0 -22 0 -22 0 -21 0 -22 1 -20 0 -21 -2 -24 -1 -22 0 0 -3 -21 -3 -22 -3 -20 -4 -21 -4 -19 -4 -21 -5 -22 -5 -20 -6 -20 -5 -21 -5 -21 -6 -19 -6 -20 -6 -20 -5 -20 -7 -19 -9 -21 -7 -19 -7 -19 -9 -19 -9 -19 -10 -20 -9 -20 -10 -20 -10 -19 -9 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,152915,0,131,0,0,0.330414,128,[-125 48 8 0 0 0 0 0 0 0 0 0 23 7 23 9 22 10 24 11 22 12 20 13 21 14 19 13 21 14 18 13 21 15 20 15 20 14 20 14 16 15 20 15 16 15 15 15 15 14 15 14 14 14 16 14 13 13 16 12 17 13 17 13 0 0 17 11 18 11 18 11 16 11 16 10 17 10 18 9 17 9 19 8 17 8 18 8 17 6 18 6 19 8 17 7 19 7 19 6 18 5 19 6 18 5 18 5 20 6 19 4 21 3 20 2 19 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1014321,0,37,0,0,1.192097,128,[37 80 2 0 0 0 0 0 0 0 0 0 6 21 5 20 6 23 5 23 5 23 3 20 3 22 1 21 2 22 0 23 1 24 0 25 0 22 0 22 -2 20 0 24 -1 20 -2 21 -1 19 0 19 -1 19 0 21 -2 18 0 19 1 20 1 18 0 0 2 18 3 19 3 18 3 18 3 15 4 17 4 17 4 17 5 17 4 18 5 19 5 16 6 17 6 16 6 16 7 16 8 17 7 15 8 15 8 14 9 15 9 14 10 15 10 15 9 15 9 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1014905,0,37,0,0,1.196313,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 15 18 16 19 17 20 19 18 19 15 18 16 20 14 20 14 21 14 20 16 23 14 22 14 21 12 21 11 19 14 23 11 20 10 20 10 20 10 19 9 19 10 20 7 18 11 18 12 20 11 18 0 0 11 17 13 18 13 17 13 18 12 15 14 15 14 14 13 14 13 13 12 15 15 14 13 12 14 14 15 14 15 14 15 13 17 13 16 12 16 12 15 12 16 11 16 12 17 11 17 11 16 11 17 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1139876,0,37,0,0,1.317531,128,[37 80 2 0 0 0 0 0 0 0 0 0 -22 -16 -19 -17 -22 -19 -22 -20 -19 -20 -17 -20 -19 -21 -15 -21 -16 -21 -16 -22 -18 -22 -18 -23 -17 -22 -16 -20 -13 -20 -16 -24 -13 -21 -11 -20 -13 -20 -12 -20 -12 -19 -14 -20 -11 -19 -14 -17 -16 -19 -15 -17 0 0 -15 -18 -16 -16 -16 -16 -16 -17 -14 -15 -16 -15 -17 -16 -15 -15 -18 -13 -16 -14 -18 -13 -16 -13 -18 -11 -18 -13 -17 -12 -19 -12 -20 -11 -19 -11 -18 -10 -18 -10 -19 -10 -19 -10 -20 -9 -20 -8 -19 -8 -19 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1143918,0,110,0,0,1.322961,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 15 -6 15 -6 17 -10 17 -10 16 -8 12 -10 13 -10 11 -10 13 -12 13 -14 13 -14 14 -13 14 -12 12 -11 9 -12 14 -11 10 -12 11 -11 10 -10 10 -11 9 -11 11 -13 8 -12 10 -14 12 -11 11 0 0 -11 12 -10 12 -9 12 -9 13 -9 10 -8 13 -10 12 -8 13 -8 13 -5 12 -6 13 -6 10 -7 11 -5 11 -4 13 -3 13 -6 16 -3 11 -3 13 0 12 -4 13 -2 13 -3 14 -3 14 -4 12 -1 12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 -29 3 -30 -1 -27 -3 -29 11 -13 9 -13 11 -15 11 -13 9 -13 7 -11 7 -13 5 -13 4 -16 7 -17 8 -15 6 -14 5 -17 4 -16 4 -14 3 -16 -1 -16 3 -17 -2 -14 1 -14 5 -15 -1 -16 3 -16 -1 -16 1 -18 -3 -18 -19 -15 -2 -19 -3 -17 -6 -17 -4 -17 -5 -20 -8 -19 -7 -18 -7 -19 -8 -19 -7 -19 -7 -20 -9 -21 -8 -21 -10 -21 -13 -20 -9 -20 -11 -21 -7 -21 -9 -18 -7 -20 -10 -23 -10 -24 -6 -25 -4 -24 -5 -26 -5 -26 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 4 18 5 20 6 20 3 20 3 22 2 18 1 22 3 19 4 23 -1 21 0 25 0 24 1 26 0 24 -1 21 1 23 3 20 -1 24 2 19 -1 20 -2 17 3 20 -3 20 -1 19 -5 25 -1 20 16 19 -1 21 1 20 3 16 2 17 1 19 4 18 1 17 4 18 6 17 3 17 6 17 5 17 7 17 6 17 10 14 7 13 8 15 6 13 8 13 9 16 12 13 10 12 10 16 8 16 9 13 10 14 23 5 29 2 26 5 29 -2 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1207450,0,110,0,0,1.384983,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 -3 -17 -3 -20 -2 -19 -6 -19 -6 -15 -6 -19 -6 -15 -6 -17 -6 -16 -9 -19 -11 -18 -9 -16 -9 -16 -10 -13 -9 -17 -10 -15 -9 -14 -10 -15 -8 -14 -8 -14 -9 -14 -9 -11 -11 -13 -10 -15 -11 -14 -8 0 0 -15 -8 -16 -6 -15 -7 -15 -6 -12 -8 -15 -7 -15 -7 -13 -6 -16 -6 -14 -2 -15 -4 -13 -5 -14 -4 -15 -2 -14 -2 -16 -1 -18 -2 -14 0 -15 -2 -13 1 -15 -1 -15 -1 -16 0 -16 1 -15 -2 -14 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 28 4 29 3 28 -2 24 -4 13 9 13 8 15 9 15 10 13 7 11 5 13 8 12 5 17 3 16 6 16 7 15 7 19 5 17 5 13 4 15 3 16 -1 16 3 14 -1 15 0 14 3 16 -1 17 1 17 -2 18 1 17 -5 17 -19 18 -6 18 -2 15 -5 16 -5 17 -6 16 -6 17 -7 17 -9 18 -8 19 -7 22 -6 22 -8 20 -8 21 -7 20 -11 18 -8 20 -10 21 -7 21 -10 21 -6 22 -8 22 -9 21 -3 23 -3 24 -4 26 -3 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -18 9 -20 10 -23 10 -22 11 -21 9 -18 5 -24 7 -19 8 -24 10 -25 3 -24 6 -25 5 -27 7 -27 6 -23 4 -23 4 -22 7 -25 4 -21 5 -23 3 -19 1 -21 6 -20 0 -20 3 -27 1 -20 5 -20 18 -23 4 -22 4 -19 6 -18 4 -20 6 -18 6 -18 5 -19 8 -19 8 -19 7 -18 8 -19 7 -18 10 -17 10 -14 12 -14 11 -17 12 -14 11 -14 9 -15 11 -14 14 -11 13 -17 12 -14 13 -14 12 -15 12 -4 23 0 31 1 31 3 30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1227909,0,110,0,0,1.406198,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -5 14 -3 17 -5 20 -1 17 -2 16 0 18 1 15 1 16 -1 16 2 18 2 18 2 17 2 17 4 14 4 18 3 15 3 14 4 15 3 13 4 14 4 15 4 11 4 14 4 15 4 15 2 0 0 14 3 15 1 16 2 13 0 13 2 14 1 14 2 12 1 14 0 14 -2 14 -1 13 1 13 -1 13 -3 13 -2 13 -4 15 -2 12 -4 13 -4 11 -5 13 -3 12 -4 12 -4 14 -5 12 -3 12 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -25 3 -28 0 -27 6 -23 5 -18 -9 -16 -6 -20 -8 -18 -11 -17 -6 -13 -6 -17 -7 -15 -4 -18 -4 -18 -5 -18 -6 -18 -3 -19 -2 -19 -3 -16 -2 -18 -3 -17 4 -18 -1 -16 2 -16 0 -17 -2 -18 2 -18 1 -17 5 -19 2 -19 4 -14 17 -18 4 -19 5 -17 6 -17 7 -19 6 -17 8 -17 7 -17 8 -18 7 -18 9 -20 8 -21 9 -19 11 -20 10 -20 14 -19 9 -23 12 -21 9 -18 11 -21 9 -22 12 -21 12 -24 8 -25 7 -26 6 -26 7 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 17 -18 16 -17 20 -19 22 -17 22 -17 18 -13 21 -14 16 -13 24 -15 24 -12 24 -10 24 -12 26 -14 22 -10 20 -8 25 -10 22 -12 23 -9 20 -10 20 -6 18 -6 19 -10 19 -8 20 -8 24 -8 20 -8 18 -23 20 -9 21 -8 17 -9 16 -10 19 -10 17 -12 15 -10 16 -14 17 -15 16 -14 15 -14 16 -12 15 -15 15 -13 12 -14 10 -15 15 -15 11 -14 11 -15 11 -14 10 -16 9 -17 12 -17 13 -16 11 -16 11 -15 -1 -24 1 -30 -4 -31 -5 -28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1228634,0,110,0,0,1.417577,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -15 6 -13 8 -14 10 -15 9 -13 9 -11 9 -13 9 -11 10 -12 10 -10 13 -12 12 -12 13 -12 13 -10 11 -8 13 -11 11 -10 11 -8 11 -9 10 -7 11 -7 11 -9 10 -6 12 -8 12 -9 10 -9 0 0 11 -9 9 -9 10 -10 9 -10 9 -8 9 -10 10 -9 8 -9 10 -11 7 -11 6 -11 7 -9 7 -10 6 -10 7 -10 6 -12 8 -13 4 -11 5 -12 2 -11 5 -11 5 -12 4 -12 3 -13 5 -12 3 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -29 37 -34 41 -26 40 -22 37 -34 12 -30 12 -34 13 -35 13 -29 13 -23 10 -31 12 -22 15 -26 19 -26 18 -27 18 -26 18 -31 24 -26 20 -21 17 -20 21 -17 25 -26 21 -16 23 -19 20 -20 21 -17 25 -18 23 -17 27 -25 30 -18 29 4 42 -14 31 -18 30 -13 31 -10 30 -17 34 -10 34 -9 34 -8 31 -11 36 -8 36 -11 38 -14 41 -11 38 -14 41 -5 41 -10 39 -9 43 -13 39 -11 43 -16 38 -10 45 -8 41 -15 44 -22 42 -21 44 -26 43 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -4 -46 -4 -44 -1 -48 1 -49 -2 -49 1 -42 8 -47 2 -39 4 -50 11 -47 13 -50 14 -48 13 -50 14 -47 13 -42 15 -43 12 -46 14 -47 10 -37 15 -39 14 -31 10 -41 16 -37 15 -40 19 -43 10 -39 -10 -48 12 -43 10 -37 8 -37 7 -34 10 -39 6 -39 6 -36 2 -39 4 -36 3 -33 -2 -35 7 -35 -1 -38 0 -36 -9 -32 -2 -36 -4 -41 -4 -34 -6 -32 -8 -35 -11 -33 -8 -35 -6 -38 -8 -34 -8 -33 -5 -37 -30 -30 -43 -36 -41 -30 -48 -34 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1229533,0,110,0,0,1.428588,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -17 1 -16 0 -19 3 -20 2 -16 4 -15 4 -18 5 -16 5 -16 6 -16 8 -18 6 -18 6 -17 8 -16 7 -13 7 -17 7 -16 9 -14 6 -14 7 -13 8 -14 8 -14 9 -11 7 -14 8 -15 7 -15 0 0 7 -14 4 -14 5 -15 4 -14 6 -13 5 -14 6 -14 5 -12 4 -14 2 -14 1 -14 2 -13 3 -14 2 -13 2 -14 0 -14 1 -16 0 -13 -1 -14 -2 -13 0 -14 0 -14 0 -14 -2 -14 0 -14 -2 -14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -8 26 -6 25 -2 28 -2 25 -12 13 -12 14 -13 14 -14 15 -13 13 -9 11 -10 13 -6 12 -8 16 -9 13 -9 16 -9 16 -8 18 -8 15 -6 15 -4 15 -1 17 -7 17 -1 13 -5 15 -4 15 -3 17 -3 15 0 17 -4 19 -1 19 11 17 1 20 -1 18 1 16 2 17 0 19 4 18 4 16 4 18 4 19 5 18 3 22 5 22 6 22 4 20 7 19 6 21 8 22 3 21 5 20 5 20 7 22 6 23 2 23 1 25 1 24 -1 24 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -11 -22 -11 -21 -12 -25 -10 -26 -10 -23 -9 -22 -6 -27 -6 -22 -9 -28 -5 -28 -4 -29 -3 -28 -6 -30 -5 -27 -3 -25 -2 -25 -6 -25 -1 -27 -5 -21 -1 -23 0 -22 -3 -23 0 -23 -2 -23 -1 -26 -3 -22 -16 -23 -2 -23 -3 -23 -4 -20 -4 -21 -4 -23 -7 -22 -6 -20 -7 -21 -8 -20 -7 -18 -10 -19 -8 -20 -9 -19 -9 -20 -12 -16 -12 -17 -13 -18 -9 -16 -11 -15 -10 -16 -12 -15 -13 -15 -11 -18 -12 -16 -11 -16 -12 -18 -24 -9 -30 -7 -29 -7 -29 0 -1 -1 ]
