type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,131209,0,34,0,0,0.301037,128,[34 32 2 0 0 0 0 0 0 0 0 0 -18 11 -19 9 -21 11 -22 11 -22 9 -20 7 -22 8 -21 6 -22 6 -23 6 -24 7 -25 6 -24 5 -24 6 -22 4 -26 5 -23 3 -23 2 -22 3 -22 3 -22 2 -24 3 -21 2 -22 4 -24 5 -23 5 0 0 -22 5 -23 6 -22 6 -22 6 -19 6 -21 6 -22 7 -20 6 -20 8 -20 7 -20 9 -19 7 -19 9 -20 8 -18 8 -19 9 -20 10 -18 9 -17 10 -17 10 -17 10 -17 11 -17 11 -16 12 -16 12 -15 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,145025,0,131,0,0,0.314625,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -20 -10 -19 -11 -21 -12 -22 -13 -21 -14 -19 -14 -19 -15 -17 -16 -18 -16 -17 -16 -20 -17 -20 -18 -19 -18 -18 -17 -16 -17 -19 -18 -16 -18 -15 -17 -15 -18 -15 -18 -15 -17 -16 -18 -13 -17 -17 -16 -18 -17 -17 -17 0 0 -17 -16 -18 -16 -19 -15 -18 -15 -17 -14 -18 -14 -19 -14 -17 -14 -18 -13 -17 -13 -20 -12 -17 -11 -18 -11 -19 -12 -18 -11 -19 -11 -21 -10 -19 -9 -18 -9 -19 -9 -19 -9 -19 -8 -19 -7 -21 -6 -19 -6 -19 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,148359,0,135,0,0,0.319401,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -16 -1 -15 -1 -19 -1 -19 -4 -18 -3 -15 -4 -18 -5 -16 -5 -17 -5 -17 -7 -18 -9 -20 -8 -18 -9 -17 -10 -14 -10 -19 -9 -16 -9 -14 -10 -15 -9 -15 -9 -15 -10 -16 -10 -12 -12 -15 -12 -17 -13 -15 -10 0 0 -15 -10 -16 -9 -17 -10 -17 -8 -14 -10 -16 -9 -16 -10 -15 -8 -16 -8 -15 -5 -16 -6 -14 -8 -15 -7 -15 -6 -16 -5 -16 -4 -19 -6 -15 -3 -16 -3 -14 -1 -16 -4 -15 -3 -16 -3 -16 -2 -15 -4 -14 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 23 15 23 16 26 11 22 8 11 15 11 15 15 15 13 16 12 14 12 12 14 12 13 11 15 11 13 11 15 11 15 9 18 11 14 9 13 9 17 7 16 3 15 6 15 2 14 5 15 6 16 3 15 5 16 0 17 3 18 1 19 -9 18 -2 18 0 18 -2 16 -4 18 -1 18 -5 17 -5 18 -4 19 -5 18 -6 21 -5 20 -5 20 -6 20 -7 19 -9 19 -8 21 -10 20 -7 19 -8 21 -7 21 -8 21 -8 22 -4 23 -5 23 -4 21 -4 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -24 10 -22 11 -27 10 -29 9 -27 8 -25 5 -28 5 -27 4 -31 7 -30 1 -32 1 -32 0 -36 1 -33 0 -29 -3 -31 1 -32 1 -31 -2 -28 0 -28 -3 -28 -3 -30 0 -27 -6 -28 -4 -33 -7 -30 -3 -31 11 -30 -3 -28 -3 -30 0 -27 0 -29 -3 -28 -1 -27 -1 -29 0 -30 2 -24 2 -27 3 -25 1 -27 4 -27 4 -24 8 -25 6 -28 5 -22 7 -22 7 -23 8 -23 8 -22 10 -25 6 -25 9 -24 9 -22 7 -18 17 -18 27 -19 24 -14 30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,1017506,0,37,0,0,1.187396,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 -12 -20 -12 -21 -13 -21 -14 -20 -15 -18 -15 -18 -16 -16 -16 -18 -17 -17 -18 -18 -19 -18 -20 -18 -19 -17 -19 -15 -18 -18 -20 -14 -19 -14 -19 -14 -19 -15 -18 -14 -17 -16 -19 -12 -18 -15 -18 -17 -19 -16 -18 0 0 -17 -16 -18 -17 -18 -16 -17 -16 -15 -14 -18 -15 -18 -15 -17 -14 -19 -13 -17 -14 -18 -14 -17 -12 -18 -12 -18 -12 -18 -12 -19 -11 -20 -11 -18 -10 -19 -10 -19 -9 -19 -9 -19 -9 -20 -8 -20 -8 -19 -8 -19 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,1139583,0,37,0,0,1.309374,128,[37 80 2 0 0 0 0 0 0 0 0 0 6 -22 7 -21 9 -24 9 -23 11 -23 11 -19 12 -21 12 -20 13 -21 14 -21 15 -22 16 -22 15 -22 15 -20 15 -18 16 -23 15 -18 16 -18 15 -17 15 -18 15 -17 15 -19 15 -16 14 -18 15 -21 13 -19 0 0 13 -20 13 -21 12 -20 12 -21 11 -18 11 -20 10 -21 10 -19 9 -22 10 -20 10 -21 9 -19 8 -20 8 -21 8 -20 7 -21 7 -23 6 -20 6 -20 5 -21 5 -20 4 -21 4 -22 3 -21 3 -20 3 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1202413,0,110,0,0,1.372821,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -16 3 -16 3 -18 6 -18 6 -18 6 -14 8 -17 7 -15 8 -17 9 -15 12 -17 11 -18 10 -17 11 -16 11 -13 12 -18 10 -15 12 -14 11 -13 10 -14 11 -13 11 -15 13 -11 12 -13 13 -15 11 -15 0 0 12 -14 9 -16 11 -16 9 -16 11 -14 9 -15 10 -15 10 -15 9 -16 8 -14 7 -16 7 -14 7 -14 5 -15 6 -16 4 -17 6 -18 3 -16 3 -16 2 -15 3 -16 3 -16 3 -16 2 -16 4 -15 2 -15 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -15 25 -15 26 -11 27 -7 25 -17 12 -16 12 -16 13 -18 11 -14 13 -14 10 -13 14 -10 12 -12 15 -12 15 -13 14 -12 14 -12 17 -11 15 -9 12 -6 16 -4 16 -7 16 -3 14 -5 15 -6 14 -1 16 -5 16 -1 16 -3 18 -1 18 10 18 0 18 0 18 2 15 3 17 0 17 5 17 4 16 5 17 6 17 5 18 5 19 6 20 6 20 6 18 10 18 7 17 10 20 6 18 9 17 6 19 9 18 10 18 8 21 5 20 5 20 4 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -7 -25 -5 -25 -6 -28 -3 -27 -4 -29 -1 -24 -1 -30 -2 -25 -3 -32 3 -30 4 -33 5 -32 3 -34 5 -33 4 -26 4 -31 2 -30 5 -32 2 -25 4 -27 7 -25 2 -30 7 -27 6 -28 10 -33 5 -29 -7 -33 6 -29 3 -30 1 -25 1 -27 4 -26 -1 -29 2 -27 0 -28 -2 -29 0 -24 -2 -27 0 -27 -3 -28 -3 -26 -8 -25 -5 -23 -7 -27 -5 -22 -8 -23 -6 -22 -9 -22 -10 -21 -7 -25 -8 -23 -8 -23 -7 -23 -22 -18 -26 -19 -24 -18 -31 -12 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1205176,0,110,0,0,1.383907,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -2 13 -2 16 -2 17 0 16 0 14 1 16 1 14 2 16 1 16 3 17 4 18 4 17 4 16 5 14 5 18 4 15 4 15 5 15 4 14 4 14 5 16 5 13 7 15 7 17 7 15 5 0 0 15 5 17 3 16 4 15 2 15 5 16 3 16 4 14 3 16 2 14 0 15 0 13 2 14 1 14 0 14 -1 14 -2 17 -1 13 -3 14 -3 12 -4 14 -3 14 -3 14 -3 14 -4 13 -2 12 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -28 -4 -29 -3 -27 1 -23 4 -18 -10 -16 -8 -19 -9 -17 -10 -17 -7 -14 -6 -17 -6 -14 -3 -17 -3 -18 -5 -18 -4 -17 -3 -19 -4 -17 -3 -14 -3 -17 1 -15 3 -17 1 -12 3 -15 2 -15 1 -15 6 -15 3 -14 6 -18 5 -14 7 -12 15 -15 9 -16 9 -12 9 -12 10 -14 8 -13 11 -12 11 -12 11 -12 12 -12 13 -14 12 -14 14 -14 13 -13 13 -10 16 -11 13 -12 16 -13 14 -10 15 -13 14 -11 16 -11 15 -14 13 -15 14 -15 13 -16 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 18 -13 18 -13 22 -15 22 -12 22 -13 19 -9 23 -10 20 -9 26 -13 26 -7 28 -8 27 -7 29 -8 28 -6 24 -4 27 -7 26 -9 28 -6 22 -7 25 -5 22 -3 24 -7 24 -4 26 -4 30 -2 25 -6 23 -17 25 -5 25 -6 21 -7 21 -8 25 -6 23 -10 23 -8 22 -10 22 -12 19 -10 21 -11 22 -8 22 -11 21 -11 16 -16 17 -12 19 -15 16 -12 15 -15 16 -14 14 -16 13 -16 18 -15 17 -15 14 -15 15 -14 7 -24 5 -29 4 -29 -2 -30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1205604,0,110,0,0,1.394320,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -15 -7 -15 -8 -18 -6 -19 -6 -18 -4 -16 -5 -18 -4 -16 -5 -18 -3 -19 -2 -21 -3 -21 -2 -20 -1 -20 0 -17 -3 -22 -1 -18 0 -18 0 -18 0 -17 0 -18 0 -20 3 -17 1 -20 1 -21 -1 -19 0 0 -1 -19 -2 -19 -2 -20 -3 -18 0 -18 -2 -19 -2 -19 -3 -17 -4 -18 -6 -15 -5 -17 -3 -16 -4 -17 -6 -16 -6 -16 -7 -15 -8 -19 -8 -14 -8 -15 -9 -12 -8 -15 -8 -15 -9 -15 -9 -14 -7 -14 -9 -13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 7 26 8 30 13 26 14 21 -4 20 -2 17 -1 21 -3 20 0 18 -2 15 1 17 2 14 4 18 3 18 2 19 3 17 5 19 5 17 4 15 7 15 9 14 7 15 8 10 8 14 7 13 10 12 9 13 12 11 12 15 13 11 20 3 13 10 14 11 13 8 14 8 15 10 17 7 15 7 16 6 16 7 17 7 18 9 19 8 19 8 19 7 20 3 18 6 22 4 19 7 20 4 19 7 21 4 21 3 20 8 21 9 19 9 20 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -21 -13 -19 -14 -23 -16 -21 -19 -23 -17 -16 -16 -20 -19 -18 -16 -23 -19 -19 -23 -20 -26 -19 -25 -21 -27 -18 -26 -15 -22 -19 -24 -19 -21 -18 -25 -15 -19 -16 -23 -13 -22 -18 -22 -14 -24 -15 -25 -15 -30 -17 -23 -27 -17 -15 -24 -17 -24 -17 -20 -17 -19 -16 -23 -19 -20 -17 -20 -20 -19 -21 -18 -19 -17 -19 -18 -19 -19 -20 -18 -20 -17 -22 -11 -19 -13 -23 -14 -19 -13 -20 -10 -20 -12 -22 -9 -21 -8 -23 -13 -21 -11 -21 -11 -20 -11 -29 3 -32 6 -31 7 -30 15 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1210743,0,110,0,0,1.405203,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 1 14 1 18 2 18 5 17 5 14 5 17 6 14 6 15 6 15 8 17 10 18 9 17 10 16 10 13 10 18 10 14 10 13 11 14 10 13 9 13 10 14 11 11 11 14 12 15 13 15 10 0 0 14 11 16 9 16 10 15 9 13 11 14 9 15 10 14 8 15 9 14 5 15 6 14 7 14 7 15 5 15 6 15 4 17 6 14 3 15 3 14 2 15 4 15 3 16 3 16 2 14 3 14 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -28 -10 -30 -13 -30 -6 -28 -4 -14 -16 -13 -14 -15 -15 -13 -16 -14 -13 -11 -12 -14 -12 -13 -8 -16 -11 -16 -10 -16 -11 -15 -10 -18 -9 -15 -9 -14 -7 -16 -5 -17 -3 -16 -6 -14 -2 -15 -4 -15 -5 -16 -1 -16 -2 -16 -1 -19 -2 -17 1 -17 13 -18 1 -18 2 -16 2 -16 3 -18 2 -18 6 -16 5 -17 6 -17 5 -18 7 -19 6 -20 6 -20 7 -19 6 -18 10 -17 7 -19 10 -19 7 -17 8 -18 6 -19 9 -19 9 -21 7 -21 5 -20 5 -21 4 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 22 -11 20 -10 26 -10 24 -8 25 -8 20 -5 25 -5 21 -6 28 -8 27 -4 30 -2 29 -2 32 -4 30 -2 25 -1 29 0 27 -3 28 1 23 -1 25 1 23 1 26 -2 25 2 26 2 30 4 26 0 29 -16 26 1 27 1 24 -2 23 -1 25 0 25 -3 24 -2 26 -5 25 -5 22 -4 24 -5 25 -3 24 -6 24 -6 20 -10 20 -7 23 -10 20 -7 19 -10 20 -8 18 -11 18 -11 23 -10 20 -11 19 -9 20 -10 15 -24 14 -30 12 -31 7 -33 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,1211260,0,110,0,0,1.415463,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -13 -10 -13 -12 -15 -10 -17 -9 -16 -7 -14 -8 -17 -6 -15 -7 -17 -6 -18 -5 -20 -6 -20 -6 -19 -5 -20 -2 -18 -5 -21 -3 -19 -2 -18 -3 -17 -3 -17 -2 -18 -3 -19 -1 -18 -2 -19 -2 -21 -3 -19 0 0 -3 -19 -5 -19 -5 -20 -5 -18 -3 -17 -5 -18 -4 -19 -4 -17 -5 -18 -7 -15 -8 -16 -5 -16 -6 -16 -7 -15 -7 -16 -9 -15 -9 -18 -8 -13 -9 -14 -9 -12 -9 -14 -9 -14 -9 -14 -10 -14 -8 -14 -9 -13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 4 28 4 30 8 28 10 24 -6 21 -5 19 -4 22 -6 21 -3 19 -3 15 -1 19 0 16 0 19 1 19 0 20 2 19 3 20 3 19 2 16 5 17 8 15 4 17 7 12 7 14 6 14 9 14 7 15 11 13 10 16 11 13 18 7 12 13 12 14 13 11 14 11 13 12 16 10 15 10 16 10 16 10 16 10 17 12 19 12 18 11 18 10 19 7 17 9 21 9 18 10 18 8 18 10 20 8 21 8 19 11 18 12 17 12 16 14 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -23 -15 -22 -15 -26 -18 -23 -20 -23 -20 -19 -18 -22 -22 -18 -19 -24 -24 -21 -26 -21 -28 -20 -28 -22 -29 -20 -29 -16 -25 -19 -27 -20 -26 -17 -29 -16 -23 -15 -27 -14 -25 -19 -26 -14 -27 -15 -27 -14 -32 -17 -26 -26 -22 -16 -27 -17 -26 -17 -24 -17 -23 -17 -25 -19 -23 -18 -23 -19 -23 -21 -22 -18 -20 -20 -20 -18 -22 -21 -20 -21 -19 -23 -15 -19 -15 -24 -18 -19 -15 -20 -13 -20 -14 -23 -11 -22 -12 -23 -15 -21 -14 -21 -13 -22 -14 -28 -2 -33 1 -32 1 -32 8 -1 -1 ]
