type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-39,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,137108,0,34,0,0,0.306989,128,[34 32 2 0 0 0 0 0 0 0 0 0 -17 -22 -16 -22 -16 -23 -18 -24 -14 -23 -13 -23 -13 -23 -11 -23 -11 -23 -11 -23 -13 -24 -12 -24 -12 -22 -11 -22 -10 -21 -12 -22 -10 -21 -8 -19 -9 -19 -9 -19 -9 -18 -10 -19 -8 -17 -11 -17 -12 -18 -11 -17 0 0 -12 -16 -12 -16 -13 -15 -12 -15 -12 -14 -12 -14 -13 -14 -12 -14 -13 -13 -12 -13 -14 -13 -12 -12 -13 -11 -13 -12 -12 -11 -14 -11 -15 -11 -14 -10 -13 -10 -14 -9 -14 -9 -13 -9 -14 -8 -14 -8 -13 -8 -13 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-39,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,152396,0,131,0,0,0.322010,128,[-125 48 8 0 0 0 0 0 0 0 0 0 19 12 18 12 20 13 19 13 19 14 16 13 16 14 14 14 16 14 15 15 16 15 16 15 15 15 14 13 12 13 15 14 13 13 12 13 12 12 12 12 12 11 13 12 11 11 13 10 14 10 13 10 0 0 13 9 14 9 14 8 14 8 12 7 14 7 14 7 13 6 14 5 13 6 14 6 12 5 13 5 14 5 13 5 13 4 14 4 13 4 13 4 13 3 13 3 13 3 13 3 13 2 12 2 12 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-41,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,156198,0,135,0,0,0.325966,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 23 -11 22 -12 26 -16 25 -14 23 -14 19 -16 21 -15 19 -15 19 -16 19 -18 21 -17 21 -17 20 -17 18 -16 15 -17 20 -15 16 -16 15 -14 15 -14 14 -15 14 -15 16 -15 12 -15 15 -16 17 -13 16 0 0 -13 16 -12 17 -12 18 -10 17 -12 14 -11 16 -12 17 -10 15 -10 17 -6 16 -7 17 -8 15 -7 16 -6 16 -6 16 -5 17 -7 19 -3 15 -4 16 -2 15 -5 16 -4 15 -4 16 -2 16 -4 15 -2 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 22 -16 23 -18 19 -21 17 -18 19 -10 17 -10 18 -13 20 -12 17 -11 16 -10 15 -12 15 -11 15 -13 14 -13 15 -13 13 -14 15 -16 12 -14 12 -12 12 -16 9 -17 11 -15 7 -15 9 -14 10 -15 8 -15 10 -15 5 -16 9 -17 7 -19 2 -19 6 -18 6 -18 5 -18 4 -18 6 -17 4 -18 3 -18 4 -18 5 -19 3 -18 5 -19 5 -18 5 -18 4 -19 4 -19 4 -18 4 -20 4 -17 4 -17 5 -17 5 -18 4 -17 6 -16 6 -16 8 -16 7 -14 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -5 45 -4 42 -6 48 -8 49 -10 46 -11 40 -11 43 -12 40 -11 45 -15 42 -16 44 -15 43 -17 46 -16 42 -17 36 -16 41 -14 40 -16 37 -12 34 -14 33 -14 33 -12 35 -15 32 -13 32 -17 36 -11 35 -2 36 -12 34 -11 33 -8 35 -6 31 -10 33 -7 32 -6 31 -5 33 -4 35 -2 29 -2 32 -3 29 -1 30 0 31 3 30 1 29 1 33 3 26 4 26 4 26 5 27 7 26 3 29 5 28 4 27 3 25 12 25 18 26 18 25 20 22 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-41,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,181481,0,239,0,0,0.351282,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -26 -8 -24 -7 -28 -8 -28 -12 -26 -11 -21 -11 -24 -12 -21 -12 -22 -12 -22 -14 -24 -15 -24 -14 -23 -14 -21 -15 -18 -14 -23 -14 -19 -13 -18 -14 -18 -13 -17 -13 -17 -13 -18 -13 -15 -14 -18 -13 -19 -14 -18 -11 0 0 -18 -12 -19 -10 -20 -10 -19 -9 -16 -11 -18 -10 -18 -11 -17 -9 -19 -9 -17 -5 -18 -5 -16 -7 -17 -7 -17 -5 -17 -5 -18 -4 -20 -5 -16 -2 -17 -3 -16 -1 -16 -4 -17 -3 -17 -4 -17 -2 -16 -4 -15 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 20 18 22 20 22 14 21 11 11 18 9 17 11 16 10 18 12 15 8 15 12 13 11 12 12 12 12 14 11 14 12 12 14 13 13 12 10 11 15 9 14 7 14 9 12 5 13 7 12 8 15 6 14 8 15 6 15 10 15 6 18 -1 16 5 15 5 16 4 16 3 15 6 18 3 16 3 17 3 16 2 16 3 17 5 17 5 17 4 16 4 17 1 14 3 19 2 14 4 15 2 15 4 14 3 14 4 14 7 13 7 13 6 12 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -46 4 -44 1 -45 2 -46 -1 -47 1 -41 -4 -44 -4 -40 -5 -45 -2 -44 -10 -43 -11 -44 -10 -46 -12 -44 -10 -36 -11 -43 -9 -39 -6 -39 -9 -31 -7 -35 -8 -32 -9 -39 -5 -33 -9 -35 -10 -39 -14 -34 -7 -37 5 -34 -6 -33 -4 -36 -3 -32 -1 -33 -5 -34 0 -32 -3 -34 1 -33 3 -29 -1 -31 1 -30 -1 -32 2 -30 3 -30 8 -27 4 -32 8 -25 4 -26 7 -26 7 -23 7 -25 8 -29 5 -27 6 -26 7 -25 7 -22 18 -23 23 -22 22 -17 27 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-39,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1015965,0,37,0,0,1.185858,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 14 15 14 16 15 17 16 15 16 12 15 13 16 11 16 12 16 12 17 13 16 13 17 12 16 12 15 10 15 12 16 10 15 9 14 10 14 9 14 9 13 10 14 8 12 10 12 11 13 11 12 0 0 11 11 12 11 12 11 12 10 11 9 12 9 12 10 11 9 12 9 11 9 13 9 11 8 12 7 12 8 11 8 12 8 13 7 12 7 12 7 12 6 12 6 12 6 12 6 13 5 12 5 12 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1016294,0,82,0,0,1.190313,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 10 -23 9 -26 11 -28 8 -26 8 -23 5 -25 5 -23 4 -24 4 -24 3 -27 3 -26 4 -25 4 -25 2 -22 0 -26 4 -23 2 -22 1 -21 1 -20 1 -21 0 -22 2 -20 -1 -21 2 -23 2 -21 3 0 0 -20 3 -20 5 -21 5 -19 6 -19 3 -19 4 -20 4 -18 4 -19 6 -15 7 -17 9 -16 6 -16 7 -15 8 -16 8 -15 10 -18 9 -14 9 -14 9 -12 10 -15 9 -14 9 -14 9 -13 11 -14 8 -12 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 28 -2 28 -3 28 -9 25 -6 21 3 20 2 20 1 22 4 19 2 18 1 19 0 17 0 20 -1 18 0 20 0 19 -3 20 -3 19 -3 16 -2 19 -5 18 -9 17 -4 15 -7 15 -5 16 -4 16 -6 16 -6 15 -9 18 -8 16 -10 12 -16 17 -10 16 -10 16 -10 15 -11 17 -9 15 -11 13 -11 16 -11 15 -12 14 -12 16 -12 15 -10 15 -12 15 -11 15 -12 15 -12 15 -11 15 -10 15 -11 16 -9 15 -10 15 -9 16 -7 16 -7 16 -7 15 -6 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -28 32 -26 30 -30 31 -34 31 -32 28 -30 24 -31 25 -31 23 -35 27 -34 21 -37 24 -34 23 -36 24 -36 23 -30 18 -34 21 -32 26 -32 18 -27 18 -30 17 -29 15 -29 20 -28 16 -29 19 -34 20 -27 21 -18 31 -29 20 -25 20 -25 23 -23 19 -27 20 -23 21 -21 19 -23 23 -21 24 -18 22 -19 25 -19 20 -17 24 -17 24 -15 24 -15 25 -17 25 -14 23 -13 25 -13 23 -11 23 -11 23 -15 23 -13 24 -13 23 -12 23 -1 27 3 32 4 33 6 30 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1045453,0,110,0,0,1.215109,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -15 -21 -14 -23 -15 -23 -19 -21 -17 -17 -17 -19 -18 -17 -18 -17 -18 -16 -18 -18 -21 -19 -20 -18 -20 -16 -20 -13 -19 -18 -19 -15 -18 -13 -18 -14 -17 -13 -16 -13 -17 -14 -17 -11 -17 -14 -17 -15 -18 -15 -16 0 0 -14 -16 -16 -14 -17 -15 -15 -13 -13 -15 -15 -14 -15 -15 -14 -13 -16 -13 -15 -9 -17 -10 -14 -11 -15 -11 -16 -9 -15 -9 -17 -8 -18 -10 -16 -7 -16 -7 -15 -5 -16 -8 -16 -7 -16 -7 -17 -5 -15 -8 -15 -6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 26 13 26 17 23 14 21 4 22 4 21 6 21 4 23 5 20 4 17 6 19 7 16 9 19 8 18 8 19 9 18 11 19 10 17 9 15 11 15 13 14 10 16 12 12 10 14 10 14 12 13 11 13 15 11 13 14 15 12 18 7 16 13 15 13 15 11 15 11 15 13 16 10 16 10 16 10 15 11 16 10 16 12 17 11 17 11 16 11 16 10 15 11 17 11 14 12 14 10 13 12 14 11 14 11 12 12 12 12 10 12 9 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -44 -13 -42 -11 -45 -15 -46 -18 -42 -17 -37 -16 -41 -19 -36 -16 -43 -19 -38 -21 -41 -23 -40 -22 -42 -23 -40 -23 -34 -20 -36 -22 -38 -20 -34 -24 -31 -17 -31 -20 -29 -19 -33 -18 -29 -20 -32 -18 -34 -23 -32 -16 -36 -6 -32 -18 -32 -16 -32 -14 -29 -13 -32 -16 -32 -12 -31 -12 -33 -11 -33 -10 -29 -8 -32 -7 -30 -9 -33 -7 -31 -7 -30 -2 -29 -4 -33 -5 -28 -3 -28 -2 -27 -3 -29 1 -29 0 -30 -2 -29 -1 -27 -2 -28 -2 -27 8 -31 14 -31 15 -27 17 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1047555,0,110,0,0,1.227281,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -18 8 -16 10 -19 13 -19 11 -16 11 -14 12 -15 12 -13 11 -14 12 -13 14 -15 14 -15 14 -14 13 -13 13 -10 13 -14 12 -12 12 -10 12 -11 11 -10 12 -10 12 -11 12 -9 11 -11 13 -12 10 -11 0 0 11 -12 9 -12 10 -13 8 -12 10 -11 9 -12 11 -12 8 -11 9 -13 5 -12 6 -13 8 -11 7 -12 5 -12 6 -12 5 -13 6 -14 4 -12 5 -12 3 -11 5 -12 4 -12 5 -12 3 -13 5 -11 3 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -19 13 -16 13 -15 17 -14 14 -16 4 -15 4 -15 5 -17 6 -14 4 -12 5 -14 5 -11 7 -13 7 -13 6 -13 7 -12 7 -13 9 -12 8 -11 7 -10 8 -9 10 -11 8 -7 9 -9 8 -9 8 -8 8 -9 8 -8 10 -9 10 -8 11 -3 13 -8 12 -9 10 -7 11 -8 10 -8 11 -7 11 -7 11 -7 10 -7 12 -6 11 -8 11 -7 11 -7 11 -7 11 -6 11 -8 10 -8 12 -8 11 -7 10 -7 9 -8 10 -7 9 -9 9 -9 8 -8 7 -10 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 3 -32 1 -32 5 -34 6 -34 7 -31 5 -28 8 -31 5 -27 7 -33 9 -29 9 -32 10 -31 9 -32 10 -31 9 -26 10 -27 8 -29 12 -26 7 -24 9 -24 10 -22 8 -25 9 -23 8 -24 12 -27 6 -24 -4 -27 8 -25 7 -23 4 -23 5 -22 7 -24 4 -23 5 -23 4 -23 3 -24 0 -20 0 -23 2 -22 1 -23 0 -23 -3 -21 -2 -21 -1 -23 -2 -20 -2 -19 -1 -19 -5 -20 -4 -19 -1 -20 -3 -20 -3 -19 -3 -20 -11 -18 -16 -20 -18 -21 -17 -17 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1050193,0,110,0,0,1.237922,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 17 -9 15 -11 19 -13 18 -11 17 -12 13 -13 15 -12 13 -12 14 -13 13 -15 15 -14 15 -14 14 -14 14 -13 11 -14 15 -12 12 -12 10 -12 11 -11 10 -12 10 -13 11 -12 8 -12 10 -13 12 -11 11 0 0 -12 11 -10 12 -11 13 -9 12 -10 10 -9 11 -10 12 -9 11 -9 12 -6 11 -6 12 -7 11 -7 11 -6 11 -6 11 -5 12 -6 13 -4 11 -5 11 -3 10 -5 11 -5 11 -5 12 -3 12 -5 11 -3 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 -9 18 -11 18 -15 16 -10 16 -4 15 -5 15 -6 17 -4 14 -6 13 -6 13 -6 12 -6 14 -8 13 -7 14 -8 12 -8 13 -9 12 -8 11 -7 11 -9 9 -12 12 -8 7 -10 9 -9 10 -9 9 -10 9 -9 7 -12 10 -12 8 -13 4 -15 8 -13 7 -11 6 -12 7 -12 9 -12 7 -14 6 -13 6 -12 7 -12 6 -12 7 -13 8 -13 7 -13 7 -14 7 -13 7 -12 7 -13 8 -12 7 -12 9 -11 7 -11 7 -11 8 -10 8 -10 8 -10 10 -8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -7 32 -7 32 -10 35 -11 35 -12 32 -11 29 -14 31 -11 28 -14 33 -15 28 -15 31 -14 30 -16 32 -16 30 -14 27 -15 28 -13 29 -17 25 -12 24 -14 24 -15 22 -14 25 -13 23 -12 24 -15 26 -10 24 -2 27 -12 25 -11 23 -9 24 -8 22 -11 25 -9 24 -9 23 -8 23 -7 24 -5 20 -3 23 -6 22 -3 23 -4 23 -1 22 -2 21 -3 23 -1 21 -1 21 -1 20 1 21 0 21 -2 21 0 20 0 20 -1 20 7 19 11 23 11 22 11 18 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,1,0,1,1,1,0,0,0,0,-94,0,6,1,1058699,0,110,0,0,1.248483,384,[110 96 6 0 0 0 0 0 0 0 0 0 -26 5 -24 4 -28 6 -30 2 -27 2 -24 0 -26 0 -24 -1 -24 0 -25 -2 -27 -3 -27 -2 -26 -3 -25 -4 -22 -5 -27 -1 -23 -3 -22 -4 -21 -3 -21 -3 -21 -3 -22 -2 -19 -5 -22 -4 -23 -4 -21 -1 0 0 -21 -1 -21 1 -22 0 -20 1 -20 -2 -21 1 -21 0 -19 1 -20 2 -17 4 -18 4 -17 2 -18 2 -17 4 -17 4 -17 6 -20 5 -15 6 -16 6 -14 7 -16 5 -16 6 -16 6 -16 7 -15 5 -14 6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 28 3 28 2 29 -3 25 -4 19 9 18 7 19 7 19 9 18 7 15 5 18 6 15 3 19 3 18 4 18 4 18 3 20 2 18 2 16 2 17 0 17 -3 18 1 15 -3 16 -1 16 0 17 -3 16 -1 16 -5 19 -2 18 -5 15 -13 18 -5 18 -4 16 -6 16 -6 18 -4 17 -6 16 -6 17 -6 17 -6 16 -7 18 -6 18 -5 18 -6 18 -6 16 -8 16 -6 17 -7 16 -5 16 -6 16 -4 16 -5 16 -5 16 -2 16 -1 15 -1 15 0 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -34 24 -32 23 -36 25 -37 22 -36 21 -32 17 -37 18 -31 17 -38 21 -38 14 -40 16 -38 15 -40 17 -39 15 -34 12 -36 14 -34 16 -36 12 -29 13 -32 11 -30 9 -31 15 -31 9 -32 12 -36 11 -29 14 -24 27 -31 13 -30 14 -26 15 -25 14 -29 14 -27 16 -26 15 -26 17 -25 18 -23 16 -23 18 -25 16 -23 19 -23 18 -17 21 -19 18 -21 21 -18 18 -17 19 -17 18 -16 20 -15 20 -19 19 -17 20 -16 18 -17 18 -6 27 -3 33 -3 32 2 31 -1 -1 ]
