type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,137305,0,34,0,0,0.311965,128,[34 32 2 0 0 0 0 0 0 0 0 0 12 14 12 14 12 15 13 16 11 16 10 16 10 17 9 16 10 17 9 18 10 19 11 19 10 19 9 18 7 17 10 19 7 18 7 17 8 17 7 18 7 17 8 19 6 16 8 17 9 18 9 18 0 0 9 17 10 18 10 17 10 17 9 15 10 16 11 17 9 15 11 16 10 16 11 17 10 15 11 15 11 16 11 16 11 16 13 16 12 15 12 15 12 15 12 15 12 15 12 15 13 15 12 14 12 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,152688,0,131,0,0,0.327260,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -19 -7 -18 -7 -21 -8 -21 -8 -20 -9 -17 -9 -19 -9 -18 -10 -19 -10 -19 -11 -20 -11 -20 -12 -19 -12 -18 -11 -16 -11 -21 -12 -17 -12 -17 -12 -16 -11 -17 -11 -16 -11 -18 -12 -16 -11 -17 -11 -19 -11 -18 -10 0 0 -18 -9 -19 -10 -19 -9 -19 -9 -16 -8 -19 -8 -19 -8 -18 -8 -19 -7 -19 -8 -19 -7 -17 -7 -19 -7 -19 -7 -19 -7 -19 -6 -21 -6 -18 -6 -19 -5 -19 -5 -19 -5 -20 -5 -20 -5 -20 -5 -19 -5 -18 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,157795,0,135,0,0,0.332001,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -17 -2 -17 -2 -18 -3 -19 -4 -19 -4 -16 -4 -18 -6 -16 -6 -17 -6 -17 -7 -18 -8 -19 -8 -18 -8 -18 -9 -16 -9 -19 -8 -16 -8 -16 -9 -17 -8 -16 -9 -16 -9 -17 -9 -14 -10 -16 -9 -18 -10 -17 -8 0 0 -17 -8 -18 -7 -18 -8 -17 -7 -16 -9 -17 -8 -18 -8 -16 -7 -18 -7 -16 -5 -18 -5 -16 -6 -17 -6 -17 -5 -17 -5 -17 -3 -19 -4 -17 -2 -17 -3 -16 -2 -17 -4 -18 -4 -18 -4 -18 -2 -17 -4 -17 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,172764,0,239,0,0,0.347290,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -18 0 -19 -1 -20 0 -21 -2 -20 -2 -19 -3 -20 -4 -19 -5 -19 -5 -19 -5 -21 -6 -22 -6 -21 -6 -21 -7 -19 -8 -22 -7 -19 -7 -18 -8 -19 -7 -19 -8 -19 -9 -19 -8 -17 -9 -19 -8 -21 -8 -20 -7 0 0 -20 -8 -20 -6 -21 -7 -20 -5 -19 -8 -20 -7 -21 -8 -19 -6 -20 -6 -18 -3 -21 -3 -19 -5 -20 -4 -20 -3 -20 -4 -21 -3 -22 -3 -20 -2 -20 -3 -19 -1 -20 -4 -20 -3 -21 -3 -21 0 -20 -3 -20 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,1018201,0,37,0,0,1.192904,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 -11 17 -10 18 -11 19 -11 19 -10 17 -8 19 -9 18 -7 20 -8 20 -7 21 -8 22 -8 21 -8 20 -7 19 -6 22 -8 19 -5 19 -5 18 -5 19 -5 18 -5 20 -6 18 -4 19 -7 20 -7 19 -7 0 0 19 -8 19 -8 19 -8 19 -8 17 -7 18 -9 18 -9 17 -8 18 -10 18 -9 18 -9 16 -8 17 -10 18 -10 17 -9 17 -10 18 -12 17 -10 17 -10 17 -11 16 -10 17 -11 17 -12 17 -12 16 -11 16 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-49,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1018768,0,82,0,0,1.197501,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 -16 1 -16 1 -17 3 -18 3 -16 3 -16 5 -17 4 -15 5 -16 5 -16 6 -17 6 -18 6 -17 6 -16 7 -15 7 -18 7 -15 7 -14 6 -15 7 -14 8 -14 8 -15 7 -13 7 -15 7 -16 6 -16 0 0 7 -16 5 -15 6 -16 4 -16 6 -15 6 -15 6 -16 5 -15 5 -16 3 -14 3 -16 4 -15 3 -16 3 -16 3 -16 2 -16 3 -17 0 -15 2 -16 1 -15 2 -16 2 -16 1 -16 0 -16 2 -16 1 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1038494,0,110,0,0,1.212922,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -17 -6 -16 -7 -18 -6 -18 -6 -19 -4 -17 -4 -18 -3 -18 -3 -19 -3 -19 -2 -19 -2 -20 -2 -19 -2 -19 -1 -18 -2 -20 -1 -17 -2 -18 -2 -17 -2 -18 -1 -18 -2 -18 0 -18 -1 -18 -1 -19 -2 -18 0 0 -2 -18 -3 -18 -3 -17 -4 -17 -3 -16 -4 -17 -3 -17 -4 -16 -5 -17 -5 -16 -5 -17 -4 -16 -5 -16 -6 -15 -6 -16 -7 -15 -8 -17 -7 -15 -7 -15 -7 -14 -7 -15 -7 -15 -8 -16 -9 -15 -7 -16 -8 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1039937,0,110,0,0,1.217500,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 17 -3 16 -3 17 -4 17 -5 17 -5 16 -6 17 -6 16 -6 17 -7 16 -8 17 -8 17 -8 17 -8 16 -9 15 -8 17 -8 15 -8 15 -8 15 -8 15 -8 15 -8 15 -9 14 -8 15 -9 16 -7 16 0 0 -7 16 -7 16 -6 15 -6 16 -6 15 -5 16 -6 16 -5 15 -5 16 -4 15 -4 16 -4 15 -4 16 -3 15 -3 16 -2 16 -2 17 -1 15 -1 16 -1 15 -2 16 -1 16 -2 16 0 16 -2 16 -1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1043283,0,110,0,0,1.221192,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 15 2 15 3 17 1 17 1 17 0 16 -1 17 -1 16 -1 17 -1 17 -2 18 -2 18 -2 18 -2 17 -3 17 -3 18 -3 17 -3 17 -2 16 -3 16 -4 16 -4 17 -4 16 -3 16 -3 18 -2 17 0 0 -3 17 -2 17 -2 17 -1 17 -2 16 -1 17 -2 18 -1 16 -1 18 0 16 1 17 0 16 1 16 1 16 1 17 2 17 2 17 2 16 2 16 2 16 2 17 2 16 2 17 4 16 2 17 3 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1054668,0,110,0,0,1.228954,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 -2 -17 -2 -18 -2 -19 -4 -18 -4 -17 -4 -17 -5 -17 -5 -17 -6 -17 -5 -18 -6 -18 -6 -18 -6 -18 -7 -17 -7 -17 -7 -16 -7 -16 -7 -17 -7 -16 -7 -16 -8 -16 -8 -15 -7 -16 -7 -17 -7 -16 -6 0 0 -16 -6 -16 -6 -17 -6 -16 -5 -17 -5 -16 -6 -17 -6 -16 -5 -17 -5 -16 -3 -17 -3 -16 -3 -17 -3 -17 -3 -16 -3 -17 -2 -18 -2 -17 -1 -17 -1 -16 -1 -17 -2 -17 -1 -17 -1 -18 0 -18 -1 -17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1055633,0,110,0,0,1.233299,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 14 1 14 1 14 0 15 0 15 -1 14 -2 15 -2 14 -3 15 -3 14 -3 16 -3 16 -3 15 -3 15 -4 14 -4 16 -4 14 -4 14 -4 15 -4 14 -5 14 -4 14 -4 13 -3 14 -4 15 -3 15 0 0 -4 15 -3 15 -3 14 -2 14 -3 14 -2 15 -3 15 -2 14 -2 15 -1 14 0 15 -1 14 0 14 0 14 0 14 1 15 1 15 2 14 1 14 1 14 0 15 1 14 1 15 3 15 2 15 2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1068221,0,110,0,0,1.243579,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -13 -13 -13 -14 -13 -13 -15 -13 -15 -11 -15 -11 -16 -11 -15 -11 -16 -11 -16 -10 -18 -10 -18 -10 -18 -10 -18 -9 -17 -10 -18 -9 -17 -9 -17 -9 -17 -9 -17 -8 -17 -9 -17 -7 -17 -8 -17 -9 -18 -9 -17 0 0 -9 -17 -10 -16 -10 -16 -10 -16 -9 -16 -10 -16 -10 -16 -10 -15 -10 -16 -10 -14 -11 -15 -11 -14 -11 -15 -11 -14 -11 -15 -12 -14 -13 -15 -12 -13 -12 -13 -12 -12 -12 -14 -12 -14 -13 -14 -14 -13 -12 -14 -13 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1082303,0,110,0,0,1.256527,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 5 15 5 16 5 16 7 16 7 15 7 15 8 14 8 15 9 14 9 15 10 15 10 15 10 15 10 14 11 15 11 13 10 13 10 13 10 13 11 12 11 13 11 12 11 13 10 14 11 13 10 0 0 13 11 13 10 13 10 14 9 13 10 13 10 13 10 13 9 14 9 13 8 14 8 14 8 14 8 15 7 14 8 15 7 15 8 14 6 15 7 14 6 14 7 15 7 15 7 15 5 15 7 15 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1088258,0,110,0,0,1.262432,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 12 12 12 13 12 13 13 12 14 11 13 11 14 10 14 10 15 10 15 10 16 10 17 10 16 9 16 8 16 10 17 9 15 9 15 9 15 8 16 8 16 8 16 7 15 9 15 9 16 9 15 0 0 9 15 10 14 10 15 10 13 9 14 10 14 10 15 9 13 10 14 10 12 12 13 11 12 11 12 12 12 12 12 12 11 13 12 12 10 12 11 13 10 12 11 12 11 13 10 14 9 13 10 13 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1097078,0,110,0,0,1.271413,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 19 2 18 2 19 0 20 0 20 -1 19 -2 20 -3 19 -2 20 -3 19 -4 20 -4 21 -4 20 -4 19 -5 19 -4 21 -4 18 -5 19 -4 18 -5 18 -6 18 -5 19 -6 17 -5 18 -5 19 -4 18 0 0 -4 19 -3 18 -3 18 -2 18 -3 17 -2 18 -3 19 -2 17 -2 18 -1 17 0 18 -1 17 0 18 0 17 0 18 1 17 1 19 2 17 2 17 2 17 1 17 2 17 2 18 4 17 2 18 2 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1117611,0,110,0,0,1.291908,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 -6 -16 -6 -17 -6 -17 -8 -17 -8 -16 -8 -16 -9 -15 -9 -16 -10 -16 -10 -16 -11 -16 -11 -16 -11 -15 -11 -15 -11 -16 -12 -14 -11 -14 -11 -14 -10 -14 -11 -14 -11 -14 -11 -13 -12 -14 -11 -15 -12 -15 -10 0 0 -15 -11 -15 -10 -15 -10 -16 -9 -14 -9 -15 -9 -15 -10 -15 -9 -16 -9 -15 -7 -16 -7 -15 -8 -15 -7 -16 -7 -16 -7 -16 -6 -18 -6 -16 -5 -16 -6 -16 -5 -17 -6 -16 -6 -17 -6 -17 -4 -17 -6 -17 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1123948,0,110,0,0,1.298132,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -4 -19 -4 -19 -4 -20 -6 -19 -6 -18 -7 -18 -7 -18 -7 -18 -8 -18 -8 -19 -9 -19 -9 -19 -9 -18 -10 -18 -10 -19 -10 -17 -10 -16 -9 -17 -10 -17 -10 -17 -11 -17 -10 -15 -10 -17 -10 -18 -10 -17 -9 0 0 -17 -10 -17 -8 -18 -9 -17 -7 -17 -8 -18 -8 -18 -9 -17 -8 -18 -7 -17 -5 -18 -5 -17 -5 -18 -6 -18 -5 -18 -5 -18 -4 -19 -5 -18 -3 -17 -4 -17 -3 -18 -4 -18 -4 -18 -3 -19 -2 -18 -3 -18 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1131909,0,110,0,0,1.306124,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -10 13 -10 14 -10 15 -9 15 -9 14 -8 15 -8 15 -8 16 -7 16 -7 17 -7 17 -7 17 -6 17 -6 17 -5 18 -7 16 -6 16 -6 16 -5 16 -5 16 -4 17 -5 16 -4 16 -5 18 -5 16 -6 0 0 16 -6 16 -6 16 -7 15 -8 15 -6 16 -7 16 -7 14 -7 15 -8 14 -8 14 -9 14 -8 14 -8 14 -9 14 -9 13 -10 15 -10 13 -10 13 -10 12 -10 13 -10 14 -10 14 -11 13 -11 13 -10 12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1146968,0,110,0,0,1.321307,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -5 17 -5 19 -5 19 -4 19 -3 18 -3 19 -2 18 -1 19 -1 19 -1 20 -1 20 0 20 0 20 0 19 1 20 0 18 1 18 1 18 0 18 1 18 1 19 1 17 1 18 1 19 1 18 0 0 0 18 0 18 -1 18 -1 17 -2 17 -1 18 -2 19 -1 17 -2 18 -3 16 -4 17 -4 17 -3 17 -3 17 -4 17 -4 16 -5 18 -5 15 -6 16 -6 16 -6 17 -5 16 -6 17 -6 16 -7 17 -5 16 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-46,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,1147097,0,37,0,0,1.325327,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 -12 19 -11 20 -12 21 -13 21 -11 20 -9 21 -10 20 -8 21 -9 22 -8 22 -9 23 -10 22 -9 22 -9 20 -7 23 -9 21 -6 21 -6 21 -7 20 -7 20 -7 22 -7 19 -6 20 -8 22 -9 20 -9 0 0 20 -9 20 -10 20 -10 20 -10 18 -9 19 -11 19 -11 18 -10 19 -12 19 -11 19 -12 17 -11 18 -12 18 -12 18 -12 18 -13 19 -14 17 -13 17 -13 17 -13 17 -13 17 -14 17 -14 17 -15 16 -14 16 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1214933,0,110,0,0,1.389465,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 14 5 14 5 14 4 16 3 15 3 14 2 15 1 15 1 15 1 15 1 16 1 17 1 16 1 16 0 16 0 17 -1 15 -1 15 -1 15 -1 15 -1 15 -1 15 -2 14 0 15 -1 16 0 15 0 0 -1 15 0 15 0 15 0 15 0 15 0 15 0 15 0 14 0 15 2 14 2 15 2 14 2 14 2 14 2 14 3 14 3 15 3 14 3 14 3 13 2 14 3 14 3 14 5 14 3 14 4 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-51,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1225011,0,110,0,0,1.399137,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -9 17 -9 18 -9 19 -8 19 -7 18 -6 19 -5 18 -5 19 -4 19 -4 20 -5 20 -4 20 -4 20 -4 20 -2 21 -3 19 -3 19 -3 19 -3 19 -2 19 -1 19 -2 18 -1 18 -3 20 -2 18 -3 0 0 18 -3 18 -4 18 -4 17 -5 17 -3 18 -4 19 -4 17 -4 18 -5 16 -6 17 -7 16 -5 17 -6 16 -7 16 -7 16 -8 17 -8 15 -8 15 -8 15 -8 16 -7 16 -8 16 -8 15 -10 15 -8 15 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1225885,0,110,0,0,1.403329,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 4 -17 4 -19 4 -19 3 -19 3 -18 2 -19 1 -18 0 -19 0 -19 0 -20 -1 -20 -1 -20 -1 -19 -1 -19 -2 -20 -1 -18 -2 -18 -1 -18 -1 -18 -2 -18 -3 -18 -2 -18 -3 -18 -1 -19 -2 -18 -1 0 0 -18 -1 -18 0 -18 0 -18 1 -17 -1 -17 0 -18 -1 -17 0 -18 1 -16 2 -17 2 -16 2 -17 2 -16 2 -17 2 -16 3 -18 4 -16 4 -16 4 -15 4 -17 3 -16 4 -17 4 -16 6 -16 4 -16 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-50,11,1,3,1,1,1,0,0,0,0,-91,0,6,1,1234273,0,110,0,0,1.408472,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -8 17 -8 18 -8 19 -7 20 -7 18 -6 19 -6 18 -4 20 -4 20 -4 21 -4 21 -4 21 -3 20 -2 20 -2 22 -4 19 -2 20 -3 19 -2 19 -2 19 -1 20 -2 19 -1 19 -2 21 -2 19 -3 0 0 19 -3 19 -4 19 -4 18 -5 18 -3 19 -5 19 -4 18 -5 19 -6 17 -7 18 -7 18 -5 18 -6 17 -7 17 -7 17 -8 19 -9 16 -9 16 -9 16 -9 17 -8 17 -9 18 -9 16 -10 17 -9 16 -10 0 0 0 0 0 0 0 0 0 0 ]
