type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-49,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,133619,0,34,0,0,0.301743,128,[34 32 2 0 0 0 0 0 0 0 0 0 18 4 16 4 19 5 18 4 18 5 15 5 16 5 14 5 16 5 16 7 16 6 16 6 16 5 15 5 14 5 17 4 14 4 15 4 14 4 15 3 15 3 16 3 15 3 16 2 18 2 17 1 0 0 18 0 19 0 18 -1 20 -1 17 -1 20 -2 21 -2 20 -2 22 -3 22 -1 23 -2 22 -2 23 -3 23 -2 25 -3 24 -3 28 -4 25 -3 26 -3 27 -3 27 -3 30 -4 31 -3 31 -3 31 -2 30 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-49,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,144660,0,131,0,0,0.312584,128,[-125 48 8 0 0 0 0 0 0 0 0 0 6 15 5 16 5 16 6 16 5 15 4 14 4 15 3 14 4 15 3 15 5 15 5 15 5 14 5 14 4 13 6 15 4 14 4 13 5 13 5 13 5 13 6 15 5 13 7 14 8 15 8 15 0 0 9 15 10 16 10 16 11 16 10 15 11 16 12 17 11 16 13 17 12 18 14 18 12 17 14 18 14 20 14 20 14 21 16 22 15 21 14 22 16 23 15 23 16 25 16 25 17 26 16 26 15 27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,3,1,1,1,0,0,0,0,-94,0,6,1,145122,0,135,0,0,0.316537,384,[-121 112 8 0 0 0 0 0 0 0 0 0 7 3 6 4 6 3 6 4 5 4 5 4 6 4 5 4 5 4 5 3 5 4 5 4 5 4 5 4 5 4 6 4 5 4 5 3 5 3 5 3 5 3 6 3 6 4 6 3 6 3 6 3 0 0 7 4 7 3 7 3 8 3 7 3 8 3 8 4 8 3 9 4 9 3 9 4 9 4 9 4 10 4 10 4 10 4 11 4 10 4 10 5 11 4 11 6 11 6 12 6 12 5 12 7 12 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,164731,0,239,0,0,0.332710,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 0 6 0 6 0 6 -1 7 -1 6 -1 5 -1 6 -1 5 -1 6 -1 5 -1 5 -1 5 -1 5 -2 5 -2 5 -1 6 0 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 0 5 0 6 1 5 0 0 0 6 1 6 1 6 1 6 1 6 1 6 1 7 1 6 1 8 2 7 2 7 1 7 2 8 2 7 2 8 3 8 3 9 3 8 2 9 3 9 2 10 2 10 2 11 3 11 1 11 2 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-52,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,1013371,0,37,0,0,1.181542,128,[37 80 2 0 0 0 0 0 0 0 0 0 -14 20 -14 19 -15 19 -15 19 -15 17 -15 15 -15 15 -14 13 -15 14 -15 13 -14 14 -14 14 -13 13 -12 13 -12 11 -12 14 -11 12 -10 12 -10 12 -10 12 -9 12 -9 13 -9 12 -8 14 -8 15 -8 15 0 0 -7 16 -7 17 -6 17 -6 18 -6 17 -6 19 -6 20 -6 19 -5 21 -6 21 -5 23 -5 21 -5 23 -6 24 -6 24 -6 25 -6 28 -6 26 -7 26 -7 27 -7 28 -8 29 -8 30 -7 31 -8 30 -9 30 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1013694,0,82,0,0,1.186132,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 1 9 2 9 1 9 3 8 3 7 3 8 3 7 4 7 3 6 3 7 3 7 3 7 3 6 2 6 3 6 2 6 3 6 2 6 2 5 2 6 2 6 2 6 2 6 1 7 1 7 1 0 0 7 1 7 0 8 0 8 0 8 1 8 0 9 1 8 1 9 0 8 -1 9 -1 9 0 10 -1 10 -1 10 0 10 -1 12 -1 10 -1 11 0 10 -1 12 1 12 0 12 0 13 -1 13 1 13 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1030076,0,110,0,0,1.197890,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -7 -5 -7 -5 -7 -5 -8 -4 -7 -4 -7 -4 -7 -3 -7 -3 -6 -3 -6 -3 -7 -4 -7 -3 -6 -3 -6 -3 -6 -4 -6 -3 -5 -3 -5 -3 -5 -4 -5 -3 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -5 0 0 -5 -5 -6 -4 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -8 -5 -7 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -9 -5 -10 -6 -9 -5 -10 -6 -10 -5 -10 -6 -10 -7 -11 -7 -12 -6 -11 -8 -11 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1030522,0,110,0,0,1.202067,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 0 -10 0 -9 0 -10 0 -9 -1 -8 -2 -8 -2 -8 -2 -8 -2 -7 -1 -8 -2 -8 -2 -8 -1 -8 -1 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -7 0 -6 0 -7 0 -6 -1 -7 1 -8 1 -7 1 0 0 -8 1 -8 2 -8 2 -8 2 -9 2 -8 2 -10 2 -8 2 -9 3 -8 3 -9 3 -9 3 -10 3 -10 4 -10 3 -11 4 -12 5 -10 4 -11 4 -11 4 -12 3 -13 4 -13 4 -13 5 -14 3 -13 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1045312,0,110,0,0,1.213101,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -8 -4 -6 -4 -8 -6 -7 -3 -4 -5 -4 -7 -7 -4 -9 -6 -7 -5 -9 -4 -6 -3 -7 -4 -7 -6 -6 -4 -6 -6 -5 -5 -6 -5 -5 -5 -5 -5 -5 -4 -5 -5 -5 -4 -5 -5 -5 -6 -6 -6 -4 0 0 -6 -5 -7 -4 -7 -4 -7 -4 -7 -5 -7 -4 -8 -4 -7 -4 -8 -4 -8 -3 -8 -3 -8 -3 -9 -4 -9 -3 -9 -3 -10 -3 -11 -4 -10 -2 -10 -3 -10 -2 -11 -4 -11 -4 -12 -4 -12 -3 -11 -4 -12 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1046425,0,110,0,0,1.217218,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -1 8 -1 9 -1 8 0 8 0 7 0 8 1 7 1 7 1 7 1 8 1 7 2 6 1 7 1 6 2 7 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 0 7 0 6 0 0 0 7 0 6 -1 7 -1 7 -1 7 -1 7 -1 8 -1 7 -2 8 -2 7 -2 8 -3 8 -2 8 -3 8 -3 9 -3 8 -4 10 -4 9 -4 9 -3 9 -4 10 -3 10 -3 11 -3 11 -5 11 -3 11 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1058051,0,110,0,0,1.225816,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 8 0 8 0 8 -2 8 -1 8 -1 7 -2 7 -2 6 -2 7 -3 6 -2 7 -2 7 -2 6 -2 6 -3 5 -2 7 -2 6 -1 6 -2 5 -2 5 -1 5 -1 5 -1 5 -1 5 -1 6 0 6 0 0 0 6 0 6 0 6 1 6 0 6 1 7 1 7 1 7 1 8 2 7 2 8 2 8 2 8 3 8 2 9 3 9 3 9 3 8 2 9 3 9 2 10 2 11 3 11 3 11 2 12 3 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1082573,0,110,0,0,1.250338,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -10 2 -10 3 -11 4 -10 4 -10 4 -8 3 -8 4 -7 4 -8 4 -8 4 -8 4 -8 4 -7 4 -7 4 -7 3 -7 3 -6 3 -7 3 -6 3 -6 3 -7 2 -7 2 -6 2 -7 3 -8 1 -8 0 0 1 -8 1 -8 1 -8 0 -9 1 -8 1 -9 1 -10 0 -9 0 -10 -1 -9 -1 -10 1 -10 0 -10 0 -11 -1 -11 -1 -11 -1 -13 -2 -11 -1 -12 -1 -12 0 -13 0 -13 0 -14 -1 -14 1 -14 0 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1083820,0,110,0,0,1.254253,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 4 -9 3 -9 4 -10 3 -9 3 -8 2 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -7 0 -7 1 -6 1 -7 1 -6 1 -6 1 -7 1 -7 2 -6 1 -6 2 -7 2 -6 2 0 0 -6 3 -7 3 -6 3 -6 4 -7 3 -6 4 -7 4 -7 4 -7 5 -6 5 -6 6 -7 5 -7 5 -6 5 -7 6 -6 7 -8 7 -6 7 -7 7 -6 7 -8 7 -9 7 -9 8 -9 8 -9 7 -9 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1098503,0,110,0,0,1.266337,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 9 -1 9 -1 10 -1 10 -2 10 -2 8 -2 8 -2 7 -2 7 -3 7 -3 8 -2 8 -3 8 -3 7 -3 7 -2 7 -2 6 -2 6 -2 7 -2 7 -2 7 -2 7 -2 6 -1 7 -1 8 0 7 0 0 -1 8 0 8 0 8 0 8 -1 8 0 9 0 9 0 8 0 9 1 8 1 9 0 9 1 10 1 10 1 10 2 11 1 12 2 11 1 11 2 11 0 12 1 12 0 13 2 13 0 14 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-56,11,1,2,1,1,1,0,0,0,0,-91,0,6,1,1098929,0,110,0,0,1.270014,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 1 -6 2 -5 1 -6 0 -4 0 -5 1 -6 0 -5 0 -5 0 -5 0 -5 1 -5 1 -4 0 -4 0 -5 0 -5 0 -5 0 -5 0 -4 0 -4 0 -4 0 -4 0 -4 0 -4 0 -5 0 -4 1 0 0 -5 1 -4 1 -5 2 -5 2 -5 1 -5 1 -6 2 -5 1 -5 1 -5 2 -6 3 -5 2 -6 3 -6 2 -6 2 -6 3 -7 2 -6 2 -6 1 -6 3 -8 2 -6 2 -7 3 -6 4 -7 3 -7 3 0 0 0 0 0 0 0 0 0 0 ]
