type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-41,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,130993,0,34,0,0,0.307669,128,[34 32 2 0 0 0 0 0 0 0 0 0 -10 18 -11 18 -11 18 -12 20 -12 18 -12 16 -13 16 -13 14 -13 16 -14 14 -14 17 -14 16 -14 16 -13 16 -13 13 -13 16 -12 13 -12 13 -13 13 -13 13 -12 13 -13 14 -11 11 -10 14 -11 15 -11 14 0 0 -10 14 -10 16 -9 15 -9 14 -9 13 -9 15 -9 15 -8 14 -7 15 -8 14 -8 15 -7 14 -7 15 -8 15 -7 14 -7 15 -6 16 -6 15 -6 15 -6 15 -6 15 -6 16 -6 15 -5 17 -5 16 -5 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-40,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,142042,0,131,0,0,0.318508,128,[-125 48 8 0 0 0 0 0 0 0 0 0 8 8 8 8 9 9 8 9 8 9 7 8 7 8 6 9 7 9 6 9 7 9 7 10 6 9 6 9 5 9 7 10 5 8 5 8 5 8 5 8 5 8 6 8 5 8 6 8 7 8 6 7 0 0 6 7 7 7 7 7 7 7 6 6 7 6 7 6 7 6 7 5 6 6 7 6 6 5 7 5 7 6 7 5 7 5 8 5 7 4 7 5 7 4 8 4 8 5 8 4 8 4 7 4 7 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-41,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,142577,0,135,0,0,0.321951,256,[-121 112 8 0 0 0 0 0 0 0 0 0 11 -6 11 -6 13 -7 12 -7 13 -5 12 -4 13 -4 11 -3 12 -4 12 -3 13 -3 14 -3 13 -3 12 -3 11 -3 13 -3 11 -2 11 -2 11 -2 10 -3 10 -2 11 -2 10 -2 10 -3 11 -4 10 -3 0 0 10 -3 10 -3 10 -4 10 -4 9 -3 10 -5 10 -4 9 -4 10 -5 9 -4 9 -5 9 -4 9 -5 10 -5 9 -4 9 -5 9 -6 9 -5 9 -5 9 -5 8 -5 9 -6 9 -6 9 -5 9 -5 9 -6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 9 -23 11 -21 17 -18 16 -17 16 -16 17 -18 17 -16 16 -14 18 -14 18 -13 19 -14 18 -13 18 -13 18 -12 18 -11 18 -13 18 -11 18 -13 17 -11 17 -11 17 -11 16 -12 17 -10 16 -10 16 -10 16 -10 16 -12 17 -11 -1 -1 14 -12 16 -13 15 -12 14 -13 13 -11 13 -13 13 -12 13 -12 12 -13 12 -13 13 -14 11 -12 12 -14 13 -13 12 -14 11 -13 11 -16 11 -14 12 -15 11 -13 11 -15 11 -14 10 -15 10 -15 10 -14 10 -14 3 -17 4 -18 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-43,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1015229,0,37,0,0,1.191954,128,[37 80 2 0 0 0 0 0 0 0 0 0 5 -24 6 -23 6 -24 6 -26 7 -23 8 -21 8 -22 9 -20 9 -21 9 -21 9 -23 9 -23 8 -22 9 -21 9 -19 9 -22 9 -19 9 -18 9 -18 8 -18 8 -18 8 -19 7 -17 6 -19 6 -20 6 -20 0 0 5 -19 5 -20 4 -20 5 -19 4 -18 4 -19 4 -19 3 -18 3 -19 3 -18 2 -20 2 -17 2 -18 2 -19 2 -18 2 -19 1 -20 1 -18 1 -18 1 -18 1 -18 0 -19 0 -18 -1 -19 -1 -18 0 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-42,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1139353,0,37,0,0,1.315970,128,[37 80 2 0 0 0 0 0 0 0 0 0 -24 4 -23 3 -26 3 -26 3 -25 1 -22 0 -24 0 -23 -1 -24 -1 -24 -2 -25 -1 -26 -1 -24 -1 -23 -1 -21 -3 -25 -1 -21 -3 -22 -3 -21 -3 -21 -3 -20 -3 -22 -2 -20 -3 -21 -1 -23 -1 -22 -1 0 0 -21 0 -23 0 -22 1 -22 0 -20 0 -21 1 -22 1 -20 0 -22 2 -21 0 -22 2 -20 2 -21 2 -21 1 -21 1 -21 2 -23 3 -21 2 -21 2 -20 3 -20 3 -21 3 -21 3 -21 4 -20 3 -20 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1139954,0,110,0,0,1.320483,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 18 4 16 5 20 2 21 2 19 1 17 1 20 0 18 1 18 -1 18 -1 21 0 21 -1 20 -2 20 -3 17 0 21 -2 18 -3 17 -2 18 -2 16 -3 17 -2 18 -4 16 -3 18 -3 20 -1 18 0 0 -2 19 0 18 0 19 1 18 -2 17 0 18 -1 19 -1 17 0 18 2 15 3 18 0 16 1 17 3 16 2 17 4 17 3 20 4 16 4 17 5 14 3 16 4 17 3 17 5 17 2 16 4 16 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 18 -29 19 -31 14 -34 13 -29 21 -18 20 -17 21 -20 23 -17 19 -17 17 -13 19 -17 16 -16 19 -20 18 -18 20 -18 18 -19 20 -21 18 -18 17 -16 16 -20 14 -22 19 -18 11 -19 15 -17 16 -17 14 -20 16 -17 12 -21 17 -21 14 -22 6 -26 15 -22 15 -21 13 -21 13 -21 16 -20 15 -22 13 -21 15 -22 15 -22 14 -21 17 -22 17 -22 17 -23 18 -21 15 -22 17 -20 17 -23 18 -18 17 -19 19 -17 19 -19 19 -19 20 -15 22 -14 21 -13 24 -12 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 17 26 18 24 18 28 16 30 15 29 12 25 14 30 12 25 16 31 11 30 12 33 13 32 13 34 12 33 9 27 11 31 13 31 9 32 10 26 8 28 6 27 11 29 7 29 9 29 8 34 11 28 21 26 9 30 10 29 11 27 10 26 8 28 12 27 11 27 12 27 15 28 14 23 15 25 12 26 15 26 14 26 18 22 15 22 17 26 14 22 16 21 14 22 19 21 18 21 16 24 17 23 15 22 15 24 24 19 33 17 33 17 34 12 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1201809,0,110,0,0,1.378237,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 3 -15 3 -19 4 -20 1 -19 2 -16 0 -18 1 -16 0 -17 1 -17 -1 -19 -2 -19 0 -19 -1 -18 -2 -15 -2 -19 0 -16 -1 -16 -2 -16 -1 -15 -1 -16 -2 -17 -1 -15 -3 -17 -2 -18 -2 -16 -1 0 0 -17 -1 -17 1 -18 0 -16 1 -15 -1 -16 1 -17 0 -15 1 -17 2 -14 3 -16 3 -15 1 -15 1 -14 3 -15 3 -15 5 -18 4 -13 5 -14 5 -12 6 -15 4 -14 5 -15 4 -15 6 -15 3 -13 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 27 1 30 2 30 -3 26 -4 17 10 16 9 19 9 17 11 17 10 12 7 16 8 14 5 19 6 17 8 18 9 17 7 20 7 18 7 15 6 18 5 18 2 17 6 15 2 15 4 16 6 17 3 17 5 18 1 19 5 19 2 21 -9 20 2 19 3 17 1 19 1 18 3 20 1 18 0 19 1 19 2 20 0 20 3 21 3 20 3 20 3 20 0 18 3 22 2 19 4 19 2 19 5 19 3 20 3 19 7 18 9 18 9 17 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -20 17 -17 16 -21 18 -22 16 -22 16 -19 13 -23 14 -18 12 -23 18 -24 13 -25 13 -24 13 -26 15 -25 14 -21 11 -24 13 -21 14 -24 12 -19 11 -22 10 -20 8 -20 13 -21 10 -21 11 -26 11 -20 12 -14 24 -22 11 -21 13 -19 13 -18 12 -20 12 -19 15 -19 13 -18 15 -18 16 -16 14 -17 15 -18 14 -18 17 -17 16 -12 18 -14 15 -16 18 -14 15 -12 17 -14 16 -12 18 -12 18 -16 17 -14 17 -14 16 -15 16 -5 26 -2 32 -1 32 4 31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1202384,0,110,0,0,1.388900,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 18 4 17 4 20 2 21 2 19 0 17 1 19 0 17 1 18 -1 17 -1 20 0 20 -1 20 -2 19 -2 16 0 21 -2 18 -3 16 -2 17 -1 16 -2 16 -2 17 -4 15 -3 17 -3 19 -1 17 0 0 -1 18 1 17 1 18 1 16 -1 16 1 17 0 18 1 16 1 17 4 14 4 16 1 15 2 16 4 15 3 15 5 16 4 18 5 14 5 15 7 13 4 15 5 15 5 15 6 15 4 15 5 14 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 17 -28 17 -29 13 -33 10 -27 19 -19 17 -18 18 -21 21 -19 18 -17 14 -16 16 -19 12 -18 15 -22 16 -20 18 -20 16 -20 16 -23 15 -21 14 -18 13 -22 11 -24 15 -20 7 -20 11 -19 12 -19 10 -21 12 -20 8 -23 13 -23 9 -24 4 -25 9 -25 11 -23 8 -23 7 -23 11 -23 7 -25 6 -24 7 -24 8 -25 8 -24 11 -26 11 -26 11 -26 10 -25 8 -27 9 -24 10 -27 11 -24 10 -25 12 -23 11 -25 11 -25 15 -22 16 -21 17 -20 18 -19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 14 28 15 27 15 31 13 32 13 31 9 27 11 31 11 26 14 33 8 32 9 35 9 33 9 36 8 35 6 29 8 33 10 32 5 32 8 27 6 28 5 27 9 29 5 28 6 29 5 34 8 29 16 27 8 30 8 28 10 27 10 25 8 29 12 27 11 26 12 27 14 27 11 22 13 25 11 26 15 26 15 25 17 22 15 22 17 25 15 21 16 20 15 21 19 20 19 20 16 24 17 23 16 22 16 22 22 17 30 19 31 16 31 11 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1202829,0,110,0,0,1.399015,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 4 16 3 20 3 21 6 19 5 15 6 17 7 15 6 16 6 16 8 18 9 18 8 18 9 17 9 14 9 18 8 16 8 14 9 14 8 13 7 14 8 15 8 12 9 15 9 16 10 15 7 0 0 15 7 16 6 17 7 15 5 14 7 16 6 16 7 15 6 16 5 14 3 16 3 14 5 15 5 16 3 15 2 16 2 19 3 15 1 16 1 15 -1 16 2 16 2 16 2 17 0 15 2 15 1 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -21 -25 -22 -27 -26 -24 -23 -20 -10 -25 -10 -23 -12 -25 -9 -27 -10 -24 -8 -20 -10 -22 -11 -18 -13 -23 -11 -23 -11 -24 -12 -23 -14 -24 -13 -22 -11 -19 -14 -20 -17 -19 -12 -21 -15 -16 -13 -18 -12 -19 -15 -17 -13 -19 -17 -17 -15 -21 -17 -18 -22 -13 -18 -19 -17 -19 -17 -16 -17 -17 -16 -20 -19 -18 -18 -16 -19 -17 -18 -18 -19 -17 -18 -20 -18 -21 -18 -21 -18 -20 -20 -18 -17 -19 -21 -21 -16 -20 -18 -19 -14 -21 -18 -20 -17 -21 -13 -23 -11 -24 -11 -23 -10 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 31 -4 30 -5 34 -4 34 -2 32 -2 28 0 33 0 27 -1 34 -2 32 3 35 2 33 3 37 3 34 4 28 3 32 3 32 1 32 5 27 2 27 3 26 4 29 1 28 5 29 4 33 7 29 2 30 -7 30 3 30 2 28 0 26 -1 29 2 29 -2 28 -1 29 -3 29 -4 25 -4 28 -4 28 -1 29 -4 28 -5 25 -10 25 -6 29 -8 23 -6 24 -9 24 -7 25 -11 25 -10 28 -7 27 -8 26 -7 25 -7 23 -17 27 -22 26 -24 22 -27 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-44,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,1203319,0,110,0,0,1.409485,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 -19 -2 -18 -2 -21 1 -22 1 -20 2 -17 2 -20 2 -18 2 -19 3 -18 5 -21 3 -21 4 -20 5 -19 5 -16 4 -21 5 -18 5 -17 4 -17 4 -16 5 -16 5 -17 7 -15 6 -17 6 -19 4 -18 0 0 4 -18 2 -18 3 -19 2 -18 4 -16 2 -18 4 -18 2 -17 2 -18 -1 -16 0 -18 2 -16 2 -16 0 -17 0 -17 -1 -17 0 -20 -2 -16 -2 -17 -3 -15 -1 -17 -1 -17 -1 -17 -2 -18 0 -17 -1 -16 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -15 28 -15 29 -11 32 -9 27 -20 13 -18 13 -20 15 -21 13 -19 12 -17 10 -17 14 -14 13 -17 16 -17 15 -19 14 -17 15 -18 17 -17 15 -14 13 -15 16 -13 18 -17 15 -11 15 -14 14 -14 14 -12 16 -14 15 -11 17 -15 16 -12 18 -3 24 -13 19 -14 17 -11 17 -11 17 -14 18 -12 19 -11 17 -11 18 -12 18 -12 19 -14 20 -14 19 -14 19 -14 18 -12 20 -13 17 -14 20 -15 17 -13 18 -16 16 -15 18 -15 18 -18 15 -19 14 -19 13 -20 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -15 -28 -15 -26 -15 -30 -13 -31 -12 -29 -10 -26 -10 -30 -10 -24 -13 -32 -8 -30 -10 -34 -9 -31 -10 -34 -8 -32 -7 -27 -7 -30 -10 -31 -5 -31 -8 -25 -6 -27 -5 -25 -8 -27 -5 -27 -6 -28 -5 -32 -8 -27 -20 -24 -7 -29 -7 -28 -9 -26 -8 -25 -7 -28 -11 -26 -9 -25 -11 -26 -12 -27 -11 -23 -13 -25 -10 -25 -12 -25 -12 -25 -16 -21 -12 -22 -14 -25 -13 -21 -14 -20 -13 -21 -16 -20 -16 -20 -14 -24 -14 -23 -13 -22 -13 -23 -26 -15 -32 -15 -34 -15 -34 -10 -1 -1 ]
