type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,132588,0,34,0,0,0.301914,128,[34 32 2 0 0 0 0 0 0 0 0 0 -19 16 -20 15 -21 15 -22 16 -22 14 -21 12 -21 12 -22 10 -22 11 -22 10 -23 12 -24 12 -23 11 -22 11 -21 9 -23 11 -21 8 -21 8 -21 8 -20 8 -20 8 -21 9 -18 7 -18 9 -20 11 -19 10 0 0 -18 10 -19 11 -18 11 -17 11 -16 10 -16 11 -16 12 -15 10 -15 12 -14 11 -14 13 -13 11 -13 12 -13 13 -13 12 -13 13 -12 14 -11 13 -11 13 -11 13 -10 13 -11 13 -10 14 -10 14 -10 13 -9 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,146433,0,131,0,0,0.315532,128,[-125 48 8 0 0 0 0 0 0 0 0 0 23 -1 23 1 25 0 26 0 24 2 22 3 23 4 22 4 23 4 23 6 24 5 25 5 23 5 22 5 20 6 24 4 20 5 20 6 19 6 20 5 19 5 21 5 17 5 19 4 21 4 20 3 0 0 19 2 20 2 19 1 19 1 17 1 18 0 19 0 17 0 18 -1 17 0 18 -1 16 -1 16 -3 17 -2 16 -2 16 -4 17 -4 16 -4 16 -3 15 -4 15 -4 15 -5 15 -5 15 -6 15 -5 15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,1,0,0,1,1,0,0,0,0,-95,0,6,1,148332,0,135,0,0,0.319453,256,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 3 -7 2 -8 3 -8 2 -8 2 -7 1 -8 2 -7 1 -8 2 -8 1 -8 1 -8 1 -8 1 -7 1 -7 0 -8 2 -7 1 -7 0 -7 1 -7 0 -6 1 -8 1 -6 0 -7 1 -7 1 -7 1 0 0 -6 1 -7 1 -7 2 -6 1 -6 1 -6 2 -6 2 -6 1 -6 2 -6 2 -6 2 -5 2 -5 2 -5 2 -5 2 -5 2 -6 3 -5 3 -5 2 -4 3 -5 3 -5 2 -4 3 -4 3 -4 2 -4 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -5 12 -7 10 -11 9 -10 9 -10 8 -11 8 -11 8 -11 7 -11 8 -11 6 -12 7 -12 6 -12 7 -12 6 -12 6 -12 7 -11 5 -12 8 -11 6 -11 5 -11 6 -11 5 -10 5 -11 5 -11 4 -10 4 -11 6 -11 6 -1 -1 -9 6 -10 6 -9 6 -8 6 -9 5 -8 6 -8 6 -8 6 -7 5 -8 6 -8 8 -7 6 -6 6 -7 7 -7 7 -6 6 -7 7 -6 7 -6 7 -5 7 -6 8 -5 6 -4 8 -5 7 -6 6 -5 6 -1 8 -1 8 -1 -1 -1 -1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,167076,0,239,0,0,0.336277,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -10 19 -10 18 -11 20 -13 20 -13 19 -12 16 -14 17 -13 15 -14 16 -15 16 -17 16 -16 17 -16 16 -17 15 -16 13 -17 17 -15 13 -15 13 -15 13 -15 13 -15 12 -15 13 -15 11 -15 13 -16 14 -13 13 0 0 -14 13 -13 14 -12 14 -11 14 -12 11 -11 13 -12 13 -10 12 -10 13 -8 14 -8 14 -9 12 -8 14 -7 13 -8 14 -6 14 -7 15 -4 13 -5 14 -3 13 -6 14 -5 14 -5 15 -3 14 -5 14 -3 13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 -17 20 -17 18 -20 15 -17 18 -7 16 -6 17 -8 17 -6 15 -7 15 -5 14 -6 13 -7 13 -6 12 -7 12 -5 11 -7 11 -6 9 -6 9 -4 9 -6 9 -7 7 -5 6 -6 7 -5 6 -4 4 -5 4 -4 3 -5 3 -5 2 -5 0 -4 1 -4 1 -4 0 -3 0 -4 -1 -3 -2 -3 -1 -3 -3 -2 -3 -2 -4 -2 -4 -2 -5 -1 -6 -1 -6 -1 -7 -1 -7 -1 -9 0 -8 0 -9 0 -10 -1 -10 -1 -12 -1 -12 -1 -12 -1 -12 -2 -13 -3 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 34 -3 32 -3 36 -6 36 -5 37 -8 32 -9 35 -9 33 -7 35 -11 34 -14 34 -12 35 -13 36 -13 33 -14 28 -13 33 -11 35 -14 32 -12 29 -13 31 -13 29 -12 29 -13 26 -13 29 -15 31 -10 29 1 34 -11 30 -10 28 -9 28 -7 26 -9 26 -6 28 -7 26 -5 27 -3 26 -2 25 -2 27 -4 25 -2 27 0 24 1 25 1 24 2 26 0 22 2 23 3 24 5 22 4 22 3 24 4 23 4 23 4 24 14 22 19 23 18 21 20 19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1018476,0,37,0,0,1.187860,128,[37 80 2 0 0 0 0 0 0 0 0 0 -21 2 -21 1 -23 1 -23 1 -23 0 -21 0 -22 -1 -21 -1 -23 -2 -22 -2 -24 -2 -24 -2 -23 -2 -23 -2 -21 -3 -24 -2 -21 -3 -21 -3 -21 -3 -21 -2 -20 -2 -22 -2 -19 -4 -21 -2 -22 -2 -21 -1 0 0 -21 -1 -21 0 -21 0 -20 0 -18 0 -19 0 -19 1 -17 0 -19 2 -18 1 -18 1 -16 1 -16 2 -17 2 -16 2 -16 2 -16 3 -15 3 -14 3 -14 3 -14 3 -14 3 -14 4 -14 4 -13 4 -12 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-66,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,1018716,0,82,0,0,1.192489,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 19 -10 18 -11 21 -13 20 -13 19 -13 18 -12 18 -13 18 -13 17 -14 18 -15 20 -15 19 -15 18 -16 18 -17 16 -15 20 -15 17 -15 14 -15 17 -15 16 -16 16 -16 17 -15 14 -15 16 -16 17 -14 16 0 0 -14 16 -13 17 -13 18 -12 16 -13 15 -12 15 -13 15 -12 14 -12 14 -9 11 -8 19 -10 14 -8 15 -7 14 -8 15 -6 15 -8 15 -4 14 -5 14 -3 13 -4 13 -5 14 -5 14 -3 14 -4 13 -3 13 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 19 -12 20 -13 18 -18 18 -13 20 -5 18 -5 16 -5 20 -4 17 -5 15 -4 17 -3 15 -2 15 -3 15 -3 13 0 15 -2 13 -2 11 0 11 1 12 -2 12 0 12 1 10 0 9 2 10 5 10 3 9 4 10 4 8 6 10 5 11 4 11 6 8 7 9 8 10 8 8 10 8 10 9 11 8 13 8 12 7 14 9 13 9 15 7 17 7 16 6 18 6 20 7 22 4 20 4 21 2 23 3 24 3 24 -1 26 -2 26 -3 27 -4 28 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -2 36 0 34 -1 38 -4 37 -5 40 -6 32 -4 37 -6 35 -6 37 -7 39 -10 38 -8 38 -9 40 -9 38 -12 35 -8 37 -8 35 -12 36 -9 33 -12 34 -12 34 -9 36 -10 32 -11 35 -14 38 -8 35 5 40 -10 32 -9 34 -6 34 -6 31 -10 33 -9 31 -6 28 -6 32 -7 32 -6 30 -1 33 -7 28 0 27 -2 27 0 27 -1 26 -2 27 1 23 2 23 3 24 3 23 3 22 3 24 1 23 4 24 3 23 10 21 15 22 17 22 17 18 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-67,11,1,1,1,1,1,0,0,0,0,-94,0,6,1,1044934,0,110,0,0,1.214063,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 18 3 18 5 19 3 21 3 20 2 18 2 20 1 19 2 20 0 19 1 22 1 22 0 21 -1 21 -2 20 0 23 -1 20 -1 20 -1 19 -1 19 -1 19 -2 20 -2 18 -2 19 -2 21 0 19 0 0 0 19 1 19 0 19 1 18 -1 17 1 17 1 18 1 16 1 16 3 15 3 16 2 15 3 15 3 13 3 14 5 13 4 15 5 11 5 12 5 11 4 12 5 11 5 12 6 11 4 11 5 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 2 -22 2 -22 1 -23 1 -21 9 -15 7 -14 8 -16 9 -15 8 -13 7 -11 7 -12 7 -12 8 -12 8 -10 10 -10 9 -10 9 -10 8 -9 7 -8 8 -8 7 -8 8 -7 7 -6 7 -6 8 -5 9 -5 9 -4 9 -5 11 -2 9 -4 9 -6 10 -2 10 -1 10 -2 11 -2 10 -1 12 -2 12 -1 11 -1 14 0 14 2 15 3 16 4 16 4 16 4 17 4 16 7 19 7 16 8 18 7 19 10 18 10 19 10 17 14 18 16 17 18 17 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 21 24 17 24 21 25 17 27 19 29 15 26 18 28 16 26 19 31 15 30 15 33 16 32 17 33 14 32 12 30 14 32 15 30 17 31 13 27 13 30 12 29 14 30 12 30 13 31 11 34 13 29 25 26 13 28 13 27 13 26 13 25 14 25 15 25 13 24 15 22 15 23 14 22 15 22 14 23 16 20 14 19 16 16 15 17 18 17 14 14 16 12 16 13 15 12 16 12 17 14 17 14 16 13 16 13 22 6 23 4 24 5 23 0 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-67,11,1,1,1,1,1,0,0,0,0,-94,0,6,1,1045574,0,110,0,0,1.224298,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -2 15 -1 18 -1 19 0 19 1 16 1 17 2 17 2 18 2 18 2 19 3 19 3 19 3 19 3 17 3 20 2 17 2 18 4 16 3 17 3 17 3 18 3 16 4 17 3 19 4 17 2 0 0 17 2 17 0 16 1 16 0 15 3 15 0 17 1 14 0 13 -1 10 -1 14 -2 14 -1 13 -2 13 -3 12 -2 12 -4 13 -4 10 -4 12 -4 10 -5 11 -4 11 -4 11 -5 10 -6 10 -4 9 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -21 -3 -21 -5 -20 -3 -17 -1 -13 -9 -12 -8 -13 -7 -13 -8 -13 -9 -10 -8 -12 -7 -9 -7 -11 -7 -8 -9 -9 -9 -9 -8 -9 -8 -8 -8 -7 -9 -7 -8 -8 -7 -7 -7 -6 -7 -5 -7 -4 -8 -5 -7 -5 -8 -5 -9 -4 -10 -4 -9 -7 -9 -3 -10 -4 -11 -3 -9 -3 -10 -2 -10 -2 -12 -2 -12 -1 -12 1 -12 0 -12 0 -16 1 -15 1 -16 3 -14 1 -16 2 -16 2 -19 3 -16 3 -19 6 -18 5 -18 7 -18 10 -18 11 -18 14 -19 13 -20 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 23 -15 23 -13 24 -16 27 -12 28 -12 23 -11 27 -14 26 -11 28 -13 29 -10 31 -9 30 -9 31 -11 32 -11 27 -7 29 -11 26 -10 29 -12 24 -9 26 -9 26 -8 27 -11 27 -7 27 -10 31 -7 27 -10 25 -21 26 -9 24 -11 23 -10 24 -11 23 -11 23 -11 22 -12 21 -11 21 -13 21 -13 23 -14 21 -11 18 -15 18 -13 15 -15 15 -14 16 -16 13 -12 12 -14 12 -16 12 -15 11 -15 13 -15 13 -15 11 -14 11 -15 4 -21 4 -24 4 -21 0 -22 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-65,11,1,1,1,1,1,0,0,0,0,-94,0,6,1,1046004,0,110,0,0,1.234686,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -5 16 -3 18 -5 20 -3 18 -3 17 -2 18 -1 17 0 17 -1 18 -1 19 -1 20 0 18 0 19 1 18 1 20 1 17 1 18 1 17 1 18 1 18 1 18 1 16 2 17 0 18 2 17 0 0 0 17 1 16 0 17 -1 15 -1 14 1 16 -2 17 0 14 -1 16 -1 14 -6 14 -3 14 -1 13 -3 13 -4 13 -3 12 -5 13 -4 10 -5 11 -5 10 -5 11 -4 10 -5 11 -5 10 -5 11 -5 10 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -22 -5 -21 -6 -20 -2 -19 -4 -14 -9 -12 -9 -13 -9 -13 -10 -12 -9 -9 -8 -11 -8 -9 -7 -10 -9 -9 -9 -8 -11 -9 -9 -9 -9 -8 -9 -7 -8 -6 -9 -7 -9 -6 -8 -5 -7 -6 -9 -5 -9 -3 -9 -4 -9 -3 -10 -3 -10 -4 -10 -4 -11 -2 -10 -2 -11 -1 -10 -2 -12 -1 -10 0 -13 1 -13 0 -13 2 -14 1 -14 2 -15 5 -15 4 -17 4 -15 4 -16 6 -15 7 -19 7 -16 8 -17 10 -18 11 -17 11 -18 15 -17 15 -17 17 -16 18 -16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 21 -19 22 -16 24 -20 24 -18 25 -18 23 -15 26 -16 25 -16 27 -17 27 -15 29 -14 29 -15 29 -17 28 -14 27 -12 28 -14 26 -15 28 -16 24 -12 27 -12 27 -11 26 -14 27 -12 27 -13 29 -11 26 -13 22 -23 26 -12 24 -12 23 -12 23 -14 20 -14 24 -13 22 -13 21 -14 24 -15 23 -18 21 -15 21 -14 18 -15 18 -14 15 -17 15 -15 17 -16 13 -14 12 -15 12 -16 12 -14 11 -16 13 -16 12 -15 11 -15 12 -15 4 -20 4 -23 5 -22 3 -21 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-67,11,1,1,1,1,1,0,0,0,0,-94,0,6,1,1046418,0,110,0,0,1.245262,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -18 -1 -17 -1 -19 1 -20 1 -19 1 -18 2 -19 3 -18 3 -18 2 -18 3 -20 3 -20 3 -20 4 -19 5 -18 4 -21 4 -18 5 -17 4 -18 5 -17 5 -18 5 -18 5 -16 4 -18 5 -19 3 -18 0 0 3 -18 2 -17 2 -18 2 -17 4 -16 3 -16 3 -16 2 -15 1 -16 0 -14 -1 -15 1 -14 0 -14 -1 -14 0 -14 -2 -14 -2 -15 -3 -12 -2 -12 -3 -11 -2 -12 -2 -12 -3 -12 -4 -12 -3 -12 -3 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -17 11 -19 10 -15 11 -14 10 -15 7 -15 7 -15 7 -17 6 -15 6 -13 5 -13 6 -13 5 -14 5 -13 4 -13 3 -13 4 -13 3 -12 2 -11 2 -11 1 -10 1 -11 1 -10 1 -11 -1 -10 -1 -10 -1 -11 -2 -11 -1 -11 -3 -11 -2 -10 -3 -11 -4 -10 -4 -10 -5 -12 -4 -11 -6 -12 -7 -12 -7 -12 -7 -13 -9 -13 -9 -11 -11 -12 -12 -12 -12 -13 -13 -14 -14 -13 -15 -14 -17 -12 -16 -13 -17 -13 -19 -11 -20 -12 -22 -9 -23 -9 -23 -7 -25 -6 -27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -7 -32 -6 -31 -7 -33 -5 -34 -4 -35 -4 -32 -3 -35 -3 -33 -4 -36 0 -34 2 -37 -1 -36 0 -38 1 -37 3 -34 1 -35 0 -35 1 -36 0 -32 2 -35 2 -32 1 -33 3 -33 1 -34 4 -36 0 -34 -2 -32 2 -33 0 -31 -1 -31 -1 -30 0 -30 -2 -29 -1 -29 -2 -28 -4 -29 -3 -26 -4 -27 -2 -27 -4 -26 -5 -26 -6 -24 -7 -23 -8 -25 -8 -20 -8 -21 -9 -21 -9 -20 -10 -21 -8 -21 -8 -21 -9 -21 -9 -21 -11 -17 -13 -18 -14 -18 -16 -15 -1 -1 ]
