type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,136368,0,34,0,0,0.315204,128,[34 32 2 0 0 0 0 0 0 0 0 0 13 -19 13 -17 15 -19 15 -19 16 -17 15 -15 16 -15 16 -14 16 -14 17 -13 17 -14 18 -14 17 -13 17 -12 15 -11 17 -14 16 -10 16 -10 15 -10 15 -11 14 -10 15 -11 14 -9 14 -11 15 -12 14 -12 0 0 13 -12 13 -13 13 -13 13 -13 11 -12 12 -14 11 -14 11 -13 11 -15 11 -14 11 -15 10 -14 10 -15 11 -15 11 -15 10 -15 11 -17 9 -16 9 -16 9 -17 9 -17 9 -17 8 -18 9 -19 8 -18 8 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,148645,0,131,0,0,0.327255,128,[-125 48 8 0 0 0 0 0 0 0 0 0 22 -10 22 -8 23 -8 24 -8 24 -6 22 -4 23 -4 21 -3 23 -3 22 -2 23 -3 23 -2 22 -2 22 -2 20 0 22 -2 20 0 19 1 20 0 19 0 19 0 20 0 17 0 18 -2 20 -2 19 -2 0 0 19 -2 19 -3 19 -3 18 -3 17 -3 18 -4 19 -4 18 -4 18 -5 18 -4 19 -6 17 -5 18 -6 19 -6 19 -6 18 -7 19 -8 18 -7 19 -7 19 -8 19 -8 19 -9 19 -9 19 -11 19 -10 19 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1013944,0,37,0,0,1.192830,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 14 17 15 18 16 17 17 17 16 14 15 15 16 13 17 14 17 12 18 13 19 13 19 12 17 12 18 10 16 13 18 10 16 9 17 10 16 10 16 9 15 10 16 9 15 11 15 12 16 11 15 0 0 11 14 13 15 13 14 13 14 11 12 13 13 14 13 12 12 14 12 13 12 14 13 14 12 14 11 15 12 15 12 15 11 17 11 16 10 16 10 16 10 16 10 17 10 18 10 19 9 18 10 17 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-55,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1139676,0,37,0,0,1.318461,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 -21 -9 -21 -10 -23 -10 -23 -8 -23 -6 -21 -7 -22 -5 -21 -6 -22 -4 -23 -5 -23 -4 -24 -4 -22 -4 -22 -2 -20 -5 -23 -2 -20 -2 -20 -3 -20 -3 -20 -3 -19 -3 -20 -2 -18 -4 -19 -4 -21 -5 -20 0 0 -5 -19 -6 -20 -6 -19 -7 -19 -6 -17 -8 -18 -8 -19 -7 -18 -9 -18 -8 -19 -9 -19 -8 -17 -9 -17 -9 -18 -10 -18 -10 -18 -12 -19 -11 -17 -11 -17 -11 -17 -12 -17 -13 -18 -13 -18 -14 -18 -12 -18 -13 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2211758,0,110,0,0,2.390631,128,[110 96 6 0 0 0 0 0 0 0 0 0 17 -17 18 -16 19 -17 20 -17 18 -15 19 -12 19 -12 19 -11 19 -11 19 -11 19 -12 20 -12 19 -11 18 -10 18 -8 19 -10 18 -8 17 -8 17 -8 16 -8 16 -8 17 -8 15 -7 15 -10 16 -10 15 -10 0 0 15 -10 14 -11 14 -11 14 -11 13 -10 14 -12 14 -12 13 -11 13 -13 13 -12 13 -14 12 -13 12 -14 13 -14 12 -13 12 -15 12 -16 12 -15 12 -14 12 -16 12 -15 12 -16 11 -16 10 -19 10 -17 11 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-62,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,2244385,0,110,0,0,2.423101,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -8 -11 -7 -12 -8 -11 -10 -10 -9 -8 -9 -9 -10 -8 -9 -8 -10 -8 -10 -9 -11 -9 -11 -9 -11 -8 -11 -6 -10 -8 -11 -7 -10 -6 -10 -7 -10 -6 -9 -7 -10 -6 -11 -5 -10 -7 -10 -7 -11 -7 -10 0 0 -7 -10 -8 -9 -8 -10 -8 -8 -7 -10 -7 -10 -8 -10 -8 -9 -8 -9 -8 -6 -9 -7 -8 -7 -8 -8 -9 -7 -9 -6 -10 -6 -11 -8 -10 -5 -10 -6 -9 -4 -10 -6 -10 -6 -10 -7 -12 -5 -10 -7 -10 -5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 22 11 22 15 22 12 18 1 20 1 19 2 20 0 21 2 19 1 16 2 20 3 16 5 20 3 20 3 21 3 20 5 22 4 21 3 19 6 19 8 19 4 21 7 17 5 20 4 20 7 20 5 20 10 20 7 24 10 22 19 19 10 23 8 23 10 21 10 22 9 24 11 23 10 22 10 24 10 25 10 24 10 27 10 29 10 29 9 29 11 26 8 27 10 30 5 29 7 28 3 29 5 28 5 30 0 30 -2 32 -3 30 -6 31 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -22 -6 -21 -5 -22 -6 -22 -9 -21 -8 -18 -8 -21 -9 -17 -7 -22 -9 -19 -11 -20 -12 -19 -11 -21 -11 -20 -12 -17 -10 -17 -11 -18 -10 -18 -12 -16 -9 -16 -11 -14 -11 -17 -10 -14 -11 -16 -11 -17 -13 -16 -9 -20 -3 -16 -11 -17 -10 -17 -8 -15 -7 -16 -9 -17 -7 -16 -8 -18 -7 -17 -7 -16 -7 -17 -5 -17 -6 -18 -5 -18 -5 -18 -1 -17 -3 -19 -3 -17 -3 -17 -2 -17 -2 -18 -1 -18 0 -19 -3 -20 -1 -19 -1 -19 -2 -19 8 -23 13 -23 12 -21 16 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,2245073,0,110,0,0,2.434178,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 10 -10 9 -12 11 -14 10 -13 9 -11 7 -12 7 -12 6 -12 7 -13 6 -14 6 -14 7 -14 6 -14 6 -13 4 -14 6 -12 5 -12 4 -12 4 -12 4 -12 4 -13 4 -11 2 -13 4 -14 5 -12 5 0 0 -12 5 -12 6 -12 6 -11 7 -12 5 -12 6 -12 6 -11 6 -11 6 -9 7 -9 8 -10 6 -10 7 -9 7 -9 8 -9 9 -11 9 -8 9 -8 9 -7 9 -9 9 -9 9 -9 10 -8 10 -9 9 -8 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 28 0 28 -1 30 -6 25 -5 23 5 22 4 24 3 25 6 24 4 20 4 24 3 21 1 26 2 24 3 26 2 25 1 28 1 26 2 24 3 26 -1 26 -4 26 2 23 -4 25 0 25 2 26 -1 26 1 27 -5 30 0 29 -5 27 -14 31 -4 30 -3 29 -5 29 -5 32 -2 32 -6 31 -5 31 -4 32 -4 31 -5 36 -2 36 -3 37 -2 36 -1 35 -4 35 -1 39 -1 35 1 36 1 36 6 36 3 38 4 35 9 35 11 34 13 35 16 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -13 22 -13 21 -15 23 -17 22 -17 21 -14 18 -18 19 -16 16 -18 20 -20 17 -20 18 -19 18 -21 19 -21 17 -19 14 -19 15 -18 17 -20 14 -17 15 -19 13 -18 11 -18 15 -17 12 -18 14 -21 14 -16 14 -11 19 -17 15 -17 14 -16 15 -14 14 -17 15 -15 16 -15 15 -15 17 -13 17 -11 16 -11 18 -13 17 -12 19 -11 18 -8 18 -9 17 -11 20 -9 18 -8 18 -9 18 -7 20 -7 20 -9 20 -8 21 -7 20 -9 21 -1 23 2 28 2 29 6 28 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,2245579,0,110,0,0,2.444395,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 12 -4 11 -5 13 -8 13 -7 11 -7 10 -7 11 -7 10 -7 9 -8 10 -9 10 -8 11 -9 10 -9 10 -9 8 -8 10 -8 8 -8 7 -8 8 -8 7 -8 7 -9 8 -8 6 -8 8 -10 9 -7 8 0 0 -8 8 -7 9 -7 9 -6 9 -8 8 -7 8 -7 9 -7 8 -7 8 -4 8 -4 10 -6 8 -5 9 -4 9 -4 9 -3 10 -5 11 -3 10 -3 10 -2 9 -4 10 -3 10 -4 11 -2 11 -4 10 -2 11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 16 -19 15 -20 13 -24 11 -21 17 -9 16 -9 17 -10 18 -8 16 -9 14 -9 16 -9 14 -10 16 -12 16 -10 18 -11 16 -11 18 -14 17 -12 16 -10 16 -12 14 -16 17 -12 12 -13 15 -12 16 -12 15 -14 16 -12 14 -17 19 -15 15 -17 7 -26 17 -18 18 -15 15 -17 15 -18 18 -18 17 -20 17 -17 18 -18 18 -18 18 -18 21 -19 22 -19 22 -19 22 -20 19 -21 21 -18 22 -19 24 -16 22 -17 25 -13 24 -16 25 -16 26 -12 28 -10 27 -10 29 -7 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 2 19 2 18 1 20 0 21 -1 20 -1 18 -2 20 -1 17 -1 21 -4 19 -4 20 -4 20 -4 21 -4 21 -4 18 -4 18 -2 19 -5 18 -3 16 -5 16 -6 15 -4 18 -6 15 -5 16 -6 18 -3 16 6 18 -4 17 -4 16 -2 16 -2 15 -3 16 -1 17 -2 15 -2 16 1 16 1 14 2 16 0 17 1 17 2 16 5 14 3 15 3 16 3 15 4 14 3 15 5 15 5 14 4 17 5 16 5 16 5 17 14 14 19 15 21 15 22 12 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,2246001,0,110,0,0,2.454550,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 5 -13 5 -15 6 -16 3 -15 3 -14 2 -14 3 -13 2 -14 3 -14 1 -16 1 -16 1 -15 1 -15 0 -13 -1 -15 2 -14 0 -13 -1 -13 0 -13 0 -13 -1 -13 0 -12 -1 -13 0 -15 0 -13 1 0 0 -13 1 -13 2 -13 2 -12 3 -12 1 -13 2 -14 2 -12 2 -13 3 -11 5 -12 5 -11 3 -11 3 -11 5 -11 5 -11 6 -13 6 -10 7 -10 7 -9 7 -11 6 -11 6 -12 6 -11 8 -11 6 -10 7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 26 -5 27 -5 28 -12 24 -10 21 4 20 4 21 4 22 5 20 4 18 3 22 3 19 0 23 1 22 3 23 3 23 1 25 0 24 1 21 2 23 -1 24 -4 24 1 20 -4 21 0 22 1 23 -2 23 0 24 -5 27 -1 26 -5 25 -18 28 -5 27 -3 26 -5 26 -6 29 -3 29 -7 28 -6 28 -5 29 -5 28 -6 33 -3 33 -3 34 -3 34 -3 32 -6 31 -3 35 -4 34 0 33 -1 33 3 35 1 35 1 32 6 33 9 32 10 33 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -14 17 -13 16 -15 17 -16 16 -15 16 -15 14 -17 15 -14 13 -16 17 -18 12 -19 13 -19 14 -19 15 -19 13 -17 11 -17 12 -16 13 -18 11 -15 10 -16 9 -16 8 -16 12 -16 9 -16 11 -20 11 -15 12 -9 20 -16 12 -16 11 -14 12 -13 12 -15 12 -13 13 -14 12 -13 13 -12 14 -11 13 -11 14 -13 13 -11 15 -10 15 -7 16 -8 15 -9 16 -9 16 -7 16 -9 16 -7 17 -6 16 -10 17 -8 17 -8 17 -8 18 3 22 6 28 7 27 10 25 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-90,0,6,1,2246467,0,110,0,0,2.464816,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 11 -9 10 -11 11 -13 10 -12 9 -11 8 -12 9 -11 7 -11 8 -12 6 -14 8 -14 8 -13 7 -13 6 -12 4 -14 8 -12 6 -12 5 -12 5 -11 5 -12 4 -12 5 -12 3 -12 5 -13 5 -11 6 0 0 -12 6 -11 6 -12 7 -10 7 -11 5 -10 6 -11 6 -10 6 -11 7 -9 8 -9 8 -9 7 -9 7 -9 8 -9 8 -8 9 -10 10 -8 9 -8 9 -6 9 -8 9 -8 9 -8 10 -7 10 -9 10 -7 10 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 24 -12 25 -13 24 -18 21 -17 22 -1 20 -1 22 -2 23 0 21 -1 18 -1 22 -2 18 -4 23 -5 22 -2 24 -2 23 -4 25 -6 23 -4 20 -3 22 -6 22 -9 23 -5 19 -7 21 -6 21 -4 22 -8 23 -5 22 -10 26 -7 25 -10 21 -24 26 -10 26 -8 23 -10 24 -11 27 -9 27 -12 25 -11 25 -11 27 -10 27 -10 31 -10 31 -9 31 -10 31 -9 30 -12 29 -8 32 -9 32 -6 31 -8 32 -2 32 -6 33 -5 33 0 33 3 32 4 34 7 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -7 22 -7 22 -9 22 -10 22 -10 21 -9 18 -11 20 -10 18 -11 22 -14 18 -15 20 -14 19 -15 21 -15 18 -14 15 -13 18 -12 19 -15 17 -12 15 -13 15 -13 13 -12 16 -13 14 -13 15 -16 16 -11 17 -5 23 -12 16 -12 15 -10 16 -10 15 -11 16 -9 17 -10 16 -9 17 -8 18 -8 16 -7 17 -9 17 -6 19 -6 18 -3 18 -5 17 -4 19 -4 17 -3 18 -4 18 -1 18 -1 18 -5 20 -3 19 -3 19 -4 19 8 21 13 24 12 24 16 22 -1 -1 ]
