type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,132165,0,34,0,0,0.302492,128,[34 32 2 0 0 0 0 0 0 0 0 0 -23 -6 -22 -7 -24 -7 -24 -8 -22 -9 -20 -9 -21 -9 -18 -10 -20 -10 -19 -11 -20 -10 -21 -11 -19 -10 -18 -10 -16 -10 -20 -10 -16 -10 -15 -10 -16 -10 -16 -9 -15 -9 -16 -9 -14 -8 -16 -8 -17 -8 -16 -7 0 0 -16 -6 -16 -6 -16 -5 -16 -5 -14 -5 -16 -4 -16 -4 -15 -4 -16 -3 -15 -3 -16 -2 -14 -2 -15 -1 -15 -2 -15 -1 -15 0 -16 0 -15 1 -15 0 -15 1 -15 1 -15 2 -15 2 -15 4 -15 3 -14 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-53,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,146333,0,131,0,0,0.316429,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -28 -1 -27 -3 -29 -3 -29 -3 -28 -5 -25 -5 -26 -6 -24 -7 -25 -6 -24 -9 -26 -8 -26 -9 -24 -8 -23 -8 -21 -8 -24 -8 -20 -9 -20 -9 -19 -8 -20 -7 -18 -7 -20 -7 -18 -7 -19 -6 -21 -6 -20 -6 0 0 -19 -4 -20 -4 -19 -3 -19 -3 -17 -3 -18 -2 -18 -2 -17 -1 -18 0 -17 -1 -18 0 -16 0 -17 1 -17 1 -17 1 -17 2 -18 3 -17 3 -16 4 -16 4 -16 4 -17 5 -17 5 -17 6 -16 5 -16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,148674,0,135,0,0,0.320797,384,[-121 112 8 0 0 0 0 0 0 0 0 0 17 1 16 1 19 1 20 4 18 4 15 5 16 5 15 5 16 5 15 6 16 8 17 7 16 8 15 8 12 8 16 8 13 7 12 8 12 7 11 7 12 7 12 7 10 7 12 7 13 8 12 6 0 0 11 6 13 5 13 5 12 3 11 5 12 4 12 4 11 3 12 3 11 1 12 1 11 2 11 2 11 0 11 1 12 -1 13 0 11 -2 11 -1 10 -3 11 -1 12 -2 12 -2 12 -3 11 -2 11 -3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -26 -7 -26 -8 -28 -2 -24 -2 -16 -12 -15 -11 -19 -11 -19 -13 -17 -11 -16 -11 -18 -9 -17 -9 -19 -8 -19 -9 -20 -10 -19 -8 -23 -9 -20 -8 -18 -9 -21 -6 -22 -3 -21 -7 -19 -2 -19 -5 -21 -6 -21 -3 -20 -6 -20 -2 -23 -6 -23 -3 -23 7 -24 -2 -23 -2 -24 -1 -22 1 -24 -3 -23 1 -24 1 -24 0 -26 0 -24 1 -27 -1 -26 0 -25 -1 -27 -1 -26 2 -26 0 -29 0 -26 -1 -25 0 -27 -1 -27 -1 -27 -1 -27 -6 -28 -6 -27 -6 -25 -8 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 26 -12 25 -11 28 -13 29 -10 29 -9 25 -6 26 -8 25 -5 28 -8 27 -4 29 -3 27 -3 31 -3 28 -2 25 0 26 -2 26 -3 25 -1 22 -2 21 -1 22 -1 22 -3 21 0 21 0 25 1 22 -2 22 -11 21 -2 20 -1 21 -4 17 -4 20 -3 20 -5 17 -4 19 -5 19 -7 16 -6 18 -8 16 -7 17 -8 17 -9 15 -10 16 -10 17 -11 13 -10 13 -11 13 -12 13 -12 13 -14 15 -12 15 -13 14 -14 14 -12 7 -20 7 -25 5 -27 2 -27 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,1,0,1,1,1,0,0,0,0,-95,0,6,1,173936,0,239,0,0,0.344208,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 0 -19 -1 -17 -1 -20 2 -21 2 -19 4 -16 3 -18 4 -16 3 -17 5 -17 6 -19 5 -19 5 -17 6 -16 6 -13 6 -18 6 -14 6 -14 5 -14 5 -13 6 -13 5 -14 7 -12 6 -13 6 -15 5 -14 0 0 5 -13 2 -14 3 -14 2 -13 4 -12 2 -13 3 -13 2 -12 2 -14 -1 -12 -1 -13 1 -12 1 -12 -1 -12 -1 -13 -2 -12 -2 -14 -3 -12 -3 -12 -4 -11 -3 -12 -4 -13 -4 -12 -5 -12 -3 -12 -4 -12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -4 25 -4 27 1 26 2 23 -10 18 -11 16 -9 17 -11 18 -7 18 -10 16 -8 18 -7 17 -6 19 -9 19 -9 19 -7 19 -7 22 -6 20 -7 17 -4 21 -1 20 -5 20 -1 16 -3 18 -6 18 -1 21 -3 20 0 21 -5 23 0 22 11 22 1 22 2 21 3 22 3 21 0 23 4 24 3 23 3 24 4 24 2 23 2 26 2 25 3 26 3 24 6 26 3 23 6 28 2 24 5 25 2 25 2 24 2 25 -2 25 -3 26 -3 26 -4 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -14 -28 -13 -27 -13 -27 -11 -29 -12 -28 -7 -27 -8 -28 -7 -26 -9 -29 -4 -29 -3 -30 -4 -30 -4 -31 -5 -29 -2 -25 -3 -28 -5 -26 -2 -27 -3 -21 -3 -23 -1 -21 -5 -25 -1 -22 -1 -23 0 -27 -3 -23 -13 -22 -3 -22 -5 -21 -6 -22 -6 -19 -4 -21 -8 -21 -6 -20 -8 -20 -10 -19 -7 -17 -9 -18 -8 -17 -10 -18 -10 -18 -14 -16 -10 -15 -14 -17 -11 -14 -13 -14 -13 -14 -13 -13 -14 -13 -14 -16 -14 -14 -15 -14 -16 -14 -22 -7 -26 -4 -26 -6 -27 1 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1016444,0,82,0,0,1.186771,384,[82 -96 4 0 0 0 0 0 0 0 0 0 15 11 15 10 17 11 15 13 14 12 11 11 12 13 11 12 11 11 10 12 11 14 11 14 10 13 9 14 7 12 10 13 9 12 7 11 8 11 7 10 7 11 8 11 5 10 7 10 8 11 8 10 0 0 8 9 8 8 9 8 8 7 7 8 8 7 8 8 8 6 9 6 8 4 9 4 8 5 8 5 9 3 9 3 10 2 10 3 9 1 10 2 9 0 9 2 9 1 10 2 10 0 9 2 9 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -16 -16 -17 -15 -20 -13 -17 -12 -10 -16 -10 -14 -12 -15 -11 -18 -10 -14 -9 -14 -12 -13 -11 -12 -13 -14 -12 -14 -12 -16 -13 -13 -14 -16 -14 -14 -11 -12 -15 -13 -17 -11 -12 -13 -15 -9 -14 -11 -14 -12 -16 -10 -13 -12 -17 -9 -17 -13 -18 -10 -21 -3 -18 -10 -18 -9 -18 -8 -17 -7 -18 -10 -19 -8 -18 -6 -19 -8 -19 -7 -20 -7 -21 -9 -19 -8 -21 -8 -20 -8 -21 -7 -22 -7 -23 -8 -22 -8 -22 -7 -21 -8 -21 -8 -22 -8 -21 -11 -22 -12 -20 -11 -20 -13 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 32 5 30 4 32 6 32 8 30 9 25 9 27 10 26 10 30 11 25 13 27 15 26 13 27 15 25 14 20 12 23 13 26 11 21 13 20 9 19 11 18 11 20 9 18 10 19 10 20 13 19 9 22 2 19 9 17 7 19 6 16 5 19 7 18 4 16 4 18 3 19 1 17 1 18 1 15 2 17 -1 17 0 16 -3 16 -4 17 -3 14 -4 16 -5 15 -4 15 -5 15 -7 17 -5 17 -5 15 -5 16 -6 14 -13 15 -17 16 -19 12 -19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-57,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1023432,0,37,0,0,1.197775,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 22 21 15 19 21 17 20 16 21 14 19 17 19 14 17 15 20 13 21 14 21 15 22 13 20 11 19 10 17 14 20 9 18 9 18 10 16 10 15 9 15 10 16 8 15 10 14 11 15 10 14 0 0 11 12 11 13 11 11 12 11 10 9 12 9 12 10 11 9 13 8 11 9 12 9 11 8 12 7 12 7 12 7 12 6 14 6 12 5 13 5 13 5 13 4 14 4 14 4 14 4 13 4 13 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-59,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1045887,0,110,0,0,1.216142,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 16 12 15 14 17 13 20 12 18 8 16 9 18 8 16 9 16 7 17 7 19 8 19 8 18 6 17 4 15 7 17 6 14 4 14 5 13 5 13 5 13 5 13 3 12 5 13 6 14 6 12 0 0 6 12 7 10 8 11 7 9 6 10 8 9 7 10 7 8 8 8 8 6 9 6 7 7 8 6 9 5 9 5 10 4 11 5 9 3 10 3 10 1 10 3 10 3 10 3 11 2 10 3 10 2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -16 -17 -17 -18 -20 -15 -18 -14 -9 -18 -9 -18 -11 -18 -9 -20 -10 -17 -8 -15 -10 -17 -10 -14 -12 -16 -11 -16 -11 -18 -12 -16 -14 -17 -13 -16 -12 -15 -14 -14 -16 -13 -13 -16 -15 -10 -14 -13 -13 -14 -15 -12 -13 -14 -17 -10 -16 -14 -18 -11 -22 -4 -19 -11 -18 -11 -17 -9 -18 -9 -19 -11 -20 -10 -20 -9 -19 -8 -19 -10 -20 -8 -21 -10 -21 -10 -22 -10 -22 -10 -22 -7 -20 -9 -24 -9 -21 -9 -22 -9 -21 -11 -22 -9 -22 -10 -20 -12 -20 -12 -20 -13 -19 -15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 30 15 30 15 32 17 30 18 28 18 24 16 26 21 23 16 28 20 23 22 24 22 24 20 26 21 23 21 19 18 20 18 23 17 19 19 18 14 17 17 15 16 19 15 15 15 17 14 18 18 18 12 23 5 18 13 17 11 18 9 16 8 17 10 18 8 17 8 18 7 19 6 16 5 18 3 17 4 19 2 18 2 17 -2 17 0 19 -1 16 -1 16 -2 17 -1 17 -4 17 -4 19 -3 18 -4 17 -4 18 -4 15 -11 18 -17 18 -17 15 -19 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1048111,0,110,0,0,1.227202,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 19 -15 18 -17 21 -20 19 -18 17 -17 14 -18 16 -17 14 -17 15 -19 13 -21 14 -20 14 -19 13 -19 11 -17 9 -19 13 -16 11 -16 9 -16 9 -15 9 -15 9 -15 10 -14 7 -15 9 -16 10 -13 10 0 0 -13 10 -11 11 -11 12 -10 11 -11 9 -10 11 -11 11 -9 10 -8 11 -5 11 -7 12 -6 10 -7 11 -5 12 -5 12 -3 13 -5 14 -2 11 -2 12 0 12 -3 12 -2 13 -2 13 -1 13 -2 12 -1 12 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 17 -20 18 -21 15 -26 11 -23 19 -14 16 -14 18 -15 20 -13 17 -15 14 -12 17 -15 13 -14 15 -18 16 -16 17 -17 15 -17 17 -19 15 -18 14 -15 13 -19 10 -21 13 -19 8 -18 12 -18 12 -17 9 -20 12 -18 8 -21 13 -21 8 -23 1 -24 8 -23 9 -23 6 -21 6 -23 9 -23 6 -25 5 -23 4 -23 5 -24 4 -24 7 -26 7 -26 6 -26 6 -26 2 -26 4 -25 3 -28 6 -24 4 -26 8 -25 4 -27 5 -28 9 -25 10 -25 11 -25 12 -25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -15 40 -14 38 -16 41 -20 39 -18 38 -16 31 -21 36 -16 30 -20 39 -24 32 -24 34 -23 32 -24 34 -23 32 -20 25 -20 29 -17 29 -21 27 -15 24 -18 24 -17 21 -16 26 -18 21 -17 24 -20 25 -13 24 -6 28 -14 23 -13 23 -10 23 -8 21 -11 23 -7 23 -8 22 -6 23 -4 24 -3 21 -2 23 -4 22 -1 23 -1 22 4 21 1 20 3 24 2 19 5 19 4 20 6 20 7 20 4 22 5 21 6 20 5 21 15 18 20 19 20 19 25 14 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1052298,0,110,0,0,1.237858,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -11 17 -11 20 -13 22 -9 20 -10 17 -7 20 -8 17 -7 18 -8 19 -5 21 -6 20 -6 20 -4 18 -4 15 -3 19 -6 16 -4 15 -4 15 -4 13 -4 14 -4 15 -4 13 -2 14 -4 15 -4 13 -5 0 0 12 -6 12 -7 13 -7 11 -7 11 -5 10 -7 11 -7 10 -7 10 -8 8 -8 9 -9 8 -7 8 -8 7 -9 7 -9 6 -10 8 -12 5 -10 6 -11 3 -10 5 -11 5 -11 6 -11 4 -12 5 -11 4 -11 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -20 15 -19 18 -18 18 -14 18 -19 6 -18 6 -19 7 -20 5 -18 6 -15 5 -18 8 -14 7 -17 10 -18 8 -19 9 -18 9 -19 11 -17 9 -15 7 -15 12 -13 13 -16 11 -11 12 -14 11 -15 10 -12 13 -15 11 -13 14 -17 13 -13 15 -6 20 -14 16 -14 15 -10 15 -11 16 -12 15 -11 18 -11 17 -11 16 -11 18 -10 18 -12 18 -13 18 -13 19 -13 18 -9 20 -11 17 -11 20 -12 18 -10 19 -13 18 -11 20 -11 20 -15 16 -16 16 -16 16 -17 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 19 -30 17 -29 21 -31 21 -28 20 -29 18 -23 23 -26 18 -22 22 -28 25 -21 26 -24 23 -23 26 -23 24 -22 20 -18 21 -21 18 -21 21 -21 16 -17 18 -17 17 -16 16 -20 18 -15 18 -17 20 -17 15 -17 8 -26 14 -18 14 -17 10 -17 9 -18 12 -17 8 -20 10 -18 8 -20 7 -19 7 -18 6 -19 8 -18 5 -19 4 -19 0 -19 2 -17 1 -20 1 -18 -1 -18 0 -18 -2 -18 -3 -18 0 -21 -1 -19 -1 -19 -2 -19 -12 -19 -16 -19 -16 -19 -20 -16 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-58,11,1,0,1,1,1,0,0,0,0,-93,0,6,1,1052636,0,110,0,0,1.248602,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 2 19 3 23 2 23 6 22 5 18 5 20 6 17 6 18 5 18 7 19 8 19 7 18 8 16 9 14 8 18 7 14 6 14 7 14 6 13 6 13 6 14 6 12 7 13 6 15 6 14 4 0 0 13 4 13 2 14 2 12 1 12 3 12 1 13 2 11 1 13 0 11 -2 12 -2 11 0 11 -1 10 -3 11 -3 10 -4 13 -5 10 -4 10 -5 9 -6 10 -5 10 -5 11 -5 11 -7 10 -5 9 -6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -23 11 -24 11 -20 14 -17 15 -17 -2 -15 -2 -17 -1 -17 -3 -16 -1 -13 -1 -15 0 -13 1 -16 2 -17 1 -17 0 -16 1 -19 3 -16 2 -14 1 -15 4 -14 6 -16 3 -12 4 -15 4 -14 2 -14 7 -15 5 -14 6 -17 5 -15 7 -10 19 -15 8 -15 8 -12 7 -13 8 -14 8 -14 10 -13 9 -13 10 -13 10 -14 10 -16 10 -16 10 -15 9 -15 10 -12 13 -13 9 -14 13 -14 9 -12 11 -15 9 -14 11 -14 11 -17 9 -18 7 -17 7 -18 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 26 -16 24 -14 28 -15 26 -12 27 -13 23 -10 27 -10 21 -10 27 -14 28 -7 29 -8 28 -8 29 -9 27 -8 22 -6 24 -8 21 -10 24 -9 18 -6 20 -6 17 -4 18 -9 20 -5 19 -7 23 -6 18 -8 15 -21 17 -8 16 -8 14 -9 13 -9 15 -9 13 -12 13 -9 12 -11 11 -12 12 -11 11 -12 12 -12 11 -13 10 -13 5 -14 7 -12 8 -15 7 -12 5 -13 7 -13 4 -14 3 -15 7 -16 7 -15 5 -15 5 -15 -7 -21 -9 -24 -10 -23 -16 -21 -1 -1 ]
