type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,133051,0,34,0,0,0.303530,128,[34 32 2 0 0 0 0 0 0 0 0 0 -19 -10 -18 -11 -19 -12 -19 -12 -17 -12 -16 -12 -16 -13 -15 -13 -16 -13 -14 -13 -16 -13 -16 -14 -15 -13 -15 -13 -13 -12 -15 -13 -13 -13 -13 -12 -13 -11 -14 -11 -13 -11 -14 -12 -12 -11 -14 -10 -16 -11 -16 -10 0 0 -16 -10 -17 -10 -17 -10 -17 -9 -16 -9 -17 -9 -18 -9 -17 -9 -19 -9 -17 -9 -19 -9 -17 -9 -18 -9 -19 -10 -18 -10 -19 -9 -20 -10 -19 -10 -18 -9 -19 -9 -19 -10 -19 -10 -20 -10 -20 -10 -19 -10 -19 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-54,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,148865,0,131,0,0,0.319079,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -21 -3 -20 -4 -22 -4 -22 -4 -21 -5 -18 -6 -19 -6 -18 -6 -19 -7 -19 -7 -20 -7 -20 -7 -19 -6 -18 -6 -16 -7 -20 -6 -17 -7 -17 -6 -16 -6 -17 -5 -17 -5 -18 -5 -16 -5 -18 -4 -20 -3 -19 -3 0 0 -19 -2 -20 -2 -20 -1 -20 -1 -18 -1 -20 -1 -21 -1 -20 -1 -21 0 -21 -1 -22 0 -20 -1 -21 0 -21 -1 -22 -1 -22 0 -24 1 -22 0 -21 0 -22 0 -22 -1 -23 0 -23 0 -23 0 -22 -1 -22 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,3016444,0,37,0,0,3.186965,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 -15 10 -15 10 -16 11 -16 10 -14 10 -13 10 -14 10 -13 10 -14 10 -13 10 -15 10 -15 9 -14 9 -14 9 -13 8 -16 8 -13 8 -13 7 -14 7 -14 7 -14 7 -16 7 -14 6 -17 7 -18 6 -19 0 0 6 -20 6 -20 6 -21 5 -21 6 -19 6 -22 6 -23 6 -22 5 -23 7 -22 7 -25 6 -23 7 -24 8 -25 8 -24 8 -25 8 -27 9 -25 9 -25 9 -26 10 -25 10 -27 10 -27 10 -28 11 -26 11 -25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-62,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3026666,0,110,0,0,3.196779,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 2 -11 2 -12 3 -13 2 -11 2 -10 1 -11 1 -10 1 -10 1 -11 1 -12 1 -12 2 -12 2 -11 1 -10 1 -12 3 -11 2 -11 1 -11 2 -11 3 -11 3 -12 3 -11 2 -13 4 -14 4 -13 5 0 0 -14 4 -14 6 -15 7 -14 6 -16 4 -15 6 -17 6 -16 5 -16 6 -14 7 -16 8 -16 5 -17 6 -16 7 -17 6 -17 8 -20 8 -16 8 -18 8 -16 8 -19 6 -19 6 -20 6 -19 8 -20 4 -18 6 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 21 33 22 31 28 31 21 29 11 31 10 29 12 30 9 34 9 28 6 26 9 28 9 24 10 29 8 26 9 28 9 27 11 28 10 26 7 23 9 25 13 24 5 25 10 20 7 21 7 22 9 21 7 21 13 19 10 23 13 21 17 17 13 23 10 22 13 21 13 20 12 23 13 21 13 21 13 22 12 21 14 21 12 23 13 23 12 24 12 25 12 23 10 23 11 26 9 24 8 24 5 24 7 26 7 25 3 25 3 24 2 24 0 24 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -1 -1 -20 7 -18 7 -21 7 -21 7 -19 7 -17 5 -19 5 -18 5 -20 6 -18 5 -20 7 -19 7 -21 8 -20 8 -17 7 -19 7 -20 10 -20 7 -17 9 -19 8 -19 8 -20 10 -19 8 -20 12 -24 12 -20 13 -18 17 -24 13 -23 13 -23 16 -21 13 -26 13 -24 15 -25 15 -27 16 -26 18 -22 15 -24 18 -26 17 -27 19 -27 19 -25 20 -26 18 -30 21 -26 18 -27 19 -27 17 -28 21 -29 20 -32 16 -30 18 -31 17 -33 15 -28 22 -31 31 -32 32 -28 31 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3036802,0,110,0,0,3.207878,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 6 -9 5 -10 6 -11 6 -10 5 -9 4 -10 4 -9 4 -9 5 -10 4 -11 4 -11 5 -11 5 -10 4 -10 3 -11 6 -10 5 -9 4 -10 5 -10 5 -10 5 -11 6 -10 4 -11 6 -13 7 -11 7 0 0 -12 7 -11 9 -13 9 -11 8 -13 7 -13 9 -15 8 -13 9 -14 9 -11 10 -12 11 -13 8 -14 9 -13 10 -14 10 -14 12 -17 12 -13 11 -14 11 -12 11 -15 10 -15 10 -16 10 -16 11 -17 8 -15 9 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 34 10 35 11 38 6 33 5 20 18 19 17 22 18 19 21 18 16 15 15 18 16 16 13 20 16 17 17 17 18 17 16 19 17 17 16 14 14 17 12 19 10 15 14 14 9 14 11 14 13 16 10 15 12 17 9 17 13 18 10 22 3 18 10 18 11 17 8 17 8 18 10 20 8 19 8 18 8 18 9 18 9 19 12 19 13 19 12 18 12 20 10 17 11 20 11 17 13 18 12 15 14 17 13 18 13 13 16 13 17 11 16 11 18 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -13 14 -11 14 -13 14 -13 14 -11 13 -11 11 -12 13 -11 12 -12 15 -14 12 -14 13 -13 14 -14 16 -14 14 -12 13 -12 15 -11 16 -13 14 -10 14 -12 14 -11 13 -11 17 -13 14 -13 17 -17 18 -12 18 -6 22 -13 18 -13 19 -11 20 -11 19 -15 21 -12 22 -14 21 -14 23 -13 23 -13 21 -13 23 -16 23 -15 25 -14 24 -10 25 -13 24 -14 27 -13 23 -12 24 -14 23 -13 26 -12 25 -18 25 -18 25 -17 23 -19 23 -8 31 -4 39 -7 39 1 39 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-62,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3042450,0,110,0,0,3.219465,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -4 8 -4 9 -6 10 -5 9 -4 8 -2 9 -3 8 -3 8 -4 9 -3 10 -4 10 -4 10 -4 9 -4 8 -3 10 -5 9 -4 8 -3 9 -5 9 -4 9 -5 10 -5 10 -4 10 -5 13 -6 11 -6 0 0 11 -6 12 -8 13 -8 11 -7 13 -6 13 -8 14 -7 12 -7 14 -9 10 -8 13 -9 13 -6 14 -7 13 -9 14 -8 14 -10 17 -10 13 -9 14 -9 13 -10 15 -8 16 -8 16 -8 16 -9 16 -6 15 -7 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -36 -7 -37 -10 -36 -5 -33 -2 -19 -19 -16 -17 -20 -19 -17 -21 -17 -17 -13 -16 -15 -17 -15 -13 -17 -16 -16 -18 -15 -19 -15 -17 -17 -18 -15 -18 -13 -15 -15 -14 -16 -12 -15 -14 -14 -9 -14 -12 -12 -13 -15 -11 -14 -13 -16 -10 -16 -15 -16 -12 -23 -3 -16 -12 -17 -11 -15 -9 -16 -10 -16 -12 -17 -10 -16 -9 -17 -10 -17 -11 -17 -11 -17 -13 -18 -14 -17 -14 -16 -14 -19 -11 -13 -13 -18 -13 -14 -15 -15 -13 -13 -15 -15 -14 -15 -15 -12 -17 -10 -18 -10 -18 -8 -19 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 11 -12 9 -12 11 -14 11 -13 10 -13 9 -10 12 -11 9 -10 10 -14 12 -11 12 -13 12 -12 12 -14 12 -14 9 -11 10 -14 9 -14 11 -14 8 -13 9 -13 9 -13 9 -15 11 -13 11 -15 15 -16 11 -17 4 -23 11 -17 12 -18 11 -18 10 -17 13 -18 11 -21 11 -19 11 -21 11 -23 11 -20 11 -22 15 -21 13 -23 13 -22 8 -24 11 -21 12 -25 13 -20 10 -21 13 -21 11 -23 11 -23 17 -23 17 -23 16 -22 17 -21 5 -32 4 -38 4 -39 -4 -39 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3053526,0,110,0,0,3.231194,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -1 10 -2 10 -2 11 -2 10 -1 9 0 9 -1 9 0 9 -1 10 -2 12 0 11 -1 10 -2 11 -1 10 0 12 -2 11 -2 10 -1 10 -1 10 -1 10 -2 11 -1 11 0 12 -2 14 -2 13 -3 0 0 14 -3 14 -4 15 -4 14 -4 15 -2 15 -3 16 -2 14 -3 17 -3 14 -5 16 -5 15 -3 16 -3 16 -5 16 -3 18 -5 20 -4 17 -5 17 -3 16 -5 19 -2 18 -3 19 -2 19 -4 18 -1 18 -2 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -25 -30 -25 -31 -29 -28 -24 -25 -9 -30 -8 -28 -10 -30 -6 -32 -7 -28 -5 -24 -7 -27 -8 -22 -9 -27 -7 -26 -5 -28 -6 -26 -8 -27 -7 -26 -5 -23 -8 -23 -10 -23 -6 -24 -9 -18 -7 -21 -6 -20 -9 -21 -6 -20 -10 -19 -8 -23 -10 -20 -18 -15 -11 -22 -9 -21 -11 -19 -11 -18 -9 -22 -12 -20 -11 -19 -12 -20 -10 -20 -11 -20 -10 -22 -11 -23 -10 -23 -9 -24 -12 -21 -8 -21 -11 -24 -6 -23 -9 -22 -4 -22 -7 -22 -7 -23 -3 -23 -2 -23 -1 -23 1 -23 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 17 -7 16 -8 17 -8 18 -7 16 -7 14 -6 16 -6 15 -6 18 -9 16 -6 19 -7 18 -7 19 -8 19 -8 16 -7 17 -8 18 -10 18 -8 15 -9 17 -8 17 -8 18 -10 18 -8 19 -10 22 -10 20 -12 19 -17 22 -12 21 -11 21 -13 20 -12 24 -12 22 -15 23 -14 23 -16 24 -15 21 -14 24 -16 25 -14 27 -17 26 -17 22 -19 24 -16 27 -18 24 -15 23 -16 25 -15 26 -18 25 -18 29 -14 28 -15 28 -14 29 -12 24 -23 29 -31 28 -32 23 -35 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-61,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3067739,0,110,0,0,3.242823,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 2 10 2 12 2 13 3 11 3 10 3 11 4 10 4 10 3 10 4 11 5 12 4 11 4 11 5 9 4 12 3 11 3 10 4 10 3 10 3 11 3 11 3 10 4 12 3 13 4 13 3 0 0 14 3 14 1 15 2 14 1 14 3 15 2 16 3 14 2 17 2 15 -1 16 1 15 3 16 3 16 1 16 1 17 0 20 2 16 0 17 0 16 -1 18 2 18 1 18 2 19 1 17 4 17 3 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -25 -28 -26 -30 -28 -27 -27 -22 -6 -28 -6 -26 -8 -29 -4 -29 -6 -26 -3 -22 -5 -25 -6 -21 -7 -25 -5 -24 -3 -26 -5 -24 -5 -26 -5 -23 -4 -21 -7 -21 -9 -21 -5 -22 -8 -17 -6 -19 -4 -19 -8 -19 -5 -20 -9 -19 -7 -22 -10 -20 -18 -16 -9 -21 -9 -20 -9 -16 -9 -18 -8 -20 -11 -20 -11 -19 -11 -19 -10 -20 -10 -19 -9 -21 -10 -22 -9 -22 -9 -22 -11 -20 -8 -19 -10 -23 -6 -22 -7 -21 -5 -22 -7 -21 -6 -22 -2 -22 -1 -22 0 -21 1 -22 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 18 -5 17 -6 19 -5 18 -5 18 -5 16 -4 19 -3 15 -3 20 -5 18 -1 20 -2 19 -3 21 -4 20 -4 16 -3 18 -4 19 -6 19 -3 15 -6 17 -4 16 -3 19 -7 18 -3 19 -5 23 -4 20 -6 19 -16 22 -6 21 -7 20 -9 19 -8 22 -7 22 -10 22 -7 22 -10 24 -11 22 -10 24 -11 24 -9 25 -12 24 -11 22 -15 22 -12 26 -12 23 -10 23 -12 25 -10 25 -13 24 -14 28 -10 27 -10 26 -9 27 -8 24 -23 26 -30 26 -30 20 -35 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-63,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3077614,0,110,0,0,3.253843,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -13 0 -12 1 -14 2 -14 2 -13 2 -11 2 -13 2 -11 2 -12 3 -12 5 -13 3 -14 4 -13 4 -13 4 -11 3 -14 3 -12 4 -12 3 -12 3 -12 4 -12 3 -13 5 -12 4 -14 5 -15 3 -14 0 0 4 -16 2 -16 4 -17 3 -16 6 -15 3 -17 5 -18 4 -15 5 -18 1 -16 3 -17 5 -17 6 -17 4 -18 4 -19 4 -20 6 -21 2 -20 4 -19 2 -18 6 -17 6 -20 7 -19 9 -20 9 -18 6 -20 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -41 23 -38 32 -24 39 -22 26 -22 -5 -22 -8 -26 1 -20 -6 -22 3 -20 0 -17 -1 -19 1 -22 1 -28 0 -23 -3 -23 -3 -24 0 -23 -1 -18 0 -21 0 -19 4 -21 0 -16 2 -17 0 -18 0 -18 3 -18 -1 -18 3 -21 -1 -19 2 -18 17 -19 2 -19 2 -16 3 -17 2 -18 1 -19 4 -16 2 -17 3 -18 2 -18 3 -19 1 -21 1 -19 1 -19 0 -19 3 -17 1 -20 1 -19 -2 -17 0 -17 -3 -17 -1 -17 -1 -17 -4 -17 -7 -17 -7 -16 -7 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -1 -1 -6 -19 -5 -18 -6 -21 -5 -21 -4 -21 -4 -17 -4 -20 -5 -17 -6 -21 -3 -20 -2 -22 -3 -20 -4 -22 -3 -22 -3 -18 -3 -21 -5 -20 -3 -21 -4 -18 -4 -20 -2 -18 -5 -20 -3 -21 -4 -21 -2 -26 -5 -21 -16 -23 -4 -24 -6 -24 -6 -22 -6 -22 -4 -25 -8 -25 -6 -24 -8 -25 -10 -26 -8 -24 -8 -24 -4 -28 -8 -28 -7 -27 -11 -24 -8 -25 -11 -30 -7 -29 -10 -26 -8 -29 -12 -24 -6 -27 -4 -26 -6 -30 -1 -32 -5 -34 -28 -29 -20 -33 -27 -33 -37 -39 -1 -1 ]
CSI_DATA,STA,08:3A:F2:51:5D:9D,-60,11,1,0,1,1,1,0,0,0,0,-92,0,6,1,3090225,0,110,0,0,3.265210,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 5 -11 5 -13 6 -15 5 -12 5 -12 3 -12 4 -12 3 -12 3 -12 3 -14 3 -14 4 -14 4 -14 3 -12 2 -14 4 -13 3 -12 2 -12 3 -12 3 -12 3 -13 3 -12 2 -14 4 -15 5 -13 5 0 0 -14 5 -14 6 -15 7 -14 6 -15 5 -15 6 -16 6 -14 6 -16 6 -12 8 -14 9 -14 6 -15 7 -14 8 -15 7 -15 10 -18 9 -15 9 -15 8 -13 10 -17 8 -16 8 -17 8 -17 10 -17 6 -16 8 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 32 15 32 14 37 9 30 11 18 19 18 19 19 19 18 23 16 18 15 17 16 18 16 15 18 18 15 17 16 19 16 16 18 17 17 16 14 14 15 15 19 13 12 16 15 11 12 13 13 15 14 12 13 12 17 9 17 13 17 11 21 3 18 11 16 12 17 10 16 10 17 12 18 10 17 10 18 10 16 12 17 10 18 12 18 12 18 12 19 13 17 11 17 12 18 13 16 14 15 13 14 15 16 15 14 15 12 16 12 16 10 16 10 18 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 -1 -1 -15 15 -15 15 -16 15 -19 16 -15 14 -16 12 -17 13 -15 12 -18 15 -17 12 -18 13 -18 14 -18 15 -18 14 -17 13 -17 13 -17 15 -18 11 -15 13 -16 11 -16 12 -16 14 -15 12 -16 15 -20 17 -15 17 -9 23 -18 17 -18 16 -16 18 -15 16 -19 18 -18 19 -19 18 -18 21 -19 21 -14 19 -15 22 -17 20 -17 23 -18 23 -14 23 -17 22 -19 24 -17 22 -16 21 -17 21 -17 24 -17 23 -20 22 -19 23 -19 22 -21 22 -11 28 -10 39 -10 40 -8 37 -1 -1 ]
